number,request,deviation_count,uri,request_length,http_version,Socket_Connect_Time,Socket_Close_Time,Response_Time,status_code,reason_phrase,error_message,response_header_count,response_header_length,response_body_length,response_header_fields
0,"GET / HTTP/1.1
Host: www.apple.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,427,HTTP/1.1,0.1952228546142578,0.10201549530029297,0.06925296783447266,200,OK,[''],17,17,14264,"{""server"": ""Apple"", ""content-type"": ""text/html; charset=utf-8"", ""set-cookie"": ""geo=DE; path=/; domain=.apple.com"", ""x-frame-options"": ""SAMEORIGIN"", ""vary"": ""Accept-Encoding"", ""content-security-policy"": ""default-src 'self' blob: data: *.akamaized.net *.apple.com *.apple-mapkit.com *.cdn-apple.com *.organicfruitapps.com; child-src blob: embed.music.apple.com embed.podcasts.apple.com https://recyclingprogram.apple.com swdlp.apple.com www.apple.com www.instagram.com platform.twitter.com www.youtube-nocookie.com; img-src 'unsafe-inline' blob: data: *.apple.com *.apple-mapkit.com *.cdn-apple.com *.mzstatic.com; script-src 'unsafe-inline' 'unsafe-eval' blob: *.apple.com *.apple-mapkit.com www.instagram.com platform.twitter.com; style-src 'unsafe-inline' *.apple.com"", ""referrer-policy"": ""no-referrer-when-downgrade"", ""strict-transport-security"": ""max-age=31536000; includeSubdomains; preload"", ""x-content-type-options"": ""nosniff"", ""x-xss-protection"": ""1; mode=block"", ""content-encoding"": ""gzip"", ""cache-control"": ""max-age=0"", ""expires"": ""Fri, 29 Sep 2023 21:20:24 GMT"", ""date"": ""Fri, 29 Sep 2023 21:20:24 GMT"", ""transfer-encoding"": ""chunked"", ""x-cache"": ""TCP_MEM_HIT from a2-17-34-234.deploy.akamaitechnologies.com (AkamaiGHost/11.2.5.1-51406771) (-)"", ""connection"": ""Transfer-Encoding""}"
1,"GET / HTTP/1.1
Host: www.apple.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,427,HTTP/1.1,0.12024044990539551,0.11267280578613281,0.06540822982788086,200,OK,[''],17,17,14264,"{""server"": ""Apple"", ""content-type"": ""text/html; charset=utf-8"", ""set-cookie"": ""geo=DE; path=/; domain=.apple.com"", ""x-frame-options"": ""SAMEORIGIN"", ""vary"": ""Accept-Encoding"", ""content-security-policy"": ""default-src 'self' blob: data: *.akamaized.net *.apple.com *.apple-mapkit.com *.cdn-apple.com *.organicfruitapps.com; child-src blob: embed.music.apple.com embed.podcasts.apple.com https://recyclingprogram.apple.com swdlp.apple.com www.apple.com www.instagram.com platform.twitter.com www.youtube-nocookie.com; img-src 'unsafe-inline' blob: data: *.apple.com *.apple-mapkit.com *.cdn-apple.com *.mzstatic.com; script-src 'unsafe-inline' 'unsafe-eval' blob: *.apple.com *.apple-mapkit.com www.instagram.com platform.twitter.com; style-src 'unsafe-inline' *.apple.com"", ""referrer-policy"": ""no-referrer-when-downgrade"", ""strict-transport-security"": ""max-age=31536000; includeSubdomains; preload"", ""x-content-type-options"": ""nosniff"", ""x-xss-protection"": ""1; mode=block"", ""content-encoding"": ""gzip"", ""cache-control"": ""max-age=0"", ""expires"": ""Fri, 29 Sep 2023 21:20:26 GMT"", ""date"": ""Fri, 29 Sep 2023 21:20:26 GMT"", ""transfer-encoding"": ""chunked"", ""x-cache"": ""TCP_MEM_HIT from a2-17-34-234.deploy.akamaitechnologies.com (AkamaiGHost/11.2.5.1-51406771) (-)"", ""connection"": ""Transfer-Encoding""}"
2,"GET / HTTP/1.1
Host: www.apple.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,427,HTTP/1.1,0.16118669509887695,0.11107230186462402,0.09354138374328613,200,OK,[''],17,17,14264,"{""server"": ""Apple"", ""content-type"": ""text/html; charset=utf-8"", ""set-cookie"": ""geo=DE; path=/; domain=.apple.com"", ""x-frame-options"": ""SAMEORIGIN"", ""vary"": ""Accept-Encoding"", ""content-security-policy"": ""default-src 'self' blob: data: *.akamaized.net *.apple.com *.apple-mapkit.com *.cdn-apple.com *.organicfruitapps.com; child-src blob: embed.music.apple.com embed.podcasts.apple.com https://recyclingprogram.apple.com swdlp.apple.com www.apple.com www.instagram.com platform.twitter.com www.youtube-nocookie.com; img-src 'unsafe-inline' blob: data: *.apple.com *.apple-mapkit.com *.cdn-apple.com *.mzstatic.com; script-src 'unsafe-inline' 'unsafe-eval' blob: *.apple.com *.apple-mapkit.com www.instagram.com platform.twitter.com; style-src 'unsafe-inline' *.apple.com"", ""referrer-policy"": ""no-referrer-when-downgrade"", ""strict-transport-security"": ""max-age=31536000; includeSubdomains; preload"", ""x-content-type-options"": ""nosniff"", ""x-xss-protection"": ""1; mode=block"", ""content-encoding"": ""gzip"", ""cache-control"": ""max-age=0"", ""expires"": ""Fri, 29 Sep 2023 21:20:28 GMT"", ""date"": ""Fri, 29 Sep 2023 21:20:28 GMT"", ""transfer-encoding"": ""chunked"", ""x-cache"": ""TCP_MEM_HIT from a2-17-34-242.deploy.akamaitechnologies.com (AkamaiGHost/11.2.5.1-51406771) (-)"", ""connection"": ""Transfer-Encoding""}"
3,"GET / HTTP/1.1
Host: www.apple.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,427,HTTP/1.1,0.11569786071777344,0.11398887634277344,0.06820487976074219,200,OK,[''],17,17,14264,"{""server"": ""Apple"", ""content-type"": ""text/html; charset=utf-8"", ""set-cookie"": ""geo=DE; path=/; domain=.apple.com"", ""x-frame-options"": ""SAMEORIGIN"", ""vary"": ""Accept-Encoding"", ""content-security-policy"": ""default-src 'self' blob: data: *.akamaized.net *.apple.com *.apple-mapkit.com *.cdn-apple.com *.organicfruitapps.com; child-src blob: embed.music.apple.com embed.podcasts.apple.com https://recyclingprogram.apple.com swdlp.apple.com www.apple.com www.instagram.com platform.twitter.com www.youtube-nocookie.com; img-src 'unsafe-inline' blob: data: *.apple.com *.apple-mapkit.com *.cdn-apple.com *.mzstatic.com; script-src 'unsafe-inline' 'unsafe-eval' blob: *.apple.com *.apple-mapkit.com www.instagram.com platform.twitter.com; style-src 'unsafe-inline' *.apple.com"", ""referrer-policy"": ""no-referrer-when-downgrade"", ""strict-transport-security"": ""max-age=31536000; includeSubdomains; preload"", ""x-content-type-options"": ""nosniff"", ""x-xss-protection"": ""1; mode=block"", ""content-encoding"": ""gzip"", ""cache-control"": ""max-age=0"", ""expires"": ""Fri, 29 Sep 2023 21:20:30 GMT"", ""date"": ""Fri, 29 Sep 2023 21:20:30 GMT"", ""transfer-encoding"": ""chunked"", ""x-cache"": ""TCP_MEM_HIT from a2-17-34-242.deploy.akamaitechnologies.com (AkamaiGHost/11.2.5.1-51406771) (-)"", ""connection"": ""Transfer-Encoding""}"
4,"GET / HTTP/1.1
Host: www.apple.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,427,HTTP/1.1,0.26560258865356445,0.12413573265075684,0.17542028427124023,200,OK,[''],17,17,14264,"{""server"": ""Apple"", ""content-type"": ""text/html; charset=utf-8"", ""set-cookie"": ""geo=DE; path=/; domain=.apple.com"", ""x-frame-options"": ""SAMEORIGIN"", ""vary"": ""Accept-Encoding"", ""content-security-policy"": ""default-src 'self' blob: data: *.akamaized.net *.apple.com *.apple-mapkit.com *.cdn-apple.com *.organicfruitapps.com; child-src blob: embed.music.apple.com embed.podcasts.apple.com https://recyclingprogram.apple.com swdlp.apple.com www.apple.com www.instagram.com platform.twitter.com www.youtube-nocookie.com; img-src 'unsafe-inline' blob: data: *.apple.com *.apple-mapkit.com *.cdn-apple.com *.mzstatic.com; script-src 'unsafe-inline' 'unsafe-eval' blob: *.apple.com *.apple-mapkit.com www.instagram.com platform.twitter.com; style-src 'unsafe-inline' *.apple.com"", ""referrer-policy"": ""no-referrer-when-downgrade"", ""strict-transport-security"": ""max-age=31536000; includeSubdomains; preload"", ""x-content-type-options"": ""nosniff"", ""x-xss-protection"": ""1; mode=block"", ""content-encoding"": ""gzip"", ""cache-control"": ""max-age=0"", ""expires"": ""Fri, 29 Sep 2023 21:20:32 GMT"", ""date"": ""Fri, 29 Sep 2023 21:20:32 GMT"", ""transfer-encoding"": ""chunked"", ""x-cache"": ""TCP_MEM_HIT from a2-17-34-234.deploy.akamaitechnologies.com (AkamaiGHost/11.2.5.1-51406771) (-)"", ""connection"": ""Transfer-Encoding""}"
5,"GET / HTTP/1.1
Host: www.apple.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,427,HTTP/1.1,0.22979497909545898,0.10554313659667969,0.07224059104919434,200,OK,[''],17,17,14264,"{""server"": ""Apple"", ""content-type"": ""text/html; charset=utf-8"", ""set-cookie"": ""geo=DE; path=/; domain=.apple.com"", ""x-frame-options"": ""SAMEORIGIN"", ""vary"": ""Accept-Encoding"", ""content-security-policy"": ""default-src 'self' blob: data: *.akamaized.net *.apple.com *.apple-mapkit.com *.cdn-apple.com *.organicfruitapps.com; child-src blob: embed.music.apple.com embed.podcasts.apple.com https://recyclingprogram.apple.com swdlp.apple.com www.apple.com www.instagram.com platform.twitter.com www.youtube-nocookie.com; img-src 'unsafe-inline' blob: data: *.apple.com *.apple-mapkit.com *.cdn-apple.com *.mzstatic.com; script-src 'unsafe-inline' 'unsafe-eval' blob: *.apple.com *.apple-mapkit.com www.instagram.com platform.twitter.com; style-src 'unsafe-inline' *.apple.com"", ""referrer-policy"": ""no-referrer-when-downgrade"", ""strict-transport-security"": ""max-age=31536000; includeSubdomains; preload"", ""x-content-type-options"": ""nosniff"", ""x-xss-protection"": ""1; mode=block"", ""content-encoding"": ""gzip"", ""cache-control"": ""max-age=0"", ""expires"": ""Fri, 29 Sep 2023 21:20:34 GMT"", ""date"": ""Fri, 29 Sep 2023 21:20:34 GMT"", ""transfer-encoding"": ""chunked"", ""x-cache"": ""TCP_MEM_HIT from a2-17-34-236.deploy.akamaitechnologies.com (AkamaiGHost/11.2.5.1-51406771) (-)"", ""connection"": ""Transfer-Encoding""}"
6,"GET / HTTP/1.1
Host: www.apple.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,427,HTTP/1.1,0.22645258903503418,0.12317895889282227,0.06756401062011719,200,OK,[''],17,17,14264,"{""server"": ""Apple"", ""content-type"": ""text/html; charset=utf-8"", ""set-cookie"": ""geo=DE; path=/; domain=.apple.com"", ""x-frame-options"": ""SAMEORIGIN"", ""vary"": ""Accept-Encoding"", ""content-security-policy"": ""default-src 'self' blob: data: *.akamaized.net *.apple.com *.apple-mapkit.com *.cdn-apple.com *.organicfruitapps.com; child-src blob: embed.music.apple.com embed.podcasts.apple.com https://recyclingprogram.apple.com swdlp.apple.com www.apple.com www.instagram.com platform.twitter.com www.youtube-nocookie.com; img-src 'unsafe-inline' blob: data: *.apple.com *.apple-mapkit.com *.cdn-apple.com *.mzstatic.com; script-src 'unsafe-inline' 'unsafe-eval' blob: *.apple.com *.apple-mapkit.com www.instagram.com platform.twitter.com; style-src 'unsafe-inline' *.apple.com"", ""referrer-policy"": ""no-referrer-when-downgrade"", ""strict-transport-security"": ""max-age=31536000; includeSubdomains; preload"", ""x-content-type-options"": ""nosniff"", ""x-xss-protection"": ""1; mode=block"", ""content-encoding"": ""gzip"", ""cache-control"": ""max-age=0"", ""expires"": ""Fri, 29 Sep 2023 21:20:36 GMT"", ""date"": ""Fri, 29 Sep 2023 21:20:36 GMT"", ""transfer-encoding"": ""chunked"", ""x-cache"": ""TCP_MEM_HIT from a2-17-34-234.deploy.akamaitechnologies.com (AkamaiGHost/11.2.5.1-51406771) (-)"", ""connection"": ""Transfer-Encoding""}"
7,"GET / HTTP/1.1
Host: www.apple.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,427,HTTP/1.1,0.17564702033996582,0.11183857917785645,0.112823486328125,200,OK,[''],17,17,14268,"{""server"": ""Apple"", ""content-type"": ""text/html; charset=utf-8"", ""set-cookie"": ""geo=DE; path=/; domain=.apple.com"", ""x-frame-options"": ""SAMEORIGIN"", ""vary"": ""Accept-Encoding"", ""content-security-policy"": ""default-src 'self' blob: data: *.akamaized.net *.apple.com *.apple-mapkit.com *.cdn-apple.com *.organicfruitapps.com; child-src blob: embed.music.apple.com embed.podcasts.apple.com https://recyclingprogram.apple.com swdlp.apple.com www.apple.com www.instagram.com platform.twitter.com www.youtube-nocookie.com; img-src 'unsafe-inline' blob: data: *.apple.com *.apple-mapkit.com *.cdn-apple.com *.mzstatic.com; script-src 'unsafe-inline' 'unsafe-eval' blob: *.apple.com *.apple-mapkit.com www.instagram.com platform.twitter.com; style-src 'unsafe-inline' *.apple.com"", ""referrer-policy"": ""no-referrer-when-downgrade"", ""strict-transport-security"": ""max-age=31536000; includeSubdomains; preload"", ""x-content-type-options"": ""nosniff"", ""x-xss-protection"": ""1; mode=block"", ""content-encoding"": ""gzip"", ""cache-control"": ""max-age=0"", ""expires"": ""Fri, 29 Sep 2023 21:20:39 GMT"", ""date"": ""Fri, 29 Sep 2023 21:20:39 GMT"", ""transfer-encoding"": ""chunked"", ""x-cache"": ""TCP_HIT from a2-17-34-242.deploy.akamaitechnologies.com (AkamaiGHost/11.2.5.1-51406771) (-)"", ""connection"": ""Transfer-Encoding""}"
8,"GET / HTTP/1.1
Host: www.apple.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,427,HTTP/1.1,0.23387551307678223,0.11111092567443848,0.1287846565246582,200,OK,[''],17,17,14264,"{""server"": ""Apple"", ""content-type"": ""text/html; charset=utf-8"", ""set-cookie"": ""geo=DE; path=/; domain=.apple.com"", ""x-frame-options"": ""SAMEORIGIN"", ""vary"": ""Accept-Encoding"", ""content-security-policy"": ""default-src 'self' blob: data: *.akamaized.net *.apple.com *.apple-mapkit.com *.cdn-apple.com *.organicfruitapps.com; child-src blob: embed.music.apple.com embed.podcasts.apple.com https://recyclingprogram.apple.com swdlp.apple.com www.apple.com www.instagram.com platform.twitter.com www.youtube-nocookie.com; img-src 'unsafe-inline' blob: data: *.apple.com *.apple-mapkit.com *.cdn-apple.com *.mzstatic.com; script-src 'unsafe-inline' 'unsafe-eval' blob: *.apple.com *.apple-mapkit.com www.instagram.com platform.twitter.com; style-src 'unsafe-inline' *.apple.com"", ""referrer-policy"": ""no-referrer-when-downgrade"", ""strict-transport-security"": ""max-age=31536000; includeSubdomains; preload"", ""x-content-type-options"": ""nosniff"", ""x-xss-protection"": ""1; mode=block"", ""content-encoding"": ""gzip"", ""cache-control"": ""max-age=0"", ""expires"": ""Fri, 29 Sep 2023 21:20:41 GMT"", ""date"": ""Fri, 29 Sep 2023 21:20:41 GMT"", ""transfer-encoding"": ""chunked"", ""x-cache"": ""TCP_MEM_HIT from a2-17-34-242.deploy.akamaitechnologies.com (AkamaiGHost/11.2.5.1-51406771) (-)"", ""connection"": ""Transfer-Encoding""}"
9,"GET / HTTP/1.1
Host: www.apple.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,427,HTTP/1.1,0.14830660820007324,0.1124429702758789,0.12332606315612793,200,OK,[''],17,17,14264,"{""server"": ""Apple"", ""content-type"": ""text/html; charset=utf-8"", ""set-cookie"": ""geo=DE; path=/; domain=.apple.com"", ""x-frame-options"": ""SAMEORIGIN"", ""vary"": ""Accept-Encoding"", ""content-security-policy"": ""default-src 'self' blob: data: *.akamaized.net *.apple.com *.apple-mapkit.com *.cdn-apple.com *.organicfruitapps.com; child-src blob: embed.music.apple.com embed.podcasts.apple.com https://recyclingprogram.apple.com swdlp.apple.com www.apple.com www.instagram.com platform.twitter.com www.youtube-nocookie.com; img-src 'unsafe-inline' blob: data: *.apple.com *.apple-mapkit.com *.cdn-apple.com *.mzstatic.com; script-src 'unsafe-inline' 'unsafe-eval' blob: *.apple.com *.apple-mapkit.com www.instagram.com platform.twitter.com; style-src 'unsafe-inline' *.apple.com"", ""referrer-policy"": ""no-referrer-when-downgrade"", ""strict-transport-security"": ""max-age=31536000; includeSubdomains; preload"", ""x-content-type-options"": ""nosniff"", ""x-xss-protection"": ""1; mode=block"", ""content-encoding"": ""gzip"", ""cache-control"": ""max-age=0"", ""expires"": ""Fri, 29 Sep 2023 21:20:43 GMT"", ""date"": ""Fri, 29 Sep 2023 21:20:43 GMT"", ""transfer-encoding"": ""chunked"", ""x-cache"": ""TCP_MEM_HIT from a2-17-34-242.deploy.akamaitechnologies.com (AkamaiGHost/11.2.5.1-51406771) (-)"", ""connection"": ""Transfer-Encoding""}"
