number,request,deviation_count,uri,request_length,http_version,Socket_Connect_Time,Socket_Close_Time,Response_Time,status_code,reason_phrase,error_message,response_header_count,response_header_length,response_body_length,response_header_fields
0,"GET / HTTP/1.1
Host: www.office.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,428,HTTP/1.1,0.20044445991516113,0.11239814758300781,0.05099892616271973,200,OK,[''],20,20,10,"{""cache-control"": ""no-store,no-cache"", ""pragma"": ""no-cache"", ""transfer-encoding"": ""chunked"", ""content-type"": ""text/html; charset=utf-8"", ""content-encoding"": ""gzip"", ""vary"": ""Accept-Encoding"", ""set-cookie"": ""MUID=3934E733EE5B6D922CACF4A8EF836C96; path=/; secure; expires=Wed, 23-Oct-2024 21:20:25 GMT; domain=office.com"", ""request-context"": ""appId="", ""strict-transport-security"": ""max-age=31536000; includeSubDomains"", ""referrer-policy"": ""strict-origin-when-cross-origin"", ""x-content-type-options"": ""nosniff"", ""x-xss-protection"": ""1; mode=block"", ""x-frame-options"": ""SAMEORIGIN"", ""x-ua-compatible"": ""IE=edge,chrome=1"", ""nel"": ""{\""report_to\"":\""NelOfficeHubUpload1\"",\""max_age\"":3600,\""failure_fraction\"":1.0,\""success_fraction\"":0.01}"", ""report-to"": ""{ \""group\"": \""csp-endpoint\"", \""max_age\"": 86400, \""endpoints\"": [{ \""url\"": \""https://csp.microsoft.com/report/Harmony-App-PROD\"" }]}"", ""content-security-policy"": ""default-src 'self';base-uri 'self';script-src 'nonce-KMTUBI8jMroEBnmP2/5aRA==' 'strict-dynamic' 'report-sample' https:;report-to csp-endpoint;upgrade-insecure-requests;style-src 'self' *.cdn.office.net *.microsoft.com res-dev.cdn.officeppe.net 'unsafe-inline' https://www.microsoft.com/;font-src 'self' data: *.cdn.office.net res-dev.cdn.officeppe.net data c.s-microsoft.com *.microsoft.com;connect-src 'self' https://browser.pipe.aria.microsoft.com https://browser.events.data.microsoft.com *.office.com *.cdn.office.net res-dev.cdn.officeppe.net https://consentreceiverfd-prod.azurefd.net data:;frame-src https://login.microsoftonline.com https://login.live.com mem.gfx.ms amcdn.msftauth.net amcdn.msauth.net;img-src * data: blob:;worker-src 'self' blob:;child-src 'self' blob:;report-uri https://csp.microsoft.com/report/Harmony-App-PROD;"", ""x-cache"": ""CONFIG_NOCACHE"", ""x-msedge-ref"": ""Ref A: A107DFECB3E74CFFB93B78C674E08998 Ref B: AMS231032605037 Ref C: 2023-09-29T21:20:25Z"", ""date"": ""Fri, 29 Sep 2023 21:20:25 GMT""}"
1,"GET / HTTP/1.1
Host: www.office.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,428,HTTP/1.1,0.19098448753356934,0.12478518486022949,0.051390886306762695,200,OK,[''],20,20,10,"{""cache-control"": ""no-store,no-cache"", ""pragma"": ""no-cache"", ""transfer-encoding"": ""chunked"", ""content-type"": ""text/html; charset=utf-8"", ""content-encoding"": ""gzip"", ""vary"": ""Accept-Encoding"", ""set-cookie"": ""MUID=16970C5DA7E26B13167A1FC6A6696A56; path=/; secure; expires=Wed, 23-Oct-2024 21:20:27 GMT; domain=office.com"", ""request-context"": ""appId="", ""strict-transport-security"": ""max-age=31536000; includeSubDomains"", ""referrer-policy"": ""strict-origin-when-cross-origin"", ""x-content-type-options"": ""nosniff"", ""x-xss-protection"": ""1; mode=block"", ""x-frame-options"": ""SAMEORIGIN"", ""x-ua-compatible"": ""IE=edge,chrome=1"", ""nel"": ""{\""report_to\"":\""NelOfficeHubUpload1\"",\""max_age\"":3600,\""failure_fraction\"":1.0,\""success_fraction\"":0.01}"", ""report-to"": ""{ \""group\"": \""csp-endpoint\"", \""max_age\"": 86400, \""endpoints\"": [{ \""url\"": \""https://csp.microsoft.com/report/Harmony-App-PROD\"" }]}"", ""content-security-policy"": ""default-src 'self';base-uri 'self';script-src 'nonce-RACPtGhRPbc6/7Tu8Q/mDg==' 'strict-dynamic' 'report-sample' https:;report-to csp-endpoint;upgrade-insecure-requests;style-src 'self' *.cdn.office.net *.microsoft.com res-dev.cdn.officeppe.net 'unsafe-inline' https://www.microsoft.com/;font-src 'self' data: *.cdn.office.net res-dev.cdn.officeppe.net data c.s-microsoft.com *.microsoft.com;connect-src 'self' https://browser.pipe.aria.microsoft.com https://browser.events.data.microsoft.com *.office.com *.cdn.office.net res-dev.cdn.officeppe.net https://consentreceiverfd-prod.azurefd.net data:;frame-src https://login.microsoftonline.com https://login.live.com mem.gfx.ms amcdn.msftauth.net amcdn.msauth.net;img-src * data: blob:;worker-src 'self' blob:;child-src 'self' blob:;report-uri https://csp.microsoft.com/report/Harmony-App-PROD;"", ""x-cache"": ""CONFIG_NOCACHE"", ""x-msedge-ref"": ""Ref A: 75428A41A54942689B8ED2ED5B3D5424 Ref B: AMS231032602011 Ref C: 2023-09-29T21:20:27Z"", ""date"": ""Fri, 29 Sep 2023 21:20:27 GMT""}"
2,"GET / HTTP/1.1
Host: www.office.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,428,HTTP/1.1,0.1490945816040039,0.11416149139404297,0.05684208869934082,200,OK,[''],20,20,10,"{""cache-control"": ""no-store,no-cache"", ""pragma"": ""no-cache"", ""transfer-encoding"": ""chunked"", ""content-type"": ""text/html; charset=utf-8"", ""content-encoding"": ""gzip"", ""vary"": ""Accept-Encoding"", ""set-cookie"": ""MUID=219CCAD7CDBB60CE10A9D94CCC6361CC; path=/; secure; expires=Wed, 23-Oct-2024 21:20:29 GMT; domain=office.com"", ""request-context"": ""appId="", ""strict-transport-security"": ""max-age=31536000; includeSubDomains"", ""referrer-policy"": ""strict-origin-when-cross-origin"", ""x-content-type-options"": ""nosniff"", ""x-xss-protection"": ""1; mode=block"", ""x-frame-options"": ""SAMEORIGIN"", ""x-ua-compatible"": ""IE=edge,chrome=1"", ""nel"": ""{\""report_to\"":\""NelOfficeHubUpload1\"",\""max_age\"":3600,\""failure_fraction\"":1.0,\""success_fraction\"":0.01}"", ""report-to"": ""{ \""group\"": \""csp-endpoint\"", \""max_age\"": 86400, \""endpoints\"": [{ \""url\"": \""https://csp.microsoft.com/report/Harmony-App-PROD\"" }]}"", ""content-security-policy"": ""default-src 'self';base-uri 'self';script-src 'nonce-/z9SaYEgRvpFV1eexYmA2A==' 'strict-dynamic' 'report-sample' https:;report-to csp-endpoint;upgrade-insecure-requests;style-src 'self' *.cdn.office.net *.microsoft.com res-dev.cdn.officeppe.net 'unsafe-inline' https://www.microsoft.com/;font-src 'self' data: *.cdn.office.net res-dev.cdn.officeppe.net data c.s-microsoft.com *.microsoft.com;connect-src 'self' https://browser.pipe.aria.microsoft.com https://browser.events.data.microsoft.com *.office.com *.cdn.office.net res-dev.cdn.officeppe.net https://consentreceiverfd-prod.azurefd.net data:;frame-src https://login.microsoftonline.com https://login.live.com mem.gfx.ms amcdn.msftauth.net amcdn.msauth.net;img-src * data: blob:;worker-src 'self' blob:;child-src 'self' blob:;report-uri https://csp.microsoft.com/report/Harmony-App-PROD;"", ""x-cache"": ""CONFIG_NOCACHE"", ""x-msedge-ref"": ""Ref A: 001DA96BBAF9474CA35530664894827D Ref B: AMS231032606031 Ref C: 2023-09-29T21:20:29Z"", ""date"": ""Fri, 29 Sep 2023 21:20:28 GMT""}"
3,"GET / HTTP/1.1
Host: www.office.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,428,HTTP/1.1,0.17587661743164062,0.11111569404602051,0.04562187194824219,200,OK,[''],20,20,10,"{""cache-control"": ""no-store,no-cache"", ""pragma"": ""no-cache"", ""transfer-encoding"": ""chunked"", ""content-type"": ""text/html; charset=utf-8"", ""content-encoding"": ""gzip"", ""vary"": ""Accept-Encoding"", ""set-cookie"": ""MUID=2E453609E9E4654F10EC2592E83C64ED; path=/; secure; expires=Wed, 23-Oct-2024 21:20:31 GMT; domain=office.com"", ""request-context"": ""appId="", ""strict-transport-security"": ""max-age=31536000; includeSubDomains"", ""referrer-policy"": ""strict-origin-when-cross-origin"", ""x-content-type-options"": ""nosniff"", ""x-xss-protection"": ""1; mode=block"", ""x-frame-options"": ""SAMEORIGIN"", ""x-ua-compatible"": ""IE=edge,chrome=1"", ""nel"": ""{\""report_to\"":\""NelOfficeHubUpload1\"",\""max_age\"":3600,\""failure_fraction\"":1.0,\""success_fraction\"":0.01}"", ""report-to"": ""{ \""group\"": \""csp-endpoint\"", \""max_age\"": 86400, \""endpoints\"": [{ \""url\"": \""https://csp.microsoft.com/report/Harmony-App-PROD\"" }]}"", ""content-security-policy"": ""default-src 'self';base-uri 'self';script-src 'nonce-Wf6onVGwFmKL4VF/8Ryung==' 'strict-dynamic' 'report-sample' https:;report-to csp-endpoint;upgrade-insecure-requests;style-src 'self' *.cdn.office.net *.microsoft.com res-dev.cdn.officeppe.net 'unsafe-inline' https://www.microsoft.com/;font-src 'self' data: *.cdn.office.net res-dev.cdn.officeppe.net data c.s-microsoft.com *.microsoft.com;connect-src 'self' https://browser.pipe.aria.microsoft.com https://browser.events.data.microsoft.com *.office.com *.cdn.office.net res-dev.cdn.officeppe.net https://consentreceiverfd-prod.azurefd.net data:;frame-src https://login.microsoftonline.com https://login.live.com mem.gfx.ms amcdn.msftauth.net amcdn.msauth.net;img-src * data: blob:;worker-src 'self' blob:;child-src 'self' blob:;report-uri https://csp.microsoft.com/report/Harmony-App-PROD;"", ""x-cache"": ""CONFIG_NOCACHE"", ""x-msedge-ref"": ""Ref A: F084CDCFC8A4412582CA1B60C3CCEF43 Ref B: AMS231032605025 Ref C: 2023-09-29T21:20:31Z"", ""date"": ""Fri, 29 Sep 2023 21:20:30 GMT""}"
4,"GET / HTTP/1.1
Host: www.office.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,428,HTTP/1.1,0.23569941520690918,0.12758898735046387,0.04304695129394531,200,OK,[''],20,20,10,"{""cache-control"": ""no-store,no-cache"", ""pragma"": ""no-cache"", ""transfer-encoding"": ""chunked"", ""content-type"": ""text/html; charset=utf-8"", ""content-encoding"": ""gzip"", ""vary"": ""Accept-Encoding"", ""set-cookie"": ""MUID=0F9BE15DF354606409D8F2C6F28C61A0; path=/; secure; expires=Wed, 23-Oct-2024 21:20:33 GMT; domain=office.com"", ""request-context"": ""appId="", ""strict-transport-security"": ""max-age=31536000; includeSubDomains"", ""referrer-policy"": ""strict-origin-when-cross-origin"", ""x-content-type-options"": ""nosniff"", ""x-xss-protection"": ""1; mode=block"", ""x-frame-options"": ""SAMEORIGIN"", ""x-ua-compatible"": ""IE=edge,chrome=1"", ""nel"": ""{\""report_to\"":\""NelOfficeHubUpload1\"",\""max_age\"":3600,\""failure_fraction\"":1.0,\""success_fraction\"":0.01}"", ""report-to"": ""{ \""group\"": \""csp-endpoint\"", \""max_age\"": 86400, \""endpoints\"": [{ \""url\"": \""https://csp.microsoft.com/report/Harmony-App-PROD\"" }]}"", ""content-security-policy"": ""default-src 'self';base-uri 'self';script-src 'nonce-1GnCkWkxBV3J+gAK1PKHZw==' 'strict-dynamic' 'report-sample' https:;report-to csp-endpoint;upgrade-insecure-requests;style-src 'self' *.cdn.office.net *.microsoft.com res-dev.cdn.officeppe.net 'unsafe-inline' https://www.microsoft.com/;font-src 'self' data: *.cdn.office.net res-dev.cdn.officeppe.net data c.s-microsoft.com *.microsoft.com;connect-src 'self' https://browser.pipe.aria.microsoft.com https://browser.events.data.microsoft.com *.office.com *.cdn.office.net res-dev.cdn.officeppe.net https://consentreceiverfd-prod.azurefd.net data:;frame-src https://login.microsoftonline.com https://login.live.com mem.gfx.ms amcdn.msftauth.net amcdn.msauth.net;img-src * data: blob:;worker-src 'self' blob:;child-src 'self' blob:;report-uri https://csp.microsoft.com/report/Harmony-App-PROD;"", ""x-cache"": ""CONFIG_NOCACHE"", ""x-msedge-ref"": ""Ref A: DEB38ADD9F124E5589CB93D08DA4DD17 Ref B: AMS231032606029 Ref C: 2023-09-29T21:20:33Z"", ""date"": ""Fri, 29 Sep 2023 21:20:32 GMT""}"
5,"GET / HTTP/1.1
Host: www.office.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,428,HTTP/1.1,0.1892070770263672,0.11686277389526367,0.03584933280944824,200,OK,[''],20,20,10,"{""cache-control"": ""no-store,no-cache"", ""pragma"": ""no-cache"", ""transfer-encoding"": ""chunked"", ""content-type"": ""text/html; charset=utf-8"", ""content-encoding"": ""gzip"", ""vary"": ""Accept-Encoding"", ""set-cookie"": ""MUID=1B2A5E00E108605820424D9BE083617A; path=/; secure; expires=Wed, 23-Oct-2024 21:20:35 GMT; domain=office.com"", ""request-context"": ""appId="", ""strict-transport-security"": ""max-age=31536000; includeSubDomains"", ""referrer-policy"": ""strict-origin-when-cross-origin"", ""x-content-type-options"": ""nosniff"", ""x-xss-protection"": ""1; mode=block"", ""x-frame-options"": ""SAMEORIGIN"", ""x-ua-compatible"": ""IE=edge,chrome=1"", ""nel"": ""{\""report_to\"":\""NelOfficeHubUpload1\"",\""max_age\"":3600,\""failure_fraction\"":1.0,\""success_fraction\"":0.01}"", ""report-to"": ""{ \""group\"": \""csp-endpoint\"", \""max_age\"": 86400, \""endpoints\"": [{ \""url\"": \""https://csp.microsoft.com/report/Harmony-App-PROD\"" }]}"", ""content-security-policy"": ""default-src 'self';base-uri 'self';script-src 'nonce-jDwuoA49z6jiFYKUdzQcxg==' 'strict-dynamic' 'report-sample' https:;report-to csp-endpoint;upgrade-insecure-requests;style-src 'self' *.cdn.office.net *.microsoft.com res-dev.cdn.officeppe.net 'unsafe-inline' https://www.microsoft.com/;font-src 'self' data: *.cdn.office.net res-dev.cdn.officeppe.net data c.s-microsoft.com *.microsoft.com;connect-src 'self' https://browser.pipe.aria.microsoft.com https://browser.events.data.microsoft.com *.office.com *.cdn.office.net res-dev.cdn.officeppe.net https://consentreceiverfd-prod.azurefd.net data:;frame-src https://login.microsoftonline.com https://login.live.com mem.gfx.ms amcdn.msftauth.net amcdn.msauth.net;img-src * data: blob:;worker-src 'self' blob:;child-src 'self' blob:;report-uri https://csp.microsoft.com/report/Harmony-App-PROD;"", ""x-cache"": ""CONFIG_NOCACHE"", ""x-msedge-ref"": ""Ref A: D775051141A14608A04D2F374908125D Ref B: AMS231032603029 Ref C: 2023-09-29T21:20:35Z"", ""date"": ""Fri, 29 Sep 2023 21:20:35 GMT""}"
6,"GET / HTTP/1.1
Host: www.office.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,428,HTTP/1.1,0.1778583526611328,0.1562027931213379,0.04750347137451172,200,OK,[''],20,20,10,"{""cache-control"": ""no-store,no-cache"", ""pragma"": ""no-cache"", ""transfer-encoding"": ""chunked"", ""content-type"": ""text/html; charset=utf-8"", ""content-encoding"": ""gzip"", ""vary"": ""Accept-Encoding"", ""set-cookie"": ""MUID=1F583F7746E0623515852CEC476B6339; path=/; secure; expires=Wed, 23-Oct-2024 21:20:38 GMT; domain=office.com"", ""request-context"": ""appId="", ""strict-transport-security"": ""max-age=31536000; includeSubDomains"", ""referrer-policy"": ""strict-origin-when-cross-origin"", ""x-content-type-options"": ""nosniff"", ""x-xss-protection"": ""1; mode=block"", ""x-frame-options"": ""SAMEORIGIN"", ""x-ua-compatible"": ""IE=edge,chrome=1"", ""nel"": ""{\""report_to\"":\""NelOfficeHubUpload1\"",\""max_age\"":3600,\""failure_fraction\"":1.0,\""success_fraction\"":0.01}"", ""report-to"": ""{ \""group\"": \""csp-endpoint\"", \""max_age\"": 86400, \""endpoints\"": [{ \""url\"": \""https://csp.microsoft.com/report/Harmony-App-PROD\"" }]}"", ""content-security-policy"": ""default-src 'self';base-uri 'self';script-src 'nonce-3qme/WvoJIFrGz8zvevkJQ==' 'strict-dynamic' 'report-sample' https:;report-to csp-endpoint;upgrade-insecure-requests;style-src 'self' *.cdn.office.net *.microsoft.com res-dev.cdn.officeppe.net 'unsafe-inline' https://www.microsoft.com/;font-src 'self' data: *.cdn.office.net res-dev.cdn.officeppe.net data c.s-microsoft.com *.microsoft.com;connect-src 'self' https://browser.pipe.aria.microsoft.com https://browser.events.data.microsoft.com *.office.com *.cdn.office.net res-dev.cdn.officeppe.net https://consentreceiverfd-prod.azurefd.net data:;frame-src https://login.microsoftonline.com https://login.live.com mem.gfx.ms amcdn.msftauth.net amcdn.msauth.net;img-src * data: blob:;worker-src 'self' blob:;child-src 'self' blob:;report-uri https://csp.microsoft.com/report/Harmony-App-PROD;"", ""x-cache"": ""CONFIG_NOCACHE"", ""x-msedge-ref"": ""Ref A: 07C4D4C424EC4AF986436176CCB8F02E Ref B: AMS231032601033 Ref C: 2023-09-29T21:20:38Z"", ""date"": ""Fri, 29 Sep 2023 21:20:37 GMT""}"
7,"GET / HTTP/1.1
Host: www.office.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,428,HTTP/1.1,0.1903548240661621,0.1167137622833252,0.04307866096496582,200,OK,[''],20,20,10,"{""cache-control"": ""no-store,no-cache"", ""pragma"": ""no-cache"", ""transfer-encoding"": ""chunked"", ""content-type"": ""text/html; charset=utf-8"", ""content-encoding"": ""gzip"", ""vary"": ""Accept-Encoding"", ""set-cookie"": ""MUID=2808DCF5563B6C5B13ACCF6E57E36D9B; path=/; secure; expires=Wed, 23-Oct-2024 21:20:40 GMT; domain=office.com"", ""request-context"": ""appId="", ""strict-transport-security"": ""max-age=31536000; includeSubDomains"", ""referrer-policy"": ""strict-origin-when-cross-origin"", ""x-content-type-options"": ""nosniff"", ""x-xss-protection"": ""1; mode=block"", ""x-frame-options"": ""SAMEORIGIN"", ""x-ua-compatible"": ""IE=edge,chrome=1"", ""nel"": ""{\""report_to\"":\""NelOfficeHubUpload1\"",\""max_age\"":3600,\""failure_fraction\"":1.0,\""success_fraction\"":0.01}"", ""report-to"": ""{ \""group\"": \""csp-endpoint\"", \""max_age\"": 86400, \""endpoints\"": [{ \""url\"": \""https://csp.microsoft.com/report/Harmony-App-PROD\"" }]}"", ""content-security-policy"": ""default-src 'self';base-uri 'self';script-src 'nonce-1zCgLiGBNy1zd9C/KDUkOg==' 'strict-dynamic' 'report-sample' https:;report-to csp-endpoint;upgrade-insecure-requests;style-src 'self' *.cdn.office.net *.microsoft.com res-dev.cdn.officeppe.net 'unsafe-inline' https://www.microsoft.com/;font-src 'self' data: *.cdn.office.net res-dev.cdn.officeppe.net data c.s-microsoft.com *.microsoft.com;connect-src 'self' https://browser.pipe.aria.microsoft.com https://browser.events.data.microsoft.com *.office.com *.cdn.office.net res-dev.cdn.officeppe.net https://consentreceiverfd-prod.azurefd.net data:;frame-src https://login.microsoftonline.com https://login.live.com mem.gfx.ms amcdn.msftauth.net amcdn.msauth.net;img-src * data: blob:;worker-src 'self' blob:;child-src 'self' blob:;report-uri https://csp.microsoft.com/report/Harmony-App-PROD;"", ""x-cache"": ""CONFIG_NOCACHE"", ""x-msedge-ref"": ""Ref A: 2547F14585BE4FB7956CB08518BD8B40 Ref B: AMS231032606045 Ref C: 2023-09-29T21:20:40Z"", ""date"": ""Fri, 29 Sep 2023 21:20:40 GMT""}"
8,"GET / HTTP/1.1
Host: www.office.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,428,HTTP/1.1,0.18161988258361816,0.1147918701171875,0.04829812049865723,200,OK,[''],20,20,10,"{""cache-control"": ""no-store,no-cache"", ""pragma"": ""no-cache"", ""transfer-encoding"": ""chunked"", ""content-type"": ""text/html; charset=utf-8"", ""content-encoding"": ""gzip"", ""vary"": ""Accept-Encoding"", ""set-cookie"": ""MUID=10FB520A8FCE616C2E1941918E456080; path=/; secure; expires=Wed, 23-Oct-2024 21:20:42 GMT; domain=office.com"", ""request-context"": ""appId="", ""strict-transport-security"": ""max-age=31536000; includeSubDomains"", ""referrer-policy"": ""strict-origin-when-cross-origin"", ""x-content-type-options"": ""nosniff"", ""x-xss-protection"": ""1; mode=block"", ""x-frame-options"": ""SAMEORIGIN"", ""x-ua-compatible"": ""IE=edge,chrome=1"", ""nel"": ""{\""report_to\"":\""NelOfficeHubUpload1\"",\""max_age\"":3600,\""failure_fraction\"":1.0,\""success_fraction\"":0.01}"", ""report-to"": ""{ \""group\"": \""csp-endpoint\"", \""max_age\"": 86400, \""endpoints\"": [{ \""url\"": \""https://csp.microsoft.com/report/Harmony-App-PROD\"" }]}"", ""content-security-policy"": ""default-src 'self';base-uri 'self';script-src 'nonce-bR+eMKmUNzyYcBy8VjoiOg==' 'strict-dynamic' 'report-sample' https:;report-to csp-endpoint;upgrade-insecure-requests;style-src 'self' *.cdn.office.net *.microsoft.com res-dev.cdn.officeppe.net 'unsafe-inline' https://www.microsoft.com/;font-src 'self' data: *.cdn.office.net res-dev.cdn.officeppe.net data c.s-microsoft.com *.microsoft.com;connect-src 'self' https://browser.pipe.aria.microsoft.com https://browser.events.data.microsoft.com *.office.com *.cdn.office.net res-dev.cdn.officeppe.net https://consentreceiverfd-prod.azurefd.net data:;frame-src https://login.microsoftonline.com https://login.live.com mem.gfx.ms amcdn.msftauth.net amcdn.msauth.net;img-src * data: blob:;worker-src 'self' blob:;child-src 'self' blob:;report-uri https://csp.microsoft.com/report/Harmony-App-PROD;"", ""x-cache"": ""CONFIG_NOCACHE"", ""x-msedge-ref"": ""Ref A: 3DD86F303F2F4DCF9B237E225E6CA4B4 Ref B: AMS231032602009 Ref C: 2023-09-29T21:20:42Z"", ""date"": ""Fri, 29 Sep 2023 21:20:42 GMT""}"
9,"GET / HTTP/1.1
Host: www.office.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,428,HTTP/1.1,0.14609742164611816,0.12698960304260254,0.039101600646972656,200,OK,[''],20,20,10,"{""cache-control"": ""no-store,no-cache"", ""pragma"": ""no-cache"", ""transfer-encoding"": ""chunked"", ""content-type"": ""text/html; charset=utf-8"", ""content-encoding"": ""gzip"", ""vary"": ""Accept-Encoding"", ""set-cookie"": ""MUID=20D15563D2FE67F2082246F8D3266687; path=/; secure; expires=Wed, 23-Oct-2024 21:20:45 GMT; domain=office.com"", ""request-context"": ""appId="", ""strict-transport-security"": ""max-age=31536000; includeSubDomains"", ""referrer-policy"": ""strict-origin-when-cross-origin"", ""x-content-type-options"": ""nosniff"", ""x-xss-protection"": ""1; mode=block"", ""x-frame-options"": ""SAMEORIGIN"", ""x-ua-compatible"": ""IE=edge,chrome=1"", ""nel"": ""{\""report_to\"":\""NelOfficeHubUpload1\"",\""max_age\"":3600,\""failure_fraction\"":1.0,\""success_fraction\"":0.01}"", ""report-to"": ""{ \""group\"": \""csp-endpoint\"", \""max_age\"": 86400, \""endpoints\"": [{ \""url\"": \""https://csp.microsoft.com/report/Harmony-App-PROD\"" }]}"", ""content-security-policy"": ""default-src 'self';base-uri 'self';script-src 'nonce-Z27gM8VUMg6eFCAjppNASg==' 'strict-dynamic' 'report-sample' https:;report-to csp-endpoint;upgrade-insecure-requests;style-src 'self' *.cdn.office.net *.microsoft.com res-dev.cdn.officeppe.net 'unsafe-inline' https://www.microsoft.com/;font-src 'self' data: *.cdn.office.net res-dev.cdn.officeppe.net data c.s-microsoft.com *.microsoft.com;connect-src 'self' https://browser.pipe.aria.microsoft.com https://browser.events.data.microsoft.com *.office.com *.cdn.office.net res-dev.cdn.officeppe.net https://consentreceiverfd-prod.azurefd.net data:;frame-src https://login.microsoftonline.com https://login.live.com mem.gfx.ms amcdn.msftauth.net amcdn.msauth.net;img-src * data: blob:;worker-src 'self' blob:;child-src 'self' blob:;report-uri https://csp.microsoft.com/report/Harmony-App-PROD;"", ""x-cache"": ""CONFIG_NOCACHE"", ""x-msedge-ref"": ""Ref A: 2721ED2F77264EF9BDC0072A5F9BDEFB Ref B: AMS231032606033 Ref C: 2023-09-29T21:20:45Z"", ""date"": ""Fri, 29 Sep 2023 21:20:44 GMT""}"
