number,request,deviation_count,uri,request_length,http_version,Socket_Connect_Time,Socket_Close_Time,Response_Time,status_code,reason_phrase,error_message,response_header_count,response_header_length,response_body_length,response_header_fields
0,"GET / HTTP/1.1
Host: www.qq.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,424,HTTP/1.1,0.11176848411560059,0.12931394577026367,0.1290736198425293,200,OK,[''],13,13,15072,"{""content-type"": ""text/html; charset=GB2312"", ""server"": ""squid/3.5.24"", ""content-encoding"": ""gzip"", ""x-frame-options"": ""SAMEORIGIN"", ""content-security-policy"": ""frame-ancestors https://*.qq.com"", ""x-content-type-options"": ""nosniff"", ""content-length"": ""19600"", ""cache-control"": ""max-age=60"", ""expires"": ""Fri, 29 Sep 2023 21:21:23 GMT"", ""date"": ""Fri, 29 Sep 2023 21:20:23 GMT"", ""connection"": ""keep-alive"", ""vary"": ""Accept-Encoding"", ""strict-transport-security"": ""max-age=2628000 ; preload""}"
1,"GET / HTTP/1.1
Host: www.qq.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,424,HTTP/1.1,0.11084818840026855,0.13518834114074707,0.051174163818359375,200,OK,[''],13,13,15072,"{""content-type"": ""text/html; charset=GB2312"", ""server"": ""squid/3.5.24"", ""content-encoding"": ""gzip"", ""x-frame-options"": ""SAMEORIGIN"", ""content-security-policy"": ""frame-ancestors https://*.qq.com"", ""x-content-type-options"": ""nosniff"", ""content-length"": ""19600"", ""cache-control"": ""max-age=60"", ""expires"": ""Fri, 29 Sep 2023 21:21:25 GMT"", ""date"": ""Fri, 29 Sep 2023 21:20:25 GMT"", ""connection"": ""keep-alive"", ""vary"": ""Accept-Encoding"", ""strict-transport-security"": ""max-age=2628000 ; preload""}"
2,"GET / HTTP/1.1
Host: www.qq.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,424,HTTP/1.1,0.21895051002502441,0.11020255088806152,0.13755249977111816,200,OK,[''],13,13,15072,"{""content-type"": ""text/html; charset=GB2312"", ""server"": ""squid/3.5.24"", ""content-encoding"": ""gzip"", ""x-frame-options"": ""SAMEORIGIN"", ""content-security-policy"": ""frame-ancestors https://*.qq.com"", ""x-content-type-options"": ""nosniff"", ""content-length"": ""19600"", ""cache-control"": ""max-age=60"", ""expires"": ""Fri, 29 Sep 2023 21:21:27 GMT"", ""date"": ""Fri, 29 Sep 2023 21:20:27 GMT"", ""connection"": ""keep-alive"", ""vary"": ""Accept-Encoding"", ""strict-transport-security"": ""max-age=2628000 ; preload""}"
3,"GET / HTTP/1.1
Host: www.qq.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,424,HTTP/1.1,0.12265658378601074,0.11182856559753418,0.019658803939819336,200,OK,[''],13,13,15072,"{""content-type"": ""text/html; charset=GB2312"", ""server"": ""squid/3.5.24"", ""content-encoding"": ""gzip"", ""x-frame-options"": ""SAMEORIGIN"", ""content-security-policy"": ""frame-ancestors https://*.qq.com"", ""x-content-type-options"": ""nosniff"", ""content-length"": ""19600"", ""cache-control"": ""max-age=60"", ""expires"": ""Fri, 29 Sep 2023 21:21:30 GMT"", ""date"": ""Fri, 29 Sep 2023 21:20:30 GMT"", ""connection"": ""keep-alive"", ""vary"": ""Accept-Encoding"", ""strict-transport-security"": ""max-age=2628000 ; preload""}"
4,"GET / HTTP/1.1
Host: www.qq.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,424,HTTP/1.1,0.08911943435668945,0.11961174011230469,0.0971994400024414,200,OK,[''],13,13,15072,"{""content-type"": ""text/html; charset=GB2312"", ""server"": ""squid/3.5.24"", ""content-encoding"": ""gzip"", ""x-frame-options"": ""SAMEORIGIN"", ""content-security-policy"": ""frame-ancestors https://*.qq.com"", ""x-content-type-options"": ""nosniff"", ""content-length"": ""19600"", ""cache-control"": ""max-age=60"", ""expires"": ""Fri, 29 Sep 2023 21:21:31 GMT"", ""date"": ""Fri, 29 Sep 2023 21:20:31 GMT"", ""connection"": ""keep-alive"", ""vary"": ""Accept-Encoding"", ""strict-transport-security"": ""max-age=2628000 ; preload""}"
5,"GET / HTTP/1.1
Host: www.qq.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,424,HTTP/1.1,0.15294957160949707,0.10045385360717773,0.025326967239379883,200,OK,[''],13,13,15072,"{""content-type"": ""text/html; charset=GB2312"", ""server"": ""squid/3.5.24"", ""content-encoding"": ""gzip"", ""x-frame-options"": ""SAMEORIGIN"", ""content-security-policy"": ""frame-ancestors https://*.qq.com"", ""x-content-type-options"": ""nosniff"", ""content-length"": ""19600"", ""cache-control"": ""max-age=60"", ""expires"": ""Fri, 29 Sep 2023 21:21:34 GMT"", ""date"": ""Fri, 29 Sep 2023 21:20:34 GMT"", ""connection"": ""keep-alive"", ""vary"": ""Accept-Encoding"", ""strict-transport-security"": ""max-age=2628000 ; preload""}"
6,"GET / HTTP/1.1
Host: www.qq.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,424,HTTP/1.1,0.18164849281311035,0.1226797103881836,0.09733343124389648,200,OK,[''],13,13,15072,"{""content-type"": ""text/html; charset=GB2312"", ""server"": ""squid/3.5.24"", ""content-encoding"": ""gzip"", ""x-frame-options"": ""SAMEORIGIN"", ""content-security-policy"": ""frame-ancestors https://*.qq.com"", ""x-content-type-options"": ""nosniff"", ""content-length"": ""19600"", ""cache-control"": ""max-age=60"", ""expires"": ""Fri, 29 Sep 2023 21:21:36 GMT"", ""date"": ""Fri, 29 Sep 2023 21:20:36 GMT"", ""connection"": ""keep-alive"", ""vary"": ""Accept-Encoding"", ""strict-transport-security"": ""max-age=2628000 ; preload""}"
7,"GET / HTTP/1.1
Host: www.qq.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,424,HTTP/1.1,0.14342331886291504,0.10996317863464355,0.21933221817016602,200,OK,[''],13,13,15072,"{""content-type"": ""text/html; charset=GB2312"", ""server"": ""squid/3.5.24"", ""content-encoding"": ""gzip"", ""x-frame-options"": ""SAMEORIGIN"", ""content-security-policy"": ""frame-ancestors https://*.qq.com"", ""x-content-type-options"": ""nosniff"", ""content-length"": ""19600"", ""cache-control"": ""max-age=60"", ""expires"": ""Fri, 29 Sep 2023 21:21:38 GMT"", ""date"": ""Fri, 29 Sep 2023 21:20:38 GMT"", ""connection"": ""keep-alive"", ""vary"": ""Accept-Encoding"", ""strict-transport-security"": ""max-age=2628000 ; preload""}"
8,"GET / HTTP/1.1
Host: www.qq.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,424,HTTP/1.1,0.1615738868713379,0.11551761627197266,0.27129435539245605,200,OK,[''],13,13,15072,"{""content-type"": ""text/html; charset=GB2312"", ""server"": ""squid/3.5.24"", ""content-encoding"": ""gzip"", ""x-frame-options"": ""SAMEORIGIN"", ""content-security-policy"": ""frame-ancestors https://*.qq.com"", ""x-content-type-options"": ""nosniff"", ""content-length"": ""19600"", ""cache-control"": ""max-age=60"", ""expires"": ""Fri, 29 Sep 2023 21:21:40 GMT"", ""date"": ""Fri, 29 Sep 2023 21:20:40 GMT"", ""connection"": ""keep-alive"", ""vary"": ""Accept-Encoding"", ""strict-transport-security"": ""max-age=2628000 ; preload""}"
9,"GET / HTTP/1.1
Host: www.qq.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,424,HTTP/1.1,0.20869898796081543,0.11143350601196289,0.1457386016845703,200,OK,[''],13,13,15072,"{""content-type"": ""text/html; charset=GB2312"", ""server"": ""squid/3.5.24"", ""content-encoding"": ""gzip"", ""x-frame-options"": ""SAMEORIGIN"", ""content-security-policy"": ""frame-ancestors https://*.qq.com"", ""x-content-type-options"": ""nosniff"", ""content-length"": ""19600"", ""cache-control"": ""max-age=60"", ""expires"": ""Fri, 29 Sep 2023 21:21:43 GMT"", ""date"": ""Fri, 29 Sep 2023 21:20:43 GMT"", ""connection"": ""keep-alive"", ""vary"": ""Accept-Encoding"", ""strict-transport-security"": ""max-age=2628000 ; preload""}"
