number,request,deviation_count,uri,request_length,http_version,Socket_Connect_Time,Socket_Close_Time,Response_Time,status_code,reason_phrase,error_message,response_header_count,response_header_length,response_body_length,response_header_fields
0,"GET / HTTP/1.1
Host: www.nytimes.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,429,HTTP/1.1,0.20439386367797852,0.11422204971313477,0.023626327514648438,200,OK,[''],29,29,0,"{""connection"": ""close"", ""content-length"": ""226665"", ""server"": ""nginx"", ""content-type"": ""text/html; charset=utf-8"", ""x-b3-traceid"": ""255626fdf407466592b005bae49e9feb"", ""x-nyt-data-last-modified"": ""Fri, 29 Sep 2023 21:20:06 GMT"", ""last-modified"": ""Fri, 29 Sep 2023 21:20:06 GMT"", ""x-pagetype"": ""vi-homepage"", ""x-xss-protection"": ""1; mode=block"", ""x-content-type-options"": ""nosniff"", ""content-encoding"": ""gzip"", ""cache-control"": ""s-maxage=30,no-cache"", ""x-nyt-route"": ""homepage"", ""x-origin-time"": ""2023-09-29 21:20:12 UTC"", ""accept-ranges"": ""bytes"", ""date"": ""Fri, 29 Sep 2023 21:20:47 GMT"", ""age"": ""35"", ""x-served-by"": ""cache-lga21980-LGA, cache-ams21068-AMS"", ""x-cache"": ""HIT, HIT"", ""x-cache-hits"": ""2, 1"", ""x-timer"": ""S1696022448.533089,VS0,VE3"", ""vary"": ""Accept-Encoding, Fastly-SSL"", ""set-cookie"": ""nyt-geo=DE; Expires=Sat, 30 Sep 2023 03:20:47 GMT; Path=/; Domain=.nytimes.com"", ""x-nyt-app-webview"": ""0"", ""x-gdpr"": ""1"", ""x-frame-options"": ""DENY"", ""onion-location"": ""https://www.nytimesn7cgmftshazwhfgzm37qxb44r64ytbb2dj3x62d2lljsciiyd.onion/"", ""x-api-version"": ""F-F-VI"", ""content-security-policy"": ""upgrade-insecure-reques""}"
1,"GET / HTTP/1.1
Host: www.nytimes.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,429,HTTP/1.1,0.1672348976135254,0.1337602138519287,0.025043249130249023,200,OK,[''],29,29,0,"{""connection"": ""close"", ""content-length"": ""226705"", ""server"": ""nginx"", ""content-type"": ""text/html; charset=utf-8"", ""x-b3-traceid"": ""0e886c1db2804c3eb6276fe6f45999a9"", ""x-nyt-data-last-modified"": ""Fri, 29 Sep 2023 21:20:42 GMT"", ""last-modified"": ""Fri, 29 Sep 2023 21:20:42 GMT"", ""x-pagetype"": ""vi-homepage"", ""x-xss-protection"": ""1; mode=block"", ""x-content-type-options"": ""nosniff"", ""content-encoding"": ""gzip"", ""cache-control"": ""s-maxage=30,no-cache"", ""x-nyt-route"": ""homepage"", ""x-origin-time"": ""2023-09-29 21:20:47 UTC"", ""accept-ranges"": ""bytes"", ""date"": ""Fri, 29 Sep 2023 21:20:50 GMT"", ""age"": ""7"", ""x-served-by"": ""cache-lga21980-LGA, cache-ams21038-AMS"", ""x-cache"": ""HIT, HIT"", ""x-cache-hits"": ""8, 1"", ""x-timer"": ""S1696022450.021041,VS0,VE3"", ""vary"": ""Accept-Encoding, Fastly-SSL"", ""set-cookie"": ""nyt-geo=DE; Expires=Sat, 30 Sep 2023 03:20:50 GMT; Path=/; Domain=.nytimes.com"", ""x-nyt-app-webview"": ""0"", ""x-gdpr"": ""1"", ""x-frame-options"": ""DENY"", ""onion-location"": ""https://www.nytimesn7cgmftshazwhfgzm37qxb44r64ytbb2dj3x62d2lljsciiyd.onion/"", ""x-api-version"": ""F-F-VI"", ""content-security-policy"": ""upgrade-insecure""}"
2,"GET / HTTP/1.1
Host: www.nytimes.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,429,HTTP/1.1,0.15919208526611328,0.1015329360961914,0.03508138656616211,200,OK,[''],29,29,0,"{""connection"": ""close"", ""content-length"": ""226705"", ""server"": ""nginx"", ""content-type"": ""text/html; charset=utf-8"", ""x-b3-traceid"": ""0e886c1db2804c3eb6276fe6f45999a9"", ""x-nyt-data-last-modified"": ""Fri, 29 Sep 2023 21:20:42 GMT"", ""last-modified"": ""Fri, 29 Sep 2023 21:20:42 GMT"", ""x-pagetype"": ""vi-homepage"", ""x-xss-protection"": ""1; mode=block"", ""x-content-type-options"": ""nosniff"", ""content-encoding"": ""gzip"", ""cache-control"": ""s-maxage=30,no-cache"", ""x-nyt-route"": ""homepage"", ""x-origin-time"": ""2023-09-29 21:20:47 UTC"", ""accept-ranges"": ""bytes"", ""date"": ""Fri, 29 Sep 2023 21:20:52 GMT"", ""age"": ""10"", ""x-served-by"": ""cache-lga21980-LGA, cache-ams21049-AMS"", ""x-cache"": ""HIT, HIT"", ""x-cache-hits"": ""8, 1"", ""x-timer"": ""S1696022453.826330,VS0,VE3"", ""vary"": ""Accept-Encoding, Fastly-SSL"", ""set-cookie"": ""nyt-geo=DE; Expires=Sat, 30 Sep 2023 03:20:52 GMT; Path=/; Domain=.nytimes.com"", ""x-nyt-app-webview"": ""0"", ""x-gdpr"": ""1"", ""x-frame-options"": ""DENY"", ""onion-location"": ""https://www.nytimesn7cgmftshazwhfgzm37qxb44r64ytbb2dj3x62d2lljsciiyd.onion/"", ""x-api-version"": ""F-F-VI"", ""content-security-policy"": ""upgrade-insecur""}"
3,"GET / HTTP/1.1
Host: www.nytimes.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,429,HTTP/1.1,0.17423295974731445,0.1151740550994873,0.030458688735961914,200,OK,[''],29,29,0,"{""connection"": ""close"", ""content-length"": ""226705"", ""server"": ""nginx"", ""content-type"": ""text/html; charset=utf-8"", ""x-b3-traceid"": ""0e886c1db2804c3eb6276fe6f45999a9"", ""x-nyt-data-last-modified"": ""Fri, 29 Sep 2023 21:20:42 GMT"", ""last-modified"": ""Fri, 29 Sep 2023 21:20:42 GMT"", ""x-pagetype"": ""vi-homepage"", ""x-xss-protection"": ""1; mode=block"", ""x-content-type-options"": ""nosniff"", ""content-encoding"": ""gzip"", ""cache-control"": ""s-maxage=30,no-cache"", ""x-nyt-route"": ""homepage"", ""x-origin-time"": ""2023-09-29 21:20:47 UTC"", ""accept-ranges"": ""bytes"", ""date"": ""Fri, 29 Sep 2023 21:20:55 GMT"", ""age"": ""13"", ""x-served-by"": ""cache-lga21980-LGA, cache-ams21026-AMS"", ""x-cache"": ""HIT, HIT"", ""x-cache-hits"": ""8, 1"", ""x-timer"": ""S1696022455.382947,VS0,VE3"", ""vary"": ""Accept-Encoding, Fastly-SSL"", ""set-cookie"": ""nyt-geo=DE; Expires=Sat, 30 Sep 2023 03:20:55 GMT; Path=/; Domain=.nytimes.com"", ""x-nyt-app-webview"": ""0"", ""x-gdpr"": ""1"", ""x-frame-options"": ""DENY"", ""onion-location"": ""https://www.nytimesn7cgmftshazwhfgzm37qxb44r64ytbb2dj3x62d2lljsciiyd.onion/"", ""x-api-version"": ""F-F-VI"", ""content-security-policy"": ""upgrade-insecur""}"
4,"GET / HTTP/1.1
Host: www.nytimes.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,429,HTTP/1.1,0.2145376205444336,0.11221504211425781,0.03252077102661133,200,OK,[''],29,29,0,"{""connection"": ""close"", ""content-length"": ""226705"", ""server"": ""nginx"", ""content-type"": ""text/html; charset=utf-8"", ""x-b3-traceid"": ""0e886c1db2804c3eb6276fe6f45999a9"", ""x-nyt-data-last-modified"": ""Fri, 29 Sep 2023 21:20:42 GMT"", ""last-modified"": ""Fri, 29 Sep 2023 21:20:42 GMT"", ""x-pagetype"": ""vi-homepage"", ""x-xss-protection"": ""1; mode=block"", ""x-content-type-options"": ""nosniff"", ""content-encoding"": ""gzip"", ""cache-control"": ""s-maxage=30,no-cache"", ""x-nyt-route"": ""homepage"", ""x-origin-time"": ""2023-09-29 21:20:47 UTC"", ""accept-ranges"": ""bytes"", ""date"": ""Fri, 29 Sep 2023 21:20:57 GMT"", ""age"": ""15"", ""x-served-by"": ""cache-lga21980-LGA, cache-ams21026-AMS"", ""x-cache"": ""HIT, HIT"", ""x-cache-hits"": ""8, 2"", ""x-timer"": ""S1696022458.774551,VS0,VE1"", ""vary"": ""Accept-Encoding, Fastly-SSL"", ""set-cookie"": ""nyt-geo=DE; Expires=Sat, 30 Sep 2023 03:20:57 GMT; Path=/; Domain=.nytimes.com"", ""x-nyt-app-webview"": ""0"", ""x-gdpr"": ""1"", ""x-frame-options"": ""DENY"", ""onion-location"": ""https://www.nytimesn7cgmftshazwhfgzm37qxb44r64ytbb2dj3x62d2lljsciiyd.onion/"", ""x-api-version"": ""F-F-VI"", ""content-security-policy"": ""upgrade-insecur""}"
5,"GET / HTTP/1.1
Host: www.nytimes.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,429,HTTP/1.1,0.23673391342163086,0.1213843822479248,0.08006501197814941,200,OK,[''],29,29,0,"{""connection"": ""close"", ""content-length"": ""226705"", ""server"": ""nginx"", ""content-type"": ""text/html; charset=utf-8"", ""x-b3-traceid"": ""0e886c1db2804c3eb6276fe6f45999a9"", ""x-nyt-data-last-modified"": ""Fri, 29 Sep 2023 21:20:42 GMT"", ""last-modified"": ""Fri, 29 Sep 2023 21:20:42 GMT"", ""x-pagetype"": ""vi-homepage"", ""x-xss-protection"": ""1; mode=block"", ""x-content-type-options"": ""nosniff"", ""content-encoding"": ""gzip"", ""cache-control"": ""s-maxage=30,no-cache"", ""x-nyt-route"": ""homepage"", ""x-origin-time"": ""2023-09-29 21:20:47 UTC"", ""accept-ranges"": ""bytes"", ""date"": ""Fri, 29 Sep 2023 21:21:00 GMT"", ""age"": ""18"", ""x-served-by"": ""cache-lga21980-LGA, cache-ams21076-AMS"", ""x-cache"": ""HIT, HIT"", ""x-cache-hits"": ""8, 1"", ""x-timer"": ""S1696022460.411558,VS0,VE7"", ""vary"": ""Accept-Encoding, Fastly-SSL"", ""set-cookie"": ""nyt-geo=DE; Expires=Sat, 30 Sep 2023 03:21:00 GMT; Path=/; Domain=.nytimes.com"", ""x-nyt-app-webview"": ""0"", ""x-gdpr"": ""1"", ""x-frame-options"": ""DENY"", ""onion-location"": ""https://www.nytimesn7cgmftshazwhfgzm37qxb44r64ytbb2dj3x62d2lljsciiyd.onion/"", ""x-api-version"": ""F-F-VI"", ""content-security-policy"": ""upgrade-insecur""}"
6,"GET / HTTP/1.1
Host: www.nytimes.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,429,HTTP/1.1,0.14914917945861816,0.11849188804626465,0.020222902297973633,200,OK,[''],29,29,0,"{""connection"": ""close"", ""content-length"": ""226705"", ""server"": ""nginx"", ""content-type"": ""text/html; charset=utf-8"", ""x-b3-traceid"": ""0e886c1db2804c3eb6276fe6f45999a9"", ""x-nyt-data-last-modified"": ""Fri, 29 Sep 2023 21:20:42 GMT"", ""last-modified"": ""Fri, 29 Sep 2023 21:20:42 GMT"", ""x-pagetype"": ""vi-homepage"", ""x-xss-protection"": ""1; mode=block"", ""x-content-type-options"": ""nosniff"", ""content-encoding"": ""gzip"", ""cache-control"": ""s-maxage=30,no-cache"", ""x-nyt-route"": ""homepage"", ""x-origin-time"": ""2023-09-29 21:20:47 UTC"", ""accept-ranges"": ""bytes"", ""date"": ""Fri, 29 Sep 2023 21:21:02 GMT"", ""age"": ""20"", ""x-served-by"": ""cache-lga21980-LGA, cache-ams21024-AMS"", ""x-cache"": ""HIT, HIT"", ""x-cache-hits"": ""8, 1"", ""x-timer"": ""S1696022463.990057,VS0,VE3"", ""vary"": ""Accept-Encoding, Fastly-SSL"", ""set-cookie"": ""nyt-geo=DE; Expires=Sat, 30 Sep 2023 03:21:02 GMT; Path=/; Domain=.nytimes.com"", ""x-nyt-app-webview"": ""0"", ""x-gdpr"": ""1"", ""x-frame-options"": ""DENY"", ""onion-location"": ""https://www.nytimesn7cgmftshazwhfgzm37qxb44r64ytbb2dj3x62d2lljsciiyd.onion/"", ""x-api-version"": ""F-F-VI"", ""content-security-policy"": ""upgrade-insecure-reques""}"
7,"GET / HTTP/1.1
Host: www.nytimes.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,429,HTTP/1.1,0.18075084686279297,0.11285710334777832,0.05047297477722168,200,OK,[''],29,29,0,"{""connection"": ""close"", ""content-length"": ""226705"", ""server"": ""nginx"", ""content-type"": ""text/html; charset=utf-8"", ""x-b3-traceid"": ""0e886c1db2804c3eb6276fe6f45999a9"", ""x-nyt-data-last-modified"": ""Fri, 29 Sep 2023 21:20:42 GMT"", ""last-modified"": ""Fri, 29 Sep 2023 21:20:42 GMT"", ""x-pagetype"": ""vi-homepage"", ""x-xss-protection"": ""1; mode=block"", ""x-content-type-options"": ""nosniff"", ""content-encoding"": ""gzip"", ""cache-control"": ""s-maxage=30,no-cache"", ""x-nyt-route"": ""homepage"", ""x-origin-time"": ""2023-09-29 21:20:47 UTC"", ""accept-ranges"": ""bytes"", ""date"": ""Fri, 29 Sep 2023 21:21:05 GMT"", ""age"": ""23"", ""x-served-by"": ""cache-lga21980-LGA, cache-ams21037-AMS"", ""x-cache"": ""HIT, HIT"", ""x-cache-hits"": ""8, 1"", ""x-timer"": ""S1696022465.458570,VS0,VE2"", ""vary"": ""Accept-Encoding, Fastly-SSL"", ""set-cookie"": ""nyt-geo=DE; Expires=Sat, 30 Sep 2023 03:21:05 GMT; Path=/; Domain=.nytimes.com"", ""x-nyt-app-webview"": ""0"", ""x-gdpr"": ""1"", ""x-frame-options"": ""DENY"", ""onion-location"": ""https://www.nytimesn7cgmftshazwhfgzm37qxb44r64ytbb2dj3x62d2lljsciiyd.onion/"", ""x-api-version"": ""F-F-VI"", ""content-security-policy"": ""upgrade-insecur""}"
8,"GET / HTTP/1.1
Host: www.nytimes.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,429,HTTP/1.1,0.21949148178100586,0.10474824905395508,0.06426858901977539,200,OK,[''],29,29,0,"{""connection"": ""close"", ""content-length"": ""226705"", ""server"": ""nginx"", ""content-type"": ""text/html; charset=utf-8"", ""x-b3-traceid"": ""0e886c1db2804c3eb6276fe6f45999a9"", ""x-nyt-data-last-modified"": ""Fri, 29 Sep 2023 21:20:42 GMT"", ""last-modified"": ""Fri, 29 Sep 2023 21:20:42 GMT"", ""x-pagetype"": ""vi-homepage"", ""x-xss-protection"": ""1; mode=block"", ""x-content-type-options"": ""nosniff"", ""content-encoding"": ""gzip"", ""cache-control"": ""s-maxage=30,no-cache"", ""x-nyt-route"": ""homepage"", ""x-origin-time"": ""2023-09-29 21:20:47 UTC"", ""accept-ranges"": ""bytes"", ""date"": ""Fri, 29 Sep 2023 21:21:08 GMT"", ""age"": ""25"", ""x-served-by"": ""cache-lga21980-LGA, cache-ams21032-AMS"", ""x-cache"": ""HIT, HIT"", ""x-cache-hits"": ""8, 1"", ""x-timer"": ""S1696022468.006941,VS0,VE3"", ""vary"": ""Accept-Encoding, Fastly-SSL"", ""set-cookie"": ""nyt-geo=DE; Expires=Sat, 30 Sep 2023 03:21:08 GMT; Path=/; Domain=.nytimes.com"", ""x-nyt-app-webview"": ""0"", ""x-gdpr"": ""1"", ""x-frame-options"": ""DENY"", ""onion-location"": ""https://www.nytimesn7cgmftshazwhfgzm37qxb44r64ytbb2dj3x62d2lljsciiyd.onion/"", ""x-api-version"": ""F-F-VI"", ""content-security-policy"": ""upgrade-insecur""}"
9,"GET / HTTP/1.1
Host: www.nytimes.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,429,HTTP/1.1,0.12392473220825195,0.11087679862976074,0.02882671356201172,200,OK,[''],29,29,0,"{""connection"": ""close"", ""content-length"": ""226705"", ""server"": ""nginx"", ""content-type"": ""text/html; charset=utf-8"", ""x-b3-traceid"": ""0e886c1db2804c3eb6276fe6f45999a9"", ""x-nyt-data-last-modified"": ""Fri, 29 Sep 2023 21:20:42 GMT"", ""last-modified"": ""Fri, 29 Sep 2023 21:20:42 GMT"", ""x-pagetype"": ""vi-homepage"", ""x-xss-protection"": ""1; mode=block"", ""x-content-type-options"": ""nosniff"", ""content-encoding"": ""gzip"", ""cache-control"": ""s-maxage=30,no-cache"", ""x-nyt-route"": ""homepage"", ""x-origin-time"": ""2023-09-29 21:20:47 UTC"", ""accept-ranges"": ""bytes"", ""date"": ""Fri, 29 Sep 2023 21:21:10 GMT"", ""age"": ""28"", ""x-served-by"": ""cache-lga21980-LGA, cache-ams21076-AMS"", ""x-cache"": ""HIT, HIT"", ""x-cache-hits"": ""8, 2"", ""x-timer"": ""S1696022471.508569,VS0,VE1"", ""vary"": ""Accept-Encoding, Fastly-SSL"", ""set-cookie"": ""nyt-geo=DE; Expires=Sat, 30 Sep 2023 03:21:10 GMT; Path=/; Domain=.nytimes.com"", ""x-nyt-app-webview"": ""0"", ""x-gdpr"": ""1"", ""x-frame-options"": ""DENY"", ""onion-location"": ""https://www.nytimesn7cgmftshazwhfgzm37qxb44r64ytbb2dj3x62d2lljsciiyd.onion/"", ""x-api-version"": ""F-F-VI"", ""content-security-policy"": ""upgrade-insecur""}"
