number,request,deviation_count,uri,request_length,http_version,Socket_Connect_Time,Socket_Close_Time,Response_Time,status_code,reason_phrase,error_message,response_header_count,response_header_length,response_body_length,response_header_fields
0,"GET / HTTP/1.1
Host: www.dropbox.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,429,HTTP/1.1,0.14549493789672852,0.11222219467163086,0.8589282035827637,200,OK,[''],18,18,0,"{""content-security-policy"": ""report-uri https://www.dropbox.com/csp_log?policy_name=metaserver-dynamic ; script-src 'unsafe-eval' 'strict-dynamic' 'nonce-CHAf496sx4ZSCkcEx44a' 'nonce-Ebt+AnlSbYUYfLoC94HE'"", ""referrer-policy"": ""strict-origin-when-cross-origin"", ""set-cookie"": ""locale=en; Domain=dropbox.com; expires=Wed, 27 Sep 2028 21:21:15 GMT; Path=/; SameSite=None; Secure"", ""x-content-type-options"": ""nosniff"", ""x-frame-options"": ""DENY"", ""x-permitted-cross-domain-policies"": ""none"", ""x-xss-protection"": ""1; mode=block"", ""content-type"": ""text/html; charset=utf-8"", ""accept-encoding"": ""identity,gzip"", ""date"": ""Fri, 29 Sep 2023 21:21:15 GMT"", ""server"": ""envoy"", ""strict-transport-security"": ""max-age=31536000; includeSubDomains"", ""cache-control"": ""no-cache, no-store"", ""content-encoding"": ""gzip"", ""vary"": ""Accept-Encoding"", ""x-dropbox-response-origin"": ""far_remote"", ""x-dropbox-request-id"": ""da1b87e3225648d88e12d1a6a26739ae"", ""transfer-encoding"": ""chunked""}"
1,"GET / HTTP/1.1
Host: www.dropbox.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,429,HTTP/1.1,0.36879754066467285,0.12013626098632812,0.9478003978729248,200,OK,[''],18,18,0,"{""content-security-policy"": ""report-uri https://www.dropbox.com/csp_log?policy_name=metaserver-dynamic ; script-src 'unsafe-eval' 'strict-dynamic' 'nonce-n8f2wJXLxq3U4hnCnSIO' 'nonce-zbwn3AbjF3exdX6Q7B3g'"", ""referrer-policy"": ""strict-origin-when-cross-origin"", ""set-cookie"": ""locale=en; Domain=dropbox.com; expires=Wed, 27 Sep 2028 21:21:19 GMT; Path=/; SameSite=None; Secure"", ""x-content-type-options"": ""nosniff"", ""x-frame-options"": ""DENY"", ""x-permitted-cross-domain-policies"": ""none"", ""x-xss-protection"": ""1; mode=block"", ""content-type"": ""text/html; charset=utf-8"", ""accept-encoding"": ""identity,gzip"", ""date"": ""Fri, 29 Sep 2023 21:21:18 GMT"", ""server"": ""envoy"", ""strict-transport-security"": ""max-age=31536000; includeSubDomains"", ""cache-control"": ""no-cache, no-store"", ""content-encoding"": ""gzip"", ""vary"": ""Accept-Encoding"", ""x-dropbox-response-origin"": ""far_remote"", ""x-dropbox-request-id"": ""d90421fe4c684dffb68be3eafc1fd4e1"", ""transfer-encoding"": ""chunked""}"
2,"GET / HTTP/1.1
Host: www.dropbox.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,429,HTTP/1.1,0.1790013313293457,0.11211395263671875,1.0209074020385742,200,OK,[''],18,18,9486,"{""content-security-policy"": ""report-uri https://www.dropbox.com/csp_log?policy_name=metaserver-dynamic ; script-src 'unsafe-eval' 'strict-dynamic' 'nonce-LiC09ozY6ahBC5Um3cfw' 'nonce-P/dxSp7q/+8qCfczYc7q'"", ""referrer-policy"": ""strict-origin-when-cross-origin"", ""set-cookie"": ""locale=en; Domain=dropbox.com; expires=Wed, 27 Sep 2028 21:21:22 GMT; Path=/; SameSite=None; Secure"", ""x-content-type-options"": ""nosniff"", ""x-frame-options"": ""DENY"", ""x-permitted-cross-domain-policies"": ""none"", ""x-xss-protection"": ""1; mode=block"", ""content-type"": ""text/html; charset=utf-8"", ""accept-encoding"": ""identity,gzip"", ""date"": ""Fri, 29 Sep 2023 21:21:22 GMT"", ""server"": ""envoy"", ""strict-transport-security"": ""max-age=31536000; includeSubDomains"", ""cache-control"": ""no-cache, no-store"", ""content-encoding"": ""gzip"", ""vary"": ""Accept-Encoding"", ""x-dropbox-response-origin"": ""far_remote"", ""x-dropbox-request-id"": ""3ddb890019e14d21841fca34e7ba1317"", ""transfer-encoding"": ""chunked""}"
3,"GET / HTTP/1.1
Host: www.dropbox.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,429,HTTP/1.1,0.2013089656829834,0.11823701858520508,0.9115419387817383,200,OK,[''],18,18,0,"{""content-security-policy"": ""report-uri https://www.dropbox.com/csp_log?policy_name=metaserver-dynamic ; script-src 'unsafe-eval' 'strict-dynamic' 'nonce-QT6Lb4lEZFwbN5LA0ZUb' 'nonce-XNaSKZ44aUgZLzmU9Kqm'"", ""referrer-policy"": ""strict-origin-when-cross-origin"", ""set-cookie"": ""locale=en; Domain=dropbox.com; expires=Wed, 27 Sep 2028 21:21:26 GMT; Path=/; SameSite=None; Secure"", ""x-content-type-options"": ""nosniff"", ""x-frame-options"": ""DENY"", ""x-permitted-cross-domain-policies"": ""none"", ""x-xss-protection"": ""1; mode=block"", ""content-type"": ""text/html; charset=utf-8"", ""accept-encoding"": ""identity,gzip"", ""date"": ""Fri, 29 Sep 2023 21:21:25 GMT"", ""server"": ""envoy"", ""strict-transport-security"": ""max-age=31536000; includeSubDomains"", ""cache-control"": ""no-cache, no-store"", ""content-encoding"": ""gzip"", ""vary"": ""Accept-Encoding"", ""x-dropbox-response-origin"": ""far_remote"", ""x-dropbox-request-id"": ""9e78ce400b594ade91240c7581b7fa5a"", ""transfer-encoding"": ""chunked""}"
4,"GET / HTTP/1.1
Host: www.dropbox.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,429,HTTP/1.1,0.23347067832946777,0.1183173656463623,0.8788504600524902,200,OK,[''],18,18,0,"{""content-security-policy"": ""report-uri https://www.dropbox.com/csp_log?policy_name=metaserver-dynamic ; script-src 'unsafe-eval' 'strict-dynamic' 'nonce-ixL9L9SMrFiuIHxWOSQi' 'nonce-5ZYRfGw+RzRrA7ilwxVu'"", ""referrer-policy"": ""strict-origin-when-cross-origin"", ""set-cookie"": ""locale=en; Domain=dropbox.com; expires=Wed, 27 Sep 2028 21:21:29 GMT; Path=/; SameSite=None; Secure"", ""x-content-type-options"": ""nosniff"", ""x-frame-options"": ""DENY"", ""x-permitted-cross-domain-policies"": ""none"", ""x-xss-protection"": ""1; mode=block"", ""content-type"": ""text/html; charset=utf-8"", ""accept-encoding"": ""identity,gzip"", ""date"": ""Fri, 29 Sep 2023 21:21:29 GMT"", ""server"": ""envoy"", ""strict-transport-security"": ""max-age=31536000; includeSubDomains"", ""cache-control"": ""no-cache, no-store"", ""content-encoding"": ""gzip"", ""vary"": ""Accept-Encoding"", ""x-dropbox-response-origin"": ""far_remote"", ""x-dropbox-request-id"": ""dc8653238cbd4b009e39792387aaa321"", ""transfer-encoding"": ""chunked""}"
5,"GET / HTTP/1.1
Host: www.dropbox.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,429,HTTP/1.1,0.1564948558807373,0.11141657829284668,1.1090397834777832,200,OK,[''],18,18,0,"{""content-security-policy"": ""report-uri https://www.dropbox.com/csp_log?policy_name=metaserver-dynamic ; script-src 'unsafe-eval' 'strict-dynamic' 'nonce-qNyLWfSV//SG9CZvwiA9' 'nonce-LM1TaacIMxPwcyxd4rR5'"", ""referrer-policy"": ""strict-origin-when-cross-origin"", ""set-cookie"": ""locale=en; Domain=dropbox.com; expires=Wed, 27 Sep 2028 21:21:33 GMT; Path=/; SameSite=None; Secure"", ""x-content-type-options"": ""nosniff"", ""x-frame-options"": ""DENY"", ""x-permitted-cross-domain-policies"": ""none"", ""x-xss-protection"": ""1; mode=block"", ""content-type"": ""text/html; charset=utf-8"", ""accept-encoding"": ""identity,gzip"", ""date"": ""Fri, 29 Sep 2023 21:21:32 GMT"", ""server"": ""envoy"", ""strict-transport-security"": ""max-age=31536000; includeSubDomains"", ""cache-control"": ""no-cache, no-store"", ""content-encoding"": ""gzip"", ""vary"": ""Accept-Encoding"", ""x-dropbox-response-origin"": ""far_remote"", ""x-dropbox-request-id"": ""249c318efb704374a429af90019d8d5b"", ""transfer-encoding"": ""chunked""}"
6,"GET / HTTP/1.1
Host: www.dropbox.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,429,HTTP/1.1,0.17333054542541504,0.11036992073059082,0.9273619651794434,200,OK,[''],18,18,0,"{""content-security-policy"": ""report-uri https://www.dropbox.com/csp_log?policy_name=metaserver-dynamic ; script-src 'unsafe-eval' 'strict-dynamic' 'nonce-fj3SvUpeqv5N+z+KJIhZ' 'nonce-zhjRF0Kapjq/rPMvRhZe'"", ""referrer-policy"": ""strict-origin-when-cross-origin"", ""set-cookie"": ""locale=en; Domain=dropbox.com; expires=Wed, 27 Sep 2028 21:21:36 GMT; Path=/; SameSite=None; Secure"", ""x-content-type-options"": ""nosniff"", ""x-frame-options"": ""DENY"", ""x-permitted-cross-domain-policies"": ""none"", ""x-xss-protection"": ""1; mode=block"", ""content-type"": ""text/html; charset=utf-8"", ""accept-encoding"": ""identity,gzip"", ""date"": ""Fri, 29 Sep 2023 21:21:36 GMT"", ""server"": ""envoy"", ""strict-transport-security"": ""max-age=31536000; includeSubDomains"", ""cache-control"": ""no-cache, no-store"", ""content-encoding"": ""gzip"", ""vary"": ""Accept-Encoding"", ""x-dropbox-response-origin"": ""far_remote"", ""x-dropbox-request-id"": ""99430fdfbeab45f28711a0bfb3170a73"", ""transfer-encoding"": ""chunked""}"
7,"GET / HTTP/1.1
Host: www.dropbox.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,429,HTTP/1.1,0.15447998046875,0.11191534996032715,0.9953646659851074,200,OK,[''],18,18,0,"{""content-security-policy"": ""report-uri https://www.dropbox.com/csp_log?policy_name=metaserver-dynamic ; script-src 'unsafe-eval' 'strict-dynamic' 'nonce-Dc3HQN/RVBtzHnSjKynf' 'nonce-nlguEzR9BcG07UgUDYtZ'"", ""referrer-policy"": ""strict-origin-when-cross-origin"", ""set-cookie"": ""locale=en; Domain=dropbox.com; expires=Wed, 27 Sep 2028 21:21:39 GMT; Path=/; SameSite=None; Secure"", ""x-content-type-options"": ""nosniff"", ""x-frame-options"": ""DENY"", ""x-permitted-cross-domain-policies"": ""none"", ""x-xss-protection"": ""1; mode=block"", ""content-type"": ""text/html; charset=utf-8"", ""accept-encoding"": ""identity,gzip"", ""date"": ""Fri, 29 Sep 2023 21:21:39 GMT"", ""server"": ""envoy"", ""strict-transport-security"": ""max-age=31536000; includeSubDomains"", ""cache-control"": ""no-cache, no-store"", ""content-encoding"": ""gzip"", ""vary"": ""Accept-Encoding"", ""x-dropbox-response-origin"": ""far_remote"", ""x-dropbox-request-id"": ""99b64d4e757e4fd5bc0f157d07118e63"", ""transfer-encoding"": ""chunked""}"
8,"GET / HTTP/1.1
Host: www.dropbox.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,429,HTTP/1.1,0.1544475555419922,0.1142120361328125,1.0796358585357666,200,OK,[''],18,18,0,"{""content-security-policy"": ""report-uri https://www.dropbox.com/csp_log?policy_name=metaserver-dynamic ; script-src 'unsafe-eval' 'strict-dynamic' 'nonce-wXnEK0WLlj4dfs9KRV7H' 'nonce-/DDnFcp1WJxOhGk1e0y3'"", ""referrer-policy"": ""strict-origin-when-cross-origin"", ""set-cookie"": ""locale=en; Domain=dropbox.com; expires=Wed, 27 Sep 2028 21:21:43 GMT; Path=/; SameSite=None; Secure"", ""x-content-type-options"": ""nosniff"", ""x-frame-options"": ""DENY"", ""x-permitted-cross-domain-policies"": ""none"", ""x-xss-protection"": ""1; mode=block"", ""content-type"": ""text/html; charset=utf-8"", ""accept-encoding"": ""identity,gzip"", ""date"": ""Fri, 29 Sep 2023 21:21:43 GMT"", ""server"": ""envoy"", ""strict-transport-security"": ""max-age=31536000; includeSubDomains"", ""cache-control"": ""no-cache, no-store"", ""content-encoding"": ""gzip"", ""vary"": ""Accept-Encoding"", ""x-dropbox-response-origin"": ""far_remote"", ""x-dropbox-request-id"": ""789a14d5dade457296c93c3333459563"", ""transfer-encoding"": ""chunked""}"
9,"GET / HTTP/1.1
Host: www.dropbox.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,429,HTTP/1.1,0.1597907543182373,0.12553834915161133,1.1135380268096924,200,OK,[''],18,18,0,"{""content-security-policy"": ""report-uri https://www.dropbox.com/csp_log?policy_name=metaserver-dynamic ; script-src 'unsafe-eval' 'strict-dynamic' 'nonce-QGjKJfhcDh7Cyq2JIWhk' 'nonce-nFqhYYLGfvXfDuWFcsqj'"", ""referrer-policy"": ""strict-origin-when-cross-origin"", ""set-cookie"": ""locale=en; Domain=dropbox.com; expires=Wed, 27 Sep 2028 21:21:47 GMT; Path=/; SameSite=None; Secure"", ""x-content-type-options"": ""nosniff"", ""x-frame-options"": ""DENY"", ""x-permitted-cross-domain-policies"": ""none"", ""x-xss-protection"": ""1; mode=block"", ""content-type"": ""text/html; charset=utf-8"", ""accept-encoding"": ""identity,gzip"", ""date"": ""Fri, 29 Sep 2023 21:21:47 GMT"", ""server"": ""envoy"", ""strict-transport-security"": ""max-age=31536000; includeSubDomains"", ""cache-control"": ""no-cache, no-store"", ""content-encoding"": ""gzip"", ""vary"": ""Accept-Encoding"", ""x-dropbox-response-origin"": ""far_remote"", ""x-dropbox-request-id"": ""880ac88974f24b49b11d8955999528f9"", ""transfer-encoding"": ""chunked""}"
