number,request,deviation_count,uri,request_length,http_version,Socket_Connect_Time,Socket_Close_Time,Response_Time,status_code,reason_phrase,error_message,response_header_count,response_header_length,response_body_length,response_header_fields
0,"GET / HTTP/1.1
Host: www.nginx.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,427,HTTP/1.1,0.2996857166290283,0.1306626796722412,0.23014330863952637,200,OK,[''],16,16,14533,"{""date"": ""Fri, 29 Sep 2023 21:21:16 GMT"", ""content-type"": ""text/html; charset=UTF-8"", ""vary"": ""Accept-Encoding"", ""x-gateway-request-id"": ""d8719a6f086faa15501147436f60c511"", ""set-cookie"": ""TS01dc4fc6=013405ab06e04a35f3938e40fde621c8273c014559ecc954bc7da53781177dee0cac5a678c5b8fdec1ccc12158b1a7c5c40505b7b7; Path=/; Secure; HttpOnly; SameSite=Strict;"", ""cache-control"": ""public, max-age=600"", ""link"": ""<https://www.nginx.com/>; rel=shortlink"", ""content-security-policy"": ""frame-ancestors 'self'"", ""x-gateway-cache-key"": ""1696021825.651|standard|https|www.nginx.com|||/|DE"", ""x-gateway-cache-status"": ""HIT"", ""x-gateway-skip-cache"": ""0"", ""content-encoding"": ""gzip"", ""x-envoy-upstream-service-time"": ""160"", ""strict-transport-security"": ""max-age=31536000"", ""server"": ""nginx"", ""transfer-encoding"": ""chunked""}"
1,"GET / HTTP/1.1
Host: www.nginx.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,427,HTTP/1.1,0.22402095794677734,0.10808920860290527,0.6213240623474121,200,OK,[''],16,16,13857,"{""date"": ""Fri, 29 Sep 2023 21:21:20 GMT"", ""content-type"": ""text/html; charset=UTF-8"", ""vary"": ""Accept-Encoding"", ""x-gateway-request-id"": ""22ec0eb0a19274704b08f542e0fe26dd"", ""set-cookie"": ""TS01dc4fc6=014e1f31ce212d3d8d4d74c18d502da4988eb4dd001d2c19da6c84d669034d3bd0665598f9320a0972371db548ab5348308fd49fd5; Path=/; Secure; HttpOnly; SameSite=Strict;"", ""cache-control"": ""public, max-age=600"", ""link"": ""<https://www.nginx.com/>; rel=shortlink"", ""content-security-policy"": ""frame-ancestors 'self'"", ""x-gateway-cache-key"": ""1696021825.656|standard|https|www.nginx.com|||/|DE"", ""x-gateway-cache-status"": ""EXPIRED"", ""x-gateway-skip-cache"": ""0"", ""content-encoding"": ""gzip"", ""x-envoy-upstream-service-time"": ""450"", ""strict-transport-security"": ""max-age=31536000"", ""server"": ""nginx"", ""transfer-encoding"": ""chunked""}"
2,"GET / HTTP/1.1
Host: www.nginx.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,427,HTTP/1.1,0.3037538528442383,0.11223697662353516,0.40410900115966797,200,OK,[''],16,16,14533,"{""date"": ""Fri, 29 Sep 2023 21:21:23 GMT"", ""content-type"": ""text/html; charset=UTF-8"", ""vary"": ""Accept-Encoding"", ""x-gateway-request-id"": ""c3f7a5de0e02924cd987917cfd9ff061"", ""set-cookie"": ""TS01dc4fc6=012b2acd66be016fdda0d4dd57dea785b65a17cbf7f3804a8d86c1ad9239ec9b148c736c417db9fd353eb7eb70b0d108700ccc001d; Path=/; Secure; HttpOnly; SameSite=Strict;"", ""cache-control"": ""public, max-age=600"", ""link"": ""<https://www.nginx.com/>; rel=shortlink"", ""content-security-policy"": ""frame-ancestors 'self'"", ""x-gateway-cache-key"": ""1696021825.651|standard|https|www.nginx.com|||/|DE"", ""x-gateway-cache-status"": ""HIT"", ""x-gateway-skip-cache"": ""0"", ""content-encoding"": ""gzip"", ""x-envoy-upstream-service-time"": ""320"", ""strict-transport-security"": ""max-age=31536000"", ""server"": ""nginx"", ""transfer-encoding"": ""chunked""}"
3,"GET / HTTP/1.1
Host: www.nginx.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,427,HTTP/1.1,0.23938345909118652,0.11414885520935059,0.4021916389465332,200,OK,[''],16,16,14533,"{""date"": ""Fri, 29 Sep 2023 21:21:27 GMT"", ""content-type"": ""text/html; charset=UTF-8"", ""vary"": ""Accept-Encoding"", ""x-gateway-request-id"": ""0c41f1494ea79b552cee3ec194c230b5"", ""set-cookie"": ""TS01dc4fc6=014e1f31cef7e259d27f8e374ac3a6bd2a80899d19e864c284ba5cbf3411fcefd2d310d120228021ef35264957e1b766cf4b9a4c45; Path=/; Secure; HttpOnly; SameSite=Strict;"", ""cache-control"": ""public, max-age=600"", ""link"": ""<https://www.nginx.com/>; rel=shortlink"", ""content-security-policy"": ""frame-ancestors 'self'"", ""x-gateway-cache-key"": ""1696021825.651|standard|https|www.nginx.com|||/|DE"", ""x-gateway-cache-status"": ""HIT"", ""x-gateway-skip-cache"": ""0"", ""content-encoding"": ""gzip"", ""x-envoy-upstream-service-time"": ""322"", ""strict-transport-security"": ""max-age=31536000"", ""server"": ""nginx"", ""transfer-encoding"": ""chunked""}"
4,"GET / HTTP/1.1
Host: www.nginx.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,427,HTTP/1.1,0.25617480278015137,0.10982847213745117,0.4119079113006592,200,OK,[''],16,16,14533,"{""date"": ""Fri, 29 Sep 2023 21:21:30 GMT"", ""content-type"": ""text/html; charset=UTF-8"", ""vary"": ""Accept-Encoding"", ""x-gateway-request-id"": ""014d3a719bcf76077d9314d23cedfdb5"", ""set-cookie"": ""TS01dc4fc6=019a95437bbbdb3ff99b0f4b3ddecea6c4088e13c3def3f552a9d4780191ab69954239a43dc289edf8dfcfa17652ca18064bcaf5c4; Path=/; Secure; HttpOnly; SameSite=Strict;"", ""cache-control"": ""public, max-age=600"", ""link"": ""<https://www.nginx.com/>; rel=shortlink"", ""content-security-policy"": ""frame-ancestors 'self'"", ""x-gateway-cache-key"": ""1696021825.656|standard|https|www.nginx.com|||/|DE"", ""x-gateway-cache-status"": ""HIT"", ""x-gateway-skip-cache"": ""0"", ""content-encoding"": ""gzip"", ""x-envoy-upstream-service-time"": ""319"", ""strict-transport-security"": ""max-age=31536000"", ""server"": ""nginx"", ""transfer-encoding"": ""chunked""}"
5,"GET / HTTP/1.1
Host: www.nginx.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,427,HTTP/1.1,0.15123200416564941,0.10602355003356934,0.4503493309020996,200,OK,[''],16,16,14533,"{""date"": ""Fri, 29 Sep 2023 21:21:34 GMT"", ""content-type"": ""text/html; charset=UTF-8"", ""vary"": ""Accept-Encoding"", ""x-gateway-request-id"": ""8f9b32121c4a51cd8ffe6b8fa030f638"", ""set-cookie"": ""TS01dc4fc6=012b2acd6641a9282892708be41ded344236e2f9e0c8b161a1237219d785dbd1a64aab3959235adeb022c5a3343fbb505d9388ae39; Path=/; Secure; HttpOnly; SameSite=Strict;"", ""cache-control"": ""public, max-age=600"", ""link"": ""<https://www.nginx.com/>; rel=shortlink"", ""content-security-policy"": ""frame-ancestors 'self'"", ""x-gateway-cache-key"": ""1696021825.651|standard|https|www.nginx.com|||/|DE"", ""x-gateway-cache-status"": ""HIT"", ""x-gateway-skip-cache"": ""0"", ""content-encoding"": ""gzip"", ""x-envoy-upstream-service-time"": ""320"", ""strict-transport-security"": ""max-age=31536000"", ""server"": ""nginx"", ""transfer-encoding"": ""chunked""}"
6,"GET / HTTP/1.1
Host: www.nginx.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,427,HTTP/1.1,0.25302720069885254,0.11504721641540527,0.42798900604248047,200,OK,[''],16,16,14533,"{""date"": ""Fri, 29 Sep 2023 21:21:37 GMT"", ""content-type"": ""text/html; charset=UTF-8"", ""vary"": ""Accept-Encoding"", ""x-gateway-request-id"": ""22a82e326e5d823855bcc08ddd380586"", ""set-cookie"": ""TS01dc4fc6=0184064ad18106dc54dee03458e8b35999aec5080012e511c3972c7c29f08434991940fb55b987ee968a89864b9d0309464fd3d901; Path=/; Secure; HttpOnly; SameSite=Strict;"", ""cache-control"": ""public, max-age=600"", ""link"": ""<https://www.nginx.com/>; rel=shortlink"", ""content-security-policy"": ""frame-ancestors 'self'"", ""x-gateway-cache-key"": ""1696021825.651|standard|https|www.nginx.com|||/|DE"", ""x-gateway-cache-status"": ""HIT"", ""x-gateway-skip-cache"": ""0"", ""content-encoding"": ""gzip"", ""x-envoy-upstream-service-time"": ""322"", ""strict-transport-security"": ""max-age=31536000"", ""server"": ""nginx"", ""transfer-encoding"": ""chunked""}"
7,"GET / HTTP/1.1
Host: www.nginx.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,427,HTTP/1.1,0.35367703437805176,0.11351132392883301,0.4033188819885254,200,OK,[''],16,16,14533,"{""date"": ""Fri, 29 Sep 2023 21:21:41 GMT"", ""content-type"": ""text/html; charset=UTF-8"", ""vary"": ""Accept-Encoding"", ""x-gateway-request-id"": ""dee6c523a4f134ce2bea9c6fde1fd319"", ""set-cookie"": ""TS01dc4fc6=019a95437b10cfbb10a79ab82f30ef82714aad5e6d2cd02fcf90a51d4aa0d29548164224699f5ba3113b1bc1b37f74353d8a4c80de; Path=/; Secure; HttpOnly; SameSite=Strict;"", ""cache-control"": ""public, max-age=600"", ""link"": ""<https://www.nginx.com/>; rel=shortlink"", ""content-security-policy"": ""frame-ancestors 'self'"", ""x-gateway-cache-key"": ""1696021825.651|standard|https|www.nginx.com|||/|DE"", ""x-gateway-cache-status"": ""HIT"", ""x-gateway-skip-cache"": ""0"", ""content-encoding"": ""gzip"", ""x-envoy-upstream-service-time"": ""320"", ""strict-transport-security"": ""max-age=31536000"", ""server"": ""nginx"", ""transfer-encoding"": ""chunked""}"
8,"GET / HTTP/1.1
Host: www.nginx.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,427,HTTP/1.1,0.4079298973083496,0.1110224723815918,0.37869930267333984,200,OK,[''],16,16,14533,"{""date"": ""Fri, 29 Sep 2023 21:21:44 GMT"", ""content-type"": ""text/html; charset=UTF-8"", ""vary"": ""Accept-Encoding"", ""x-gateway-request-id"": ""51af66e371d2de9905103d0bf89a69df"", ""set-cookie"": ""TS01dc4fc6=018c67ef9cd141378d30c2b408a2ba8285af18daf05f3ba06185a0c56a2f5cde56f06c31f81a9ec2d7c73a9ec7eb6f314a4e1a39cc; Path=/; Secure; HttpOnly; SameSite=Strict;"", ""cache-control"": ""public, max-age=600"", ""link"": ""<https://www.nginx.com/>; rel=shortlink"", ""content-security-policy"": ""frame-ancestors 'self'"", ""x-gateway-cache-key"": ""1696021825.656|standard|https|www.nginx.com|||/|DE"", ""x-gateway-cache-status"": ""HIT"", ""x-gateway-skip-cache"": ""0"", ""content-encoding"": ""gzip"", ""x-envoy-upstream-service-time"": ""319"", ""strict-transport-security"": ""max-age=31536000"", ""server"": ""nginx"", ""transfer-encoding"": ""chunked""}"
9,"GET / HTTP/1.1
Host: www.nginx.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,427,HTTP/1.1,0.28293824195861816,0.11010193824768066,0.3795440196990967,200,OK,[''],16,16,14533,"{""date"": ""Fri, 29 Sep 2023 21:21:48 GMT"", ""content-type"": ""text/html; charset=UTF-8"", ""vary"": ""Accept-Encoding"", ""x-gateway-request-id"": ""19d38ce92504daa85187ebeb8e215380"", ""set-cookie"": ""TS01dc4fc6=012b2acd66db47afd6be6a4ca1251fc22cc2f96310f53cd12e647efb6670b7f35fa219e3d0692a8f605804ebe27cddc8c6d15e8424; Path=/; Secure; HttpOnly; SameSite=Strict;"", ""cache-control"": ""public, max-age=600"", ""link"": ""<https://www.nginx.com/>; rel=shortlink"", ""content-security-policy"": ""frame-ancestors 'self'"", ""x-gateway-cache-key"": ""1696021825.651|standard|https|www.nginx.com|||/|DE"", ""x-gateway-cache-status"": ""HIT"", ""x-gateway-skip-cache"": ""0"", ""content-encoding"": ""gzip"", ""x-envoy-upstream-service-time"": ""320"", ""strict-transport-security"": ""max-age=31536000"", ""server"": ""nginx"", ""transfer-encoding"": ""chunked""}"
