number,request,deviation_count,uri,request_length,http_version,Socket_Connect_Time,Socket_Close_Time,Response_Time,status_code,reason_phrase,error_message,response_header_count,response_header_length,response_body_length,response_header_fields
0,"GET / HTTP/1.1
Host: www.harvard.edu
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,429,HTTP/1.1,0.16733002662658691,0.11015176773071289,0.033660173416137695,200,OK,[''],25,25,0,"{""connection"": ""keep-alive"", ""content-length"": ""56937"", ""cache-control"": ""public, max-age=1200"", ""content-encoding"": ""gzip"", ""content-type"": ""text/html; charset=UTF-8"", ""link"": ""<https://www.harvard.edu/>; rel=shortlink"", ""permissions-policy"": ""geolocation=(self)"", ""referrer-policy"": ""no-referrer-when-downgrade"", ""server"": ""nginx"", ""strict-transport-security"": ""max-age=31622400"", ""x-content-type-options"": ""nosniff"", ""x-frame-options"": ""SAMEORIGIN"", ""x-pantheon-styx-hostname"": ""styx-fe1-a-685d4d5969-2c524"", ""x-pingback"": ""https://www.harvard.edu/xmlrpc.php"", ""x-styx-req-id"": ""1a89df0c-5f0d-11ee-804e-deaacb632a98"", ""x-xss-protection"": ""1; mode=block"", ""age"": ""436"", ""accept-ranges"": ""bytes"", ""via"": ""1.1 varnish, 1.1 varnish, 1.1 varnish, 1.1 varnish"", ""date"": ""Fri, 29 Sep 2023 21:21:16 GMT"", ""x-served-by"": ""cache-chi-klot8100144-CHI, cache-ams21034-AMS, cache-ams21034-AMS, cache-ams21028-AMS"", ""x-cache"": ""HIT, HIT, MISS, MISS"", ""x-cache-hits"": ""32, 7, 0, 0"", ""x-timer"": ""S1696022477.524594,VS0,VE4"", ""vary"": ""Accept-Encoding, Cookie, Cookie, orig-host""}"
1,"GET / HTTP/1.1
Host: www.harvard.edu
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,429,HTTP/1.1,0.23401975631713867,0.10825586318969727,0.06844782829284668,200,OK,[''],25,25,0,"{""connection"": ""keep-alive"", ""content-length"": ""56937"", ""cache-control"": ""public, max-age=1200"", ""content-encoding"": ""gzip"", ""content-type"": ""text/html; charset=UTF-8"", ""link"": ""<https://www.harvard.edu/>; rel=shortlink"", ""permissions-policy"": ""geolocation=(self)"", ""referrer-policy"": ""no-referrer-when-downgrade"", ""server"": ""nginx"", ""strict-transport-security"": ""max-age=31622400"", ""x-content-type-options"": ""nosniff"", ""x-frame-options"": ""SAMEORIGIN"", ""x-pantheon-styx-hostname"": ""styx-fe1-a-685d4d5969-2c524"", ""x-pingback"": ""https://www.harvard.edu/xmlrpc.php"", ""x-styx-req-id"": ""1a89df0c-5f0d-11ee-804e-deaacb632a98"", ""x-xss-protection"": ""1; mode=block"", ""age"": ""439"", ""accept-ranges"": ""bytes"", ""via"": ""1.1 varnish, 1.1 varnish, 1.1 varnish, 1.1 varnish"", ""date"": ""Fri, 29 Sep 2023 21:21:19 GMT"", ""x-served-by"": ""cache-chi-klot8100144-CHI, cache-ams21034-AMS, cache-ams21034-AMS, cache-ams21067-AMS"", ""x-cache"": ""HIT, HIT, MISS, MISS"", ""x-cache-hits"": ""32, 8, 0, 0"", ""x-timer"": ""S1696022479.016468,VS0,VE4"", ""vary"": ""Accept-Encoding, Cookie, Cookie, orig-host""}"
2,"GET / HTTP/1.1
Host: www.harvard.edu
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,429,HTTP/1.1,0.15174651145935059,0.11232376098632812,0.03440690040588379,200,OK,[''],25,25,0,"{""connection"": ""keep-alive"", ""content-length"": ""56937"", ""cache-control"": ""public, max-age=1200"", ""content-encoding"": ""gzip"", ""content-type"": ""text/html; charset=UTF-8"", ""link"": ""<https://www.harvard.edu/>; rel=shortlink"", ""permissions-policy"": ""geolocation=(self)"", ""referrer-policy"": ""no-referrer-when-downgrade"", ""server"": ""nginx"", ""strict-transport-security"": ""max-age=31622400"", ""x-content-type-options"": ""nosniff"", ""x-frame-options"": ""SAMEORIGIN"", ""x-pantheon-styx-hostname"": ""styx-fe1-a-685d4d5969-2c524"", ""x-pingback"": ""https://www.harvard.edu/xmlrpc.php"", ""x-styx-req-id"": ""1a89df0c-5f0d-11ee-804e-deaacb632a98"", ""x-xss-protection"": ""1; mode=block"", ""age"": ""441"", ""accept-ranges"": ""bytes"", ""via"": ""1.1 varnish, 1.1 varnish, 1.1 varnish, 1.1 varnish"", ""date"": ""Fri, 29 Sep 2023 21:21:20 GMT"", ""x-served-by"": ""cache-chi-klot8100144-CHI, cache-ams21034-AMS, cache-ams21034-AMS, cache-ams21026-AMS"", ""x-cache"": ""HIT, HIT, MISS, MISS"", ""x-cache-hits"": ""32, 9, 0, 0"", ""x-timer"": ""S1696022481.977121,VS0,VE3"", ""vary"": ""Accept-Encoding, Cookie, Cookie, orig-host""}"
3,"GET / HTTP/1.1
Host: www.harvard.edu
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,429,HTTP/1.1,0.18369770050048828,0.12098240852355957,0.02387094497680664,200,OK,[''],25,25,0,"{""connection"": ""keep-alive"", ""content-length"": ""56937"", ""cache-control"": ""public, max-age=1200"", ""content-encoding"": ""gzip"", ""content-type"": ""text/html; charset=UTF-8"", ""link"": ""<https://www.harvard.edu/>; rel=shortlink"", ""permissions-policy"": ""geolocation=(self)"", ""referrer-policy"": ""no-referrer-when-downgrade"", ""server"": ""nginx"", ""strict-transport-security"": ""max-age=31622400"", ""x-content-type-options"": ""nosniff"", ""x-frame-options"": ""SAMEORIGIN"", ""x-pantheon-styx-hostname"": ""styx-fe1-a-685d4d5969-2c524"", ""x-pingback"": ""https://www.harvard.edu/xmlrpc.php"", ""x-styx-req-id"": ""1a89df0c-5f0d-11ee-804e-deaacb632a98"", ""x-xss-protection"": ""1; mode=block"", ""age"": ""443"", ""accept-ranges"": ""bytes"", ""via"": ""1.1 varnish, 1.1 varnish, 1.1 varnish, 1.1 varnish"", ""date"": ""Fri, 29 Sep 2023 21:21:23 GMT"", ""x-served-by"": ""cache-chi-klot8100144-CHI, cache-ams21034-AMS, cache-ams21034-AMS, cache-ams21071-AMS"", ""x-cache"": ""HIT, HIT, MISS, MISS"", ""x-cache-hits"": ""32, 10, 0, 0"", ""x-timer"": ""S1696022483.230901,VS0,VE3"", ""vary"": ""Accept-Encoding, Cookie, Cookie, orig-host""}"
4,"GET / HTTP/1.1
Host: www.harvard.edu
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,429,HTTP/1.1,0.13734173774719238,0.10854506492614746,0.0378265380859375,200,OK,[''],25,25,0,"{""connection"": ""keep-alive"", ""content-length"": ""56937"", ""cache-control"": ""public, max-age=1200"", ""content-encoding"": ""gzip"", ""content-type"": ""text/html; charset=UTF-8"", ""link"": ""<https://www.harvard.edu/>; rel=shortlink"", ""permissions-policy"": ""geolocation=(self)"", ""referrer-policy"": ""no-referrer-when-downgrade"", ""server"": ""nginx"", ""strict-transport-security"": ""max-age=31622400"", ""x-content-type-options"": ""nosniff"", ""x-frame-options"": ""SAMEORIGIN"", ""x-pantheon-styx-hostname"": ""styx-fe1-a-685d4d5969-2c524"", ""x-pingback"": ""https://www.harvard.edu/xmlrpc.php"", ""x-styx-req-id"": ""1a89df0c-5f0d-11ee-804e-deaacb632a98"", ""x-xss-protection"": ""1; mode=block"", ""age"": ""445"", ""accept-ranges"": ""bytes"", ""via"": ""1.1 varnish, 1.1 varnish, 1.1 varnish, 1.1 varnish"", ""date"": ""Fri, 29 Sep 2023 21:21:25 GMT"", ""x-served-by"": ""cache-chi-klot8100144-CHI, cache-ams21062-AMS, cache-ams21083-AMS, cache-ams21083-AMS"", ""x-cache"": ""HIT, HIT, MISS, MISS"", ""x-cache-hits"": ""32, 3, 0, 0"", ""x-timer"": ""S1696022485.148274,VS0,VE5"", ""vary"": ""Accept-Encoding, Cookie, Cookie, orig-host""}"
5,"GET / HTTP/1.1
Host: www.harvard.edu
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,429,HTTP/1.1,0.2604527473449707,0.11207461357116699,0.03292083740234375,200,OK,[''],25,25,0,"{""connection"": ""keep-alive"", ""content-length"": ""56937"", ""cache-control"": ""public, max-age=1200"", ""content-encoding"": ""gzip"", ""content-type"": ""text/html; charset=UTF-8"", ""link"": ""<https://www.harvard.edu/>; rel=shortlink"", ""permissions-policy"": ""geolocation=(self)"", ""referrer-policy"": ""no-referrer-when-downgrade"", ""server"": ""nginx"", ""strict-transport-security"": ""max-age=31622400"", ""x-content-type-options"": ""nosniff"", ""x-frame-options"": ""SAMEORIGIN"", ""x-pantheon-styx-hostname"": ""styx-fe1-a-685d4d5969-2c524"", ""x-pingback"": ""https://www.harvard.edu/xmlrpc.php"", ""x-styx-req-id"": ""1a89df0c-5f0d-11ee-804e-deaacb632a98"", ""x-xss-protection"": ""1; mode=block"", ""age"": ""447"", ""accept-ranges"": ""bytes"", ""via"": ""1.1 varnish, 1.1 varnish, 1.1 varnish, 1.1 varnish"", ""date"": ""Fri, 29 Sep 2023 21:21:27 GMT"", ""x-served-by"": ""cache-chi-klot8100144-CHI, cache-ams21034-AMS, cache-ams21034-AMS, cache-ams21076-AMS"", ""x-cache"": ""HIT, HIT, MISS, MISS"", ""x-cache-hits"": ""32, 11, 0, 0"", ""x-timer"": ""S1696022487.464398,VS0,VE4"", ""vary"": ""Accept-Encoding, Cookie, Cookie, orig-host""}"
6,"GET / HTTP/1.1
Host: www.harvard.edu
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,429,HTTP/1.1,0.17206978797912598,0.11615347862243652,0.04532623291015625,200,OK,[''],25,25,0,"{""connection"": ""keep-alive"", ""content-length"": ""56937"", ""cache-control"": ""public, max-age=1200"", ""content-encoding"": ""gzip"", ""content-type"": ""text/html; charset=UTF-8"", ""link"": ""<https://www.harvard.edu/>; rel=shortlink"", ""permissions-policy"": ""geolocation=(self)"", ""referrer-policy"": ""no-referrer-when-downgrade"", ""server"": ""nginx"", ""strict-transport-security"": ""max-age=31622400"", ""x-content-type-options"": ""nosniff"", ""x-frame-options"": ""SAMEORIGIN"", ""x-pantheon-styx-hostname"": ""styx-fe1-a-685d4d5969-2c524"", ""x-pingback"": ""https://www.harvard.edu/xmlrpc.php"", ""x-styx-req-id"": ""1a89df0c-5f0d-11ee-804e-deaacb632a98"", ""x-xss-protection"": ""1; mode=block"", ""age"": ""449"", ""accept-ranges"": ""bytes"", ""via"": ""1.1 varnish, 1.1 varnish, 1.1 varnish, 1.1 varnish"", ""date"": ""Fri, 29 Sep 2023 21:21:29 GMT"", ""x-served-by"": ""cache-chi-klot8100144-CHI, cache-ams21034-AMS, cache-ams21034-AMS, cache-ams21021-AMS"", ""x-cache"": ""HIT, HIT, MISS, MISS"", ""x-cache-hits"": ""32, 12, 0, 0"", ""x-timer"": ""S1696022490.656086,VS0,VE3"", ""vary"": ""Accept-Encoding, Cookie, Cookie, orig-host""}"
7,"GET / HTTP/1.1
Host: www.harvard.edu
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,429,HTTP/1.1,0.17296910285949707,0.11739277839660645,0.027167797088623047,200,OK,[''],25,25,0,"{""connection"": ""keep-alive"", ""content-length"": ""56937"", ""cache-control"": ""public, max-age=1200"", ""content-encoding"": ""gzip"", ""content-type"": ""text/html; charset=UTF-8"", ""link"": ""<https://www.harvard.edu/>; rel=shortlink"", ""permissions-policy"": ""geolocation=(self)"", ""referrer-policy"": ""no-referrer-when-downgrade"", ""server"": ""nginx"", ""strict-transport-security"": ""max-age=31622400"", ""x-content-type-options"": ""nosniff"", ""x-frame-options"": ""SAMEORIGIN"", ""x-pantheon-styx-hostname"": ""styx-fe1-a-685d4d5969-2c524"", ""x-pingback"": ""https://www.harvard.edu/xmlrpc.php"", ""x-styx-req-id"": ""1a89df0c-5f0d-11ee-804e-deaacb632a98"", ""x-xss-protection"": ""1; mode=block"", ""age"": ""452"", ""accept-ranges"": ""bytes"", ""via"": ""1.1 varnish, 1.1 varnish, 1.1 varnish, 1.1 varnish"", ""date"": ""Fri, 29 Sep 2023 21:21:31 GMT"", ""x-served-by"": ""cache-chi-klot8100144-CHI, cache-ams21034-AMS, cache-ams21034-AMS, cache-ams21078-AMS"", ""x-cache"": ""HIT, HIT, MISS, MISS"", ""x-cache-hits"": ""32, 13, 0, 0"", ""x-timer"": ""S1696022492.909953,VS0,VE3"", ""vary"": ""Accept-Encoding, Cookie, Cookie, orig-host""}"
8,"GET / HTTP/1.1
Host: www.harvard.edu
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,429,HTTP/1.1,0.2035207748413086,0.12282443046569824,0.08713364601135254,200,OK,[''],25,25,0,"{""connection"": ""keep-alive"", ""content-length"": ""56937"", ""cache-control"": ""public, max-age=1200"", ""content-encoding"": ""gzip"", ""content-type"": ""text/html; charset=UTF-8"", ""link"": ""<https://www.harvard.edu/>; rel=shortlink"", ""permissions-policy"": ""geolocation=(self)"", ""referrer-policy"": ""no-referrer-when-downgrade"", ""server"": ""nginx"", ""strict-transport-security"": ""max-age=31622400"", ""x-content-type-options"": ""nosniff"", ""x-frame-options"": ""SAMEORIGIN"", ""x-pantheon-styx-hostname"": ""styx-fe1-a-685d4d5969-2c524"", ""x-pingback"": ""https://www.harvard.edu/xmlrpc.php"", ""x-styx-req-id"": ""1a89df0c-5f0d-11ee-804e-deaacb632a98"", ""x-xss-protection"": ""1; mode=block"", ""age"": ""454"", ""accept-ranges"": ""bytes"", ""via"": ""1.1 varnish, 1.1 varnish, 1.1 varnish, 1.1 varnish"", ""date"": ""Fri, 29 Sep 2023 21:21:34 GMT"", ""x-served-by"": ""cache-chi-klot8100144-CHI, cache-ams21034-AMS, cache-ams21034-AMS, cache-ams21035-AMS"", ""x-cache"": ""HIT, HIT, MISS, MISS"", ""x-cache-hits"": ""32, 14, 0, 0"", ""x-timer"": ""S1696022494.168128,VS0,VE4"", ""vary"": ""Accept-Encoding, Cookie, Cookie, orig-host""}"
9,"GET / HTTP/1.1
Host: www.harvard.edu
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,429,HTTP/1.1,0.19771814346313477,0.1105804443359375,0.05163764953613281,200,OK,[''],25,25,0,"{""connection"": ""keep-alive"", ""content-length"": ""56937"", ""cache-control"": ""public, max-age=1200"", ""content-encoding"": ""gzip"", ""content-type"": ""text/html; charset=UTF-8"", ""link"": ""<https://www.harvard.edu/>; rel=shortlink"", ""permissions-policy"": ""geolocation=(self)"", ""referrer-policy"": ""no-referrer-when-downgrade"", ""server"": ""nginx"", ""strict-transport-security"": ""max-age=31622400"", ""x-content-type-options"": ""nosniff"", ""x-frame-options"": ""SAMEORIGIN"", ""x-pantheon-styx-hostname"": ""styx-fe1-a-685d4d5969-2c524"", ""x-pingback"": ""https://www.harvard.edu/xmlrpc.php"", ""x-styx-req-id"": ""1a89df0c-5f0d-11ee-804e-deaacb632a98"", ""x-xss-protection"": ""1; mode=block"", ""age"": ""456"", ""accept-ranges"": ""bytes"", ""via"": ""1.1 varnish, 1.1 varnish, 1.1 varnish, 1.1 varnish"", ""date"": ""Fri, 29 Sep 2023 21:21:36 GMT"", ""x-served-by"": ""cache-chi-klot8100144-CHI, cache-ams21062-AMS, cache-ams21021-AMS, cache-ams21021-AMS"", ""x-cache"": ""HIT, HIT, MISS, MISS"", ""x-cache-hits"": ""32, 4, 0, 0"", ""x-timer"": ""S1696022496.291447,VS0,VE3"", ""vary"": ""Accept-Encoding, Cookie, Cookie, orig-host""}"
