number,request,deviation_count,uri,request_length,http_version,Socket_Connect_Time,Socket_Close_Time,Response_Time,status_code,reason_phrase,error_message,response_header_count,response_header_length,response_body_length,response_header_fields
0,"GET / HTTP/1.1
Host: www.wikimedia.org
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,431,HTTP/1.1,0.4015488624572754,0.11496520042419434,0.04454517364501953,200,OK,[''],19,19,18812,"{""date"": ""Fri, 29 Sep 2023 21:02:52 GMT"", ""server"": ""mw1385.eqiad.wmnet"", ""last-modified"": ""Wed, 30 Aug 2023 21:33:32 GMT"", ""cache-control"": ""s-maxage=3600, must-revalidate, max-age=0"", ""content-type"": ""text/html"", ""etag"": ""W/\""499c-6042aaddd1011\"""", ""content-encoding"": ""gzip"", ""vary"": ""Accept-Encoding"", ""age"": ""1103"", ""x-cache"": ""cp3066 hit, cp3066 hit/129"", ""x-cache-status"": ""hit-front"", ""server-timing"": ""cache;desc=\""hit-front\"", host;desc=\""cp3066\"""", ""strict-transport-security"": ""max-age=106384710; includeSubDomains; preload"", ""report-to"": ""{ \""group\"": \""wm_nel\"", \""max_age\"": 604800, \""endpoints\"": [{ \""url\"": \""https://intake-logging.wikimedia.org/v1/events?stream=w3c.reportingapi.network_error&schema_uri=/w3c/reportingapi/network_error/1.0.0\"" }] }"", ""nel"": ""{ \""report_to\"": \""wm_nel\"", \""max_age\"": 604800, \""failure_fraction\"": 0.05, \""success_fraction\"": 0.0}"", ""set-cookie"": ""NetworkProbeLimit=0.001;Path=/;Secure;Max-Age=3600"", ""x-client-ip"": ""89.56.127.202"", ""accept-ranges"": ""bytes"", ""content-length"": ""4658""}"
1,"GET / HTTP/1.1
Host: www.wikimedia.org
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,431,HTTP/1.1,0.4010024070739746,0.1115105152130127,0.1435689926147461,200,OK,[''],19,19,18812,"{""date"": ""Fri, 29 Sep 2023 21:02:52 GMT"", ""server"": ""mw1385.eqiad.wmnet"", ""last-modified"": ""Wed, 30 Aug 2023 21:33:32 GMT"", ""cache-control"": ""s-maxage=3600, must-revalidate, max-age=0"", ""content-type"": ""text/html"", ""etag"": ""W/\""499c-6042aaddd1011\"""", ""content-encoding"": ""gzip"", ""vary"": ""Accept-Encoding"", ""age"": ""1106"", ""x-cache"": ""cp3066 hit, cp3066 hit/130"", ""x-cache-status"": ""hit-front"", ""server-timing"": ""cache;desc=\""hit-front\"", host;desc=\""cp3066\"""", ""strict-transport-security"": ""max-age=106384710; includeSubDomains; preload"", ""report-to"": ""{ \""group\"": \""wm_nel\"", \""max_age\"": 604800, \""endpoints\"": [{ \""url\"": \""https://intake-logging.wikimedia.org/v1/events?stream=w3c.reportingapi.network_error&schema_uri=/w3c/reportingapi/network_error/1.0.0\"" }] }"", ""nel"": ""{ \""report_to\"": \""wm_nel\"", \""max_age\"": 604800, \""failure_fraction\"": 0.05, \""success_fraction\"": 0.0}"", ""set-cookie"": ""NetworkProbeLimit=0.001;Path=/;Secure;Max-Age=3600"", ""x-client-ip"": ""89.56.127.202"", ""accept-ranges"": ""bytes"", ""content-length"": ""4658""}"
2,"GET / HTTP/1.1
Host: www.wikimedia.org
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,431,HTTP/1.1,0.29627156257629395,0.11154341697692871,0.07923316955566406,200,OK,[''],19,19,18812,"{""date"": ""Fri, 29 Sep 2023 21:02:52 GMT"", ""server"": ""mw1385.eqiad.wmnet"", ""last-modified"": ""Wed, 30 Aug 2023 21:33:32 GMT"", ""cache-control"": ""s-maxage=3600, must-revalidate, max-age=0"", ""content-type"": ""text/html"", ""etag"": ""W/\""499c-6042aaddd1011\"""", ""content-encoding"": ""gzip"", ""vary"": ""Accept-Encoding"", ""age"": ""1108"", ""x-cache"": ""cp3066 hit, cp3066 hit/131"", ""x-cache-status"": ""hit-front"", ""server-timing"": ""cache;desc=\""hit-front\"", host;desc=\""cp3066\"""", ""strict-transport-security"": ""max-age=106384710; includeSubDomains; preload"", ""report-to"": ""{ \""group\"": \""wm_nel\"", \""max_age\"": 604800, \""endpoints\"": [{ \""url\"": \""https://intake-logging.wikimedia.org/v1/events?stream=w3c.reportingapi.network_error&schema_uri=/w3c/reportingapi/network_error/1.0.0\"" }] }"", ""nel"": ""{ \""report_to\"": \""wm_nel\"", \""max_age\"": 604800, \""failure_fraction\"": 0.05, \""success_fraction\"": 0.0}"", ""set-cookie"": ""NetworkProbeLimit=0.001;Path=/;Secure;Max-Age=3600"", ""x-client-ip"": ""89.56.127.202"", ""accept-ranges"": ""bytes"", ""content-length"": ""4658""}"
3,"GET / HTTP/1.1
Host: www.wikimedia.org
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,431,HTTP/1.1,0.2627115249633789,0.11263847351074219,0.0765371322631836,200,OK,[''],19,19,18812,"{""date"": ""Fri, 29 Sep 2023 21:02:52 GMT"", ""server"": ""mw1385.eqiad.wmnet"", ""last-modified"": ""Wed, 30 Aug 2023 21:33:32 GMT"", ""cache-control"": ""s-maxage=3600, must-revalidate, max-age=0"", ""content-type"": ""text/html"", ""etag"": ""W/\""499c-6042aaddd1011\"""", ""content-encoding"": ""gzip"", ""vary"": ""Accept-Encoding"", ""age"": ""1110"", ""x-cache"": ""cp3066 hit, cp3066 hit/132"", ""x-cache-status"": ""hit-front"", ""server-timing"": ""cache;desc=\""hit-front\"", host;desc=\""cp3066\"""", ""strict-transport-security"": ""max-age=106384710; includeSubDomains; preload"", ""report-to"": ""{ \""group\"": \""wm_nel\"", \""max_age\"": 604800, \""endpoints\"": [{ \""url\"": \""https://intake-logging.wikimedia.org/v1/events?stream=w3c.reportingapi.network_error&schema_uri=/w3c/reportingapi/network_error/1.0.0\"" }] }"", ""nel"": ""{ \""report_to\"": \""wm_nel\"", \""max_age\"": 604800, \""failure_fraction\"": 0.05, \""success_fraction\"": 0.0}"", ""set-cookie"": ""NetworkProbeLimit=0.001;Path=/;Secure;Max-Age=3600"", ""x-client-ip"": ""89.56.127.202"", ""accept-ranges"": ""bytes"", ""content-length"": ""4658""}"
4,"GET / HTTP/1.1
Host: www.wikimedia.org
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,431,HTTP/1.1,0.14481282234191895,0.1260991096496582,0.059549808502197266,200,OK,[''],19,19,18812,"{""date"": ""Fri, 29 Sep 2023 21:02:52 GMT"", ""server"": ""mw1385.eqiad.wmnet"", ""last-modified"": ""Wed, 30 Aug 2023 21:33:32 GMT"", ""cache-control"": ""s-maxage=3600, must-revalidate, max-age=0"", ""content-type"": ""text/html"", ""etag"": ""W/\""499c-6042aaddd1011\"""", ""content-encoding"": ""gzip"", ""vary"": ""Accept-Encoding"", ""age"": ""1112"", ""x-cache"": ""cp3066 hit, cp3066 hit/133"", ""x-cache-status"": ""hit-front"", ""server-timing"": ""cache;desc=\""hit-front\"", host;desc=\""cp3066\"""", ""strict-transport-security"": ""max-age=106384710; includeSubDomains; preload"", ""report-to"": ""{ \""group\"": \""wm_nel\"", \""max_age\"": 604800, \""endpoints\"": [{ \""url\"": \""https://intake-logging.wikimedia.org/v1/events?stream=w3c.reportingapi.network_error&schema_uri=/w3c/reportingapi/network_error/1.0.0\"" }] }"", ""nel"": ""{ \""report_to\"": \""wm_nel\"", \""max_age\"": 604800, \""failure_fraction\"": 0.05, \""success_fraction\"": 0.0}"", ""set-cookie"": ""NetworkProbeLimit=0.001;Path=/;Secure;Max-Age=3600"", ""x-client-ip"": ""89.56.127.202"", ""accept-ranges"": ""bytes"", ""content-length"": ""4658""}"
5,"GET / HTTP/1.1
Host: www.wikimedia.org
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,431,HTTP/1.1,0.1912531852722168,0.11120247840881348,0.06759238243103027,200,OK,[''],19,19,18812,"{""date"": ""Fri, 29 Sep 2023 21:02:52 GMT"", ""server"": ""mw1385.eqiad.wmnet"", ""last-modified"": ""Wed, 30 Aug 2023 21:33:32 GMT"", ""cache-control"": ""s-maxage=3600, must-revalidate, max-age=0"", ""content-type"": ""text/html"", ""etag"": ""W/\""499c-6042aaddd1011\"""", ""content-encoding"": ""gzip"", ""vary"": ""Accept-Encoding"", ""age"": ""1114"", ""x-cache"": ""cp3066 hit, cp3066 hit/135"", ""x-cache-status"": ""hit-front"", ""server-timing"": ""cache;desc=\""hit-front\"", host;desc=\""cp3066\"""", ""strict-transport-security"": ""max-age=106384710; includeSubDomains; preload"", ""report-to"": ""{ \""group\"": \""wm_nel\"", \""max_age\"": 604800, \""endpoints\"": [{ \""url\"": \""https://intake-logging.wikimedia.org/v1/events?stream=w3c.reportingapi.network_error&schema_uri=/w3c/reportingapi/network_error/1.0.0\"" }] }"", ""nel"": ""{ \""report_to\"": \""wm_nel\"", \""max_age\"": 604800, \""failure_fraction\"": 0.05, \""success_fraction\"": 0.0}"", ""set-cookie"": ""NetworkProbeLimit=0.001;Path=/;Secure;Max-Age=3600"", ""x-client-ip"": ""89.56.127.202"", ""accept-ranges"": ""bytes"", ""content-length"": ""4658""}"
6,"GET / HTTP/1.1
Host: www.wikimedia.org
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,431,HTTP/1.1,0.30007433891296387,0.1370377540588379,0.06376457214355469,200,OK,[''],19,19,18812,"{""date"": ""Fri, 29 Sep 2023 21:02:52 GMT"", ""server"": ""mw1385.eqiad.wmnet"", ""last-modified"": ""Wed, 30 Aug 2023 21:33:32 GMT"", ""cache-control"": ""s-maxage=3600, must-revalidate, max-age=0"", ""content-type"": ""text/html"", ""etag"": ""W/\""499c-6042aaddd1011\"""", ""content-encoding"": ""gzip"", ""vary"": ""Accept-Encoding"", ""age"": ""1116"", ""x-cache"": ""cp3066 hit, cp3066 hit/136"", ""x-cache-status"": ""hit-front"", ""server-timing"": ""cache;desc=\""hit-front\"", host;desc=\""cp3066\"""", ""strict-transport-security"": ""max-age=106384710; includeSubDomains; preload"", ""report-to"": ""{ \""group\"": \""wm_nel\"", \""max_age\"": 604800, \""endpoints\"": [{ \""url\"": \""https://intake-logging.wikimedia.org/v1/events?stream=w3c.reportingapi.network_error&schema_uri=/w3c/reportingapi/network_error/1.0.0\"" }] }"", ""nel"": ""{ \""report_to\"": \""wm_nel\"", \""max_age\"": 604800, \""failure_fraction\"": 0.05, \""success_fraction\"": 0.0}"", ""set-cookie"": ""NetworkProbeLimit=0.001;Path=/;Secure;Max-Age=3600"", ""x-client-ip"": ""89.56.127.202"", ""accept-ranges"": ""bytes"", ""content-length"": ""4658""}"
7,"GET / HTTP/1.1
Host: www.wikimedia.org
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,431,HTTP/1.1,0.23703813552856445,0.11602473258972168,0.08851814270019531,200,OK,[''],19,19,18812,"{""date"": ""Fri, 29 Sep 2023 21:02:52 GMT"", ""server"": ""mw1385.eqiad.wmnet"", ""last-modified"": ""Wed, 30 Aug 2023 21:33:32 GMT"", ""cache-control"": ""s-maxage=3600, must-revalidate, max-age=0"", ""content-type"": ""text/html"", ""etag"": ""W/\""499c-6042aaddd1011\"""", ""content-encoding"": ""gzip"", ""vary"": ""Accept-Encoding"", ""age"": ""1118"", ""x-cache"": ""cp3066 hit, cp3066 hit/137"", ""x-cache-status"": ""hit-front"", ""server-timing"": ""cache;desc=\""hit-front\"", host;desc=\""cp3066\"""", ""strict-transport-security"": ""max-age=106384710; includeSubDomains; preload"", ""report-to"": ""{ \""group\"": \""wm_nel\"", \""max_age\"": 604800, \""endpoints\"": [{ \""url\"": \""https://intake-logging.wikimedia.org/v1/events?stream=w3c.reportingapi.network_error&schema_uri=/w3c/reportingapi/network_error/1.0.0\"" }] }"", ""nel"": ""{ \""report_to\"": \""wm_nel\"", \""max_age\"": 604800, \""failure_fraction\"": 0.05, \""success_fraction\"": 0.0}"", ""set-cookie"": ""NetworkProbeLimit=0.001;Path=/;Secure;Max-Age=3600"", ""x-client-ip"": ""89.56.127.202"", ""accept-ranges"": ""bytes"", ""content-length"": ""4658""}"
8,"GET / HTTP/1.1
Host: www.wikimedia.org
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,431,HTTP/1.1,0.23071718215942383,0.14608526229858398,0.08885741233825684,200,OK,[''],19,19,18812,"{""date"": ""Fri, 29 Sep 2023 21:02:52 GMT"", ""server"": ""mw1385.eqiad.wmnet"", ""last-modified"": ""Wed, 30 Aug 2023 21:33:32 GMT"", ""cache-control"": ""s-maxage=3600, must-revalidate, max-age=0"", ""content-type"": ""text/html"", ""etag"": ""W/\""499c-6042aaddd1011\"""", ""content-encoding"": ""gzip"", ""vary"": ""Accept-Encoding"", ""age"": ""1121"", ""x-cache"": ""cp3066 hit, cp3066 hit/138"", ""x-cache-status"": ""hit-front"", ""server-timing"": ""cache;desc=\""hit-front\"", host;desc=\""cp3066\"""", ""strict-transport-security"": ""max-age=106384710; includeSubDomains; preload"", ""report-to"": ""{ \""group\"": \""wm_nel\"", \""max_age\"": 604800, \""endpoints\"": [{ \""url\"": \""https://intake-logging.wikimedia.org/v1/events?stream=w3c.reportingapi.network_error&schema_uri=/w3c/reportingapi/network_error/1.0.0\"" }] }"", ""nel"": ""{ \""report_to\"": \""wm_nel\"", \""max_age\"": 604800, \""failure_fraction\"": 0.05, \""success_fraction\"": 0.0}"", ""set-cookie"": ""NetworkProbeLimit=0.001;Path=/;Secure;Max-Age=3600"", ""x-client-ip"": ""89.56.127.202"", ""accept-ranges"": ""bytes"", ""content-length"": ""4658""}"
9,"GET / HTTP/1.1
Host: www.wikimedia.org
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,431,HTTP/1.1,0.1829218864440918,0.11621665954589844,0.08957386016845703,200,OK,[''],19,19,18812,"{""date"": ""Fri, 29 Sep 2023 21:02:52 GMT"", ""server"": ""mw1385.eqiad.wmnet"", ""last-modified"": ""Wed, 30 Aug 2023 21:33:32 GMT"", ""cache-control"": ""s-maxage=3600, must-revalidate, max-age=0"", ""content-type"": ""text/html"", ""etag"": ""W/\""499c-6042aaddd1011\"""", ""content-encoding"": ""gzip"", ""vary"": ""Accept-Encoding"", ""age"": ""1123"", ""x-cache"": ""cp3066 hit, cp3066 hit/140"", ""x-cache-status"": ""hit-front"", ""server-timing"": ""cache;desc=\""hit-front\"", host;desc=\""cp3066\"""", ""strict-transport-security"": ""max-age=106384710; includeSubDomains; preload"", ""report-to"": ""{ \""group\"": \""wm_nel\"", \""max_age\"": 604800, \""endpoints\"": [{ \""url\"": \""https://intake-logging.wikimedia.org/v1/events?stream=w3c.reportingapi.network_error&schema_uri=/w3c/reportingapi/network_error/1.0.0\"" }] }"", ""nel"": ""{ \""report_to\"": \""wm_nel\"", \""max_age\"": 604800, \""failure_fraction\"": 0.05, \""success_fraction\"": 0.0}"", ""set-cookie"": ""NetworkProbeLimit=0.001;Path=/;Secure;Max-Age=3600"", ""x-client-ip"": ""89.56.127.202"", ""accept-ranges"": ""bytes"", ""content-length"": ""4658""}"
