number,request,deviation_count,uri,request_length,http_version,Socket_Connect_Time,Socket_Close_Time,Response_Time,status_code,reason_phrase,error_message,response_header_count,response_header_length,response_body_length,response_header_fields
0,"GET / HTTP/1.1
Host: www.cdc.gov
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,425,HTTP/1.1,0.16208863258361816,0.107666015625,0.07434821128845215,200,OK,[''],11,11,15026,"{""content-type"": ""text/html"", ""srv"": ""5"", ""access-control-allow-origin"": ""*"", ""x-ua-compatible"": ""IE=edge"", ""vary"": ""Accept-Encoding"", ""content-encoding"": ""gzip"", ""content-length"": ""67478"", ""date"": ""Fri, 29 Sep 2023 21:21:48 GMT"", ""connection"": ""keep-alive"", ""set-cookie"": ""Akamai-Request-ID=1f1d100222508aa06efZ; path=/; domain=cdc.gov"", ""strict-transport-security"": ""max-age=31536000 ; includeSubDomains ; preload""}"
1,"GET / HTTP/1.1
Host: www.cdc.gov
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,425,HTTP/1.1,0.16571569442749023,0.11133265495300293,0.07262277603149414,200,OK,[''],11,11,15026,"{""content-type"": ""text/html"", ""srv"": ""5"", ""access-control-allow-origin"": ""*"", ""x-ua-compatible"": ""IE=edge"", ""vary"": ""Accept-Encoding"", ""content-encoding"": ""gzip"", ""content-length"": ""67478"", ""date"": ""Fri, 29 Sep 2023 21:21:51 GMT"", ""connection"": ""keep-alive"", ""set-cookie"": ""Akamai-Request-ID=1f1d100222511aa1011Z; path=/; domain=cdc.gov"", ""strict-transport-security"": ""max-age=31536000 ; includeSubDomains ; preload""}"
2,"GET / HTTP/1.1
Host: www.cdc.gov
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,425,HTTP/1.1,0.1860947608947754,0.1373152732849121,0.06650662422180176,200,OK,[''],11,11,15026,"{""content-type"": ""text/html"", ""srv"": ""5"", ""access-control-allow-origin"": ""*"", ""x-ua-compatible"": ""IE=edge"", ""vary"": ""Accept-Encoding"", ""content-encoding"": ""gzip"", ""content-length"": ""67478"", ""date"": ""Fri, 29 Sep 2023 21:21:53 GMT"", ""connection"": ""keep-alive"", ""set-cookie"": ""Akamai-Request-ID=1f1d100222513aa1b10Z; path=/; domain=cdc.gov"", ""strict-transport-security"": ""max-age=31536000 ; includeSubDomains ; preload""}"
3,"GET / HTTP/1.1
Host: www.cdc.gov
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,425,HTTP/1.1,0.18973851203918457,0.11144232749938965,0.08622527122497559,200,OK,[''],11,11,15026,"{""content-type"": ""text/html"", ""srv"": ""5"", ""access-control-allow-origin"": ""*"", ""x-ua-compatible"": ""IE=edge"", ""vary"": ""Accept-Encoding"", ""content-encoding"": ""gzip"", ""content-length"": ""67478"", ""date"": ""Fri, 29 Sep 2023 21:21:56 GMT"", ""connection"": ""keep-alive"", ""set-cookie"": ""Akamai-Request-ID=1f1d100222516aa24a3Z; path=/; domain=cdc.gov"", ""strict-transport-security"": ""max-age=31536000 ; includeSubDomains ; preload""}"
4,"GET / HTTP/1.1
Host: www.cdc.gov
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,425,HTTP/1.1,0.2920529842376709,0.11184287071228027,0.10679244995117188,200,OK,[''],11,11,15026,"{""content-type"": ""text/html"", ""srv"": ""5"", ""access-control-allow-origin"": ""*"", ""x-ua-compatible"": ""IE=edge"", ""vary"": ""Accept-Encoding"", ""content-encoding"": ""gzip"", ""content-length"": ""67478"", ""date"": ""Fri, 29 Sep 2023 21:21:59 GMT"", ""connection"": ""keep-alive"", ""set-cookie"": ""Akamai-Request-ID=1f1d100222519aa301eZ; path=/; domain=cdc.gov"", ""strict-transport-security"": ""max-age=31536000 ; includeSubDomains ; preload""}"
5,"GET / HTTP/1.1
Host: www.cdc.gov
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,425,HTTP/1.1,0.19957971572875977,0.10319161415100098,0.09332513809204102,200,OK,[''],11,11,15026,"{""content-type"": ""text/html"", ""srv"": ""5"", ""access-control-allow-origin"": ""*"", ""x-ua-compatible"": ""IE=edge"", ""vary"": ""Accept-Encoding"", ""content-encoding"": ""gzip"", ""content-length"": ""67478"", ""date"": ""Fri, 29 Sep 2023 21:22:01 GMT"", ""connection"": ""keep-alive"", ""set-cookie"": ""Akamai-Request-ID=1f1d100222521aa3d1eZ; path=/; domain=cdc.gov"", ""strict-transport-security"": ""max-age=31536000 ; includeSubDomains ; preload""}"
6,"GET / HTTP/1.1
Host: www.cdc.gov
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,425,HTTP/1.1,0.19054150581359863,0.11184501647949219,0.1748216152191162,200,OK,[''],11,11,15026,"{""content-type"": ""text/html"", ""srv"": ""5"", ""access-control-allow-origin"": ""*"", ""x-ua-compatible"": ""IE=edge"", ""vary"": ""Accept-Encoding"", ""content-encoding"": ""gzip"", ""content-length"": ""67478"", ""date"": ""Fri, 29 Sep 2023 21:22:04 GMT"", ""connection"": ""keep-alive"", ""set-cookie"": ""Akamai-Request-ID=1f1d100222524aa48c3Z; path=/; domain=cdc.gov"", ""strict-transport-security"": ""max-age=31536000 ; includeSubDomains ; preload""}"
7,"GET / HTTP/1.1
Host: www.cdc.gov
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,425,HTTP/1.1,0.1576671600341797,0.11314153671264648,0.04828810691833496,200,OK,[''],11,11,15026,"{""content-type"": ""text/html"", ""srv"": ""5"", ""access-control-allow-origin"": ""*"", ""x-ua-compatible"": ""IE=edge"", ""vary"": ""Accept-Encoding"", ""content-encoding"": ""gzip"", ""content-length"": ""67478"", ""date"": ""Fri, 29 Sep 2023 21:22:06 GMT"", ""connection"": ""keep-alive"", ""set-cookie"": ""Akamai-Request-ID=1f1d100222526aa562eZ; path=/; domain=cdc.gov"", ""strict-transport-security"": ""max-age=31536000 ; includeSubDomains ; preload""}"
8,"GET / HTTP/1.1
Host: www.cdc.gov
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,425,HTTP/1.1,0.16369295120239258,0.12630629539489746,0.12236881256103516,200,OK,[''],11,11,15026,"{""content-type"": ""text/html"", ""srv"": ""5"", ""access-control-allow-origin"": ""*"", ""x-ua-compatible"": ""IE=edge"", ""vary"": ""Accept-Encoding"", ""content-encoding"": ""gzip"", ""content-length"": ""67478"", ""date"": ""Fri, 29 Sep 2023 21:22:09 GMT"", ""connection"": ""keep-alive"", ""set-cookie"": ""Akamai-Request-ID=1f1d100222529aa61bfZ; path=/; domain=cdc.gov"", ""strict-transport-security"": ""max-age=31536000 ; includeSubDomains ; preload""}"
9,"GET / HTTP/1.1
Host: www.cdc.gov
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,425,HTTP/1.1,0.18248224258422852,0.1182861328125,0.07078170776367188,200,OK,[''],11,11,15026,"{""content-type"": ""text/html"", ""srv"": ""5"", ""access-control-allow-origin"": ""*"", ""x-ua-compatible"": ""IE=edge"", ""vary"": ""Accept-Encoding"", ""content-encoding"": ""gzip"", ""content-length"": ""67478"", ""date"": ""Fri, 29 Sep 2023 21:22:11 GMT"", ""connection"": ""keep-alive"", ""set-cookie"": ""Akamai-Request-ID=1f1d100222531aa6d79Z; path=/; domain=cdc.gov"", ""strict-transport-security"": ""max-age=31536000 ; includeSubDomains ; preload""}"
