number,request,deviation_count,uri,request_length,http_version,Socket_Connect_Time,Socket_Close_Time,Response_Time,status_code,reason_phrase,error_message,response_header_count,response_header_length,response_body_length,response_header_fields
0,"GET / HTTP/1.1
Host: www.eventbrite.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,432,HTTP/1.1,0.18297600746154785,0.11520934104919434,0.15755724906921387,200,OK,[''],24,24,2187,"{""content-type"": ""text/html"", ""transfer-encoding"": ""chunked"", ""connection"": ""keep-alive"", ""date"": ""Fri, 29 Sep 2023 21:22:17 GMT"", ""server"": ""nginx"", ""x-xss-protection"": ""1; mode=block"", ""x-content-type-options"": ""nosniff"", ""strict-transport-security"": ""max-age=31536000 ; includeSubDomains"", ""vary"": ""X-EB-Website-Context, X-EB-App-Context, Accept-Encoding"", ""x-permitted-cross-domain-policies"": ""none"", ""x-varnish-ttl"": ""60"", ""p3p"": ""CP=\""NOI ADM DEV PSAi COM NAV OUR OTRo STP IND DEM\"""", ""referrer-policy"": ""strict-origin-when-cross-origin"", ""x-frame-options"": ""SAMEORIGIN"", ""x-ua-compatible"": ""IE=edge"", ""content-encoding"": ""gzip"", ""x-varnish"": ""607814605 602217660"", ""via"": ""1.1 varnish (Varnish/5.1), 1.1 1589d05ea8998abdd2e7ba3167a84e2c.cloudfront.net (CloudFront)"", ""set-cookie"": ""csrftoken=44542e185f0e11ee87e05b8398362f40; Domain=.eventbrite.com; Max-Age=31449600; Path=/; secure; SameSite=None"", ""accept-ranges"": ""bytes"", ""x-cache"": ""Miss from cloudfront"", ""x-amz-cf-pop"": ""HAM50-C3"", ""x-amz-cf-id"": ""9BbYei5M3_jtIndN6HrEr_qru5eKd7wjYWY3oMcrcvXKp6W4ZHiIeA=="", ""age"": ""46""}"
1,"GET / HTTP/1.1
Host: www.eventbrite.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,432,HTTP/1.1,0.1817946434020996,0.11244416236877441,0.1625661849975586,200,OK,[''],24,24,14645,"{""content-type"": ""text/html"", ""transfer-encoding"": ""chunked"", ""connection"": ""keep-alive"", ""date"": ""Fri, 29 Sep 2023 21:22:20 GMT"", ""server"": ""nginx"", ""x-xss-protection"": ""1; mode=block"", ""x-content-type-options"": ""nosniff"", ""strict-transport-security"": ""max-age=31536000 ; includeSubDomains"", ""vary"": ""X-EB-Website-Context, X-EB-App-Context, Accept-Encoding"", ""x-permitted-cross-domain-policies"": ""none"", ""x-varnish-ttl"": ""60"", ""p3p"": ""CP=\""NOI ADM DEV PSAi COM NAV OUR OTRo STP IND DEM\"""", ""referrer-policy"": ""strict-origin-when-cross-origin"", ""x-frame-options"": ""SAMEORIGIN"", ""x-ua-compatible"": ""IE=edge"", ""content-encoding"": ""gzip"", ""x-varnish"": ""273485063 271980232"", ""via"": ""1.1 varnish (Varnish/5.1), 1.1 ccc3c8305c079db66ab9ac68a1ea9cd8.cloudfront.net (CloudFront)"", ""set-cookie"": ""csrftoken=464166785f0e11ee8cad9f47781d2347; Domain=.eventbrite.com; Max-Age=31449600; Path=/; secure; SameSite=None"", ""accept-ranges"": ""bytes"", ""x-cache"": ""Miss from cloudfront"", ""x-amz-cf-pop"": ""HAM50-C3"", ""x-amz-cf-id"": ""rMmjthBfZGikPyJPN0xnz2plBfP704JEbeqLrenR87YHDQh_rlvKPg=="", ""age"": ""17""}"
2,"GET / HTTP/1.1
Host: www.eventbrite.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,432,HTTP/1.1,0.148268461227417,0.13288187980651855,0.1586170196533203,200,OK,[''],24,24,14645,"{""content-type"": ""text/html"", ""transfer-encoding"": ""chunked"", ""connection"": ""keep-alive"", ""date"": ""Fri, 29 Sep 2023 21:22:23 GMT"", ""server"": ""nginx"", ""x-xss-protection"": ""1; mode=block"", ""x-content-type-options"": ""nosniff"", ""strict-transport-security"": ""max-age=31536000 ; includeSubDomains"", ""vary"": ""X-EB-Website-Context, X-EB-App-Context, Accept-Encoding"", ""x-permitted-cross-domain-policies"": ""none"", ""x-varnish-ttl"": ""60"", ""p3p"": ""CP=\""NOI ADM DEV PSAi COM NAV OUR OTRo STP IND DEM\"""", ""referrer-policy"": ""strict-origin-when-cross-origin"", ""x-frame-options"": ""SAMEORIGIN"", ""x-ua-compatible"": ""IE=edge"", ""content-encoding"": ""gzip"", ""x-varnish"": ""622801857 622965547"", ""via"": ""1.1 varnish (Varnish/5.1), 1.1 8a1ff83d003e2ec239013528078f9674.cloudfront.net (CloudFront)"", ""set-cookie"": ""csrftoken=480721f05f0e11eea207fb3f84d00146; Domain=.eventbrite.com; Max-Age=31449600; Path=/; secure; SameSite=None"", ""accept-ranges"": ""bytes"", ""x-cache"": ""Miss from cloudfront"", ""x-amz-cf-pop"": ""HAM50-C3"", ""x-amz-cf-id"": ""Tlp9c9UuMdvtfAicXGcglQB0-bMaEN-f15b6J8QYaPFGGuEECNPUDQ=="", ""age"": ""12""}"
3,"GET / HTTP/1.1
Host: www.eventbrite.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,432,HTTP/1.1,0.32881999015808105,0.16312742233276367,0.3417673110961914,200,OK,[''],24,24,7803,"{""content-type"": ""text/html"", ""transfer-encoding"": ""chunked"", ""connection"": ""keep-alive"", ""date"": ""Fri, 29 Sep 2023 21:22:27 GMT"", ""server"": ""nginx"", ""x-xss-protection"": ""1; mode=block"", ""x-content-type-options"": ""nosniff"", ""strict-transport-security"": ""max-age=31536000 ; includeSubDomains"", ""vary"": ""X-EB-Website-Context, X-EB-App-Context, Accept-Encoding"", ""x-permitted-cross-domain-policies"": ""none"", ""x-varnish-ttl"": ""60"", ""p3p"": ""CP=\""NOI ADM DEV PSAi COM NAV OUR OTRo STP IND DEM\"""", ""referrer-policy"": ""strict-origin-when-cross-origin"", ""x-frame-options"": ""SAMEORIGIN"", ""x-ua-compatible"": ""IE=edge"", ""content-encoding"": ""gzip"", ""x-varnish"": ""546678650 549172383"", ""via"": ""1.1 varnish (Varnish/5.1), 1.1 5b2b264287e9650401ad0bc63aa348e6.cloudfront.net (CloudFront)"", ""set-cookie"": ""csrftoken=4a3934e05f0e11ee8a536ffab589627a; Domain=.eventbrite.com; Max-Age=31449600; Path=/; secure; SameSite=None"", ""accept-ranges"": ""bytes"", ""x-cache"": ""Miss from cloudfront"", ""x-amz-cf-pop"": ""HAM50-C3"", ""x-amz-cf-id"": ""M-pSM75dO9XdcD6W83M-Aifz8TV_T0_407Ry1t-I6w3HJLBc0xKj4w=="", ""age"": ""23""}"
4,"GET / HTTP/1.1
Host: www.eventbrite.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,432,HTTP/1.1,0.16837573051452637,0.11928534507751465,0.15853261947631836,200,OK,[''],24,24,2187,"{""content-type"": ""text/html"", ""transfer-encoding"": ""chunked"", ""connection"": ""keep-alive"", ""date"": ""Fri, 29 Sep 2023 21:22:30 GMT"", ""server"": ""nginx"", ""x-xss-protection"": ""1; mode=block"", ""x-content-type-options"": ""nosniff"", ""strict-transport-security"": ""max-age=31536000 ; includeSubDomains"", ""vary"": ""X-EB-Website-Context, X-EB-App-Context, Accept-Encoding"", ""x-permitted-cross-domain-policies"": ""none"", ""x-varnish-ttl"": ""60"", ""p3p"": ""CP=\""NOI ADM DEV PSAi COM NAV OUR OTRo STP IND DEM\"""", ""referrer-policy"": ""strict-origin-when-cross-origin"", ""x-frame-options"": ""SAMEORIGIN"", ""x-ua-compatible"": ""IE=edge"", ""content-encoding"": ""gzip"", ""x-varnish"": ""580254299 622965547"", ""via"": ""1.1 varnish (Varnish/5.1), 1.1 b72dcd96a79949bc37276fd2465dc998.cloudfront.net (CloudFront)"", ""set-cookie"": ""csrftoken=4c099d3c5f0e11ee80bf37f0320cdef0; Domain=.eventbrite.com; Max-Age=31449600; Path=/; secure; SameSite=None"", ""accept-ranges"": ""bytes"", ""x-cache"": ""Miss from cloudfront"", ""x-amz-cf-pop"": ""HAM50-C3"", ""x-amz-cf-id"": ""vGUPbjF_f4msICxjzXUsktuQHmAKVwQoWaVknC958lm00rQG3Y97dA=="", ""age"": ""18""}"
5,"GET / HTTP/1.1
Host: www.eventbrite.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,432,HTTP/1.1,0.23152399063110352,0.1682276725769043,0.14391303062438965,200,OK,[''],24,24,2187,"{""content-type"": ""text/html"", ""transfer-encoding"": ""chunked"", ""connection"": ""keep-alive"", ""date"": ""Fri, 29 Sep 2023 21:22:33 GMT"", ""server"": ""nginx"", ""x-xss-protection"": ""1; mode=block"", ""x-content-type-options"": ""nosniff"", ""strict-transport-security"": ""max-age=31536000 ; includeSubDomains"", ""vary"": ""X-EB-Website-Context, X-EB-App-Context, Accept-Encoding"", ""x-permitted-cross-domain-policies"": ""none"", ""x-varnish-ttl"": ""60"", ""p3p"": ""CP=\""NOI ADM DEV PSAi COM NAV OUR OTRo STP IND DEM\"""", ""referrer-policy"": ""strict-origin-when-cross-origin"", ""x-frame-options"": ""SAMEORIGIN"", ""x-ua-compatible"": ""IE=edge"", ""set-cookie"": ""csrftoken=4df82c085f0e11ee8654df9467c7f320; Domain=.eventbrite.com; Max-Age=31449600; Path=/; secure; SameSite=None"", ""content-encoding"": ""gzip"", ""x-varnish"": ""521595449 546237985"", ""via"": ""1.1 varnish (Varnish/5.1), 1.1 b72dcd96a79949bc37276fd2465dc998.cloudfront.net (CloudFront)"", ""accept-ranges"": ""bytes"", ""x-cache"": ""Miss from cloudfront"", ""x-amz-cf-pop"": ""HAM50-C3"", ""x-amz-cf-id"": ""kvha2dg-Sl8J64mVSjOAkCqx6Y9MMeBziY3bacS-XUFiY7svu-mf0Q=="", ""age"": ""1""}"
6,"GET / HTTP/1.1
Host: www.eventbrite.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,432,HTTP/1.1,0.09461069107055664,0.10956978797912598,0.14548969268798828,200,OK,[''],24,24,14645,"{""content-type"": ""text/html"", ""transfer-encoding"": ""chunked"", ""connection"": ""keep-alive"", ""date"": ""Fri, 29 Sep 2023 21:22:36 GMT"", ""server"": ""nginx"", ""x-xss-protection"": ""1; mode=block"", ""x-content-type-options"": ""nosniff"", ""strict-transport-security"": ""max-age=31536000 ; includeSubDomains"", ""vary"": ""X-EB-Website-Context, X-EB-App-Context, Accept-Encoding"", ""x-permitted-cross-domain-policies"": ""none"", ""x-varnish-ttl"": ""60"", ""p3p"": ""CP=\""NOI ADM DEV PSAi COM NAV OUR OTRo STP IND DEM\"""", ""referrer-policy"": ""strict-origin-when-cross-origin"", ""x-frame-options"": ""SAMEORIGIN"", ""x-ua-compatible"": ""IE=edge"", ""content-encoding"": ""gzip"", ""x-varnish"": ""545411938 549172383"", ""via"": ""1.1 varnish (Varnish/5.1), 1.1 017544a774b4ea14958963973ae360f0.cloudfront.net (CloudFront)"", ""set-cookie"": ""csrftoken=4fb988c05f0e11ee92ec8b1fc4b0f05a; Domain=.eventbrite.com; Max-Age=31449600; Path=/; secure; SameSite=None"", ""accept-ranges"": ""bytes"", ""x-cache"": ""Miss from cloudfront"", ""x-amz-cf-pop"": ""HAM50-C3"", ""x-amz-cf-id"": ""n0z9avQNpEilJGicyzruRG7r1w0cnEAIkMIDgYRwzQRKNOCA5n0e9A=="", ""age"": ""33""}"
7,"GET / HTTP/1.1
Host: www.eventbrite.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,432,HTTP/1.1,0.348299503326416,0.1562047004699707,0.35667848587036133,200,OK,[''],24,24,7803,"{""content-type"": ""text/html"", ""transfer-encoding"": ""chunked"", ""connection"": ""keep-alive"", ""date"": ""Fri, 29 Sep 2023 21:22:39 GMT"", ""server"": ""nginx"", ""x-xss-protection"": ""1; mode=block"", ""x-content-type-options"": ""nosniff"", ""strict-transport-security"": ""max-age=31536000 ; includeSubDomains"", ""vary"": ""X-EB-Website-Context, X-EB-App-Context, Accept-Encoding"", ""x-permitted-cross-domain-policies"": ""none"", ""x-varnish-ttl"": ""60"", ""p3p"": ""CP=\""NOI ADM DEV PSAi COM NAV OUR OTRo STP IND DEM\"""", ""referrer-policy"": ""strict-origin-when-cross-origin"", ""x-frame-options"": ""SAMEORIGIN"", ""x-ua-compatible"": ""IE=edge"", ""content-encoding"": ""gzip"", ""x-varnish"": ""650430620 650795541"", ""via"": ""1.1 varnish (Varnish/5.1), 1.1 a432ddebfd10465526f121270421362a.cloudfront.net (CloudFront)"", ""set-cookie"": ""csrftoken=51a05a9c5f0e11eebcbe4bd8db73f0d6; Domain=.eventbrite.com; Max-Age=31449600; Path=/; secure; SameSite=None"", ""accept-ranges"": ""bytes"", ""x-cache"": ""Miss from cloudfront"", ""x-amz-cf-pop"": ""HAM50-C3"", ""x-amz-cf-id"": ""6mkM-ujnIz7S8CGi70-7Tqjy0jcqlAaZBoAJL5yvlsLwSl97vnOYLg=="", ""age"": ""46""}"
8,"GET / HTTP/1.1
Host: www.eventbrite.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,432,HTTP/1.1,0.21267962455749512,0.11098241806030273,0.1587998867034912,200,OK,[''],24,24,14645,"{""content-type"": ""text/html"", ""transfer-encoding"": ""chunked"", ""connection"": ""keep-alive"", ""date"": ""Fri, 29 Sep 2023 21:22:42 GMT"", ""server"": ""nginx"", ""x-xss-protection"": ""1; mode=block"", ""x-content-type-options"": ""nosniff"", ""strict-transport-security"": ""max-age=31536000 ; includeSubDomains"", ""vary"": ""X-EB-Website-Context, X-EB-App-Context, Accept-Encoding"", ""x-permitted-cross-domain-policies"": ""none"", ""x-varnish-ttl"": ""60"", ""p3p"": ""CP=\""NOI ADM DEV PSAi COM NAV OUR OTRo STP IND DEM\"""", ""referrer-policy"": ""strict-origin-when-cross-origin"", ""x-frame-options"": ""SAMEORIGIN"", ""x-ua-compatible"": ""IE=edge"", ""content-encoding"": ""gzip"", ""x-varnish"": ""543970282 549172383"", ""via"": ""1.1 varnish (Varnish/5.1), 1.1 6da6e07aeb89276b8f6fa46086b0c8c2.cloudfront.net (CloudFront)"", ""set-cookie"": ""csrftoken=536c85f85f0e11eeb476ffb839e86ec7; Domain=.eventbrite.com; Max-Age=31449600; Path=/; secure; SameSite=None"", ""accept-ranges"": ""bytes"", ""x-cache"": ""Miss from cloudfront"", ""x-amz-cf-pop"": ""HAM50-C3"", ""x-amz-cf-id"": ""lIDpODELWHAaW__a0tRFROG52vIfGUt4ueqolnIRKfEppp-DlbZMqQ=="", ""age"": ""39""}"
9,"GET / HTTP/1.1
Host: www.eventbrite.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,432,HTTP/1.1,0.24465036392211914,0.11609745025634766,0.17595577239990234,200,OK,[''],24,24,14646,"{""content-type"": ""text/html"", ""transfer-encoding"": ""chunked"", ""connection"": ""keep-alive"", ""date"": ""Fri, 29 Sep 2023 21:22:46 GMT"", ""server"": ""nginx"", ""x-xss-protection"": ""1; mode=block"", ""x-content-type-options"": ""nosniff"", ""strict-transport-security"": ""max-age=31536000 ; includeSubDomains"", ""vary"": ""X-EB-Website-Context, X-EB-App-Context, Accept-Encoding"", ""x-permitted-cross-domain-policies"": ""none"", ""x-varnish-ttl"": ""60"", ""p3p"": ""CP=\""NOI ADM DEV PSAi COM NAV OUR OTRo STP IND DEM\"""", ""referrer-policy"": ""strict-origin-when-cross-origin"", ""x-frame-options"": ""SAMEORIGIN"", ""x-ua-compatible"": ""IE=edge"", ""content-encoding"": ""gzip"", ""x-varnish"": ""597121195 599872236"", ""via"": ""1.1 varnish (Varnish/5.1), 1.1 c1fa4f08ddf9c5144bf29ba0fe671430.cloudfront.net (CloudFront)"", ""set-cookie"": ""csrftoken=557dd0365f0e11ee8a930f11bbb83b99; Domain=.eventbrite.com; Max-Age=31449600; Path=/; secure; SameSite=None"", ""accept-ranges"": ""bytes"", ""x-cache"": ""Miss from cloudfront"", ""x-amz-cf-pop"": ""HAM50-C3"", ""x-amz-cf-id"": ""TbZqCFSfdchlYprogF3g6gDdnqRBFyEEIIIb2Ynv-bO_kieX9mRweg=="", ""age"": ""6""}"
