number,request,deviation_count,uri,request_length,http_version,Socket_Connect_Time,Socket_Close_Time,Response_Time,status_code,reason_phrase,error_message,response_header_count,response_header_length,response_body_length,response_header_fields
0,"GET / HTTP/1.1
Host: www.branch.io
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,427,HTTP/1.1,0.20288777351379395,0.11752605438232422,0.17107057571411133,200,OK,[''],22,22,317,"{""date"": ""Fri, 29 Sep 2023 21:22:26 GMT"", ""content-type"": ""text/html; charset=UTF-8"", ""transfer-encoding"": ""chunked"", ""connection"": ""keep-alive"", ""vary"": ""Accept-Encoding,Cookie"", ""last-modified"": ""Thu, 28 Sep 2023 06:23:54 GMT"", ""link"": ""<https://www.branch.io/>; rel=shortlink"", ""x-cacheable"": ""SHORT"", ""cache-control"": ""max-age=600, must-revalidate"", ""x-cache"": ""HIT: 12"", ""x-cache-group"": ""normal"", ""permissions-policy"": ""geolocation=(), midi=(), sync-xhr=(), microphone=*, camera=*, magnetometer=(), gyroscope=(), fullscreen=*, payment=()"", ""referrer-policy"": ""origin-when-cross-origin"", ""strict-transport-security"": ""max-age=63072000;"", ""x-content-type-options"": ""nosniff"", ""x-frame-options"": ""deny"", ""x-xss-protection"": ""1;"", ""cf-cache-status"": ""DYNAMIC"", ""server"": ""cloudflare"", ""cf-ray"": ""80e74811e894b8c7-AMS"", ""content-encoding"": ""br"", ""alt-svc"": ""h3=\"":443\""; ma=86400""}"
1,"GET / HTTP/1.1
Host: www.branch.io
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,427,HTTP/1.1,0.24851560592651367,0.11136317253112793,0.18904471397399902,200,OK,[''],22,22,311,"{""date"": ""Fri, 29 Sep 2023 21:22:30 GMT"", ""content-type"": ""text/html; charset=UTF-8"", ""transfer-encoding"": ""chunked"", ""connection"": ""keep-alive"", ""vary"": ""Accept-Encoding,Cookie"", ""last-modified"": ""Thu, 28 Sep 2023 06:23:54 GMT"", ""link"": ""<https://www.branch.io/>; rel=shortlink"", ""x-cacheable"": ""SHORT"", ""cache-control"": ""max-age=600, must-revalidate"", ""x-cache"": ""HIT: 14"", ""x-cache-group"": ""normal"", ""permissions-policy"": ""geolocation=(), midi=(), sync-xhr=(), microphone=*, camera=*, magnetometer=(), gyroscope=(), fullscreen=*, payment=()"", ""referrer-policy"": ""origin-when-cross-origin"", ""strict-transport-security"": ""max-age=63072000;"", ""x-content-type-options"": ""nosniff"", ""x-frame-options"": ""deny"", ""x-xss-protection"": ""1;"", ""cf-cache-status"": ""DYNAMIC"", ""server"": ""cloudflare"", ""cf-ray"": ""80e74828fff1b954-AMS"", ""content-encoding"": ""br"", ""alt-svc"": ""h3=\"":443\""; ma=86400""}"
2,"GET / HTTP/1.1
Host: www.branch.io
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,427,HTTP/1.1,0.15718436241149902,0.10127139091491699,0.1916489601135254,200,OK,[''],22,22,311,"{""date"": ""Fri, 29 Sep 2023 21:22:33 GMT"", ""content-type"": ""text/html; charset=UTF-8"", ""transfer-encoding"": ""chunked"", ""connection"": ""keep-alive"", ""vary"": ""Accept-Encoding,Cookie"", ""last-modified"": ""Thu, 28 Sep 2023 06:23:54 GMT"", ""link"": ""<https://www.branch.io/>; rel=shortlink"", ""x-cacheable"": ""SHORT"", ""cache-control"": ""max-age=600, must-revalidate"", ""x-cache"": ""HIT: 15"", ""x-cache-group"": ""normal"", ""permissions-policy"": ""geolocation=(), midi=(), sync-xhr=(), microphone=*, camera=*, magnetometer=(), gyroscope=(), fullscreen=*, payment=()"", ""referrer-policy"": ""origin-when-cross-origin"", ""strict-transport-security"": ""max-age=63072000;"", ""x-content-type-options"": ""nosniff"", ""x-frame-options"": ""deny"", ""x-xss-protection"": ""1;"", ""cf-cache-status"": ""DYNAMIC"", ""server"": ""cloudflare"", ""cf-ray"": ""80e7483c1b76415a-AMS"", ""content-encoding"": ""br"", ""alt-svc"": ""h3=\"":443\""; ma=86400""}"
3,"GET / HTTP/1.1
Host: www.branch.io
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,427,HTTP/1.1,0.1961994171142578,0.11800098419189453,0.1947484016418457,200,OK,[''],22,22,311,"{""date"": ""Fri, 29 Sep 2023 21:22:36 GMT"", ""content-type"": ""text/html; charset=UTF-8"", ""transfer-encoding"": ""chunked"", ""connection"": ""keep-alive"", ""vary"": ""Accept-Encoding,Cookie"", ""last-modified"": ""Thu, 28 Sep 2023 06:23:54 GMT"", ""link"": ""<https://www.branch.io/>; rel=shortlink"", ""x-cacheable"": ""SHORT"", ""cache-control"": ""max-age=600, must-revalidate"", ""x-cache"": ""HIT: 17"", ""x-cache-group"": ""normal"", ""permissions-policy"": ""geolocation=(), midi=(), sync-xhr=(), microphone=*, camera=*, magnetometer=(), gyroscope=(), fullscreen=*, payment=()"", ""referrer-policy"": ""origin-when-cross-origin"", ""strict-transport-security"": ""max-age=63072000;"", ""x-content-type-options"": ""nosniff"", ""x-frame-options"": ""deny"", ""x-xss-protection"": ""1;"", ""cf-cache-status"": ""DYNAMIC"", ""server"": ""cloudflare"", ""cf-ray"": ""80e7484e7d50b8c7-AMS"", ""content-encoding"": ""br"", ""alt-svc"": ""h3=\"":443\""; ma=86400""}"
4,"GET / HTTP/1.1
Host: www.branch.io
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,427,HTTP/1.1,0.1313309669494629,0.10169768333435059,0.17282915115356445,200,OK,[''],22,22,297,"{""date"": ""Fri, 29 Sep 2023 21:22:38 GMT"", ""content-type"": ""text/html; charset=UTF-8"", ""transfer-encoding"": ""chunked"", ""connection"": ""keep-alive"", ""vary"": ""Accept-Encoding,Cookie"", ""last-modified"": ""Thu, 28 Sep 2023 06:23:54 GMT"", ""link"": ""<https://www.branch.io/>; rel=shortlink"", ""x-cacheable"": ""SHORT"", ""cache-control"": ""max-age=600, must-revalidate"", ""x-cache"": ""HIT: 21"", ""x-cache-group"": ""normal"", ""permissions-policy"": ""geolocation=(), midi=(), sync-xhr=(), microphone=*, camera=*, magnetometer=(), gyroscope=(), fullscreen=*, payment=()"", ""referrer-policy"": ""origin-when-cross-origin"", ""strict-transport-security"": ""max-age=63072000;"", ""x-content-type-options"": ""nosniff"", ""x-frame-options"": ""deny"", ""x-xss-protection"": ""1;"", ""cf-cache-status"": ""DYNAMIC"", ""server"": ""cloudflare"", ""cf-ray"": ""80e748603fcbb8c6-AMS"", ""content-encoding"": ""br"", ""alt-svc"": ""h3=\"":443\""; ma=86400""}"
5,"GET / HTTP/1.1
Host: www.branch.io
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,427,HTTP/1.1,0.26663994789123535,0.10742616653442383,0.21925759315490723,200,OK,[''],22,22,311,"{""date"": ""Fri, 29 Sep 2023 21:22:42 GMT"", ""content-type"": ""text/html; charset=UTF-8"", ""transfer-encoding"": ""chunked"", ""connection"": ""keep-alive"", ""vary"": ""Accept-Encoding,Cookie"", ""last-modified"": ""Thu, 28 Sep 2023 06:23:54 GMT"", ""link"": ""<https://www.branch.io/>; rel=shortlink"", ""x-cacheable"": ""SHORT"", ""cache-control"": ""max-age=600, must-revalidate"", ""x-cache"": ""HIT: 22"", ""x-cache-group"": ""normal"", ""permissions-policy"": ""geolocation=(), midi=(), sync-xhr=(), microphone=*, camera=*, magnetometer=(), gyroscope=(), fullscreen=*, payment=()"", ""referrer-policy"": ""origin-when-cross-origin"", ""strict-transport-security"": ""max-age=63072000;"", ""x-content-type-options"": ""nosniff"", ""x-frame-options"": ""deny"", ""x-xss-protection"": ""1;"", ""cf-cache-status"": ""DYNAMIC"", ""server"": ""cloudflare"", ""cf-ray"": ""80e74874f81cb8a6-AMS"", ""content-encoding"": ""br"", ""alt-svc"": ""h3=\"":443\""; ma=86400""}"
6,"GET / HTTP/1.1
Host: www.branch.io
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,427,HTTP/1.1,0.2057056427001953,0.11232709884643555,0.16792559623718262,200,OK,[''],22,22,314,"{""date"": ""Fri, 29 Sep 2023 21:22:45 GMT"", ""content-type"": ""text/html; charset=UTF-8"", ""transfer-encoding"": ""chunked"", ""connection"": ""keep-alive"", ""vary"": ""Accept-Encoding,Cookie"", ""last-modified"": ""Thu, 28 Sep 2023 06:23:54 GMT"", ""link"": ""<https://www.branch.io/>; rel=shortlink"", ""x-cacheable"": ""SHORT"", ""cache-control"": ""max-age=600, must-revalidate"", ""x-cache"": ""HIT: 23"", ""x-cache-group"": ""normal"", ""permissions-policy"": ""geolocation=(), midi=(), sync-xhr=(), microphone=*, camera=*, magnetometer=(), gyroscope=(), fullscreen=*, payment=()"", ""referrer-policy"": ""origin-when-cross-origin"", ""strict-transport-security"": ""max-age=63072000;"", ""x-content-type-options"": ""nosniff"", ""x-frame-options"": ""deny"", ""x-xss-protection"": ""1;"", ""cf-cache-status"": ""DYNAMIC"", ""server"": ""cloudflare"", ""cf-ray"": ""80e74887f9df416c-AMS"", ""content-encoding"": ""br"", ""alt-svc"": ""h3=\"":443\""; ma=86400""}"
7,"GET / HTTP/1.1
Host: www.branch.io
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,427,HTTP/1.1,0.126939058303833,0.13170886039733887,0.21745991706848145,200,OK,[''],22,22,252,"{""date"": ""Fri, 29 Sep 2023 21:22:48 GMT"", ""content-type"": ""text/html; charset=UTF-8"", ""transfer-encoding"": ""chunked"", ""connection"": ""keep-alive"", ""vary"": ""Accept-Encoding,Cookie"", ""last-modified"": ""Thu, 28 Sep 2023 06:23:54 GMT"", ""link"": ""<https://www.branch.io/>; rel=shortlink"", ""x-cacheable"": ""SHORT"", ""cache-control"": ""max-age=600, must-revalidate"", ""x-cache"": ""HIT: 24"", ""x-cache-group"": ""normal"", ""permissions-policy"": ""geolocation=(), midi=(), sync-xhr=(), microphone=*, camera=*, magnetometer=(), gyroscope=(), fullscreen=*, payment=()"", ""referrer-policy"": ""origin-when-cross-origin"", ""strict-transport-security"": ""max-age=63072000;"", ""x-content-type-options"": ""nosniff"", ""x-frame-options"": ""deny"", ""x-xss-protection"": ""1;"", ""cf-cache-status"": ""DYNAMIC"", ""server"": ""cloudflare"", ""cf-ray"": ""80e74899fecbb7a3-AMS"", ""content-encoding"": ""br"", ""alt-svc"": ""h3=\"":443\""; ma=86400""}"
8,"GET / HTTP/1.1
Host: www.branch.io
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,427,HTTP/1.1,0.34242916107177734,0.11429214477539062,0.2179584503173828,200,OK,[''],22,22,310,"{""date"": ""Fri, 29 Sep 2023 21:22:51 GMT"", ""content-type"": ""text/html; charset=UTF-8"", ""transfer-encoding"": ""chunked"", ""connection"": ""keep-alive"", ""vary"": ""Accept-Encoding,Cookie"", ""last-modified"": ""Thu, 28 Sep 2023 06:23:54 GMT"", ""link"": ""<https://www.branch.io/>; rel=shortlink"", ""x-cacheable"": ""SHORT"", ""cache-control"": ""max-age=600, must-revalidate"", ""x-cache"": ""HIT: 25"", ""x-cache-group"": ""normal"", ""permissions-policy"": ""geolocation=(), midi=(), sync-xhr=(), microphone=*, camera=*, magnetometer=(), gyroscope=(), fullscreen=*, payment=()"", ""referrer-policy"": ""origin-when-cross-origin"", ""strict-transport-security"": ""max-age=63072000;"", ""x-content-type-options"": ""nosniff"", ""x-frame-options"": ""deny"", ""x-xss-protection"": ""1;"", ""cf-cache-status"": ""DYNAMIC"", ""server"": ""cloudflare"", ""cf-ray"": ""80e748adcdb0b790-AMS"", ""content-encoding"": ""br"", ""alt-svc"": ""h3=\"":443\""; ma=86400""}"
9,"GET / HTTP/1.1
Host: www.branch.io
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,427,HTTP/1.1,0.22148966789245605,0.10592985153198242,0.19388842582702637,200,OK,[''],22,22,317,"{""date"": ""Fri, 29 Sep 2023 21:22:54 GMT"", ""content-type"": ""text/html; charset=UTF-8"", ""transfer-encoding"": ""chunked"", ""connection"": ""keep-alive"", ""vary"": ""Accept-Encoding,Cookie"", ""last-modified"": ""Thu, 28 Sep 2023 06:23:54 GMT"", ""link"": ""<https://www.branch.io/>; rel=shortlink"", ""x-cacheable"": ""SHORT"", ""cache-control"": ""max-age=600, must-revalidate"", ""x-cache"": ""HIT: 27"", ""x-cache-group"": ""normal"", ""permissions-policy"": ""geolocation=(), midi=(), sync-xhr=(), microphone=*, camera=*, magnetometer=(), gyroscope=(), fullscreen=*, payment=()"", ""referrer-policy"": ""origin-when-cross-origin"", ""strict-transport-security"": ""max-age=63072000;"", ""x-content-type-options"": ""nosniff"", ""x-frame-options"": ""deny"", ""x-xss-protection"": ""1;"", ""cf-cache-status"": ""DYNAMIC"", ""server"": ""cloudflare"", ""cf-ray"": ""80e748c1395f5c48-AMS"", ""content-encoding"": ""br"", ""alt-svc"": ""h3=\"":443\""; ma=86400""}"
