number,request,deviation_count,uri,request_length,http_version,Socket_Connect_Time,Socket_Close_Time,Response_Time,status_code,reason_phrase,error_message,response_header_count,response_header_length,response_body_length,response_header_fields
0,"GET / HTTP/1.1
Host: www.cnet.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,426,HTTP/1.1,0.18323707580566406,0.1240987777709961,0.1560070514678955,200,OK,[''],11,11,0,"{""connection"": ""keep-alive"", ""content-length"": ""173451"", ""content-encoding"": ""gzip"", ""content-type"": ""text/html; charset=utf-8"", ""last-modified"": ""Fri, 29 Sep 2023 21:19:57 GMT"", ""date"": ""Fri, 29 Sep 2023 21:22:34 GMT"", ""set-cookie"": ""country_code=de; max-age=604800; path=/; domain=.cnet.com; Secure; SameSite=Lax;"", ""vary"": ""Accept-Encoding, User-Agent"", ""cache-control"": ""max-age=300, private"", ""strict-transport-security"": ""max-age=63072000; includeSubDomains; preload"", ""accept-ranges"": ""bytes""}"
1,"GET / HTTP/1.1
Host: www.cnet.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,426,HTTP/1.1,0.18350696563720703,0.11072492599487305,0.14113259315490723,200,OK,[''],11,11,0,"{""connection"": ""keep-alive"", ""content-length"": ""173451"", ""content-encoding"": ""gzip"", ""content-type"": ""text/html; charset=utf-8"", ""last-modified"": ""Fri, 29 Sep 2023 21:19:57 GMT"", ""date"": ""Fri, 29 Sep 2023 21:22:37 GMT"", ""set-cookie"": ""country_code=de; max-age=604800; path=/; domain=.cnet.com; Secure; SameSite=Lax;"", ""vary"": ""Accept-Encoding, User-Agent"", ""cache-control"": ""max-age=300, private"", ""strict-transport-security"": ""max-age=63072000; includeSubDomains; preload"", ""accept-ranges"": ""bytes""}"
2,"GET / HTTP/1.1
Host: www.cnet.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,426,HTTP/1.1,0.22446036338806152,0.10313248634338379,0.1452770233154297,200,OK,[''],11,11,0,"{""connection"": ""keep-alive"", ""content-length"": ""173451"", ""content-encoding"": ""gzip"", ""content-type"": ""text/html; charset=utf-8"", ""last-modified"": ""Fri, 29 Sep 2023 21:19:57 GMT"", ""date"": ""Fri, 29 Sep 2023 21:22:40 GMT"", ""set-cookie"": ""country_code=de; max-age=604800; path=/; domain=.cnet.com; Secure; SameSite=Lax;"", ""vary"": ""Accept-Encoding, User-Agent"", ""cache-control"": ""max-age=300, private"", ""strict-transport-security"": ""max-age=63072000; includeSubDomains; preload"", ""accept-ranges"": ""bytes""}"
3,"GET / HTTP/1.1
Host: www.cnet.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,426,HTTP/1.1,0.2338573932647705,0.10594415664672852,0.12543725967407227,200,OK,[''],11,11,0,"{""connection"": ""keep-alive"", ""content-length"": ""173451"", ""content-encoding"": ""gzip"", ""content-type"": ""text/html; charset=utf-8"", ""last-modified"": ""Fri, 29 Sep 2023 21:19:57 GMT"", ""date"": ""Fri, 29 Sep 2023 21:22:42 GMT"", ""set-cookie"": ""country_code=de; max-age=604800; path=/; domain=.cnet.com; Secure; SameSite=Lax;"", ""vary"": ""Accept-Encoding, User-Agent"", ""cache-control"": ""max-age=300, private"", ""strict-transport-security"": ""max-age=63072000; includeSubDomains; preload"", ""accept-ranges"": ""bytes""}"
4,"GET / HTTP/1.1
Host: www.cnet.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,426,HTTP/1.1,0.28426408767700195,0.11616992950439453,0.1417677402496338,200,OK,[''],11,11,0,"{""connection"": ""keep-alive"", ""content-length"": ""173451"", ""content-encoding"": ""gzip"", ""content-type"": ""text/html; charset=utf-8"", ""last-modified"": ""Fri, 29 Sep 2023 21:19:57 GMT"", ""date"": ""Fri, 29 Sep 2023 21:22:46 GMT"", ""set-cookie"": ""country_code=de; max-age=604800; path=/; domain=.cnet.com; Secure; SameSite=Lax;"", ""vary"": ""Accept-Encoding, User-Agent"", ""cache-control"": ""max-age=300, private"", ""strict-transport-security"": ""max-age=63072000; includeSubDomains; preload"", ""accept-ranges"": ""bytes""}"
5,"GET / HTTP/1.1
Host: www.cnet.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,426,HTTP/1.1,0.1737194061279297,0.11852312088012695,0.13542532920837402,200,OK,[''],11,11,0,"{""connection"": ""keep-alive"", ""content-length"": ""173451"", ""content-encoding"": ""gzip"", ""content-type"": ""text/html; charset=utf-8"", ""last-modified"": ""Fri, 29 Sep 2023 21:19:57 GMT"", ""date"": ""Fri, 29 Sep 2023 21:22:49 GMT"", ""set-cookie"": ""country_code=de; max-age=604800; path=/; domain=.cnet.com; Secure; SameSite=Lax;"", ""vary"": ""Accept-Encoding, User-Agent"", ""cache-control"": ""max-age=300, private"", ""strict-transport-security"": ""max-age=63072000; includeSubDomains; preload"", ""accept-ranges"": ""bytes""}"
6,"GET / HTTP/1.1
Host: www.cnet.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,426,HTTP/1.1,0.24422740936279297,0.11062312126159668,0.14002084732055664,200,OK,[''],11,11,0,"{""connection"": ""keep-alive"", ""content-length"": ""173451"", ""content-encoding"": ""gzip"", ""content-type"": ""text/html; charset=utf-8"", ""last-modified"": ""Fri, 29 Sep 2023 21:19:57 GMT"", ""date"": ""Fri, 29 Sep 2023 21:22:51 GMT"", ""set-cookie"": ""country_code=de; max-age=604800; path=/; domain=.cnet.com; Secure; SameSite=Lax;"", ""vary"": ""Accept-Encoding, User-Agent"", ""cache-control"": ""max-age=300, private"", ""strict-transport-security"": ""max-age=63072000; includeSubDomains; preload"", ""accept-ranges"": ""bytes""}"
7,"GET / HTTP/1.1
Host: www.cnet.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,426,HTTP/1.1,0.22548866271972656,0.11376452445983887,0.1536099910736084,200,OK,[''],11,11,0,"{""connection"": ""keep-alive"", ""content-length"": ""173451"", ""content-encoding"": ""gzip"", ""content-type"": ""text/html; charset=utf-8"", ""last-modified"": ""Fri, 29 Sep 2023 21:19:57 GMT"", ""date"": ""Fri, 29 Sep 2023 21:22:55 GMT"", ""set-cookie"": ""country_code=de; max-age=604800; path=/; domain=.cnet.com; Secure; SameSite=Lax;"", ""vary"": ""Accept-Encoding, User-Agent"", ""cache-control"": ""max-age=300, private"", ""strict-transport-security"": ""max-age=63072000; includeSubDomains; preload"", ""accept-ranges"": ""bytes""}"
8,"GET / HTTP/1.1
Host: www.cnet.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,426,HTTP/1.1,0.20656847953796387,0.12305569648742676,0.13434267044067383,200,OK,[''],11,11,0,"{""connection"": ""keep-alive"", ""content-length"": ""173451"", ""content-encoding"": ""gzip"", ""content-type"": ""text/html; charset=utf-8"", ""last-modified"": ""Fri, 29 Sep 2023 21:19:57 GMT"", ""date"": ""Fri, 29 Sep 2023 21:22:58 GMT"", ""set-cookie"": ""country_code=de; max-age=604800; path=/; domain=.cnet.com; Secure; SameSite=Lax;"", ""vary"": ""Accept-Encoding, User-Agent"", ""cache-control"": ""max-age=300, private"", ""strict-transport-security"": ""max-age=63072000; includeSubDomains; preload"", ""accept-ranges"": ""bytes""}"
9,"GET / HTTP/1.1
Host: www.cnet.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,426,HTTP/1.1,0.1804192066192627,0.11248540878295898,0.13688993453979492,200,OK,[''],11,11,0,"{""connection"": ""keep-alive"", ""content-length"": ""173451"", ""content-encoding"": ""gzip"", ""content-type"": ""text/html; charset=utf-8"", ""last-modified"": ""Fri, 29 Sep 2023 21:19:57 GMT"", ""date"": ""Fri, 29 Sep 2023 21:23:01 GMT"", ""set-cookie"": ""country_code=de; max-age=604800; path=/; domain=.cnet.com; Secure; SameSite=Lax;"", ""vary"": ""Accept-Encoding, User-Agent"", ""cache-control"": ""max-age=300, private"", ""strict-transport-security"": ""max-age=63072000; includeSubDomains; preload"", ""accept-ranges"": ""bytes""}"
