number,request,deviation_count,uri,request_length,http_version,Socket_Connect_Time,Socket_Close_Time,Response_Time,status_code,reason_phrase,error_message,response_header_count,response_header_length,response_body_length,response_header_fields
0,"GET / HTTP/1.1
Host: www.ntp.org
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,425,HTTP/1.1,0.5754556655883789,0.11123204231262207,0.12749290466308594,200,OK,[''],8,8,1214,"{""date"": ""Fri, 29 Sep 2023 22:10:25 GMT"", ""server"": ""Apache"", ""last-modified"": ""Wed, 06 Sep 2023 17:04:38 GMT"", ""etag"": ""\""1ec0-604b3bd14ceef\"""", ""accept-ranges"": ""bytes"", ""content-length"": ""7872"", ""content-type"": ""text/html"", ""strict-transport-security"": ""max-age-16000000; includeSubDomains; preload;""}"
1,"GET / HTTP/1.1
Host: www.ntp.org
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,425,HTTP/1.1,0.46898794174194336,0.11388826370239258,0.155914306640625,200,OK,[''],8,8,7872,"{""date"": ""Fri, 29 Sep 2023 22:10:28 GMT"", ""server"": ""Apache"", ""last-modified"": ""Wed, 06 Sep 2023 17:04:38 GMT"", ""etag"": ""\""1ec0-604b3bd14ceef\"""", ""accept-ranges"": ""bytes"", ""content-length"": ""7872"", ""content-type"": ""text/html"", ""strict-transport-security"": ""max-age-16000000; includeSubDomains; preload;""}"
2,"GET / HTTP/1.1
Host: www.ntp.org
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,425,HTTP/1.1,0.453463077545166,0.13141608238220215,0.27078676223754883,200,OK,[''],8,8,974,"{""date"": ""Fri, 29 Sep 2023 22:10:30 GMT"", ""server"": ""Apache"", ""last-modified"": ""Wed, 06 Sep 2023 17:04:38 GMT"", ""etag"": ""\""1ec0-604b3bd14ceef\"""", ""accept-ranges"": ""bytes"", ""content-length"": ""7872"", ""content-type"": ""text/html"", ""strict-transport-security"": ""max-age-16000000; includeSubDomains; preload;""}"
3,"GET / HTTP/1.1
Host: www.ntp.org
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,425,HTTP/1.1,0.4366436004638672,0.11061644554138184,0.23464632034301758,200,OK,[''],8,8,974,"{""date"": ""Fri, 29 Sep 2023 22:10:33 GMT"", ""server"": ""Apache"", ""last-modified"": ""Wed, 06 Sep 2023 17:04:38 GMT"", ""etag"": ""\""1ec0-604b3bd14ceef\"""", ""accept-ranges"": ""bytes"", ""content-length"": ""7872"", ""content-type"": ""text/html"", ""strict-transport-security"": ""max-age-16000000; includeSubDomains; preload;""}"
4,"GET / HTTP/1.1
Host: www.ntp.org
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,425,HTTP/1.1,0.45174670219421387,0.10335326194763184,0.2531006336212158,200,OK,[''],8,8,974,"{""date"": ""Fri, 29 Sep 2023 22:10:36 GMT"", ""server"": ""Apache"", ""last-modified"": ""Wed, 06 Sep 2023 17:04:38 GMT"", ""etag"": ""\""1ec0-604b3bd14ceef\"""", ""accept-ranges"": ""bytes"", ""content-length"": ""7872"", ""content-type"": ""text/html"", ""strict-transport-security"": ""max-age-16000000; includeSubDomains; preload;""}"
5,"GET / HTTP/1.1
Host: www.ntp.org
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,425,HTTP/1.1,0.4666144847869873,0.13525843620300293,0.12562131881713867,200,OK,[''],8,8,5558,"{""date"": ""Fri, 29 Sep 2023 22:10:38 GMT"", ""server"": ""Apache"", ""last-modified"": ""Wed, 06 Sep 2023 17:04:38 GMT"", ""etag"": ""\""1ec0-604b3bd14ceef\"""", ""accept-ranges"": ""bytes"", ""content-length"": ""7872"", ""content-type"": ""text/html"", ""strict-transport-security"": ""max-age-16000000; includeSubDomains; preload;""}"
6,"GET / HTTP/1.1
Host: www.ntp.org
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,425,HTTP/1.1,0.4410982131958008,0.11178374290466309,0.14526700973510742,200,OK,[''],8,8,2662,"{""date"": ""Fri, 29 Sep 2023 22:10:41 GMT"", ""server"": ""Apache"", ""last-modified"": ""Wed, 06 Sep 2023 17:04:38 GMT"", ""etag"": ""\""1ec0-604b3bd14ceef\"""", ""accept-ranges"": ""bytes"", ""content-length"": ""7872"", ""content-type"": ""text/html"", ""strict-transport-security"": ""max-age-16000000; includeSubDomains; preload;""}"
7,"GET / HTTP/1.1
Host: www.ntp.org
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,425,HTTP/1.1,0.45491504669189453,0.11034536361694336,0.1284925937652588,200,OK,[''],8,8,1214,"{""date"": ""Fri, 29 Sep 2023 22:10:43 GMT"", ""server"": ""Apache"", ""last-modified"": ""Wed, 06 Sep 2023 17:04:38 GMT"", ""etag"": ""\""1ec0-604b3bd14ceef\"""", ""accept-ranges"": ""bytes"", ""content-length"": ""7872"", ""content-type"": ""text/html"", ""strict-transport-security"": ""max-age-16000000; includeSubDomains; preload;""}"
8,"GET / HTTP/1.1
Host: www.ntp.org
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,425,HTTP/1.1,0.468003511428833,0.10142350196838379,0.12743163108825684,200,OK,[''],8,8,4110,"{""date"": ""Fri, 29 Sep 2023 22:10:45 GMT"", ""server"": ""Apache"", ""last-modified"": ""Wed, 06 Sep 2023 17:04:38 GMT"", ""etag"": ""\""1ec0-604b3bd14ceef\"""", ""accept-ranges"": ""bytes"", ""content-length"": ""7872"", ""content-type"": ""text/html"", ""strict-transport-security"": ""max-age-16000000; includeSubDomains; preload;""}"
9,"GET / HTTP/1.1
Host: www.ntp.org
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,425,HTTP/1.1,0.4577789306640625,0.1250307559967041,0.13477778434753418,200,OK,[''],8,8,1214,"{""date"": ""Fri, 29 Sep 2023 22:10:48 GMT"", ""server"": ""Apache"", ""last-modified"": ""Wed, 06 Sep 2023 17:04:38 GMT"", ""etag"": ""\""1ec0-604b3bd14ceef\"""", ""accept-ranges"": ""bytes"", ""content-length"": ""7872"", ""content-type"": ""text/html"", ""strict-transport-security"": ""max-age-16000000; includeSubDomains; preload;""}"
