number,request,deviation_count,uri,request_length,http_version,Socket_Connect_Time,Socket_Close_Time,Response_Time,status_code,reason_phrase,error_message,response_header_count,response_header_length,response_body_length,response_header_fields
0,"GET / HTTP/1.1
Host: www.opera.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,427,HTTP/1.1,0.18421077728271484,0.11254358291625977,0.14554905891418457,200,OK,[''],14,14,14991,"{""date"": ""Fri, 29 Sep 2023 22:10:31 GMT"", ""content-type"": ""text/html; charset=utf-8"", ""content-length"": ""16678"", ""connection"": ""keep-alive"", ""content-language"": ""en"", ""referrer-policy"": ""strict-origin-when-cross-origin"", ""cache-control"": ""max-age=3600"", ""content-encoding"": ""gzip"", ""vary"": ""Accept-Encoding"", ""x-content-type-options"": ""nosniff"", ""x-frame-options"": ""SAMEORIGIN"", ""strict-transport-security"": ""max-age=63072000; includeSubdomains; preload"", ""content-security-policy"": ""frame-ancestors 'self' https://*.opera.com; upgrade-insecure-requests;"", ""accept-ranges"": ""bytes""}"
1,"GET / HTTP/1.1
Host: www.opera.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,427,HTTP/1.1,0.17982006072998047,0.10830211639404297,0.07889342308044434,200,OK,[''],14,14,15039,"{""date"": ""Fri, 29 Sep 2023 22:10:33 GMT"", ""content-type"": ""text/html; charset=utf-8"", ""content-length"": ""16677"", ""connection"": ""keep-alive"", ""content-language"": ""en"", ""referrer-policy"": ""strict-origin-when-cross-origin"", ""cache-control"": ""max-age=3600"", ""content-encoding"": ""gzip"", ""vary"": ""Accept-Encoding"", ""x-content-type-options"": ""nosniff"", ""x-frame-options"": ""SAMEORIGIN"", ""strict-transport-security"": ""max-age=63072000; includeSubdomains; preload"", ""content-security-policy"": ""frame-ancestors 'self' https://*.opera.com; upgrade-insecure-requests;"", ""accept-ranges"": ""bytes""}"
2,"GET / HTTP/1.1
Host: www.opera.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,427,HTTP/1.1,0.2588164806365967,0.17895126342773438,0.23779034614562988,200,OK,[''],14,14,15039,"{""date"": ""Fri, 29 Sep 2023 22:10:36 GMT"", ""content-type"": ""text/html; charset=utf-8"", ""content-length"": ""16677"", ""connection"": ""keep-alive"", ""content-language"": ""en"", ""referrer-policy"": ""strict-origin-when-cross-origin"", ""cache-control"": ""max-age=3600"", ""content-encoding"": ""gzip"", ""vary"": ""Accept-Encoding"", ""x-content-type-options"": ""nosniff"", ""x-frame-options"": ""SAMEORIGIN"", ""strict-transport-security"": ""max-age=63072000; includeSubdomains; preload"", ""content-security-policy"": ""frame-ancestors 'self' https://*.opera.com; upgrade-insecure-requests;"", ""accept-ranges"": ""bytes""}"
3,"GET / HTTP/1.1
Host: www.opera.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,427,HTTP/1.1,0.173783540725708,0.11418938636779785,0.06922221183776855,200,OK,[''],14,14,15039,"{""date"": ""Fri, 29 Sep 2023 22:10:39 GMT"", ""content-type"": ""text/html; charset=utf-8"", ""content-length"": ""16677"", ""connection"": ""keep-alive"", ""content-language"": ""en"", ""referrer-policy"": ""strict-origin-when-cross-origin"", ""cache-control"": ""max-age=3600"", ""content-encoding"": ""gzip"", ""vary"": ""Accept-Encoding"", ""x-content-type-options"": ""nosniff"", ""x-frame-options"": ""SAMEORIGIN"", ""strict-transport-security"": ""max-age=63072000; includeSubdomains; preload"", ""content-security-policy"": ""frame-ancestors 'self' https://*.opera.com; upgrade-insecure-requests;"", ""accept-ranges"": ""bytes""}"
4,"GET / HTTP/1.1
Host: www.opera.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,427,HTTP/1.1,0.16843223571777344,0.11529278755187988,0.21370625495910645,200,OK,[''],14,14,15039,"{""date"": ""Fri, 29 Sep 2023 22:10:41 GMT"", ""content-type"": ""text/html; charset=utf-8"", ""content-length"": ""16677"", ""connection"": ""keep-alive"", ""content-language"": ""en"", ""referrer-policy"": ""strict-origin-when-cross-origin"", ""cache-control"": ""max-age=3600"", ""content-encoding"": ""gzip"", ""vary"": ""Accept-Encoding"", ""x-content-type-options"": ""nosniff"", ""x-frame-options"": ""SAMEORIGIN"", ""strict-transport-security"": ""max-age=63072000; includeSubdomains; preload"", ""content-security-policy"": ""frame-ancestors 'self' https://*.opera.com; upgrade-insecure-requests;"", ""accept-ranges"": ""bytes""}"
5,"GET / HTTP/1.1
Host: www.opera.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,427,HTTP/1.1,0.14676308631896973,0.1110527515411377,0.14531445503234863,200,OK,[''],14,14,15039,"{""date"": ""Fri, 29 Sep 2023 22:10:44 GMT"", ""content-type"": ""text/html; charset=utf-8"", ""content-length"": ""16677"", ""connection"": ""keep-alive"", ""content-language"": ""en"", ""referrer-policy"": ""strict-origin-when-cross-origin"", ""cache-control"": ""max-age=3600"", ""content-encoding"": ""gzip"", ""vary"": ""Accept-Encoding"", ""x-content-type-options"": ""nosniff"", ""x-frame-options"": ""SAMEORIGIN"", ""strict-transport-security"": ""max-age=63072000; includeSubdomains; preload"", ""content-security-policy"": ""frame-ancestors 'self' https://*.opera.com; upgrade-insecure-requests;"", ""accept-ranges"": ""bytes""}"
6,"GET / HTTP/1.1
Host: www.opera.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,427,HTTP/1.1,0.23535442352294922,0.10285353660583496,0.17856550216674805,200,OK,[''],14,14,15039,"{""date"": ""Fri, 29 Sep 2023 22:10:46 GMT"", ""content-type"": ""text/html; charset=utf-8"", ""content-length"": ""16677"", ""connection"": ""keep-alive"", ""content-language"": ""en"", ""referrer-policy"": ""strict-origin-when-cross-origin"", ""cache-control"": ""max-age=3600"", ""content-encoding"": ""gzip"", ""vary"": ""Accept-Encoding"", ""x-content-type-options"": ""nosniff"", ""x-frame-options"": ""SAMEORIGIN"", ""strict-transport-security"": ""max-age=63072000; includeSubdomains; preload"", ""content-security-policy"": ""frame-ancestors 'self' https://*.opera.com; upgrade-insecure-requests;"", ""accept-ranges"": ""bytes""}"
7,"GET / HTTP/1.1
Host: www.opera.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,427,HTTP/1.1,0.2734963893890381,0.11090564727783203,0.09012770652770996,200,OK,[''],14,14,15039,"{""date"": ""Fri, 29 Sep 2023 22:10:49 GMT"", ""content-type"": ""text/html; charset=utf-8"", ""content-length"": ""16677"", ""connection"": ""keep-alive"", ""content-language"": ""en"", ""referrer-policy"": ""strict-origin-when-cross-origin"", ""cache-control"": ""max-age=3600"", ""content-encoding"": ""gzip"", ""vary"": ""Accept-Encoding"", ""x-content-type-options"": ""nosniff"", ""x-frame-options"": ""SAMEORIGIN"", ""strict-transport-security"": ""max-age=63072000; includeSubdomains; preload"", ""content-security-policy"": ""frame-ancestors 'self' https://*.opera.com; upgrade-insecure-requests;"", ""accept-ranges"": ""bytes""}"
8,"GET / HTTP/1.1
Host: www.opera.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,427,HTTP/1.1,0.16663575172424316,0.12129378318786621,0.08478903770446777,200,OK,[''],14,14,15039,"{""date"": ""Fri, 29 Sep 2023 22:10:52 GMT"", ""content-type"": ""text/html; charset=utf-8"", ""content-length"": ""16677"", ""connection"": ""keep-alive"", ""content-language"": ""en"", ""referrer-policy"": ""strict-origin-when-cross-origin"", ""cache-control"": ""max-age=3600"", ""content-encoding"": ""gzip"", ""vary"": ""Accept-Encoding"", ""x-content-type-options"": ""nosniff"", ""x-frame-options"": ""SAMEORIGIN"", ""strict-transport-security"": ""max-age=63072000; includeSubdomains; preload"", ""content-security-policy"": ""frame-ancestors 'self' https://*.opera.com; upgrade-insecure-requests;"", ""accept-ranges"": ""bytes""}"
9,"GET / HTTP/1.1
Host: www.opera.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,427,HTTP/1.1,0.14148736000061035,0.11174821853637695,0.12024998664855957,200,OK,[''],14,14,15039,"{""date"": ""Fri, 29 Sep 2023 22:10:54 GMT"", ""content-type"": ""text/html; charset=utf-8"", ""content-length"": ""16677"", ""connection"": ""keep-alive"", ""content-language"": ""en"", ""referrer-policy"": ""strict-origin-when-cross-origin"", ""cache-control"": ""max-age=3600"", ""content-encoding"": ""gzip"", ""vary"": ""Accept-Encoding"", ""x-content-type-options"": ""nosniff"", ""x-frame-options"": ""SAMEORIGIN"", ""strict-transport-security"": ""max-age=63072000; includeSubdomains; preload"", ""content-security-policy"": ""frame-ancestors 'self' https://*.opera.com; upgrade-insecure-requests;"", ""accept-ranges"": ""bytes""}"
