number,request,deviation_count,uri,request_length,http_version,Socket_Connect_Time,Socket_Close_Time,Response_Time,status_code,reason_phrase,error_message,response_header_count,response_header_length,response_body_length,response_header_fields
0,"GET / HTTP/1.1
Host: www.dailymotion.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,433,HTTP/1.1,0.22781157493591309,0.11592245101928711,0.07220125198364258,200,OK,[''],15,15,0,"{""cache-control"": ""no-cache"", ""content-encoding"": ""gzip"", ""content-length"": ""15736"", ""content-security-policy"": ""upgrade-insecure-requests"", ""content-security-policy-report-only"": ""default-src https: blob: wss: data: android-webview-video-poster: android-webview: chrome-extension: safari-extension: 'unsafe-eval' 'unsafe-inline'; report-uri https://www.dailymotion.com/content_security_policy_report_uri"", ""content-type"": ""text/html; charset=utf-8"", ""date"": ""Fri, 29 Sep 2023 22:11:28 GMT"", ""expect-ct"": ""max-age=0, report-uri=\""https://www.dailymotion.com/content_security_policy_report_uri\"""", ""referrer-policy"": ""no-referrer-when-downgrade"", ""server"": ""DMS/1.0.42"", ""server-timing"": ""total;dur=19, dc;desc=\""dc3\"""", ""set-cookie"": ""v1st=16e65aad-a29e-40ae-9f71-3e1659a2b33e; Path=/; Domain=dailymotion.com; Expires=Tue, 29 Oct 2024 23:11:28 GMT; Max-Age=34217999; Secure; SameSite=None"", ""strict-transport-security"": ""max-age=31708800; includeSubDomains; preload"", ""timing-allow-origin"": ""*"", ""vary"": ""X-DM""}"
1,"GET / HTTP/1.1
Host: www.dailymotion.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,433,HTTP/1.1,0.1769719123840332,0.11096692085266113,0.0444035530090332,200,OK,[''],15,15,0,"{""cache-control"": ""no-cache"", ""content-encoding"": ""gzip"", ""content-length"": ""15736"", ""content-security-policy"": ""upgrade-insecure-requests"", ""content-security-policy-report-only"": ""default-src https: blob: wss: data: android-webview-video-poster: android-webview: chrome-extension: safari-extension: 'unsafe-eval' 'unsafe-inline'; report-uri https://www.dailymotion.com/content_security_policy_report_uri"", ""content-type"": ""text/html; charset=utf-8"", ""date"": ""Fri, 29 Sep 2023 22:11:30 GMT"", ""expect-ct"": ""max-age=0, report-uri=\""https://www.dailymotion.com/content_security_policy_report_uri\"""", ""referrer-policy"": ""no-referrer-when-downgrade"", ""server"": ""DMS/1.0.42"", ""server-timing"": ""total;dur=16, dc;desc=\""dc3\"""", ""set-cookie"": ""v1st=d4409282-8772-4edf-a042-3830a902d8c6; Path=/; Domain=dailymotion.com; Expires=Tue, 29 Oct 2024 23:11:30 GMT; Max-Age=34217999; Secure; SameSite=None"", ""strict-transport-security"": ""max-age=31708800; includeSubDomains; preload"", ""timing-allow-origin"": ""*"", ""vary"": ""X-DM-""}"
2,"GET / HTTP/1.1
Host: www.dailymotion.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,433,HTTP/1.1,0.15860247611999512,0.1113731861114502,0.06381368637084961,200,OK,[''],15,15,0,"{""cache-control"": ""no-cache"", ""content-encoding"": ""gzip"", ""content-length"": ""15736"", ""content-security-policy"": ""upgrade-insecure-requests"", ""content-security-policy-report-only"": ""default-src https: blob: wss: data: android-webview-video-poster: android-webview: chrome-extension: safari-extension: 'unsafe-eval' 'unsafe-inline'; report-uri https://www.dailymotion.com/content_security_policy_report_uri"", ""content-type"": ""text/html; charset=utf-8"", ""date"": ""Fri, 29 Sep 2023 22:11:33 GMT"", ""expect-ct"": ""max-age=0, report-uri=\""https://www.dailymotion.com/content_security_policy_report_uri\"""", ""referrer-policy"": ""no-referrer-when-downgrade"", ""server"": ""DMS/1.0.42"", ""server-timing"": ""total;dur=22, dc;desc=\""dc3\"""", ""set-cookie"": ""v1st=8aa33cf2-0e78-440b-9b88-18999b2356a6; Path=/; Domain=dailymotion.com; Expires=Tue, 29 Oct 2024 23:11:33 GMT; Max-Age=34217999; Secure; SameSite=None"", ""strict-transport-security"": ""max-age=31708800; includeSubDomains; preload"", ""timing-allow-origin"": ""*"", ""vary"": ""X-DM""}"
3,"GET / HTTP/1.1
Host: www.dailymotion.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,433,HTTP/1.1,0.22261881828308105,0.12380218505859375,0.05053210258483887,200,OK,[''],15,15,0,"{""cache-control"": ""no-cache"", ""content-encoding"": ""gzip"", ""content-length"": ""15736"", ""content-security-policy"": ""upgrade-insecure-requests"", ""content-security-policy-report-only"": ""default-src https: blob: wss: data: android-webview-video-poster: android-webview: chrome-extension: safari-extension: 'unsafe-eval' 'unsafe-inline'; report-uri https://www.dailymotion.com/content_security_policy_report_uri"", ""content-type"": ""text/html; charset=utf-8"", ""date"": ""Fri, 29 Sep 2023 22:11:35 GMT"", ""expect-ct"": ""max-age=0, report-uri=\""https://www.dailymotion.com/content_security_policy_report_uri\"""", ""referrer-policy"": ""no-referrer-when-downgrade"", ""server"": ""DMS/1.0.42"", ""server-timing"": ""total;dur=16, dc;desc=\""dc3\"""", ""set-cookie"": ""v1st=e743c458-0337-43dd-a810-b81afa65baa6; Path=/; Domain=dailymotion.com; Expires=Tue, 29 Oct 2024 23:11:35 GMT; Max-Age=34217999; Secure; SameSite=None"", ""strict-transport-security"": ""max-age=31708800; includeSubDomains; preload"", ""timing-allow-origin"": ""*"", ""vary"": ""X-DM""}"
4,"GET / HTTP/1.1
Host: www.dailymotion.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,433,HTTP/1.1,0.22289514541625977,0.10907363891601562,0.05646872520446777,200,OK,[''],15,15,0,"{""cache-control"": ""no-cache"", ""content-encoding"": ""gzip"", ""content-length"": ""15736"", ""content-security-policy"": ""upgrade-insecure-requests"", ""content-security-policy-report-only"": ""default-src https: blob: wss: data: android-webview-video-poster: android-webview: chrome-extension: safari-extension: 'unsafe-eval' 'unsafe-inline'; report-uri https://www.dailymotion.com/content_security_policy_report_uri"", ""content-type"": ""text/html; charset=utf-8"", ""date"": ""Fri, 29 Sep 2023 22:11:38 GMT"", ""expect-ct"": ""max-age=0, report-uri=\""https://www.dailymotion.com/content_security_policy_report_uri\"""", ""referrer-policy"": ""no-referrer-when-downgrade"", ""server"": ""DMS/1.0.42"", ""server-timing"": ""total;dur=18, dc;desc=\""dc3\"""", ""set-cookie"": ""v1st=c9442b5a-aac7-4df8-bf57-05f3de301abe; Path=/; Domain=dailymotion.com; Expires=Tue, 29 Oct 2024 23:11:38 GMT; Max-Age=34217999; Secure; SameSite=None"", ""strict-transport-security"": ""max-age=31708800; includeSubDomains; preload"", ""timing-allow-origin"": ""*"", ""vary"": ""X-DM""}"
5,"GET / HTTP/1.1
Host: www.dailymotion.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,433,HTTP/1.1,0.1574099063873291,0.1176295280456543,0.058103322982788086,200,OK,[''],15,15,0,"{""cache-control"": ""no-cache"", ""content-encoding"": ""gzip"", ""content-length"": ""15736"", ""content-security-policy"": ""upgrade-insecure-requests"", ""content-security-policy-report-only"": ""default-src https: blob: wss: data: android-webview-video-poster: android-webview: chrome-extension: safari-extension: 'unsafe-eval' 'unsafe-inline'; report-uri https://www.dailymotion.com/content_security_policy_report_uri"", ""content-type"": ""text/html; charset=utf-8"", ""date"": ""Fri, 29 Sep 2023 22:11:40 GMT"", ""expect-ct"": ""max-age=0, report-uri=\""https://www.dailymotion.com/content_security_policy_report_uri\"""", ""referrer-policy"": ""no-referrer-when-downgrade"", ""server"": ""DMS/1.0.42"", ""server-timing"": ""total;dur=19, dc;desc=\""dc3\"""", ""set-cookie"": ""v1st=ced4fc61-d568-422c-aa22-aa33d32f4181; Path=/; Domain=dailymotion.com; Expires=Tue, 29 Oct 2024 23:11:40 GMT; Max-Age=34217999; Secure; SameSite=None"", ""strict-transport-security"": ""max-age=31708800; includeSubDomains; preload"", ""timing-allow-origin"": ""*"", ""vary"": ""X-DM""}"
6,"GET / HTTP/1.1
Host: www.dailymotion.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,433,HTTP/1.1,0.16532468795776367,0.1081397533416748,0.05715632438659668,200,OK,[''],15,15,0,"{""cache-control"": ""no-cache"", ""content-encoding"": ""gzip"", ""content-length"": ""15735"", ""content-security-policy"": ""upgrade-insecure-requests"", ""content-security-policy-report-only"": ""default-src https: blob: wss: data: android-webview-video-poster: android-webview: chrome-extension: safari-extension: 'unsafe-eval' 'unsafe-inline'; report-uri https://www.dailymotion.com/content_security_policy_report_uri"", ""content-type"": ""text/html; charset=utf-8"", ""date"": ""Fri, 29 Sep 2023 22:11:43 GMT"", ""expect-ct"": ""max-age=0, report-uri=\""https://www.dailymotion.com/content_security_policy_report_uri\"""", ""referrer-policy"": ""no-referrer-when-downgrade"", ""server"": ""DMS/1.0.42"", ""server-timing"": ""total;dur=17, dc;desc=\""dc3\"""", ""set-cookie"": ""v1st=38a8a85f-043b-4e26-bcc0-e63fb9d0d457; Path=/; Domain=dailymotion.com; Expires=Tue, 29 Oct 2024 23:11:43 GMT; Max-Age=34217999; Secure; SameSite=None"", ""strict-transport-security"": ""max-age=31708800; includeSubDomains; preload"", ""timing-allow-origin"": ""*"", ""vary"": ""X-DM-""}"
7,"GET / HTTP/1.1
Host: www.dailymotion.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,433,HTTP/1.1,0.26264214515686035,0.1055910587310791,0.07733416557312012,200,OK,[''],15,15,0,"{""cache-control"": ""no-cache"", ""content-encoding"": ""gzip"", ""content-length"": ""15736"", ""content-security-policy"": ""upgrade-insecure-requests"", ""content-security-policy-report-only"": ""default-src https: blob: wss: data: android-webview-video-poster: android-webview: chrome-extension: safari-extension: 'unsafe-eval' 'unsafe-inline'; report-uri https://www.dailymotion.com/content_security_policy_report_uri"", ""content-type"": ""text/html; charset=utf-8"", ""date"": ""Fri, 29 Sep 2023 22:11:46 GMT"", ""expect-ct"": ""max-age=0, report-uri=\""https://www.dailymotion.com/content_security_policy_report_uri\"""", ""referrer-policy"": ""no-referrer-when-downgrade"", ""server"": ""DMS/1.0.42"", ""server-timing"": ""total;dur=17, dc;desc=\""dc3\"""", ""set-cookie"": ""v1st=cf44dff1-36aa-401a-8c40-83288cfe0f55; Path=/; Domain=dailymotion.com; Expires=Tue, 29 Oct 2024 23:11:46 GMT; Max-Age=34217999; Secure; SameSite=None"", ""strict-transport-security"": ""max-age=31708800; includeSubDomains; preload"", ""timing-allow-origin"": ""*"", ""vary"": ""X-DM""}"
8,"GET / HTTP/1.1
Host: www.dailymotion.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,433,HTTP/1.1,0.2489762306213379,0.11145877838134766,0.058573246002197266,200,OK,[''],15,15,0,"{""cache-control"": ""no-cache"", ""content-encoding"": ""gzip"", ""content-length"": ""15736"", ""content-security-policy"": ""upgrade-insecure-requests"", ""content-security-policy-report-only"": ""default-src https: blob: wss: data: android-webview-video-poster: android-webview: chrome-extension: safari-extension: 'unsafe-eval' 'unsafe-inline'; report-uri https://www.dailymotion.com/content_security_policy_report_uri"", ""content-type"": ""text/html; charset=utf-8"", ""date"": ""Fri, 29 Sep 2023 22:11:49 GMT"", ""expect-ct"": ""max-age=0, report-uri=\""https://www.dailymotion.com/content_security_policy_report_uri\"""", ""referrer-policy"": ""no-referrer-when-downgrade"", ""server"": ""DMS/1.0.42"", ""server-timing"": ""total;dur=17, dc;desc=\""dc3\"""", ""set-cookie"": ""v1st=329b91b8-92c6-4124-8974-837e41252c81; Path=/; Domain=dailymotion.com; Expires=Tue, 29 Oct 2024 23:11:49 GMT; Max-Age=34217999; Secure; SameSite=None"", ""strict-transport-security"": ""max-age=31708800; includeSubDomains; preload"", ""timing-allow-origin"": ""*"", ""vary"": ""X-DM""}"
9,"GET / HTTP/1.1
Host: www.dailymotion.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,433,HTTP/1.1,0.17002153396606445,0.11247730255126953,0.05789303779602051,200,OK,[''],15,15,0,"{""cache-control"": ""no-cache"", ""content-encoding"": ""gzip"", ""content-length"": ""15736"", ""content-security-policy"": ""upgrade-insecure-requests"", ""content-security-policy-report-only"": ""default-src https: blob: wss: data: android-webview-video-poster: android-webview: chrome-extension: safari-extension: 'unsafe-eval' 'unsafe-inline'; report-uri https://www.dailymotion.com/content_security_policy_report_uri"", ""content-type"": ""text/html; charset=utf-8"", ""date"": ""Fri, 29 Sep 2023 22:11:51 GMT"", ""expect-ct"": ""max-age=0, report-uri=\""https://www.dailymotion.com/content_security_policy_report_uri\"""", ""referrer-policy"": ""no-referrer-when-downgrade"", ""server"": ""DMS/1.0.42"", ""server-timing"": ""total;dur=19, dc;desc=\""dc3\"""", ""set-cookie"": ""v1st=7c9478d0-e0cc-4876-aa62-6951e08bc7c9; Path=/; Domain=dailymotion.com; Expires=Tue, 29 Oct 2024 23:11:51 GMT; Max-Age=34217999; Secure; SameSite=None"", ""strict-transport-security"": ""max-age=31708800; includeSubDomains; preload"", ""timing-allow-origin"": ""*"", ""vary"": ""X-DM""}"
