number,request,deviation_count,uri,request_length,http_version,Socket_Connect_Time,Socket_Close_Time,Response_Time,status_code,reason_phrase,error_message,response_header_count,response_header_length,response_body_length,response_header_fields
0,"GET / HTTP/1.1
Host: www.nasa.gov
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,426,HTTP/1.1,0.22343015670776367,0.10243463516235352,0.4775257110595703,200,OK,[''],16,16,679,"{""server"": ""nginx"", ""date"": ""Fri, 29 Sep 2023 22:11:30 GMT"", ""content-type"": ""text/html; charset=UTF-8"", ""transfer-encoding"": ""chunked"", ""connection"": ""keep-alive"", ""host-header"": ""a9130478a60e5f9135f765b23f26593b"", ""x-launch-status"": ""Go Flight!"", ""x-robots-tag"": ""index, follow"", ""link"": ""<https://www.nasa.gov/>; rel=shortlink"", ""x-rq"": ""ams7 85 188 443"", ""cache-control"": ""max-age=300, must-revalidate"", ""content-encoding"": ""gzip"", ""age"": ""0"", ""x-cache"": ""miss"", ""vary"": ""Accept-Encoding"", ""accept-ranges"": ""bytes""}"
1,"GET / HTTP/1.1
Host: www.nasa.gov
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,426,HTTP/1.1,0.19054317474365234,0.10580110549926758,0.02782464027404785,200,OK,[''],16,16,699,"{""server"": ""nginx"", ""date"": ""Fri, 29 Sep 2023 22:11:34 GMT"", ""content-type"": ""text/html; charset=UTF-8"", ""content-length"": ""36023"", ""connection"": ""keep-alive"", ""host-header"": ""a9130478a60e5f9135f765b23f26593b"", ""x-launch-status"": ""Go Flight!"", ""x-robots-tag"": ""index, follow"", ""link"": ""<https://www.nasa.gov/>; rel=shortlink"", ""x-rq"": ""ams7 85 188 443"", ""cache-control"": ""max-age=300, must-revalidate"", ""content-encoding"": ""gzip"", ""age"": ""3"", ""x-cache"": ""hit"", ""vary"": ""Accept-Encoding"", ""accept-ranges"": ""bytes""}"
2,"GET / HTTP/1.1
Host: www.nasa.gov
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,426,HTTP/1.1,0.13726592063903809,0.1259765625,0.02588510513305664,200,OK,[''],16,16,699,"{""server"": ""nginx"", ""date"": ""Fri, 29 Sep 2023 22:11:36 GMT"", ""content-type"": ""text/html; charset=UTF-8"", ""content-length"": ""36023"", ""connection"": ""keep-alive"", ""host-header"": ""a9130478a60e5f9135f765b23f26593b"", ""x-launch-status"": ""Go Flight!"", ""x-robots-tag"": ""index, follow"", ""link"": ""<https://www.nasa.gov/>; rel=shortlink"", ""x-rq"": ""ams7 85 188 443"", ""cache-control"": ""max-age=300, must-revalidate"", ""content-encoding"": ""gzip"", ""age"": ""6"", ""x-cache"": ""hit"", ""vary"": ""Accept-Encoding"", ""accept-ranges"": ""bytes""}"
3,"GET / HTTP/1.1
Host: www.nasa.gov
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,426,HTTP/1.1,0.16946172714233398,0.1083991527557373,0.024173498153686523,200,OK,[''],16,16,698,"{""server"": ""nginx"", ""date"": ""Fri, 29 Sep 2023 22:11:41 GMT"", ""content-type"": ""text/html; charset=UTF-8"", ""content-length"": ""36023"", ""connection"": ""keep-alive"", ""host-header"": ""a9130478a60e5f9135f765b23f26593b"", ""x-launch-status"": ""Go Flight!"", ""x-robots-tag"": ""index, follow"", ""link"": ""<https://www.nasa.gov/>; rel=shortlink"", ""x-rq"": ""ams7 85 188 443"", ""cache-control"": ""max-age=300, must-revalidate"", ""content-encoding"": ""gzip"", ""age"": ""10"", ""x-cache"": ""hit"", ""vary"": ""Accept-Encoding"", ""accept-ranges"": ""bytes""}"
4,"GET / HTTP/1.1
Host: www.nasa.gov
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,426,HTTP/1.1,0.24074435234069824,0.11069869995117188,0.04097580909729004,200,OK,[''],16,16,698,"{""server"": ""nginx"", ""date"": ""Fri, 29 Sep 2023 22:11:43 GMT"", ""content-type"": ""text/html; charset=UTF-8"", ""content-length"": ""36023"", ""connection"": ""keep-alive"", ""host-header"": ""a9130478a60e5f9135f765b23f26593b"", ""x-launch-status"": ""Go Flight!"", ""x-robots-tag"": ""index, follow"", ""link"": ""<https://www.nasa.gov/>; rel=shortlink"", ""x-rq"": ""ams7 85 188 443"", ""cache-control"": ""max-age=300, must-revalidate"", ""content-encoding"": ""gzip"", ""age"": ""13"", ""x-cache"": ""hit"", ""vary"": ""Accept-Encoding"", ""accept-ranges"": ""bytes""}"
5,"GET / HTTP/1.1
Host: www.nasa.gov
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,426,HTTP/1.1,0.2203989028930664,0.10122895240783691,0.08883261680603027,200,OK,[''],16,16,698,"{""server"": ""nginx"", ""date"": ""Fri, 29 Sep 2023 22:11:48 GMT"", ""content-type"": ""text/html; charset=UTF-8"", ""content-length"": ""36023"", ""connection"": ""keep-alive"", ""host-header"": ""a9130478a60e5f9135f765b23f26593b"", ""x-launch-status"": ""Go Flight!"", ""x-robots-tag"": ""index, follow"", ""link"": ""<https://www.nasa.gov/>; rel=shortlink"", ""x-rq"": ""ams7 85 188 443"", ""cache-control"": ""max-age=300, must-revalidate"", ""content-encoding"": ""gzip"", ""age"": ""18"", ""x-cache"": ""hit"", ""vary"": ""Accept-Encoding"", ""accept-ranges"": ""bytes""}"
6,"GET / HTTP/1.1
Host: www.nasa.gov
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,426,HTTP/1.1,0.2589588165283203,0.11299538612365723,0.035012006759643555,200,OK,[''],16,16,698,"{""server"": ""nginx"", ""date"": ""Fri, 29 Sep 2023 22:11:52 GMT"", ""content-type"": ""text/html; charset=UTF-8"", ""content-length"": ""36023"", ""connection"": ""keep-alive"", ""host-header"": ""a9130478a60e5f9135f765b23f26593b"", ""x-launch-status"": ""Go Flight!"", ""x-robots-tag"": ""index, follow"", ""link"": ""<https://www.nasa.gov/>; rel=shortlink"", ""x-rq"": ""ams7 85 188 443"", ""cache-control"": ""max-age=300, must-revalidate"", ""content-encoding"": ""gzip"", ""age"": ""22"", ""x-cache"": ""hit"", ""vary"": ""Accept-Encoding"", ""accept-ranges"": ""bytes""}"
7,"GET / HTTP/1.1
Host: www.nasa.gov
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,426,HTTP/1.1,0.120758056640625,0.10585451126098633,0.02022838592529297,200,OK,[''],16,16,698,"{""server"": ""nginx"", ""date"": ""Fri, 29 Sep 2023 22:11:56 GMT"", ""content-type"": ""text/html; charset=UTF-8"", ""content-length"": ""36023"", ""connection"": ""keep-alive"", ""host-header"": ""a9130478a60e5f9135f765b23f26593b"", ""x-launch-status"": ""Go Flight!"", ""x-robots-tag"": ""index, follow"", ""link"": ""<https://www.nasa.gov/>; rel=shortlink"", ""x-rq"": ""ams7 85 188 443"", ""cache-control"": ""max-age=300, must-revalidate"", ""content-encoding"": ""gzip"", ""age"": ""25"", ""x-cache"": ""hit"", ""vary"": ""Accept-Encoding"", ""accept-ranges"": ""bytes""}"
8,"GET / HTTP/1.1
Host: www.nasa.gov
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,426,HTTP/1.1,0.1637134552001953,0.11609625816345215,0.047437191009521484,200,OK,[''],16,16,698,"{""server"": ""nginx"", ""date"": ""Fri, 29 Sep 2023 22:11:59 GMT"", ""content-type"": ""text/html; charset=UTF-8"", ""content-length"": ""36023"", ""connection"": ""keep-alive"", ""host-header"": ""a9130478a60e5f9135f765b23f26593b"", ""x-launch-status"": ""Go Flight!"", ""x-robots-tag"": ""index, follow"", ""link"": ""<https://www.nasa.gov/>; rel=shortlink"", ""x-rq"": ""ams7 85 188 443"", ""cache-control"": ""max-age=300, must-revalidate"", ""content-encoding"": ""gzip"", ""age"": ""29"", ""x-cache"": ""hit"", ""vary"": ""Accept-Encoding"", ""accept-ranges"": ""bytes""}"
9,"GET / HTTP/1.1
Host: www.nasa.gov
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,426,HTTP/1.1,0.20345282554626465,0.11580228805541992,0.036611318588256836,200,OK,[''],16,16,698,"{""server"": ""nginx"", ""date"": ""Fri, 29 Sep 2023 22:12:03 GMT"", ""content-type"": ""text/html; charset=UTF-8"", ""content-length"": ""36023"", ""connection"": ""keep-alive"", ""host-header"": ""a9130478a60e5f9135f765b23f26593b"", ""x-launch-status"": ""Go Flight!"", ""x-robots-tag"": ""index, follow"", ""link"": ""<https://www.nasa.gov/>; rel=shortlink"", ""x-rq"": ""ams7 85 188 443"", ""cache-control"": ""max-age=300, must-revalidate"", ""content-encoding"": ""gzip"", ""age"": ""32"", ""x-cache"": ""hit"", ""vary"": ""Accept-Encoding"", ""accept-ranges"": ""bytes""}"
