number,request,deviation_count,uri,request_length,http_version,Socket_Connect_Time,Socket_Close_Time,Response_Time,status_code,reason_phrase,error_message,response_header_count,response_header_length,response_body_length,response_header_fields
0,"GET / HTTP/1.1
Host: www.un.org
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,424,HTTP/1.1,0.15118932723999023,0.11606478691101074,0.03068709373474121,200,OK,[''],23,23,0,"{""content-type"": ""text/html; charset=UTF-8"", ""transfer-encoding"": ""chunked"", ""connection"": ""keep-alive"", ""date"": ""Fri, 29 Sep 2023 22:09:54 GMT"", ""set-cookie"": ""AWSALBCORS=9KPuxGxhK/Fn1S7Pm/34vakTQZrKWl56vUG0ql7qRhv4OTXHaPDIIDat/xKVexlyoBzS72KR4iG5jtEhblRTxE7LJ1NrjdSPE7rrrjN7zyA5KQD5oGT4LWVykEUz; Expires=Fri, 06 Oct 2023 22:09:54 GMT; Path=/; SameSite=None"", ""server"": ""Apache"", ""x-drupal-cache"": ""HIT"", ""cache-control"": ""public, max-age=900"", ""expires"": ""Sun, 19 Nov 1978 05:00:00 GMT"", ""etag"": ""\""1696025315-0\"""", ""last-modified"": ""Fri, 29 Sep 2023 22:08:35 GMT"", ""vary"": ""Cookie,Accept-Encoding"", ""x-cache"": ""Hit from cloudfront"", ""via"": ""1.1 9fc99ee5c5f05c23e5f643dbb0f4aeb8.cloudfront.net (CloudFront)"", ""x-amz-cf-pop"": ""HAM50-C3"", ""x-amz-cf-id"": ""V3-2-nDw92HjEbdX3UwAtfLohBX4y052qpKwa4Q3UE0qrSKJ5O2vbw=="", ""age"": ""93"", ""x-xss-protection"": ""1; mode=block"", ""x-frame-options"": ""SAMEORIGIN"", ""referrer-policy"": ""strict-origin-when-cross-origin"", ""content-security-policy"": ""frame-ancestors 'self' https://*.un.org;"", ""x-content-type-options"": ""nosniff"", ""strict-transport-security"": ""max-age=31536000""}"
1,"GET / HTTP/1.1
Host: www.un.org
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,424,HTTP/1.1,0.196746826171875,0.11286377906799316,0.03202962875366211,200,OK,[''],23,23,0,"{""content-type"": ""text/html; charset=UTF-8"", ""transfer-encoding"": ""chunked"", ""connection"": ""keep-alive"", ""date"": ""Fri, 29 Sep 2023 22:09:54 GMT"", ""set-cookie"": ""AWSALBCORS=9KPuxGxhK/Fn1S7Pm/34vakTQZrKWl56vUG0ql7qRhv4OTXHaPDIIDat/xKVexlyoBzS72KR4iG5jtEhblRTxE7LJ1NrjdSPE7rrrjN7zyA5KQD5oGT4LWVykEUz; Expires=Fri, 06 Oct 2023 22:09:54 GMT; Path=/; SameSite=None"", ""server"": ""Apache"", ""x-drupal-cache"": ""HIT"", ""cache-control"": ""public, max-age=900"", ""expires"": ""Sun, 19 Nov 1978 05:00:00 GMT"", ""etag"": ""\""1696025315-0\"""", ""last-modified"": ""Fri, 29 Sep 2023 22:08:35 GMT"", ""vary"": ""Cookie,Accept-Encoding"", ""x-cache"": ""Hit from cloudfront"", ""via"": ""1.1 7038a0e71a25504eb98df48695c04c7a.cloudfront.net (CloudFront)"", ""x-amz-cf-pop"": ""HAM50-C3"", ""x-amz-cf-id"": ""S_6p1DM1N4V1YwZZ847txsAD2rS3OF3c42HCQ2vmmHN6qta_64t9lQ=="", ""age"": ""96"", ""x-xss-protection"": ""1; mode=block"", ""x-frame-options"": ""SAMEORIGIN"", ""referrer-policy"": ""strict-origin-when-cross-origin"", ""content-security-policy"": ""frame-ancestors 'self' https://*.un.org;"", ""x-content-type-options"": ""nosniff"", ""strict-transport-security"": ""max-age=31536000""}"
2,"GET / HTTP/1.1
Host: www.un.org
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,424,HTTP/1.1,0.1890861988067627,0.11551952362060547,0.034899234771728516,200,OK,[''],23,23,0,"{""content-type"": ""text/html; charset=UTF-8"", ""transfer-encoding"": ""chunked"", ""connection"": ""keep-alive"", ""date"": ""Fri, 29 Sep 2023 22:09:54 GMT"", ""set-cookie"": ""AWSALBCORS=9KPuxGxhK/Fn1S7Pm/34vakTQZrKWl56vUG0ql7qRhv4OTXHaPDIIDat/xKVexlyoBzS72KR4iG5jtEhblRTxE7LJ1NrjdSPE7rrrjN7zyA5KQD5oGT4LWVykEUz; Expires=Fri, 06 Oct 2023 22:09:54 GMT; Path=/; SameSite=None"", ""server"": ""Apache"", ""x-drupal-cache"": ""HIT"", ""cache-control"": ""public, max-age=900"", ""expires"": ""Sun, 19 Nov 1978 05:00:00 GMT"", ""etag"": ""\""1696025315-0\"""", ""last-modified"": ""Fri, 29 Sep 2023 22:08:35 GMT"", ""vary"": ""Cookie,Accept-Encoding"", ""x-cache"": ""Hit from cloudfront"", ""via"": ""1.1 c46d7c5a8bf0a3035249184c40b6aea4.cloudfront.net (CloudFront)"", ""x-amz-cf-pop"": ""HAM50-C3"", ""x-amz-cf-id"": ""-rCrIGCinLrDtk8cmBl0VsSS4O8zRCk3PAOv4MiXxzE42RXPYHBhUw=="", ""age"": ""99"", ""x-xss-protection"": ""1; mode=block"", ""x-frame-options"": ""SAMEORIGIN"", ""referrer-policy"": ""strict-origin-when-cross-origin"", ""content-security-policy"": ""frame-ancestors 'self' https://*.un.org;"", ""x-content-type-options"": ""nosniff"", ""strict-transport-security"": ""max-age=31536000""}"
3,"GET / HTTP/1.1
Host: www.un.org
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,424,HTTP/1.1,0.13795065879821777,0.1221308708190918,0.030158519744873047,200,OK,[''],23,23,0,"{""content-type"": ""text/html; charset=UTF-8"", ""transfer-encoding"": ""chunked"", ""connection"": ""keep-alive"", ""date"": ""Fri, 29 Sep 2023 22:09:54 GMT"", ""set-cookie"": ""AWSALBCORS=9KPuxGxhK/Fn1S7Pm/34vakTQZrKWl56vUG0ql7qRhv4OTXHaPDIIDat/xKVexlyoBzS72KR4iG5jtEhblRTxE7LJ1NrjdSPE7rrrjN7zyA5KQD5oGT4LWVykEUz; Expires=Fri, 06 Oct 2023 22:09:54 GMT; Path=/; SameSite=None"", ""server"": ""Apache"", ""x-drupal-cache"": ""HIT"", ""cache-control"": ""public, max-age=900"", ""expires"": ""Sun, 19 Nov 1978 05:00:00 GMT"", ""etag"": ""\""1696025315-0\"""", ""last-modified"": ""Fri, 29 Sep 2023 22:08:35 GMT"", ""vary"": ""Cookie,Accept-Encoding"", ""x-cache"": ""Hit from cloudfront"", ""via"": ""1.1 c1fa4f08ddf9c5144bf29ba0fe671430.cloudfront.net (CloudFront)"", ""x-amz-cf-pop"": ""HAM50-C3"", ""x-amz-cf-id"": ""UTPmU4Bus_tmz0Q73RBIwOevMpNxGqos7cvdDXSyqTMLVstq0Y95Vw=="", ""age"": ""101"", ""x-xss-protection"": ""1; mode=block"", ""x-frame-options"": ""SAMEORIGIN"", ""referrer-policy"": ""strict-origin-when-cross-origin"", ""content-security-policy"": ""frame-ancestors 'self' https://*.un.org;"", ""x-content-type-options"": ""nosniff"", ""strict-transport-security"": ""max-age=31536000""}"
4,"GET / HTTP/1.1
Host: www.un.org
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,424,HTTP/1.1,0.14795255661010742,0.11451435089111328,0.02924036979675293,200,OK,[''],23,23,9670,"{""content-type"": ""text/html; charset=UTF-8"", ""transfer-encoding"": ""chunked"", ""connection"": ""keep-alive"", ""date"": ""Fri, 29 Sep 2023 22:09:54 GMT"", ""set-cookie"": ""AWSALBCORS=9KPuxGxhK/Fn1S7Pm/34vakTQZrKWl56vUG0ql7qRhv4OTXHaPDIIDat/xKVexlyoBzS72KR4iG5jtEhblRTxE7LJ1NrjdSPE7rrrjN7zyA5KQD5oGT4LWVykEUz; Expires=Fri, 06 Oct 2023 22:09:54 GMT; Path=/; SameSite=None"", ""server"": ""Apache"", ""x-drupal-cache"": ""HIT"", ""cache-control"": ""public, max-age=900"", ""expires"": ""Sun, 19 Nov 1978 05:00:00 GMT"", ""etag"": ""\""1696025315-0\"""", ""last-modified"": ""Fri, 29 Sep 2023 22:08:35 GMT"", ""vary"": ""Cookie,Accept-Encoding"", ""x-cache"": ""Hit from cloudfront"", ""via"": ""1.1 c25a7e7126dfc9a3b0a377e34949f434.cloudfront.net (CloudFront)"", ""x-amz-cf-pop"": ""HAM50-C3"", ""x-amz-cf-id"": ""E0PwhwY4rXp0ox0RE84Q2XsQk7bNawOAb636V7IhM6mh1W9pr9wW0g=="", ""age"": ""103"", ""x-xss-protection"": ""1; mode=block"", ""x-frame-options"": ""SAMEORIGIN"", ""referrer-policy"": ""strict-origin-when-cross-origin"", ""content-security-policy"": ""frame-ancestors 'self' https://*.un.org;"", ""x-content-type-options"": ""nosniff"", ""strict-transport-security"": ""max-age=31536000""}"
5,"GET / HTTP/1.1
Host: www.un.org
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,424,HTTP/1.1,0.11764812469482422,0.11632204055786133,0.0188443660736084,200,OK,[''],23,23,0,"{""content-type"": ""text/html; charset=UTF-8"", ""transfer-encoding"": ""chunked"", ""connection"": ""keep-alive"", ""date"": ""Fri, 29 Sep 2023 22:09:54 GMT"", ""set-cookie"": ""AWSALBCORS=9KPuxGxhK/Fn1S7Pm/34vakTQZrKWl56vUG0ql7qRhv4OTXHaPDIIDat/xKVexlyoBzS72KR4iG5jtEhblRTxE7LJ1NrjdSPE7rrrjN7zyA5KQD5oGT4LWVykEUz; Expires=Fri, 06 Oct 2023 22:09:54 GMT; Path=/; SameSite=None"", ""server"": ""Apache"", ""x-drupal-cache"": ""HIT"", ""cache-control"": ""public, max-age=900"", ""expires"": ""Sun, 19 Nov 1978 05:00:00 GMT"", ""etag"": ""\""1696025315-0\"""", ""last-modified"": ""Fri, 29 Sep 2023 22:08:35 GMT"", ""vary"": ""Cookie,Accept-Encoding"", ""x-cache"": ""Hit from cloudfront"", ""via"": ""1.1 72924c94ff0d4750acacefc815e7e14c.cloudfront.net (CloudFront)"", ""x-amz-cf-pop"": ""HAM50-C3"", ""x-amz-cf-id"": ""ETpXYDvMQ0A9Z7ytU5f4zCH7N-2M-QFNRV7ZVOw8DqDM9eB4PgRawA=="", ""age"": ""106"", ""x-xss-protection"": ""1; mode=block"", ""x-frame-options"": ""SAMEORIGIN"", ""referrer-policy"": ""strict-origin-when-cross-origin"", ""content-security-policy"": ""frame-ancestors 'self' https://*.un.org;"", ""x-content-type-options"": ""nosniff"", ""strict-transport-security"": ""max-age=31536000""}"
6,"GET / HTTP/1.1
Host: www.un.org
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,424,HTTP/1.1,0.1877303123474121,0.11077332496643066,0.03463125228881836,200,OK,[''],23,23,0,"{""content-type"": ""text/html; charset=UTF-8"", ""transfer-encoding"": ""chunked"", ""connection"": ""keep-alive"", ""date"": ""Fri, 29 Sep 2023 22:09:54 GMT"", ""set-cookie"": ""AWSALBCORS=9KPuxGxhK/Fn1S7Pm/34vakTQZrKWl56vUG0ql7qRhv4OTXHaPDIIDat/xKVexlyoBzS72KR4iG5jtEhblRTxE7LJ1NrjdSPE7rrrjN7zyA5KQD5oGT4LWVykEUz; Expires=Fri, 06 Oct 2023 22:09:54 GMT; Path=/; SameSite=None"", ""server"": ""Apache"", ""x-drupal-cache"": ""HIT"", ""cache-control"": ""public, max-age=900"", ""expires"": ""Sun, 19 Nov 1978 05:00:00 GMT"", ""etag"": ""\""1696025315-0\"""", ""last-modified"": ""Fri, 29 Sep 2023 22:08:35 GMT"", ""vary"": ""Cookie,Accept-Encoding"", ""x-cache"": ""Hit from cloudfront"", ""via"": ""1.1 ef32d25cab1f0dec4c6ff87f7986fe02.cloudfront.net (CloudFront)"", ""x-amz-cf-pop"": ""HAM50-C3"", ""x-amz-cf-id"": ""kOhyNpEdmt14N9WdeFISJhvynbn6yjVS6jUvlovgvhRZPFm58tVYTw=="", ""age"": ""108"", ""x-xss-protection"": ""1; mode=block"", ""x-frame-options"": ""SAMEORIGIN"", ""referrer-policy"": ""strict-origin-when-cross-origin"", ""content-security-policy"": ""frame-ancestors 'self' https://*.un.org;"", ""x-content-type-options"": ""nosniff"", ""strict-transport-security"": ""max-age=31536000""}"
7,"GET / HTTP/1.1
Host: www.un.org
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,424,HTTP/1.1,0.17809104919433594,0.1134946346282959,0.022749662399291992,200,OK,[''],23,23,0,"{""content-type"": ""text/html; charset=UTF-8"", ""transfer-encoding"": ""chunked"", ""connection"": ""keep-alive"", ""date"": ""Fri, 29 Sep 2023 22:09:54 GMT"", ""set-cookie"": ""AWSALBCORS=9KPuxGxhK/Fn1S7Pm/34vakTQZrKWl56vUG0ql7qRhv4OTXHaPDIIDat/xKVexlyoBzS72KR4iG5jtEhblRTxE7LJ1NrjdSPE7rrrjN7zyA5KQD5oGT4LWVykEUz; Expires=Fri, 06 Oct 2023 22:09:54 GMT; Path=/; SameSite=None"", ""server"": ""Apache"", ""x-drupal-cache"": ""HIT"", ""cache-control"": ""public, max-age=900"", ""expires"": ""Sun, 19 Nov 1978 05:00:00 GMT"", ""etag"": ""\""1696025315-0\"""", ""last-modified"": ""Fri, 29 Sep 2023 22:08:35 GMT"", ""vary"": ""Cookie,Accept-Encoding"", ""x-cache"": ""Hit from cloudfront"", ""via"": ""1.1 6ef6a480e6faf3876201c8f86486bbce.cloudfront.net (CloudFront)"", ""x-amz-cf-pop"": ""HAM50-C3"", ""x-amz-cf-id"": ""VkFoHsFCKZ5eOt4sb2aTe5D6KaaOSne2aFL-bknV3f13lFmXVcQsUQ=="", ""age"": ""112"", ""x-xss-protection"": ""1; mode=block"", ""x-frame-options"": ""SAMEORIGIN"", ""referrer-policy"": ""strict-origin-when-cross-origin"", ""content-security-policy"": ""frame-ancestors 'self' https://*.un.org;"", ""x-content-type-options"": ""nosniff"", ""strict-transport-security"": ""max-age=31536000""}"
8,"GET / HTTP/1.1
Host: www.un.org
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,424,HTTP/1.1,0.21113967895507812,0.11101388931274414,0.023388385772705078,200,OK,[''],23,23,0,"{""content-type"": ""text/html; charset=UTF-8"", ""transfer-encoding"": ""chunked"", ""connection"": ""keep-alive"", ""date"": ""Fri, 29 Sep 2023 22:09:54 GMT"", ""set-cookie"": ""AWSALBCORS=9KPuxGxhK/Fn1S7Pm/34vakTQZrKWl56vUG0ql7qRhv4OTXHaPDIIDat/xKVexlyoBzS72KR4iG5jtEhblRTxE7LJ1NrjdSPE7rrrjN7zyA5KQD5oGT4LWVykEUz; Expires=Fri, 06 Oct 2023 22:09:54 GMT; Path=/; SameSite=None"", ""server"": ""Apache"", ""x-drupal-cache"": ""HIT"", ""cache-control"": ""public, max-age=900"", ""expires"": ""Sun, 19 Nov 1978 05:00:00 GMT"", ""etag"": ""\""1696025315-0\"""", ""last-modified"": ""Fri, 29 Sep 2023 22:08:35 GMT"", ""vary"": ""Cookie,Accept-Encoding"", ""x-cache"": ""Hit from cloudfront"", ""via"": ""1.1 0a902401d20e3459ce96a6c687177b24.cloudfront.net (CloudFront)"", ""x-amz-cf-pop"": ""HAM50-C3"", ""x-amz-cf-id"": ""-II_4XEeIVoh5bEAuOerihvuLfEyCIUlnBUbXbmT5zIX6fU4Ig8lWg=="", ""age"": ""114"", ""x-xss-protection"": ""1; mode=block"", ""x-frame-options"": ""SAMEORIGIN"", ""referrer-policy"": ""strict-origin-when-cross-origin"", ""content-security-policy"": ""frame-ancestors 'self' https://*.un.org;"", ""x-content-type-options"": ""nosniff"", ""strict-transport-security"": ""max-age=31536000""}"
9,"GET / HTTP/1.1
Host: www.un.org
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,424,HTTP/1.1,0.11143779754638672,0.10793900489807129,0.026454925537109375,200,OK,[''],23,23,0,"{""content-type"": ""text/html; charset=UTF-8"", ""transfer-encoding"": ""chunked"", ""connection"": ""keep-alive"", ""date"": ""Fri, 29 Sep 2023 22:09:54 GMT"", ""set-cookie"": ""AWSALBCORS=9KPuxGxhK/Fn1S7Pm/34vakTQZrKWl56vUG0ql7qRhv4OTXHaPDIIDat/xKVexlyoBzS72KR4iG5jtEhblRTxE7LJ1NrjdSPE7rrrjN7zyA5KQD5oGT4LWVykEUz; Expires=Fri, 06 Oct 2023 22:09:54 GMT; Path=/; SameSite=None"", ""server"": ""Apache"", ""x-drupal-cache"": ""HIT"", ""cache-control"": ""public, max-age=900"", ""expires"": ""Sun, 19 Nov 1978 05:00:00 GMT"", ""etag"": ""\""1696025315-0\"""", ""last-modified"": ""Fri, 29 Sep 2023 22:08:35 GMT"", ""vary"": ""Cookie,Accept-Encoding"", ""x-cache"": ""Hit from cloudfront"", ""via"": ""1.1 4c46eb18cc571db0b113b7a522a8a6ca.cloudfront.net (CloudFront)"", ""x-amz-cf-pop"": ""HAM50-C3"", ""x-amz-cf-id"": ""sr3tWysBLAeuQPqb7TQybYteZklN663EXoNGGDZPNkR8US8694bzKA=="", ""age"": ""117"", ""x-xss-protection"": ""1; mode=block"", ""x-frame-options"": ""SAMEORIGIN"", ""referrer-policy"": ""strict-origin-when-cross-origin"", ""content-security-policy"": ""frame-ancestors 'self' https://*.un.org;"", ""x-content-type-options"": ""nosniff"", ""strict-transport-security"": ""max-age=31536000""}"
