number,request,deviation_count,uri,request_length,http_version,Socket_Connect_Time,Socket_Close_Time,Response_Time,status_code,reason_phrase,error_message,response_header_count,response_header_length,response_body_length,response_header_fields
0,"GET / HTTP/1.1
Host: www.booking.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,429,HTTP/1.1,0.2321164608001709,0.10817956924438477,0.39850592613220215,200,OK,[''],21,21,4012,"{""content-type"": ""text/html; charset=UTF-8"", ""transfer-encoding"": ""chunked"", ""connection"": ""keep-alive"", ""server"": ""nginx"", ""date"": ""Fri, 29 Sep 2023 22:11:54 GMT"", ""cache-control"": ""private"", ""vary"": ""User-Agent, Accept-Encoding"", ""content-encoding"": ""br"", ""link"": ""<https://cf.bstatic.com/static/css/xp-index-sb_cloudfront_sd.iq_ltr/7d56b924a6c248d579afe82a520d9a6abc96b9c7.css>; rel=preload; as=style"", ""nel"": ""{\""report_to\"":\""default\"",\""max_age\"":604800}"", ""report-to"": ""{\""max_age\"":604800,\""endpoints\"":[{\""url\"":\""https://nellie.booking.com/report\""}],\""group\"":\""default\""}"", ""set-cookie"": ""bkng_sso_auth=CAIQsOnuTRpy5mmAYaH35sLGP1ZmgKJ9qnWgyRvaWtDh5qnTPX4rlTI7qfcPsMX6PUvudrwvsnhbdcaiL0Ajbm1rIOkxHbOCnvsXdvqPL9uI6IwrkxvrjSITpLehEsEP7RvBakkHSb7znNu71E40RYZVdbmXIUjZKpUc; Domain=.booking.com; Path=/; Expires=Fri, 06 Oct 2023 22:11:54 GMT; HttpOnly; Secure"", ""strict-transport-security"": ""max-age=300; includeSubDomains"", ""x-content-type-options"": ""nosniff"", ""x-recruiting"": ""Like HTTP headers? Come write ours: https://careers.booking.com"", ""x-terms-of-service"": ""https://www.booking.com/content/terms.html"", ""x-xss-protection"": ""1; mode=block"", ""x-cache"": ""Miss from cloudfront"", ""via"": ""1.1 78c791f2019c33bd5940f0dca5bfaee0.cloudfront.net (CloudFront)"", ""x-amz-cf-pop"": ""HAM50-P1"", ""x-amz-cf-id"": ""0vNCn4uRPong4HoDsWauObZ5JmMY-sj0818vCS4JngblG7qK5wWM-Q==""}"
1,"GET / HTTP/1.1
Host: www.booking.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,429,HTTP/1.1,0.2506711483001709,0.10854506492614746,0.4186079502105713,200,OK,[''],21,21,4038,"{""content-type"": ""text/html; charset=UTF-8"", ""transfer-encoding"": ""chunked"", ""connection"": ""keep-alive"", ""server"": ""nginx"", ""date"": ""Fri, 29 Sep 2023 22:11:57 GMT"", ""cache-control"": ""private"", ""vary"": ""User-Agent, Accept-Encoding"", ""content-encoding"": ""br"", ""link"": ""<https://cf.bstatic.com/static/css/xp-index-sb_cloudfront_sd.iq_ltr/7d56b924a6c248d579afe82a520d9a6abc96b9c7.css>; rel=preload; as=style"", ""nel"": ""{\""max_age\"":604800,\""report_to\"":\""default\""}"", ""report-to"": ""{\""group\"":\""default\"",\""endpoints\"":[{\""url\"":\""https://nellie.booking.com/report\""}],\""max_age\"":604800}"", ""set-cookie"": ""bkng_sso_auth=CAIQsOnuTRpyp8z7FXkVweF+ja+G1PWvL1aOEI5jW0oM7K9fu6IlwwulrzzPSlGXekZ9NlExSYwLYp8Mf5Fv+7p81CLZeQaFBn6/RCn5Px3BS3rg6ZYrNbrPiiwWlBEkHKmG2bYAA1JSOekLT7WaN8R3/XAnUGPwDvhk; Domain=.booking.com; Path=/; Expires=Fri, 06 Oct 2023 22:11:56 GMT; HttpOnly; Secure"", ""strict-transport-security"": ""max-age=300; includeSubDomains"", ""x-content-type-options"": ""nosniff"", ""x-recruiting"": ""Like HTTP headers? Come write ours: https://careers.booking.com"", ""x-terms-of-service"": ""https://www.booking.com/content/terms.html"", ""x-xss-protection"": ""1; mode=block"", ""x-cache"": ""Miss from cloudfront"", ""via"": ""1.1 704c2c5658d2a30f6fbdd46c73f52e10.cloudfront.net (CloudFront)"", ""x-amz-cf-pop"": ""HAM50-P1"", ""x-amz-cf-id"": ""UOJ-wV2O7r1SWPrv5WWvZAoiRYNQ81cuuyWZp7tEEdNMhNHbTMYeXQ==""}"
2,"GET / HTTP/1.1
Host: www.booking.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,429,HTTP/1.1,0.1914989948272705,0.11539101600646973,0.31028294563293457,200,OK,[''],21,21,4028,"{""content-type"": ""text/html; charset=UTF-8"", ""transfer-encoding"": ""chunked"", ""connection"": ""keep-alive"", ""server"": ""nginx"", ""date"": ""Fri, 29 Sep 2023 22:11:59 GMT"", ""cache-control"": ""private"", ""vary"": ""Accept-Encoding, User-Agent"", ""content-encoding"": ""br"", ""link"": ""<https://cf.bstatic.com/static/css/xp-index-sb_cloudfront_sd.iq_ltr/7d56b924a6c248d579afe82a520d9a6abc96b9c7.css>; rel=preload; as=style"", ""nel"": ""{\""max_age\"":604800,\""report_to\"":\""default\""}"", ""report-to"": ""{\""group\"":\""default\"",\""endpoints\"":[{\""url\"":\""https://nellie.booking.com/report\""}],\""max_age\"":604800}"", ""set-cookie"": ""bkng_sso_auth=CAIQsOnuTRpy+HiicnYunvCFXiZ/jDWPKIbiQz7Em5BAp2K+FMy1VVFhh6QcxNY85nbnboifieg60B+ptrs480RKXTge/w1oTGPyzuj5NovcfngxwkXqtVcw6yGx0l3KvaVp9E/U6ykSGhWRX/XKcrGXuNS7OEGW1x9n; Domain=.booking.com; Path=/; Expires=Fri, 06 Oct 2023 22:11:59 GMT; HttpOnly; Secure"", ""strict-transport-security"": ""max-age=300; includeSubDomains"", ""x-content-type-options"": ""nosniff"", ""x-recruiting"": ""Like HTTP headers? Come write ours: https://careers.booking.com"", ""x-terms-of-service"": ""https://www.booking.com/content/terms.html"", ""x-xss-protection"": ""1; mode=block"", ""x-cache"": ""Miss from cloudfront"", ""via"": ""1.1 8856fedb63df7336fbe33f5df12fe4d6.cloudfront.net (CloudFront)"", ""x-amz-cf-pop"": ""HAM50-P1"", ""x-amz-cf-id"": ""4HoS8ZmmKvbD0MCa5uZgvd6hQTDUpOPK6ZxKsLVtVp-_WKTbAbtx3Q==""}"
3,"GET / HTTP/1.1
Host: www.booking.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,429,HTTP/1.1,0.20865082740783691,0.10975909233093262,0.40906596183776855,200,OK,[''],21,21,4029,"{""content-type"": ""text/html; charset=UTF-8"", ""transfer-encoding"": ""chunked"", ""connection"": ""keep-alive"", ""server"": ""nginx"", ""date"": ""Fri, 29 Sep 2023 22:12:02 GMT"", ""cache-control"": ""private"", ""vary"": ""User-Agent, Accept-Encoding"", ""content-encoding"": ""br"", ""link"": ""<https://cf.bstatic.com/static/css/xp-index-sb_cloudfront_sd.iq_ltr/7d56b924a6c248d579afe82a520d9a6abc96b9c7.css>; rel=preload; as=style"", ""nel"": ""{\""report_to\"":\""default\"",\""max_age\"":604800}"", ""report-to"": ""{\""endpoints\"":[{\""url\"":\""https://nellie.booking.com/report\""}],\""max_age\"":604800,\""group\"":\""default\""}"", ""set-cookie"": ""bkng_sso_auth=CAIQsOnuTRpyOatqqm2lEE4S9t6Et8p5B5LjI8Psk7VmG8cAdhw7DTQfYFfskoZ2fPpP4b2GWsSjr18MkKMc2Ho8J1x7cJ/w8zNDeBg0TXahd3IaUk6JBJEX8vHODxz2CHdtRQPhv2Auhg1rt6GL14UhDeGuGuTg/I0N; Domain=.booking.com; Path=/; Expires=Fri, 06 Oct 2023 22:12:02 GMT; HttpOnly; Secure"", ""strict-transport-security"": ""max-age=300; includeSubDomains"", ""x-content-type-options"": ""nosniff"", ""x-recruiting"": ""Like HTTP headers? Come write ours: https://careers.booking.com"", ""x-terms-of-service"": ""https://www.booking.com/content/terms.html"", ""x-xss-protection"": ""1; mode=block"", ""x-cache"": ""Miss from cloudfront"", ""via"": ""1.1 2708e1a9acafb39e713bfaa4a6a7cda2.cloudfront.net (CloudFront)"", ""x-amz-cf-pop"": ""HAM50-P1"", ""x-amz-cf-id"": ""s3Jy8_hFDR_lxEcsyuDqQ_L-thTC-4Ly5Yc8pLkTBsXHJOHzMfOtrw==""}"
4,"GET / HTTP/1.1
Host: www.booking.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,429,HTTP/1.1,0.21846532821655273,0.12686491012573242,0.3962442874908447,200,OK,[''],21,21,0,"{""content-type"": ""text/html; charset=UTF-8"", ""transfer-encoding"": ""chunked"", ""connection"": ""keep-alive"", ""server"": ""nginx"", ""date"": ""Fri, 29 Sep 2023 22:12:05 GMT"", ""cache-control"": ""private"", ""vary"": ""Accept-Encoding, User-Agent"", ""content-encoding"": ""br"", ""link"": ""<https://cf.bstatic.com/static/css/xp-index-sb_cloudfront_sd.iq_ltr/7d56b924a6c248d579afe82a520d9a6abc96b9c7.css>; rel=preload; as=style"", ""nel"": ""{\""report_to\"":\""default\"",\""max_age\"":604800}"", ""report-to"": ""{\""endpoints\"":[{\""url\"":\""https://nellie.booking.com/report\""}],\""group\"":\""default\"",\""max_age\"":604800}"", ""set-cookie"": ""bkng_sso_auth=CAIQsOnuTRpyFsAdiOZyxfZ91yYnr70urUY9f238VUH8cGmJpM5jJDzK2omqtmaasQgHia+bjuCC3rCFrn7Mw29DxtPOx2r5OH9bm/wSxTYrYTiNF8QDjHkeoC2Y3KpVy0lPEsjrjtY5mvHmZLyDRqpwe7Xj5tms0hYU; Domain=.booking.com; Path=/; Expires=Fri, 06 Oct 2023 22:12:04 GMT; HttpOnly; Secure"", ""strict-transport-security"": ""max-age=300; includeSubDomains"", ""x-content-type-options"": ""nosniff"", ""x-recruiting"": ""Like HTTP headers? Come write ours: https://careers.booking.com"", ""x-terms-of-service"": ""https://www.booking.com/content/terms.html"", ""x-xss-protection"": ""1; mode=block"", ""x-cache"": ""Miss from cloudfront"", ""via"": ""1.1 c25f4c3e9095efed7de1aa324e9d84e2.cloudfront.net (CloudFront)"", ""x-amz-cf-pop"": ""HAM50-P1"", ""x-amz-cf-id"": ""fA1U9oSPacaSn3pJnnVInxAC4vUIaQsNXKcfNx1Y9RZraaZDXjZ3fA==""}"
5,"GET / HTTP/1.1
Host: www.booking.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,429,HTTP/1.1,0.15841007232666016,0.1310882568359375,0.7194256782531738,200,OK,[''],22,22,4032,"{""content-type"": ""text/html; charset=UTF-8"", ""transfer-encoding"": ""chunked"", ""connection"": ""keep-alive"", ""server"": ""nginx"", ""date"": ""Fri, 29 Sep 2023 22:12:07 GMT"", ""cache-control"": ""private"", ""vary"": ""User-Agent, Accept-Encoding"", ""content-encoding"": ""br"", ""link"": ""<https://cf.bstatic.com/static/css/xp-index-sb_cloudfront_sd.iq_ltr/7d56b924a6c248d579afe82a520d9a6abc96b9c7.css>; rel=preload; as=style"", ""nel"": ""{\""max_age\"":604800,\""report_to\"":\""default\""}"", ""report-to"": ""{\""group\"":\""default\"",\""max_age\"":604800,\""endpoints\"":[{\""url\"":\""https://nellie.booking.com/report\""}]}"", ""set-cookie"": ""bkng_sso_auth=CAIQsOnuTRpyi59oHSYfcNhVL5GHSNU6IIvysva7KXRpj9v+Jooc/NgL/mAxAXsGG57y00t+0R32lLY6b0q3jSZBIZzedBfnFe+nov5NPn98pDp+oCAgPlAugybiOk7vX68jWqvsNcGBRCRyEISoJS/fiEuKVEpACVrO; Domain=.booking.com; Path=/; Expires=Fri, 06 Oct 2023 22:12:07 GMT; HttpOnly; Secure"", ""strict-transport-security"": ""max-age=300; includeSubDomains"", ""x-content-type-options"": ""nosniff"", ""x-recruiting"": ""Like HTTP headers? Come write ours: https://careers.booking.com"", ""content-security-policy-report-only"": ""base-uri 'none'; object-src 'none'; report-uri https://nellie.booking.com/csp-report-uri?type=report&tag=146&pid=17b59c1bf27200c2&e=UmFuZG9tSVYkc2RlIyh9YYYdGuViorKPoDkYC_l2uLIodpq-NVAgVIZ6NVSNAgzZ; script-src 'self' 'nonce-NsxpB2bGkLBHM1z' 'report-sample' 'unsafe-eval' 'unsafe-inline' https: 'sha256-47mKTaMaEn1L3m5DAz9muidMqw636xxw7EFAK/YnPdg=' 'sha256-iry7oJKoKJ+9HSjmU3E1TlRlpSesJWZ1vapuUz2MP38='"", ""x-terms-of-service"": ""https://www.booking.com/content/terms.html"", ""x-xss-protection"": ""1; mode=block"", ""x-cache"": ""Miss from cloudfront"", ""via"": ""1.1 1599881f4fb8a11206232254d6f4ccb6.cloudfront.net (CloudFront)"", ""x-amz-cf-pop"": ""HAM50-P1"", ""x-amz-cf-id"": ""Zz_clYvF1B7qySsjVAvkeC-pVr8G2zQI_QfCG-NOEK5CkRmzN3cMdw==""}"
6,"GET / HTTP/1.1
Host: www.booking.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,429,HTTP/1.1,0.1644144058227539,0.11063313484191895,0.4233555793762207,200,OK,[''],21,21,0,"{""content-type"": ""text/html; charset=UTF-8"", ""transfer-encoding"": ""chunked"", ""connection"": ""keep-alive"", ""server"": ""nginx"", ""date"": ""Fri, 29 Sep 2023 22:12:10 GMT"", ""cache-control"": ""private"", ""vary"": ""User-Agent, Accept-Encoding"", ""content-encoding"": ""br"", ""link"": ""<https://cf.bstatic.com/static/css/xp-index-sb_cloudfront_sd.iq_ltr/7d56b924a6c248d579afe82a520d9a6abc96b9c7.css>; rel=preload; as=style"", ""nel"": ""{\""max_age\"":604800,\""report_to\"":\""default\""}"", ""report-to"": ""{\""group\"":\""default\"",\""max_age\"":604800,\""endpoints\"":[{\""url\"":\""https://nellie.booking.com/report\""}]}"", ""set-cookie"": ""bkng_sso_auth=CAIQsOnuTRpy/bKPbwM/QbnISOfdIfA9xVzziu1JWKNgWOrGA9AT8Om/U6Au8s4IbCy0NNNEM/4eLD7tKpmstszVw4llForNo0e3G3rvkKrguAdtFzZsJckoVYkhFNM01T9os5khDhwiNrl4Dfwmq+m+Skt3cA8RXo9N; Domain=.booking.com; Path=/; Expires=Fri, 06 Oct 2023 22:12:10 GMT; HttpOnly; Secure"", ""strict-transport-security"": ""max-age=300; includeSubDomains"", ""x-content-type-options"": ""nosniff"", ""x-recruiting"": ""Like HTTP headers? Come write ours: https://careers.booking.com"", ""x-terms-of-service"": ""https://www.booking.com/content/terms.html"", ""x-xss-protection"": ""1; mode=block"", ""x-cache"": ""Miss from cloudfront"", ""via"": ""1.1 a21b25c9d373577fade9001454ef47f0.cloudfront.net (CloudFront)"", ""x-amz-cf-pop"": ""HAM50-P1"", ""x-amz-cf-id"": ""O1-C6ynMA-GJfVhXW2KWb0oPfw23wlZzL23rCcIVXyTWgmoYb4AwBQ==""}"
7,"GET / HTTP/1.1
Host: www.booking.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,429,HTTP/1.1,0.14355969429016113,0.10511922836303711,0.6425199508666992,200,OK,[''],21,21,4010,"{""content-type"": ""text/html; charset=UTF-8"", ""transfer-encoding"": ""chunked"", ""connection"": ""keep-alive"", ""server"": ""nginx"", ""date"": ""Fri, 29 Sep 2023 22:12:13 GMT"", ""cache-control"": ""private"", ""vary"": ""Accept-Encoding, User-Agent"", ""content-encoding"": ""br"", ""link"": ""<https://cf.bstatic.com/static/css/xp-index-sb_cloudfront_sd.iq_ltr/7d56b924a6c248d579afe82a520d9a6abc96b9c7.css>; rel=preload; as=style"", ""nel"": ""{\""max_age\"":604800,\""report_to\"":\""default\""}"", ""report-to"": ""{\""endpoints\"":[{\""url\"":\""https://nellie.booking.com/report\""}],\""group\"":\""default\"",\""max_age\"":604800}"", ""set-cookie"": ""bkng_sso_auth=CAIQsOnuTRpywK8rtnbc2J8uEYRsH6QW54po5lsgFOHt7c0VUZC7PoRk3MxS9ONUs+DpHC7vZtiZSCyCXV9O7sjInMUxKdKaQAulIzP4eH0ImRNjHiLsXmGoBSVqnuU3dfPALmiw27Xg8G1O7XJoYUixtee5osjCVuI6; Domain=.booking.com; Path=/; Expires=Fri, 06 Oct 2023 22:12:12 GMT; HttpOnly; Secure"", ""strict-transport-security"": ""max-age=300; includeSubDomains"", ""x-content-type-options"": ""nosniff"", ""x-recruiting"": ""Like HTTP headers? Come write ours: https://careers.booking.com"", ""x-terms-of-service"": ""https://www.booking.com/content/terms.html"", ""x-xss-protection"": ""1; mode=block"", ""x-cache"": ""Miss from cloudfront"", ""via"": ""1.1 938af0a58a4fcbf3c08e6c39b89440e2.cloudfront.net (CloudFront)"", ""x-amz-cf-pop"": ""HAM50-P1"", ""x-amz-cf-id"": ""hDG2EVbg_1dussTUTqbo1-11kt3u3IbEFx1q7Wl3pnUF6uU5nqreYQ==""}"
8,"GET / HTTP/1.1
Host: www.booking.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,429,HTTP/1.1,0.15814614295959473,0.11468839645385742,0.4229090213775635,200,OK,[''],21,21,3992,"{""content-type"": ""text/html; charset=UTF-8"", ""transfer-encoding"": ""chunked"", ""connection"": ""keep-alive"", ""server"": ""nginx"", ""date"": ""Fri, 29 Sep 2023 22:12:15 GMT"", ""cache-control"": ""private"", ""vary"": ""Accept-Encoding, User-Agent"", ""content-encoding"": ""br"", ""link"": ""<https://cf.bstatic.com/static/css/xp-index-sb_cloudfront_sd.iq_ltr/7d56b924a6c248d579afe82a520d9a6abc96b9c7.css>; rel=preload; as=style"", ""nel"": ""{\""report_to\"":\""default\"",\""max_age\"":604800}"", ""report-to"": ""{\""endpoints\"":[{\""url\"":\""https://nellie.booking.com/report\""}],\""group\"":\""default\"",\""max_age\"":604800}"", ""set-cookie"": ""bkng_sso_auth=CAIQsOnuTRpyGRVD5Cbu4o5M2I9cOVkC74Zm0AweQSCDJHf3DWTeZd4i9iTxkbCAlfipnBPJZytALN+5d45cR/0yJnq3WkFXUzyoKqKDEN74YBEFWrVlA8mkY5cUbSWDvf8I440mUGxbTZZyI6DFmlrSXk+OQOi387oy; Domain=.booking.com; Path=/; Expires=Fri, 06 Oct 2023 22:12:15 GMT; HttpOnly; Secure"", ""strict-transport-security"": ""max-age=300; includeSubDomains"", ""x-content-type-options"": ""nosniff"", ""x-recruiting"": ""Like HTTP headers? Come write ours: https://careers.booking.com"", ""x-terms-of-service"": ""https://www.booking.com/content/terms.html"", ""x-xss-protection"": ""1; mode=block"", ""x-cache"": ""Miss from cloudfront"", ""via"": ""1.1 419461e8df22e77789a0d74c26c2ecc2.cloudfront.net (CloudFront)"", ""x-amz-cf-pop"": ""HAM50-P1"", ""x-amz-cf-id"": ""YdtdRXeBHW9eBmaEo7AyrCicO-m6Gct6UtZUr7bwVnoGL8HYdIrWaQ==""}"
9,"GET / HTTP/1.1
Host: www.booking.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,429,HTTP/1.1,0.18475723266601562,0.11107802391052246,0.39765143394470215,200,OK,[''],21,21,0,"{""content-type"": ""text/html; charset=UTF-8"", ""transfer-encoding"": ""chunked"", ""connection"": ""keep-alive"", ""server"": ""nginx"", ""date"": ""Fri, 29 Sep 2023 22:12:18 GMT"", ""cache-control"": ""private"", ""vary"": ""Accept-Encoding, User-Agent"", ""content-encoding"": ""br"", ""link"": ""<https://cf.bstatic.com/static/css/xp-index-sb_cloudfront_sd.iq_ltr/7d56b924a6c248d579afe82a520d9a6abc96b9c7.css>; rel=preload; as=style"", ""nel"": ""{\""max_age\"":604800,\""report_to\"":\""default\""}"", ""report-to"": ""{\""group\"":\""default\"",\""endpoints\"":[{\""url\"":\""https://nellie.booking.com/report\""}],\""max_age\"":604800}"", ""set-cookie"": ""bkng_sso_auth=CAIQsOnuTRpyzltfhMq4o9neHOQF9HwEpHLh3qa375d7xv7WqCEXWpFPqfTi37RHwP1Mj5ZLECEBp3AJ+JFrVc7imH+a4FY8eobKzepDYvf5Xf1frL4392cjwL11+r15sXUc9GVPnoEIbBRtZYDaOJzjw8/JcbwOkimw; Domain=.booking.com; Path=/; Expires=Fri, 06 Oct 2023 22:12:17 GMT; HttpOnly; Secure"", ""strict-transport-security"": ""max-age=300; includeSubDomains"", ""x-content-type-options"": ""nosniff"", ""x-recruiting"": ""Like HTTP headers? Come write ours: https://careers.booking.com"", ""x-terms-of-service"": ""https://www.booking.com/content/terms.html"", ""x-xss-protection"": ""1; mode=block"", ""x-cache"": ""Miss from cloudfront"", ""via"": ""1.1 107d9675170d96f52a4921f960f44e7c.cloudfront.net (CloudFront)"", ""x-amz-cf-pop"": ""HAM50-P1"", ""x-amz-cf-id"": ""NE31ipPsx_nW0rXaXyQZXv4MP4SUu8EUjZFzTsv-t2XLtdBzx4ICaw==""}"
