number,request,deviation_count,uri,request_length,http_version,Socket_Connect_Time,Socket_Close_Time,Response_Time,status_code,reason_phrase,error_message,response_header_count,response_header_length,response_body_length,response_header_fields
0,"GET / HTTP/1.1
Host: www.moatads.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,429,HTTP/1.1,0.20382475852966309,0.11517500877380371,0.01891922950744629,200,OK,[''],14,14,168,"{""server"": ""Apache/2.4.46 (Ubuntu)"", ""last-modified"": ""Fri, 23 Oct 2015 21:33:13 GMT"", ""etag"": ""\""a8-522cc5bd65840-gzip\"""", ""accept-ranges"": ""bytes"", ""vary"": ""Accept-Encoding"", ""content-encoding"": ""gzip"", ""content-security-policy"": ""default-src 'self' http://*.moatads.com:*; script-src 'unsafe-inline' 'unsafe-eval' 'self' *; style-src 'unsafe-inline' 'self' *; frame-src 'self' *; object-src 'self' *; img-src 'self' * data:; media-src 'self' *; font-src 'self' *; connect-src 'self' *;"", ""x-xss-protection"": ""1; mode=block"", ""access-control-allow-origin"": ""*"", ""amp-access-control-allow-source-origin"": ""https://moatads.com"", ""content-length"": ""152"", ""content-type"": ""text/html"", ""date"": ""Fri, 29 Sep 2023 22:11:54 GMT"", ""connection"": ""keep-alive""}"
1,"GET / HTTP/1.1
Host: www.moatads.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,429,HTTP/1.1,0.26856470108032227,0.1077578067779541,0.01877284049987793,200,OK,[''],14,14,168,"{""server"": ""Apache/2.4.46 (Ubuntu)"", ""last-modified"": ""Fri, 23 Oct 2015 21:33:13 GMT"", ""etag"": ""\""a8-522cc5bd65840-gzip\"""", ""accept-ranges"": ""bytes"", ""vary"": ""Accept-Encoding"", ""content-encoding"": ""gzip"", ""content-security-policy"": ""default-src 'self' http://*.moatads.com:*; script-src 'unsafe-inline' 'unsafe-eval' 'self' *; style-src 'unsafe-inline' 'self' *; frame-src 'self' *; object-src 'self' *; img-src 'self' * data:; media-src 'self' *; font-src 'self' *; connect-src 'self' *;"", ""x-xss-protection"": ""1; mode=block"", ""access-control-allow-origin"": ""*"", ""amp-access-control-allow-source-origin"": ""https://moatads.com"", ""content-length"": ""152"", ""content-type"": ""text/html"", ""date"": ""Fri, 29 Sep 2023 22:11:57 GMT"", ""connection"": ""keep-alive""}"
2,"GET / HTTP/1.1
Host: www.moatads.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,429,HTTP/1.1,0.3315892219543457,0.11136031150817871,0.02869725227355957,200,OK,[''],14,14,168,"{""server"": ""Apache/2.4.46 (Ubuntu)"", ""last-modified"": ""Fri, 23 Oct 2015 21:33:13 GMT"", ""etag"": ""\""a8-522cc5bd65840-gzip\"""", ""accept-ranges"": ""bytes"", ""vary"": ""Accept-Encoding"", ""content-encoding"": ""gzip"", ""content-security-policy"": ""default-src 'self' http://*.moatads.com:*; script-src 'unsafe-inline' 'unsafe-eval' 'self' *; style-src 'unsafe-inline' 'self' *; frame-src 'self' *; object-src 'self' *; img-src 'self' * data:; media-src 'self' *; font-src 'self' *; connect-src 'self' *;"", ""x-xss-protection"": ""1; mode=block"", ""access-control-allow-origin"": ""*"", ""amp-access-control-allow-source-origin"": ""https://moatads.com"", ""content-length"": ""152"", ""content-type"": ""text/html"", ""date"": ""Fri, 29 Sep 2023 22:12:01 GMT"", ""connection"": ""keep-alive""}"
3,"GET / HTTP/1.1
Host: www.moatads.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,429,HTTP/1.1,0.15409469604492188,0.11359572410583496,0.04178261756896973,200,OK,[''],14,14,168,"{""server"": ""Apache/2.4.46 (Ubuntu)"", ""last-modified"": ""Fri, 23 Oct 2015 21:33:13 GMT"", ""etag"": ""\""a8-522cc5bd65840-gzip\"""", ""accept-ranges"": ""bytes"", ""vary"": ""Accept-Encoding"", ""content-encoding"": ""gzip"", ""content-security-policy"": ""default-src 'self' http://*.moatads.com:*; script-src 'unsafe-inline' 'unsafe-eval' 'self' *; style-src 'unsafe-inline' 'self' *; frame-src 'self' *; object-src 'self' *; img-src 'self' * data:; media-src 'self' *; font-src 'self' *; connect-src 'self' *;"", ""x-xss-protection"": ""1; mode=block"", ""access-control-allow-origin"": ""*"", ""amp-access-control-allow-source-origin"": ""https://moatads.com"", ""content-length"": ""152"", ""content-type"": ""text/html"", ""date"": ""Fri, 29 Sep 2023 22:12:04 GMT"", ""connection"": ""keep-alive""}"
4,"GET / HTTP/1.1
Host: www.moatads.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,429,HTTP/1.1,0.18161773681640625,0.1228032112121582,0.03011345863342285,200,OK,[''],14,14,168,"{""server"": ""Apache/2.4.46 (Ubuntu)"", ""last-modified"": ""Fri, 23 Oct 2015 21:33:13 GMT"", ""etag"": ""\""a8-522cc5bd65840-gzip\"""", ""accept-ranges"": ""bytes"", ""vary"": ""Accept-Encoding"", ""content-encoding"": ""gzip"", ""content-security-policy"": ""default-src 'self' http://*.moatads.com:*; script-src 'unsafe-inline' 'unsafe-eval' 'self' *; style-src 'unsafe-inline' 'self' *; frame-src 'self' *; object-src 'self' *; img-src 'self' * data:; media-src 'self' *; font-src 'self' *; connect-src 'self' *;"", ""x-xss-protection"": ""1; mode=block"", ""access-control-allow-origin"": ""*"", ""amp-access-control-allow-source-origin"": ""https://moatads.com"", ""content-length"": ""152"", ""content-type"": ""text/html"", ""date"": ""Fri, 29 Sep 2023 22:12:07 GMT"", ""connection"": ""keep-alive""}"
5,"GET / HTTP/1.1
Host: www.moatads.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,429,HTTP/1.1,0.19132614135742188,0.11442232131958008,0.02200627326965332,200,OK,[''],14,14,168,"{""server"": ""Apache/2.4.46 (Ubuntu)"", ""last-modified"": ""Fri, 23 Oct 2015 21:33:13 GMT"", ""etag"": ""\""a8-522cc5bd65840-gzip\"""", ""accept-ranges"": ""bytes"", ""vary"": ""Accept-Encoding"", ""content-encoding"": ""gzip"", ""content-security-policy"": ""default-src 'self' http://*.moatads.com:*; script-src 'unsafe-inline' 'unsafe-eval' 'self' *; style-src 'unsafe-inline' 'self' *; frame-src 'self' *; object-src 'self' *; img-src 'self' * data:; media-src 'self' *; font-src 'self' *; connect-src 'self' *;"", ""x-xss-protection"": ""1; mode=block"", ""access-control-allow-origin"": ""*"", ""amp-access-control-allow-source-origin"": ""https://moatads.com"", ""content-length"": ""152"", ""content-type"": ""text/html"", ""date"": ""Fri, 29 Sep 2023 22:12:10 GMT"", ""connection"": ""keep-alive""}"
6,"GET / HTTP/1.1
Host: www.moatads.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,429,HTTP/1.1,0.26321887969970703,0.11696314811706543,0.03166508674621582,200,OK,[''],14,14,168,"{""server"": ""Apache/2.4.46 (Ubuntu)"", ""last-modified"": ""Fri, 23 Oct 2015 21:33:13 GMT"", ""etag"": ""\""a8-522cc5bd65840-gzip\"""", ""accept-ranges"": ""bytes"", ""vary"": ""Accept-Encoding"", ""content-encoding"": ""gzip"", ""content-security-policy"": ""default-src 'self' http://*.moatads.com:*; script-src 'unsafe-inline' 'unsafe-eval' 'self' *; style-src 'unsafe-inline' 'self' *; frame-src 'self' *; object-src 'self' *; img-src 'self' * data:; media-src 'self' *; font-src 'self' *; connect-src 'self' *;"", ""x-xss-protection"": ""1; mode=block"", ""access-control-allow-origin"": ""*"", ""amp-access-control-allow-source-origin"": ""https://moatads.com"", ""content-length"": ""152"", ""content-type"": ""text/html"", ""date"": ""Fri, 29 Sep 2023 22:12:13 GMT"", ""connection"": ""keep-alive""}"
7,"GET / HTTP/1.1
Host: www.moatads.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,429,HTTP/1.1,0.15043020248413086,0.12331318855285645,0.024144887924194336,200,OK,[''],14,14,168,"{""server"": ""Apache/2.4.46 (Ubuntu)"", ""last-modified"": ""Fri, 23 Oct 2015 21:33:13 GMT"", ""etag"": ""\""a8-522cc5bd65840-gzip\"""", ""accept-ranges"": ""bytes"", ""vary"": ""Accept-Encoding"", ""content-encoding"": ""gzip"", ""content-security-policy"": ""default-src 'self' http://*.moatads.com:*; script-src 'unsafe-inline' 'unsafe-eval' 'self' *; style-src 'unsafe-inline' 'self' *; frame-src 'self' *; object-src 'self' *; img-src 'self' * data:; media-src 'self' *; font-src 'self' *; connect-src 'self' *;"", ""x-xss-protection"": ""1; mode=block"", ""access-control-allow-origin"": ""*"", ""amp-access-control-allow-source-origin"": ""https://moatads.com"", ""content-length"": ""152"", ""content-type"": ""text/html"", ""date"": ""Fri, 29 Sep 2023 22:12:16 GMT"", ""connection"": ""keep-alive""}"
8,"GET / HTTP/1.1
Host: www.moatads.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,429,HTTP/1.1,0.15400218963623047,0.11527371406555176,0.029886722564697266,200,OK,[''],14,14,168,"{""server"": ""Apache/2.4.46 (Ubuntu)"", ""last-modified"": ""Fri, 23 Oct 2015 21:33:13 GMT"", ""etag"": ""\""a8-522cc5bd65840-gzip\"""", ""accept-ranges"": ""bytes"", ""vary"": ""Accept-Encoding"", ""content-encoding"": ""gzip"", ""content-security-policy"": ""default-src 'self' http://*.moatads.com:*; script-src 'unsafe-inline' 'unsafe-eval' 'self' *; style-src 'unsafe-inline' 'self' *; frame-src 'self' *; object-src 'self' *; img-src 'self' * data:; media-src 'self' *; font-src 'self' *; connect-src 'self' *;"", ""x-xss-protection"": ""1; mode=block"", ""access-control-allow-origin"": ""*"", ""amp-access-control-allow-source-origin"": ""https://moatads.com"", ""content-length"": ""152"", ""content-type"": ""text/html"", ""date"": ""Fri, 29 Sep 2023 22:12:19 GMT"", ""connection"": ""keep-alive""}"
9,"GET / HTTP/1.1
Host: www.moatads.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,429,HTTP/1.1,0.3240823745727539,0.11738371849060059,0.023343801498413086,200,OK,[''],14,14,168,"{""server"": ""Apache/2.4.46 (Ubuntu)"", ""last-modified"": ""Fri, 23 Oct 2015 21:33:13 GMT"", ""etag"": ""\""a8-522cc5bd65840-gzip\"""", ""accept-ranges"": ""bytes"", ""vary"": ""Accept-Encoding"", ""content-encoding"": ""gzip"", ""content-security-policy"": ""default-src 'self' http://*.moatads.com:*; script-src 'unsafe-inline' 'unsafe-eval' 'self' *; style-src 'unsafe-inline' 'self' *; frame-src 'self' *; object-src 'self' *; img-src 'self' * data:; media-src 'self' *; font-src 'self' *; connect-src 'self' *;"", ""x-xss-protection"": ""1; mode=block"", ""access-control-allow-origin"": ""*"", ""amp-access-control-allow-source-origin"": ""https://moatads.com"", ""content-length"": ""152"", ""content-type"": ""text/html"", ""date"": ""Fri, 29 Sep 2023 22:12:23 GMT"", ""connection"": ""keep-alive""}"
