number,request,deviation_count,uri,request_length,http_version,Socket_Connect_Time,Socket_Close_Time,Response_Time,status_code,reason_phrase,error_message,response_header_count,response_header_length,response_body_length,response_header_fields
0,"GET / HTTP/1.1
Host: www.foxnews.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,429,HTTP/1.1,0.25374794006347656,0.11138486862182617,0.03198814392089844,200,OK,[''],27,27,0,"{""connection"": ""keep-alive"", ""content-length"": ""60622"", ""via"": ""1.1 varnish, 1.1 varnish, 1.1 varnish"", ""content-type"": ""text/html; charset=UTF-8"", ""etag"": ""\""a87c536eaa53e16df4aa2d216056c088\"""", ""last-modified"": ""Fri, 29 Sep 2023 22:09:58 GMT"", ""x-amz-server-side-encryption"": ""AES256"", ""content-encoding"": ""gzip"", ""x-debug-backend"": ""prod_fn_hp_foxnews"", ""x-debug-url"": ""/index.html"", ""cache-control"": ""max-age=90, public"", ""accept-ranges"": ""bytes"", ""date"": ""Fri, 29 Sep 2023 22:12:01 GMT"", ""age"": ""34"", ""access-control-allow-origin"": ""*"", ""access-control-allow-headers"": ""*"", ""access-control-allow-credentials"": ""false"", ""access-control-max-age"": ""86400"", ""access-control-allow-methods"": ""GET,HEAD"", ""accept-ch"": ""Sec-CH-UA-Mobile, Sec-CH-UA-Model, Sec-CH-UA-Platform, Sec-CH-UA-Platform, Sec-CH-UA-Platform-Version, Sec-CH-UA, Sec-CH-UA-Arch, Sec-CH-UA-Bitness"", ""permissions-policy"": ""ch-ua-model=*,ch-ua-platform-version=*,ch-ua=*,ch-ua-mobile=*,ch-ua-platform=*,ch-ua-full-version-list=*,ch-ua-arch=*,ch-ua-bitness=*,ch-ua-model=*"", ""x-served-by"": ""cache-iad-kjyo7100096-IAD, cache-iad-kjyo7100074-IAD, cache-ams21037-AMS"", ""x-cache"": ""MISS, HIT, HIT"", ""x-cache-hits"": ""0, 55, 1"", ""x-timer"": ""S1696025522.665200,VS0,VE2"", ""vary"": ""Accept-Encoding"", ""strict-transport-security"": ""max-age=300""}"
1,"GET / HTTP/1.1
Host: www.foxnews.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,429,HTTP/1.1,0.19258546829223633,0.11748552322387695,0.033875465393066406,200,OK,[''],27,27,0,"{""connection"": ""keep-alive"", ""content-length"": ""60622"", ""via"": ""1.1 varnish, 1.1 varnish, 1.1 varnish"", ""content-type"": ""text/html; charset=UTF-8"", ""etag"": ""\""a87c536eaa53e16df4aa2d216056c088\"""", ""last-modified"": ""Fri, 29 Sep 2023 22:09:58 GMT"", ""x-amz-server-side-encryption"": ""AES256"", ""content-encoding"": ""gzip"", ""x-debug-backend"": ""prod_fn_hp_foxnews"", ""x-debug-url"": ""/index.html"", ""cache-control"": ""max-age=90, public"", ""accept-ranges"": ""bytes"", ""date"": ""Fri, 29 Sep 2023 22:12:06 GMT"", ""age"": ""39"", ""access-control-allow-origin"": ""*"", ""access-control-allow-headers"": ""*"", ""access-control-allow-credentials"": ""false"", ""access-control-max-age"": ""86400"", ""access-control-allow-methods"": ""GET,HEAD"", ""accept-ch"": ""Sec-CH-UA-Mobile, Sec-CH-UA-Model, Sec-CH-UA-Platform, Sec-CH-UA-Platform, Sec-CH-UA-Platform-Version, Sec-CH-UA, Sec-CH-UA-Arch, Sec-CH-UA-Bitness"", ""permissions-policy"": ""ch-ua-model=*,ch-ua-platform-version=*,ch-ua=*,ch-ua-mobile=*,ch-ua-platform=*,ch-ua-full-version-list=*,ch-ua-arch=*,ch-ua-bitness=*,ch-ua-model=*"", ""x-served-by"": ""cache-iad-kjyo7100096-IAD, cache-iad-kjyo7100074-IAD, cache-ams21065-AMS"", ""x-cache"": ""MISS, HIT, HIT"", ""x-cache-hits"": ""0, 55, 2"", ""x-timer"": ""S1696025526.254880,VS0,VE0"", ""vary"": ""Accept-Encoding"", ""strict-transport-security"": ""max-age=300""}"
2,"GET / HTTP/1.1
Host: www.foxnews.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,429,HTTP/1.1,0.1622931957244873,0.10571050643920898,0.02881908416748047,200,OK,[''],27,27,0,"{""connection"": ""keep-alive"", ""content-length"": ""60622"", ""via"": ""1.1 varnish, 1.1 varnish, 1.1 varnish"", ""content-type"": ""text/html; charset=UTF-8"", ""etag"": ""\""a87c536eaa53e16df4aa2d216056c088\"""", ""last-modified"": ""Fri, 29 Sep 2023 22:09:58 GMT"", ""x-amz-server-side-encryption"": ""AES256"", ""content-encoding"": ""gzip"", ""x-debug-backend"": ""prod_fn_hp_foxnews"", ""x-debug-url"": ""/index.html"", ""cache-control"": ""max-age=90, public"", ""accept-ranges"": ""bytes"", ""date"": ""Fri, 29 Sep 2023 22:12:10 GMT"", ""age"": ""43"", ""access-control-allow-origin"": ""*"", ""access-control-allow-headers"": ""*"", ""access-control-allow-credentials"": ""false"", ""access-control-max-age"": ""86400"", ""access-control-allow-methods"": ""GET,HEAD"", ""accept-ch"": ""Sec-CH-UA-Mobile, Sec-CH-UA-Model, Sec-CH-UA-Platform, Sec-CH-UA-Platform, Sec-CH-UA-Platform-Version, Sec-CH-UA, Sec-CH-UA-Arch, Sec-CH-UA-Bitness"", ""permissions-policy"": ""ch-ua-model=*,ch-ua-platform-version=*,ch-ua=*,ch-ua-mobile=*,ch-ua-platform=*,ch-ua-full-version-list=*,ch-ua-arch=*,ch-ua-bitness=*,ch-ua-model=*"", ""x-served-by"": ""cache-iad-kjyo7100096-IAD, cache-iad-kjyo7100074-IAD, cache-ams21063-AMS"", ""x-cache"": ""MISS, HIT, HIT"", ""x-cache-hits"": ""0, 55, 1"", ""x-timer"": ""S1696025530.318197,VS0,VE2"", ""vary"": ""Accept-Encoding"", ""strict-transport-security"": ""max-age=300""}"
3,"GET / HTTP/1.1
Host: www.foxnews.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,429,HTTP/1.1,0.19434905052185059,0.1113278865814209,0.042143821716308594,200,OK,[''],27,27,0,"{""connection"": ""keep-alive"", ""content-length"": ""60622"", ""via"": ""1.1 varnish, 1.1 varnish, 1.1 varnish"", ""content-type"": ""text/html; charset=UTF-8"", ""etag"": ""\""a87c536eaa53e16df4aa2d216056c088\"""", ""last-modified"": ""Fri, 29 Sep 2023 22:09:58 GMT"", ""x-amz-server-side-encryption"": ""AES256"", ""content-encoding"": ""gzip"", ""x-debug-backend"": ""prod_fn_hp_foxnews"", ""x-debug-url"": ""/index.html"", ""cache-control"": ""max-age=90, public"", ""accept-ranges"": ""bytes"", ""date"": ""Fri, 29 Sep 2023 22:12:14 GMT"", ""age"": ""47"", ""access-control-allow-origin"": ""*"", ""access-control-allow-headers"": ""*"", ""access-control-allow-credentials"": ""false"", ""access-control-max-age"": ""86400"", ""access-control-allow-methods"": ""GET,HEAD"", ""accept-ch"": ""Sec-CH-UA-Mobile, Sec-CH-UA-Model, Sec-CH-UA-Platform, Sec-CH-UA-Platform, Sec-CH-UA-Platform-Version, Sec-CH-UA, Sec-CH-UA-Arch, Sec-CH-UA-Bitness"", ""permissions-policy"": ""ch-ua-model=*,ch-ua-platform-version=*,ch-ua=*,ch-ua-mobile=*,ch-ua-platform=*,ch-ua-full-version-list=*,ch-ua-arch=*,ch-ua-bitness=*,ch-ua-model=*"", ""x-served-by"": ""cache-iad-kjyo7100096-IAD, cache-iad-kjyo7100074-IAD, cache-ams21051-AMS"", ""x-cache"": ""MISS, HIT, HIT"", ""x-cache-hits"": ""0, 55, 1"", ""x-timer"": ""S1696025535.812294,VS0,VE1"", ""vary"": ""Accept-Encoding"", ""strict-transport-security"": ""max-age=300""}"
4,"GET / HTTP/1.1
Host: www.foxnews.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,429,HTTP/1.1,0.14492416381835938,0.14677882194519043,0.023958444595336914,200,OK,[''],27,27,0,"{""connection"": ""keep-alive"", ""content-length"": ""60629"", ""via"": ""1.1 varnish, 1.1 varnish, 1.1 varnish"", ""content-type"": ""text/html; charset=UTF-8"", ""etag"": ""\""2b48daaeb0dfe317a979485705fbe562\"""", ""last-modified"": ""Fri, 29 Sep 2023 22:12:18 GMT"", ""x-amz-server-side-encryption"": ""AES256"", ""content-encoding"": ""gzip"", ""x-debug-backend"": ""prod_fn_hp_foxnews"", ""x-debug-url"": ""/index.html"", ""cache-control"": ""max-age=90, public"", ""accept-ranges"": ""bytes"", ""date"": ""Fri, 29 Sep 2023 22:12:18 GMT"", ""age"": ""0"", ""access-control-allow-origin"": ""*"", ""access-control-allow-headers"": ""*"", ""access-control-allow-credentials"": ""false"", ""access-control-max-age"": ""86400"", ""access-control-allow-methods"": ""GET,HEAD"", ""accept-ch"": ""Sec-CH-UA-Mobile, Sec-CH-UA-Model, Sec-CH-UA-Platform, Sec-CH-UA-Platform, Sec-CH-UA-Platform-Version, Sec-CH-UA, Sec-CH-UA-Arch, Sec-CH-UA-Bitness"", ""permissions-policy"": ""ch-ua-model=*,ch-ua-platform-version=*,ch-ua=*,ch-ua-mobile=*,ch-ua-platform=*,ch-ua-full-version-list=*,ch-ua-arch=*,ch-ua-bitness=*,ch-ua-model=*"", ""x-served-by"": ""cache-iad-kjyo7100096-IAD, cache-iad-kjyo7100074-IAD, cache-ams21038-AMS"", ""x-cache"": ""MISS, HIT, HIT"", ""x-cache-hits"": ""0, 22, 1"", ""x-timer"": ""S1696025539.677413,VS0,VE1"", ""vary"": ""Accept-Encoding"", ""strict-transport-security"": ""max-age=300""}"
5,"GET / HTTP/1.1
Host: www.foxnews.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,429,HTTP/1.1,0.13138175010681152,0.11186933517456055,0.02702498435974121,200,OK,[''],27,27,0,"{""connection"": ""keep-alive"", ""content-length"": ""60629"", ""via"": ""1.1 varnish, 1.1 varnish, 1.1 varnish"", ""content-type"": ""text/html; charset=UTF-8"", ""etag"": ""\""2b48daaeb0dfe317a979485705fbe562\"""", ""last-modified"": ""Fri, 29 Sep 2023 22:12:18 GMT"", ""x-amz-server-side-encryption"": ""AES256"", ""content-encoding"": ""gzip"", ""x-debug-backend"": ""prod_fn_hp_foxnews"", ""x-debug-url"": ""/index.html"", ""cache-control"": ""max-age=90, public"", ""accept-ranges"": ""bytes"", ""date"": ""Fri, 29 Sep 2023 22:12:23 GMT"", ""age"": ""5"", ""access-control-allow-origin"": ""*"", ""access-control-allow-headers"": ""*"", ""access-control-allow-credentials"": ""false"", ""access-control-max-age"": ""86400"", ""access-control-allow-methods"": ""GET,HEAD"", ""accept-ch"": ""Sec-CH-UA-Mobile, Sec-CH-UA-Model, Sec-CH-UA-Platform, Sec-CH-UA-Platform, Sec-CH-UA-Platform-Version, Sec-CH-UA, Sec-CH-UA-Arch, Sec-CH-UA-Bitness"", ""permissions-policy"": ""ch-ua-model=*,ch-ua-platform-version=*,ch-ua=*,ch-ua-mobile=*,ch-ua-platform=*,ch-ua-full-version-list=*,ch-ua-arch=*,ch-ua-bitness=*,ch-ua-model=*"", ""x-served-by"": ""cache-iad-kjyo7100096-IAD, cache-iad-kjyo7100074-IAD, cache-ams21061-AMS"", ""x-cache"": ""MISS, HIT, HIT"", ""x-cache-hits"": ""0, 22, 1"", ""x-timer"": ""S1696025543.316490,VS0,VE5"", ""vary"": ""Accept-Encoding"", ""strict-transport-security"": ""max-age=300""}"
6,"GET / HTTP/1.1
Host: www.foxnews.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,429,HTTP/1.1,0.25942540168762207,0.11782598495483398,0.05681157112121582,200,OK,[''],27,27,0,"{""connection"": ""keep-alive"", ""content-length"": ""60629"", ""via"": ""1.1 varnish, 1.1 varnish, 1.1 varnish"", ""content-type"": ""text/html; charset=UTF-8"", ""etag"": ""\""2b48daaeb0dfe317a979485705fbe562\"""", ""last-modified"": ""Fri, 29 Sep 2023 22:12:18 GMT"", ""x-amz-server-side-encryption"": ""AES256"", ""content-encoding"": ""gzip"", ""x-debug-backend"": ""prod_fn_hp_foxnews"", ""x-debug-url"": ""/index.html"", ""cache-control"": ""max-age=90, public"", ""accept-ranges"": ""bytes"", ""date"": ""Fri, 29 Sep 2023 22:12:27 GMT"", ""age"": ""9"", ""access-control-allow-origin"": ""*"", ""access-control-allow-headers"": ""*"", ""access-control-allow-credentials"": ""false"", ""access-control-max-age"": ""86400"", ""access-control-allow-methods"": ""GET,HEAD"", ""accept-ch"": ""Sec-CH-UA-Mobile, Sec-CH-UA-Model, Sec-CH-UA-Platform, Sec-CH-UA-Platform, Sec-CH-UA-Platform-Version, Sec-CH-UA, Sec-CH-UA-Arch, Sec-CH-UA-Bitness"", ""permissions-policy"": ""ch-ua-model=*,ch-ua-platform-version=*,ch-ua=*,ch-ua-mobile=*,ch-ua-platform=*,ch-ua-full-version-list=*,ch-ua-arch=*,ch-ua-bitness=*,ch-ua-model=*"", ""x-served-by"": ""cache-iad-kjyo7100096-IAD, cache-iad-kjyo7100074-IAD, cache-ams21043-AMS"", ""x-cache"": ""MISS, HIT, HIT"", ""x-cache-hits"": ""0, 22, 1"", ""x-timer"": ""S1696025547.297504,VS0,VE1"", ""vary"": ""Accept-Encoding"", ""strict-transport-security"": ""max-age=300""}"
7,"GET / HTTP/1.1
Host: www.foxnews.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,429,HTTP/1.1,0.16168880462646484,0.11486053466796875,0.030324459075927734,200,OK,[''],27,27,0,"{""connection"": ""keep-alive"", ""content-length"": ""60629"", ""via"": ""1.1 varnish, 1.1 varnish, 1.1 varnish"", ""content-type"": ""text/html; charset=UTF-8"", ""etag"": ""\""2b48daaeb0dfe317a979485705fbe562\"""", ""last-modified"": ""Fri, 29 Sep 2023 22:12:18 GMT"", ""x-amz-server-side-encryption"": ""AES256"", ""content-encoding"": ""gzip"", ""x-debug-backend"": ""prod_fn_hp_foxnews"", ""x-debug-url"": ""/index.html"", ""cache-control"": ""max-age=90, public"", ""accept-ranges"": ""bytes"", ""date"": ""Fri, 29 Sep 2023 22:12:31 GMT"", ""age"": ""13"", ""access-control-allow-origin"": ""*"", ""access-control-allow-headers"": ""*"", ""access-control-allow-credentials"": ""false"", ""access-control-max-age"": ""86400"", ""access-control-allow-methods"": ""GET,HEAD"", ""accept-ch"": ""Sec-CH-UA-Mobile, Sec-CH-UA-Model, Sec-CH-UA-Platform, Sec-CH-UA-Platform, Sec-CH-UA-Platform-Version, Sec-CH-UA, Sec-CH-UA-Arch, Sec-CH-UA-Bitness"", ""permissions-policy"": ""ch-ua-model=*,ch-ua-platform-version=*,ch-ua=*,ch-ua-mobile=*,ch-ua-platform=*,ch-ua-full-version-list=*,ch-ua-arch=*,ch-ua-bitness=*,ch-ua-model=*"", ""x-served-by"": ""cache-iad-kjyo7100096-IAD, cache-iad-kjyo7100074-IAD, cache-ams21039-AMS"", ""x-cache"": ""MISS, HIT, HIT"", ""x-cache-hits"": ""0, 22, 1"", ""x-timer"": ""S1696025551.392394,VS0,VE2"", ""vary"": ""Accept-Encoding"", ""strict-transport-security"": ""max-age=300""}"
8,"GET / HTTP/1.1
Host: www.foxnews.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,429,HTTP/1.1,0.18221759796142578,0.11224961280822754,0.029972076416015625,200,OK,[''],27,27,0,"{""connection"": ""keep-alive"", ""content-length"": ""60629"", ""via"": ""1.1 varnish, 1.1 varnish, 1.1 varnish"", ""content-type"": ""text/html; charset=UTF-8"", ""etag"": ""\""2b48daaeb0dfe317a979485705fbe562\"""", ""last-modified"": ""Fri, 29 Sep 2023 22:12:18 GMT"", ""x-amz-server-side-encryption"": ""AES256"", ""content-encoding"": ""gzip"", ""x-debug-backend"": ""prod_fn_hp_foxnews"", ""x-debug-url"": ""/index.html"", ""cache-control"": ""max-age=90, public"", ""accept-ranges"": ""bytes"", ""date"": ""Fri, 29 Sep 2023 22:12:35 GMT"", ""age"": ""17"", ""access-control-allow-origin"": ""*"", ""access-control-allow-headers"": ""*"", ""access-control-allow-credentials"": ""false"", ""access-control-max-age"": ""86400"", ""access-control-allow-methods"": ""GET,HEAD"", ""accept-ch"": ""Sec-CH-UA-Mobile, Sec-CH-UA-Model, Sec-CH-UA-Platform, Sec-CH-UA-Platform, Sec-CH-UA-Platform-Version, Sec-CH-UA, Sec-CH-UA-Arch, Sec-CH-UA-Bitness"", ""permissions-policy"": ""ch-ua-model=*,ch-ua-platform-version=*,ch-ua=*,ch-ua-mobile=*,ch-ua-platform=*,ch-ua-full-version-list=*,ch-ua-arch=*,ch-ua-bitness=*,ch-ua-model=*"", ""x-served-by"": ""cache-iad-kjyo7100096-IAD, cache-iad-kjyo7100074-IAD, cache-ams21039-AMS"", ""x-cache"": ""MISS, HIT, HIT"", ""x-cache-hits"": ""0, 22, 2"", ""x-timer"": ""S1696025556.870181,VS0,VE0"", ""vary"": ""Accept-Encoding"", ""strict-transport-security"": ""max-age=300""}"
9,"GET / HTTP/1.1
Host: www.foxnews.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,429,HTTP/1.1,0.18493056297302246,0.11075901985168457,0.03037405014038086,200,OK,[''],27,27,0,"{""connection"": ""keep-alive"", ""content-length"": ""60629"", ""via"": ""1.1 varnish, 1.1 varnish, 1.1 varnish"", ""content-type"": ""text/html; charset=UTF-8"", ""etag"": ""\""2b48daaeb0dfe317a979485705fbe562\"""", ""last-modified"": ""Fri, 29 Sep 2023 22:12:18 GMT"", ""x-amz-server-side-encryption"": ""AES256"", ""content-encoding"": ""gzip"", ""x-debug-backend"": ""prod_fn_hp_foxnews"", ""x-debug-url"": ""/index.html"", ""cache-control"": ""max-age=90, public"", ""accept-ranges"": ""bytes"", ""date"": ""Fri, 29 Sep 2023 22:12:39 GMT"", ""age"": ""22"", ""access-control-allow-origin"": ""*"", ""access-control-allow-headers"": ""*"", ""access-control-allow-credentials"": ""false"", ""access-control-max-age"": ""86400"", ""access-control-allow-methods"": ""GET,HEAD"", ""accept-ch"": ""Sec-CH-UA-Mobile, Sec-CH-UA-Model, Sec-CH-UA-Platform, Sec-CH-UA-Platform, Sec-CH-UA-Platform-Version, Sec-CH-UA, Sec-CH-UA-Arch, Sec-CH-UA-Bitness"", ""permissions-policy"": ""ch-ua-model=*,ch-ua-platform-version=*,ch-ua=*,ch-ua-mobile=*,ch-ua-platform=*,ch-ua-full-version-list=*,ch-ua-arch=*,ch-ua-bitness=*,ch-ua-model=*"", ""x-served-by"": ""cache-iad-kjyo7100096-IAD, cache-iad-kjyo7100074-IAD, cache-ams21053-AMS"", ""x-cache"": ""MISS, HIT, HIT"", ""x-cache-hits"": ""0, 22, 1"", ""x-timer"": ""S1696025560.802532,VS0,VE1"", ""vary"": ""Accept-Encoding"", ""strict-transport-security"": ""max-age=300""}"
