number,request,deviation_count,uri,request_length,http_version,Socket_Connect_Time,Socket_Close_Time,Response_Time,status_code,reason_phrase,error_message,response_header_count,response_header_length,response_body_length,response_header_fields
0,"GET / HTTP/1.1
Host: www.apache.org
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,428,HTTP/1.1,0.11783051490783691,0.11817550659179688,0.04405403137207031,200,OK,[''],20,20,0,"{""connection"": ""keep-alive"", ""content-length"": ""16050"", ""server"": ""Apache"", ""last-modified"": ""Fri, 29 Sep 2023 22:23:24 GMT"", ""etag"": ""W/\""fdad-60686df77ee67-gzip\"""", ""cache-control"": ""max-age=3600"", ""expires"": ""Fri, 29 Sep 2023 23:23:25 GMT"", ""content-encoding"": ""gzip"", ""content-security-policy"": ""default-src 'self' 'unsafe-inline' https://www.apachecon.com/ https://analytics.apache.org/ http://analytics.apache.org/ https://www.google.com/cse/ https://cse.google.com/ https://www.googleapis.com/generate_204 http://*.google.com/generate_204 https://afs.googlesyndication.com/ https://csp.withgoogle.com/ https://www.google.com/images/ https://ssl.gstatic.com/ui/ https://docs.google.com/forms/ https://www.youtube.com/embed/; script-src 'self' 'unsafe-inline' 'unsafe-eval' https://analytics.apache.org/ http://analytics.apache.org/ https://cse.google.com/ http://cse.google.com/adsense/search/async-ads.js https://www.google.com/cse/ https://partner.googleadservices.com/; style-src 'self' 'unsafe-inline' https://www.google.com/cse/; frame-ancestors 'none';"", ""strict-transport-security"": ""max-age=31536000; preload"", ""content-type"": ""text/html"", ""via"": ""1.1 varnish, 1.1 varnish"", ""accept-ranges"": ""bytes"", ""date"": ""Fri, 29 Sep 2023 22:32:58 GMT"", ""age"": ""573"", ""x-served-by"": ""cache-hel1410027-HEL, cache-fra-eddf8230093-FRA"", ""x-cache"": ""HIT, HIT"", ""x-cache-hits"": ""18, 1"", ""x-timer"": ""S1696026778.227845,VS0,VE1"", ""vary"": ""Accept-En""}"
1,"GET / HTTP/1.1
Host: www.apache.org
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,428,HTTP/1.1,0.22721457481384277,0.11627030372619629,0.04194140434265137,200,OK,[''],20,20,0,"{""connection"": ""keep-alive"", ""content-length"": ""16050"", ""server"": ""Apache"", ""last-modified"": ""Fri, 29 Sep 2023 22:23:24 GMT"", ""etag"": ""W/\""fdad-60686df77ee67-gzip\"""", ""cache-control"": ""max-age=3600"", ""expires"": ""Fri, 29 Sep 2023 23:23:25 GMT"", ""content-encoding"": ""gzip"", ""content-security-policy"": ""default-src 'self' 'unsafe-inline' https://www.apachecon.com/ https://analytics.apache.org/ http://analytics.apache.org/ https://www.google.com/cse/ https://cse.google.com/ https://www.googleapis.com/generate_204 http://*.google.com/generate_204 https://afs.googlesyndication.com/ https://csp.withgoogle.com/ https://www.google.com/images/ https://ssl.gstatic.com/ui/ https://docs.google.com/forms/ https://www.youtube.com/embed/; script-src 'self' 'unsafe-inline' 'unsafe-eval' https://analytics.apache.org/ http://analytics.apache.org/ https://cse.google.com/ http://cse.google.com/adsense/search/async-ads.js https://www.google.com/cse/ https://partner.googleadservices.com/; style-src 'self' 'unsafe-inline' https://www.google.com/cse/; frame-ancestors 'none';"", ""strict-transport-security"": ""max-age=31536000; preload"", ""content-type"": ""text/html"", ""via"": ""1.1 varnish, 1.1 varnish"", ""accept-ranges"": ""bytes"", ""date"": ""Fri, 29 Sep 2023 22:33:03 GMT"", ""age"": ""578"", ""x-served-by"": ""cache-hel1410027-HEL, cache-fra-eddf8230071-FRA"", ""x-cache"": ""HIT, HIT"", ""x-cache-hits"": ""18, 1"", ""x-timer"": ""S1696026783.422474,VS0,VE1"", ""vary"": ""Accept-En""}"
2,"GET / HTTP/1.1
Host: www.apache.org
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,428,HTTP/1.1,0.2364366054534912,0.10685849189758301,0.034969329833984375,200,OK,[''],20,20,0,"{""connection"": ""keep-alive"", ""content-length"": ""16050"", ""server"": ""Apache"", ""last-modified"": ""Fri, 29 Sep 2023 22:23:24 GMT"", ""etag"": ""W/\""fdad-60686df77ee67-gzip\"""", ""cache-control"": ""max-age=3600"", ""expires"": ""Fri, 29 Sep 2023 23:23:25 GMT"", ""content-encoding"": ""gzip"", ""content-security-policy"": ""default-src 'self' 'unsafe-inline' https://www.apachecon.com/ https://analytics.apache.org/ http://analytics.apache.org/ https://www.google.com/cse/ https://cse.google.com/ https://www.googleapis.com/generate_204 http://*.google.com/generate_204 https://afs.googlesyndication.com/ https://csp.withgoogle.com/ https://www.google.com/images/ https://ssl.gstatic.com/ui/ https://docs.google.com/forms/ https://www.youtube.com/embed/; script-src 'self' 'unsafe-inline' 'unsafe-eval' https://analytics.apache.org/ http://analytics.apache.org/ https://cse.google.com/ http://cse.google.com/adsense/search/async-ads.js https://www.google.com/cse/ https://partner.googleadservices.com/; style-src 'self' 'unsafe-inline' https://www.google.com/cse/; frame-ancestors 'none';"", ""strict-transport-security"": ""max-age=31536000; preload"", ""content-type"": ""text/html"", ""via"": ""1.1 varnish, 1.1 varnish"", ""accept-ranges"": ""bytes"", ""date"": ""Fri, 29 Sep 2023 22:33:06 GMT"", ""age"": ""581"", ""x-served-by"": ""cache-hel1410027-HEL, cache-fra-etou8220051-FRA"", ""x-cache"": ""HIT, HIT"", ""x-cache-hits"": ""18, 1"", ""x-timer"": ""S1696026786.096778,VS0,VE1"", ""vary"": ""Accept-En""}"
3,"GET / HTTP/1.1
Host: www.apache.org
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,428,HTTP/1.1,0.12918353080749512,0.1016085147857666,0.03210163116455078,200,OK,[''],20,20,0,"{""connection"": ""keep-alive"", ""content-length"": ""16050"", ""server"": ""Apache"", ""last-modified"": ""Fri, 29 Sep 2023 22:23:24 GMT"", ""etag"": ""W/\""fdad-60686df77ee67-gzip\"""", ""cache-control"": ""max-age=3600"", ""expires"": ""Fri, 29 Sep 2023 23:23:25 GMT"", ""content-encoding"": ""gzip"", ""content-security-policy"": ""default-src 'self' 'unsafe-inline' https://www.apachecon.com/ https://analytics.apache.org/ http://analytics.apache.org/ https://www.google.com/cse/ https://cse.google.com/ https://www.googleapis.com/generate_204 http://*.google.com/generate_204 https://afs.googlesyndication.com/ https://csp.withgoogle.com/ https://www.google.com/images/ https://ssl.gstatic.com/ui/ https://docs.google.com/forms/ https://www.youtube.com/embed/; script-src 'self' 'unsafe-inline' 'unsafe-eval' https://analytics.apache.org/ http://analytics.apache.org/ https://cse.google.com/ http://cse.google.com/adsense/search/async-ads.js https://www.google.com/cse/ https://partner.googleadservices.com/; style-src 'self' 'unsafe-inline' https://www.google.com/cse/; frame-ancestors 'none';"", ""strict-transport-security"": ""max-age=31536000; preload"", ""content-type"": ""text/html"", ""via"": ""1.1 varnish, 1.1 varnish"", ""accept-ranges"": ""bytes"", ""date"": ""Fri, 29 Sep 2023 22:33:08 GMT"", ""age"": ""583"", ""x-served-by"": ""cache-hel1410027-HEL, cache-fra-eddf8230126-FRA"", ""x-cache"": ""HIT, HIT"", ""x-cache-hits"": ""18, 1"", ""x-timer"": ""S1696026789.565501,VS0,VE1"", ""vary"": ""Accept-En""}"
4,"GET / HTTP/1.1
Host: www.apache.org
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,428,HTTP/1.1,0.16368389129638672,0.1038813591003418,0.03774881362915039,200,OK,[''],20,20,0,"{""connection"": ""keep-alive"", ""content-length"": ""16050"", ""server"": ""Apache"", ""last-modified"": ""Fri, 29 Sep 2023 22:23:24 GMT"", ""etag"": ""W/\""fdad-60686df77ee67-gzip\"""", ""cache-control"": ""max-age=3600"", ""expires"": ""Fri, 29 Sep 2023 23:23:25 GMT"", ""content-encoding"": ""gzip"", ""content-security-policy"": ""default-src 'self' 'unsafe-inline' https://www.apachecon.com/ https://analytics.apache.org/ http://analytics.apache.org/ https://www.google.com/cse/ https://cse.google.com/ https://www.googleapis.com/generate_204 http://*.google.com/generate_204 https://afs.googlesyndication.com/ https://csp.withgoogle.com/ https://www.google.com/images/ https://ssl.gstatic.com/ui/ https://docs.google.com/forms/ https://www.youtube.com/embed/; script-src 'self' 'unsafe-inline' 'unsafe-eval' https://analytics.apache.org/ http://analytics.apache.org/ https://cse.google.com/ http://cse.google.com/adsense/search/async-ads.js https://www.google.com/cse/ https://partner.googleadservices.com/; style-src 'self' 'unsafe-inline' https://www.google.com/cse/; frame-ancestors 'none';"", ""strict-transport-security"": ""max-age=31536000; preload"", ""content-type"": ""text/html"", ""via"": ""1.1 varnish, 1.1 varnish"", ""accept-ranges"": ""bytes"", ""date"": ""Fri, 29 Sep 2023 22:33:10 GMT"", ""age"": ""585"", ""x-served-by"": ""cache-hel1410027-HEL, cache-fra-eddf8230115-FRA"", ""x-cache"": ""HIT, HIT"", ""x-cache-hits"": ""18, 1"", ""x-timer"": ""S1696026791.662215,VS0,VE1"", ""vary"": ""Accept-En""}"
5,"GET / HTTP/1.1
Host: www.apache.org
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,428,HTTP/1.1,0.18067264556884766,0.111724853515625,0.026182889938354492,200,OK,[''],20,20,0,"{""connection"": ""keep-alive"", ""content-length"": ""16050"", ""server"": ""Apache"", ""last-modified"": ""Fri, 29 Sep 2023 22:23:24 GMT"", ""etag"": ""W/\""fdad-60686df77ee67-gzip\"""", ""cache-control"": ""max-age=3600"", ""expires"": ""Fri, 29 Sep 2023 23:23:25 GMT"", ""content-encoding"": ""gzip"", ""content-security-policy"": ""default-src 'self' 'unsafe-inline' https://www.apachecon.com/ https://analytics.apache.org/ http://analytics.apache.org/ https://www.google.com/cse/ https://cse.google.com/ https://www.googleapis.com/generate_204 http://*.google.com/generate_204 https://afs.googlesyndication.com/ https://csp.withgoogle.com/ https://www.google.com/images/ https://ssl.gstatic.com/ui/ https://docs.google.com/forms/ https://www.youtube.com/embed/; script-src 'self' 'unsafe-inline' 'unsafe-eval' https://analytics.apache.org/ http://analytics.apache.org/ https://cse.google.com/ http://cse.google.com/adsense/search/async-ads.js https://www.google.com/cse/ https://partner.googleadservices.com/; style-src 'self' 'unsafe-inline' https://www.google.com/cse/; frame-ancestors 'none';"", ""strict-transport-security"": ""max-age=31536000; preload"", ""content-type"": ""text/html"", ""via"": ""1.1 varnish, 1.1 varnish"", ""accept-ranges"": ""bytes"", ""date"": ""Fri, 29 Sep 2023 22:33:12 GMT"", ""age"": ""588"", ""x-served-by"": ""cache-hel1410027-HEL, cache-fra-eddf8230119-FRA"", ""x-cache"": ""HIT, HIT"", ""x-cache-hits"": ""18, 1"", ""x-timer"": ""S1696026793.918122,VS0,VE1"", ""vary"": ""Accept-En""}"
6,"GET / HTTP/1.1
Host: www.apache.org
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,428,HTTP/1.1,0.26016950607299805,0.11127948760986328,0.03359866142272949,200,OK,[''],20,20,0,"{""connection"": ""keep-alive"", ""content-length"": ""16050"", ""server"": ""Apache"", ""last-modified"": ""Fri, 29 Sep 2023 22:23:24 GMT"", ""etag"": ""W/\""fdad-60686df77ee67-gzip\"""", ""cache-control"": ""max-age=3600"", ""expires"": ""Fri, 29 Sep 2023 23:23:25 GMT"", ""content-encoding"": ""gzip"", ""content-security-policy"": ""default-src 'self' 'unsafe-inline' https://www.apachecon.com/ https://analytics.apache.org/ http://analytics.apache.org/ https://www.google.com/cse/ https://cse.google.com/ https://www.googleapis.com/generate_204 http://*.google.com/generate_204 https://afs.googlesyndication.com/ https://csp.withgoogle.com/ https://www.google.com/images/ https://ssl.gstatic.com/ui/ https://docs.google.com/forms/ https://www.youtube.com/embed/; script-src 'self' 'unsafe-inline' 'unsafe-eval' https://analytics.apache.org/ http://analytics.apache.org/ https://cse.google.com/ http://cse.google.com/adsense/search/async-ads.js https://www.google.com/cse/ https://partner.googleadservices.com/; style-src 'self' 'unsafe-inline' https://www.google.com/cse/; frame-ancestors 'none';"", ""strict-transport-security"": ""max-age=31536000; preload"", ""content-type"": ""text/html"", ""via"": ""1.1 varnish, 1.1 varnish"", ""accept-ranges"": ""bytes"", ""date"": ""Fri, 29 Sep 2023 22:33:15 GMT"", ""age"": ""590"", ""x-served-by"": ""cache-hel1410027-HEL, cache-fra-etou8220088-FRA"", ""x-cache"": ""HIT, HIT"", ""x-cache-hits"": ""18, 1"", ""x-timer"": ""S1696026796.559263,VS0,VE1"", ""vary"": ""Accept-En""}"
7,"GET / HTTP/1.1
Host: www.apache.org
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,428,HTTP/1.1,0.07725977897644043,0.11150813102722168,0.02410435676574707,200,OK,[''],20,20,0,"{""connection"": ""keep-alive"", ""content-length"": ""16050"", ""server"": ""Apache"", ""last-modified"": ""Fri, 29 Sep 2023 22:23:24 GMT"", ""etag"": ""W/\""fdad-60686df77ee67-gzip\"""", ""cache-control"": ""max-age=3600"", ""expires"": ""Fri, 29 Sep 2023 23:23:25 GMT"", ""content-encoding"": ""gzip"", ""content-security-policy"": ""default-src 'self' 'unsafe-inline' https://www.apachecon.com/ https://analytics.apache.org/ http://analytics.apache.org/ https://www.google.com/cse/ https://cse.google.com/ https://www.googleapis.com/generate_204 http://*.google.com/generate_204 https://afs.googlesyndication.com/ https://csp.withgoogle.com/ https://www.google.com/images/ https://ssl.gstatic.com/ui/ https://docs.google.com/forms/ https://www.youtube.com/embed/; script-src 'self' 'unsafe-inline' 'unsafe-eval' https://analytics.apache.org/ http://analytics.apache.org/ https://cse.google.com/ http://cse.google.com/adsense/search/async-ads.js https://www.google.com/cse/ https://partner.googleadservices.com/; style-src 'self' 'unsafe-inline' https://www.google.com/cse/; frame-ancestors 'none';"", ""strict-transport-security"": ""max-age=31536000; preload"", ""content-type"": ""text/html"", ""via"": ""1.1 varnish, 1.1 varnish"", ""accept-ranges"": ""bytes"", ""date"": ""Fri, 29 Sep 2023 22:33:18 GMT"", ""age"": ""593"", ""x-served-by"": ""cache-hel1410027-HEL, cache-fra-eddf8230071-FRA"", ""x-cache"": ""HIT, HIT"", ""x-cache-hits"": ""18, 2"", ""x-timer"": ""S1696026798.010525,VS0,VE0"", ""vary"": ""Accept-En""}"
8,"GET / HTTP/1.1
Host: www.apache.org
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,428,HTTP/1.1,0.2867751121520996,0.11421823501586914,0.029174089431762695,200,OK,[''],20,20,0,"{""connection"": ""keep-alive"", ""content-length"": ""16050"", ""server"": ""Apache"", ""last-modified"": ""Fri, 29 Sep 2023 22:23:24 GMT"", ""etag"": ""W/\""fdad-60686df77ee67-gzip\"""", ""cache-control"": ""max-age=3600"", ""expires"": ""Fri, 29 Sep 2023 23:23:25 GMT"", ""content-encoding"": ""gzip"", ""content-security-policy"": ""default-src 'self' 'unsafe-inline' https://www.apachecon.com/ https://analytics.apache.org/ http://analytics.apache.org/ https://www.google.com/cse/ https://cse.google.com/ https://www.googleapis.com/generate_204 http://*.google.com/generate_204 https://afs.googlesyndication.com/ https://csp.withgoogle.com/ https://www.google.com/images/ https://ssl.gstatic.com/ui/ https://docs.google.com/forms/ https://www.youtube.com/embed/; script-src 'self' 'unsafe-inline' 'unsafe-eval' https://analytics.apache.org/ http://analytics.apache.org/ https://cse.google.com/ http://cse.google.com/adsense/search/async-ads.js https://www.google.com/cse/ https://partner.googleadservices.com/; style-src 'self' 'unsafe-inline' https://www.google.com/cse/; frame-ancestors 'none';"", ""strict-transport-security"": ""max-age=31536000; preload"", ""content-type"": ""text/html"", ""via"": ""1.1 varnish, 1.1 varnish"", ""accept-ranges"": ""bytes"", ""date"": ""Fri, 29 Sep 2023 22:33:20 GMT"", ""age"": ""595"", ""x-served-by"": ""cache-hel1410027-HEL, cache-fra-etou8220078-FRA"", ""x-cache"": ""HIT, HIT"", ""x-cache-hits"": ""18, 1"", ""x-timer"": ""S1696026800.468701,VS0,VE4"", ""vary"": ""Accept-En""}"
9,"GET / HTTP/1.1
Host: www.apache.org
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,428,HTTP/1.1,0.1973280906677246,0.11590862274169922,0.024870872497558594,200,OK,[''],20,20,0,"{""connection"": ""keep-alive"", ""content-length"": ""16050"", ""server"": ""Apache"", ""last-modified"": ""Fri, 29 Sep 2023 22:23:24 GMT"", ""etag"": ""W/\""fdad-60686df77ee67-gzip\"""", ""cache-control"": ""max-age=3600"", ""expires"": ""Fri, 29 Sep 2023 23:23:25 GMT"", ""content-encoding"": ""gzip"", ""content-security-policy"": ""default-src 'self' 'unsafe-inline' https://www.apachecon.com/ https://analytics.apache.org/ http://analytics.apache.org/ https://www.google.com/cse/ https://cse.google.com/ https://www.googleapis.com/generate_204 http://*.google.com/generate_204 https://afs.googlesyndication.com/ https://csp.withgoogle.com/ https://www.google.com/images/ https://ssl.gstatic.com/ui/ https://docs.google.com/forms/ https://www.youtube.com/embed/; script-src 'self' 'unsafe-inline' 'unsafe-eval' https://analytics.apache.org/ http://analytics.apache.org/ https://cse.google.com/ http://cse.google.com/adsense/search/async-ads.js https://www.google.com/cse/ https://partner.googleadservices.com/; style-src 'self' 'unsafe-inline' https://www.google.com/cse/; frame-ancestors 'none';"", ""strict-transport-security"": ""max-age=31536000; preload"", ""content-type"": ""text/html"", ""via"": ""1.1 varnish, 1.1 varnish"", ""accept-ranges"": ""bytes"", ""date"": ""Fri, 29 Sep 2023 22:33:22 GMT"", ""age"": ""598"", ""x-served-by"": ""cache-hel1410027-HEL, cache-fra-etou8220109-FRA"", ""x-cache"": ""HIT, HIT"", ""x-cache-hits"": ""18, 1"", ""x-timer"": ""S1696026803.900448,VS0,VE2"", ""vary"": ""Accept-En""}"
