number,request,deviation_count,uri,request_length,http_version,Socket_Connect_Time,Socket_Close_Time,Response_Time,status_code,reason_phrase,error_message,response_header_count,response_header_length,response_body_length,response_header_fields
0,"GET / HTTP/1.1
Host: www.oracle.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,428,HTTP/1.1,0.3933274745941162,0.1451735496520996,0.25435471534729004,200,OK,[''],22,22,13119,"{""content-type"": ""text/html; charset=utf-8"", ""etag"": ""\""a40v7vina180l3\"""", ""x-akamai-transformed"": ""9 - 0 pmb=mTOE,2mRUM,3"", ""content-encoding"": ""gzip"", ""expires"": ""Fri, 29 Sep 2023 22:34:25 GMT"", ""cache-control"": ""max-age=0, no-cache, no-store"", ""pragma"": ""no-cache"", ""date"": ""Fri, 29 Sep 2023 22:34:25 GMT"", ""transfer-encoding"": ""chunked"", ""connection"": ""Transfer-Encoding"", ""vary"": ""Accept-Encoding"", ""set-cookie"": ""bm_mi=B0A5406A622E0E5D7416FCB3E688AA0F~YAAQFh0QAidKcdWKAQAA2TAU4xUbC+SXyhYpgPO9auR5Y3iQAina9+JeQN9ivq8Sd87RTmgcxVDjR0CxsHCm1LEyUB+hW0dMks8ZXPhsUl2TUYKL5eS+Myja3LNYwKcL1WtpguPHvSRuFNs3gj+zC3DtDCI5jPtMfPBRLTq3USJ8QFuEuurc9zuNXcI+7AwR9W3FfQrDWYMIeWze2bhlOEvW+iElgOv61NJdEjXWvXIkO1JtAJF3jatayTjneF88td+cidF+iIyVqnZRRKtKWt0VDMRALQNyi2/P8zO/dxp/tPLTdVBpttM+Fspo~1; Domain=.oracle.com; Path=/; Expires=Fri, 29 Sep 2023 22:34:25 GMT; Max-Age=0; Secure"", ""server-timing"": ""ak_p; desc=\""1696026865446_34610454_301300334_4315_11573_39_172_-\"";dur=1"", ""link"": ""<https://tms.oracle.com>;rel=\""preconnect\"",<https://d.oracleinfinity.io>;rel=\""preconnect\"",<https://dc.oracleinfinity.io>;rel=\""preconnect\"""", ""akamai-grn"": ""0.161d1002.1696026865.11f57a6e"", ""x-frame-options"": ""sameorigin"", ""content-security-policy"": ""frame-ancestors 'self' https://my.oracle.com https://eeho.fa.us2.oraclecloud.com https://blogs.oracle.com"", ""x-content-type-options"": ""nosniff"", ""x-xss-protection"": ""1"", ""origin-cache-control"": ""max-age=1800"", ""origin-edge-control"": ""NO_HEADER_PRESENTED"", ""actual-object-ttl"": ""31536000""}"
1,"GET / HTTP/1.1
Host: www.oracle.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,428,HTTP/1.1,0.1516563892364502,0.1197350025177002,0.04483938217163086,200,OK,[''],22,22,13109,"{""content-type"": ""text/html; charset=utf-8"", ""etag"": ""\""a40v7vina180l3\"""", ""x-akamai-transformed"": ""9 - 0 pmb=mTOE,2mRUM,3"", ""content-encoding"": ""gzip"", ""expires"": ""Fri, 29 Sep 2023 22:34:28 GMT"", ""cache-control"": ""max-age=0, no-cache, no-store"", ""pragma"": ""no-cache"", ""date"": ""Fri, 29 Sep 2023 22:34:28 GMT"", ""transfer-encoding"": ""chunked"", ""connection"": ""Transfer-Encoding"", ""vary"": ""Accept-Encoding"", ""set-cookie"": ""bm_mi=7E05E1C5740F5309A172FB01A272EC5C~YAAQFh0QAkdKcdWKAQAAMzwU4xX3iEwnVYf2xd9i09C2XA+mod9owYqhycWM1BAfsyZEFgE5wu5XHNL3MgPps+97PehiGyDXzr1yD/HdEK0W2di1ShQUtjPTzqp7wz6KqAj1/5SD3Xjb+4HKSSlgqmzCUjD/EdmRpwHHmiPbK1WnrGbT227CckfH9hWAYPJoaPvyrKvOEUMEpPh90p9hCdI4+SzEXLXmJfx1yu3lPqpDtYAz1vb9UVEwRL7M/AeosCYi/tnUgB2R1WLEJPt87nR5De5qkOUS5f3LAjpv7IcQi5DPT4nuyVRNEI5x~1; Domain=.oracle.com; Path=/; Expires=Fri, 29 Sep 2023 22:34:28 GMT; Max-Age=0; Secure"", ""server-timing"": ""ak_p; desc=\""1696026868712_34610454_301302474_23_12821_33_52_-\"";dur=1"", ""link"": ""<https://tms.oracle.com>;rel=\""preconnect\"",<https://d.oracleinfinity.io>;rel=\""preconnect\"",<https://dc.oracleinfinity.io>;rel=\""preconnect\"""", ""akamai-grn"": ""0.161d1002.1696026868.11f582ca"", ""x-frame-options"": ""sameorigin"", ""content-security-policy"": ""frame-ancestors 'self' https://my.oracle.com https://eeho.fa.us2.oraclecloud.com https://blogs.oracle.com"", ""x-content-type-options"": ""nosniff"", ""x-xss-protection"": ""1"", ""origin-cache-control"": ""max-age=1800"", ""origin-edge-control"": ""NO_HEADER_PRESENTED"", ""actual-object-ttl"": ""31536000""}"
2,"GET / HTTP/1.1
Host: www.oracle.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,428,HTTP/1.1,0.1798086166381836,0.16028451919555664,0.058502197265625,200,OK,[''],22,22,13113,"{""content-type"": ""text/html; charset=utf-8"", ""etag"": ""\""a40v7vina180l3\"""", ""x-akamai-transformed"": ""9 - 0 pmb=mTOE,2mRUM,3"", ""content-encoding"": ""gzip"", ""expires"": ""Fri, 29 Sep 2023 22:34:31 GMT"", ""cache-control"": ""max-age=0, no-cache, no-store"", ""pragma"": ""no-cache"", ""date"": ""Fri, 29 Sep 2023 22:34:31 GMT"", ""transfer-encoding"": ""chunked"", ""connection"": ""Transfer-Encoding"", ""vary"": ""Accept-Encoding"", ""set-cookie"": ""bm_mi=C1866E7080EF81A158292E1206EC3B07~YAAQFh0QAlVKcdWKAQAAykYU4xW7jIrEAwTJb54RTBF+SeLiEXSVfi0xERLLA0i9gHPbntm8L0DM/sglMrp0OpC+5T34mgBMsukKzuygc5dyVnzEibMp/nC8LBZqIRQ07WeosLczZAFFNy6JL8AiThvibnkc/tGS3N900+0s83v4PzHAptxTJmx+IryG/gnS2J2zl9E5yZip7Pqpir9AMf6a+9PP+JI5hPSYw7Pm9UUr7sdH4T8865GB05M84jP/JC0+NQQHfTU+3M6/YMbjPUzrSSvOpY6UzZGkRwMQnySgI3jZanE3lWRO2A8Z~1; Domain=.oracle.com; Path=/; Expires=Fri, 29 Sep 2023 22:34:31 GMT; Max-Age=0; Secure"", ""server-timing"": ""ak_p; desc=\""1696026871371_34610454_301304388_22_12697_36_87_-\"";dur=1"", ""link"": ""<https://tms.oracle.com>;rel=\""preconnect\"",<https://d.oracleinfinity.io>;rel=\""preconnect\"",<https://dc.oracleinfinity.io>;rel=\""preconnect\"""", ""akamai-grn"": ""0.161d1002.1696026871.11f58a44"", ""x-frame-options"": ""sameorigin"", ""content-security-policy"": ""frame-ancestors 'self' https://my.oracle.com https://eeho.fa.us2.oraclecloud.com https://blogs.oracle.com"", ""x-content-type-options"": ""nosniff"", ""x-xss-protection"": ""1"", ""origin-cache-control"": ""max-age=1800"", ""origin-edge-control"": ""NO_HEADER_PRESENTED"", ""actual-object-ttl"": ""31536000""}"
3,"GET / HTTP/1.1
Host: www.oracle.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,428,HTTP/1.1,0.16209912300109863,0.14609003067016602,0.05175638198852539,200,OK,[''],22,22,13150,"{""content-type"": ""text/html; charset=utf-8"", ""etag"": ""\""a40v7vina180l3\"""", ""x-akamai-transformed"": ""9 - 0 pmb=mTOE,2mRUM,3"", ""content-encoding"": ""gzip"", ""expires"": ""Fri, 29 Sep 2023 22:34:34 GMT"", ""cache-control"": ""max-age=0, no-cache, no-store"", ""pragma"": ""no-cache"", ""date"": ""Fri, 29 Sep 2023 22:34:34 GMT"", ""transfer-encoding"": ""chunked"", ""connection"": ""Transfer-Encoding"", ""vary"": ""Accept-Encoding"", ""set-cookie"": ""bm_mi=C8E5ABC9D4E35B3FDC0DEC855B74C3D8~YAAQFh0QAmRKcdWKAQAAtlEU4xV/HU01CWE1lWkGoxOKvxBk9ebrevPxxfCYJcdStu3xFfwHE5UiVa59iyqFCfcFWHZs4/OQkZ8oIaFNmzIm9Vdde8j+6EzHb1CvyDfey89jHruQMjZb9UWqw0IiofVXOtyQTeLQISlP0dCJPLzksKlGxvRtSWzSsFfnjvCAL5wf51g4FtQEEyDYv9vBuhOFDeFKVrr2NnnC/0PNKe68PYxPJkCbJnH4J91oKCLmfPpu3bGdDQttcdAh6rKLyMLSrio+tM67wjeo3BDgtNvnEgvYovZnhu/pEshA~1; Domain=.oracle.com; Path=/; Expires=Fri, 29 Sep 2023 22:34:34 GMT; Max-Age=0; Secure"", ""server-timing"": ""ak_p; desc=\""1696026874205_34610454_301306489_22_11946_43_67_-\"";dur=1"", ""link"": ""<https://tms.oracle.com>;rel=\""preconnect\"",<https://d.oracleinfinity.io>;rel=\""preconnect\"",<https://dc.oracleinfinity.io>;rel=\""preconnect\"""", ""akamai-grn"": ""0.161d1002.1696026874.11f59279"", ""x-frame-options"": ""sameorigin"", ""content-security-policy"": ""frame-ancestors 'self' https://my.oracle.com https://eeho.fa.us2.oraclecloud.com https://blogs.oracle.com"", ""x-content-type-options"": ""nosniff"", ""x-xss-protection"": ""1"", ""origin-cache-control"": ""max-age=1800"", ""origin-edge-control"": ""NO_HEADER_PRESENTED"", ""actual-object-ttl"": ""31536000""}"
4,"GET / HTTP/1.1
Host: www.oracle.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,428,HTTP/1.1,0.20405364036560059,0.11391830444335938,0.07470345497131348,200,OK,[''],22,22,13091,"{""content-type"": ""text/html; charset=utf-8"", ""etag"": ""\""a40v7vina180l3\"""", ""x-akamai-transformed"": ""9 - 0 pmb=mTOE,2mRUM,3"", ""content-encoding"": ""gzip"", ""expires"": ""Fri, 29 Sep 2023 22:34:37 GMT"", ""cache-control"": ""max-age=0, no-cache, no-store"", ""pragma"": ""no-cache"", ""date"": ""Fri, 29 Sep 2023 22:34:37 GMT"", ""transfer-encoding"": ""chunked"", ""connection"": ""Transfer-Encoding"", ""vary"": ""Accept-Encoding"", ""set-cookie"": ""bm_mi=22A242053C2A05AD4863C62B57AB5AA5~YAAQFh0QAnVKcdWKAQAAylwU4xX9c6KLXYgHKZWqFp05FFSMuGmb6K77C9aKxOA9v5A2hThb1SoIkk1qFtHUTQu9S/9swKm1RDN3AVF5xN3Geokz6s35hs3xucheC493mebIBdZNHW4HJpGXhdUW+xkqBTKLD9bW+bzfBExwI3ZO4om8XpxcYkAHgCE068q9sA8CShY7EaMbyXzSQkPFKNng4k+TBucr+pEQPQclVxIdwhkgloRgwzyjvODZvNMOk8AISRLpZjlU9nnm+0+SWDRWpoEffXAwZamfhQ/g3c1Dqa9vZDcKc8HS1FWG~1; Domain=.oracle.com; Path=/; Expires=Fri, 29 Sep 2023 22:34:37 GMT; Max-Age=0; Secure"", ""server-timing"": ""ak_p; desc=\""1696026876968_34610454_301308527_25_11946_29_127_-\"";dur=1"", ""link"": ""<https://tms.oracle.com>;rel=\""preconnect\"",<https://d.oracleinfinity.io>;rel=\""preconnect\"",<https://dc.oracleinfinity.io>;rel=\""preconnect\"""", ""akamai-grn"": ""0.161d1002.1696026877.11f59a6f"", ""x-frame-options"": ""sameorigin"", ""content-security-policy"": ""frame-ancestors 'self' https://my.oracle.com https://eeho.fa.us2.oraclecloud.com https://blogs.oracle.com"", ""x-content-type-options"": ""nosniff"", ""x-xss-protection"": ""1"", ""origin-cache-control"": ""max-age=1800"", ""origin-edge-control"": ""NO_HEADER_PRESENTED"", ""actual-object-ttl"": ""31536000""}"
5,"GET / HTTP/1.1
Host: www.oracle.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,428,HTTP/1.1,0.09176898002624512,0.11856460571289062,0.06273150444030762,200,OK,[''],22,22,13080,"{""content-type"": ""text/html; charset=utf-8"", ""etag"": ""\""a40v7vina180l3\"""", ""x-akamai-transformed"": ""9 - 0 pmb=mTOE,2mRUM,3"", ""content-encoding"": ""gzip"", ""expires"": ""Fri, 29 Sep 2023 22:34:39 GMT"", ""cache-control"": ""max-age=0, no-cache, no-store"", ""pragma"": ""no-cache"", ""date"": ""Fri, 29 Sep 2023 22:34:39 GMT"", ""transfer-encoding"": ""chunked"", ""connection"": ""Transfer-Encoding"", ""vary"": ""Accept-Encoding"", ""set-cookie"": ""bm_mi=517897D373B2CA9D8633A4F11099EF1D~YAAQFh0QAn1KcdWKAQAALmcU4xUObTf2zVUySr9lWlVe9GjLKT4nI3Cx+4twpOHmjXO8W10kRMdx+IO5NhzmNmk+/4hBGV0dl/iznP4puFCnqfmMXIe4HIKYXBEtLcB81qd00wSMcIj8rVuBvp9oIOji1cbGjoacZNPF4c97JegYkFJDrKdn5yPqaLJGmiiP1hY720RDkbgdg0mrCBcfEEg1s5B+BsIyxaBhQeCL38YGj/11wOulYu6BxcvpyrNTPWDry4RAxmof28TjC+2Sm74dgFp09B5260PqGgxIBspzeStC019bhUird6aw~1; Domain=.oracle.com; Path=/; Expires=Fri, 29 Sep 2023 22:34:39 GMT; Max-Age=0; Secure"", ""server-timing"": ""ak_p; desc=\""1696026879742_34610454_301310235_27_12737_25_11_-\"";dur=1"", ""link"": ""<https://tms.oracle.com>;rel=\""preconnect\"",<https://d.oracleinfinity.io>;rel=\""preconnect\"",<https://dc.oracleinfinity.io>;rel=\""preconnect\"""", ""akamai-grn"": ""0.161d1002.1696026879.11f5a11b"", ""x-frame-options"": ""sameorigin"", ""content-security-policy"": ""frame-ancestors 'self' https://my.oracle.com https://eeho.fa.us2.oraclecloud.com https://blogs.oracle.com"", ""x-content-type-options"": ""nosniff"", ""x-xss-protection"": ""1"", ""origin-cache-control"": ""max-age=1800"", ""origin-edge-control"": ""NO_HEADER_PRESENTED"", ""actual-object-ttl"": ""31536000""}"
6,"GET / HTTP/1.1
Host: www.oracle.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,428,HTTP/1.1,0.19469690322875977,0.12903165817260742,0.059728145599365234,200,OK,[''],22,22,13086,"{""content-type"": ""text/html; charset=utf-8"", ""etag"": ""\""a40v7vina180l3\"""", ""x-akamai-transformed"": ""9 - 0 pmb=mTOE,2mRUM,3"", ""content-encoding"": ""gzip"", ""expires"": ""Fri, 29 Sep 2023 22:34:43 GMT"", ""cache-control"": ""max-age=0, no-cache, no-store"", ""pragma"": ""no-cache"", ""date"": ""Fri, 29 Sep 2023 22:34:43 GMT"", ""transfer-encoding"": ""chunked"", ""connection"": ""Transfer-Encoding"", ""vary"": ""Accept-Encoding"", ""set-cookie"": ""bm_mi=963C6EADC97B21CA80FE4F6F6A652821~YAAQFh0QAppKcdWKAQAAAnUU4xVhN0140Tud/CDjibfIG+GpFkQmyRdOMTQEdjlm2mFWWdCQWnYS2OLkxVcUjUwzh22rvtfWyyCtlVLojABzOsEhabZAcKg7nPzh3noYbQUQVybFB8wEbPhrN4dBktHJHP9IRzP2fR1wJRJUKCgIZM6SgW2AJHLCxFU5dA8pzdptJ4j9emuP/wWmICPgDeFWB1iziB4En/670mKmwb13nzEGY+77W96nFkV9PBh2F56auHc7XeI8QNWZ0n/bGM6GFLEAbxU0l3RdmBT7qfxLElDZXy3386kjWUqh~1; Domain=.oracle.com; Path=/; Expires=Fri, 29 Sep 2023 22:34:43 GMT; Max-Age=0; Secure"", ""server-timing"": ""ak_p; desc=\""1696026883218_34610454_301312367_21_10988_32_89_-\"";dur=1"", ""link"": ""<https://tms.oracle.com>;rel=\""preconnect\"",<https://d.oracleinfinity.io>;rel=\""preconnect\"",<https://dc.oracleinfinity.io>;rel=\""preconnect\"""", ""akamai-grn"": ""0.161d1002.1696026883.11f5a96f"", ""x-frame-options"": ""sameorigin"", ""content-security-policy"": ""frame-ancestors 'self' https://my.oracle.com https://eeho.fa.us2.oraclecloud.com https://blogs.oracle.com"", ""x-content-type-options"": ""nosniff"", ""x-xss-protection"": ""1"", ""origin-cache-control"": ""max-age=1800"", ""origin-edge-control"": ""NO_HEADER_PRESENTED"", ""actual-object-ttl"": ""31536000""}"
7,"GET / HTTP/1.1
Host: www.oracle.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,428,HTTP/1.1,0.17256426811218262,0.11111950874328613,0.05264759063720703,200,OK,[''],22,22,13151,"{""content-type"": ""text/html; charset=utf-8"", ""etag"": ""\""a40v7vina180l3\"""", ""x-akamai-transformed"": ""9 - 0 pmb=mTOE,2mRUM,3"", ""content-encoding"": ""gzip"", ""expires"": ""Fri, 29 Sep 2023 22:34:46 GMT"", ""cache-control"": ""max-age=0, no-cache, no-store"", ""pragma"": ""no-cache"", ""date"": ""Fri, 29 Sep 2023 22:34:46 GMT"", ""transfer-encoding"": ""chunked"", ""connection"": ""Transfer-Encoding"", ""vary"": ""Accept-Encoding"", ""set-cookie"": ""bm_mi=0EFE760B2FAA8D9D9C0F44853548EE25~YAAQFh0QAqtKcdWKAQAA7n8U4xXzHNrfMmElwlYh3PvxJOC9I69s+KHyATw5O9EW1yk5uxOKYXSKtctu56sDFL7ytVj3j5vh2L0CMTHMWAKsf9w7GgFSSZNqnvbWKaiDSziyyAPvdF17m8or7afRr2x5+QCr9oj0wbpynRUiLfv4WFW2vxofwXwj9+yDplRnvnukHaadNAr2qbiRjDfYNhpc/8T7WoWcmIO/Jb6RLyVtt2hiDWtX+cQFnRre1PszQvaJ6az1jXOV8U/FQxSViKdUQKnSjyjuq8waS1/glRp47F29shknvkp+bRVp~1; Domain=.oracle.com; Path=/; Expires=Fri, 29 Sep 2023 22:34:46 GMT; Max-Age=0; Secure"", ""server-timing"": ""ak_p; desc=\""1696026886011_34610454_301314356_25_12574_32_74_-\"";dur=1"", ""link"": ""<https://tms.oracle.com>;rel=\""preconnect\"",<https://d.oracleinfinity.io>;rel=\""preconnect\"",<https://dc.oracleinfinity.io>;rel=\""preconnect\"""", ""akamai-grn"": ""0.161d1002.1696026886.11f5b134"", ""x-frame-options"": ""sameorigin"", ""content-security-policy"": ""frame-ancestors 'self' https://my.oracle.com https://eeho.fa.us2.oraclecloud.com https://blogs.oracle.com"", ""x-content-type-options"": ""nosniff"", ""x-xss-protection"": ""1"", ""origin-cache-control"": ""max-age=1800"", ""origin-edge-control"": ""NO_HEADER_PRESENTED"", ""actual-object-ttl"": ""31536000""}"
8,"GET / HTTP/1.1
Host: www.oracle.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,428,HTTP/1.1,0.36382317543029785,0.15798473358154297,0.052500247955322266,200,OK,[''],22,22,13079,"{""content-type"": ""text/html; charset=utf-8"", ""etag"": ""\""a40v7vina180l3\"""", ""x-akamai-transformed"": ""9 - 0 pmb=mTOE,2mRUM,3"", ""content-encoding"": ""gzip"", ""expires"": ""Fri, 29 Sep 2023 22:34:49 GMT"", ""cache-control"": ""max-age=0, no-cache, no-store"", ""pragma"": ""no-cache"", ""date"": ""Fri, 29 Sep 2023 22:34:49 GMT"", ""transfer-encoding"": ""chunked"", ""connection"": ""Transfer-Encoding"", ""vary"": ""Accept-Encoding"", ""set-cookie"": ""bm_mi=7F5A5122316D01995210E6EDEEE2C1C3~YAAQFh0QAtJKcdWKAQAAz4sU4xWWHU5A24VcKCVakXUFjuTr9TTGMxg6hZZ5BnHyWVxVtGXMW4HoOdaOqSABEmGEVconxM9e4jpGWd+fzRReHxz4ItIzKjhZIle9PxGVeE9DlUWomY5UHGpKxZCQ3uNWDVk1RzsJVB5ZRq6Cvg/t7fMSCUXstDzd8hdod5TfDZOr5tKAld2DG/zohLfW6woD7yoV6Tnydn2PiYsxd4Zy4wYJmumT48BBmYYZaTvkQrJlq42Z40yFqx5EMEfiM8kx+8DWFn8iHE41rRtQLmtaaAy1pAQWUq0XR6eJ~1; Domain=.oracle.com; Path=/; Expires=Fri, 29 Sep 2023 22:34:49 GMT; Max-Age=0; Secure"", ""server-timing"": ""ak_p; desc=\""1696026888882_34610454_301316673_24_12333_38_207_-\"";dur=1"", ""link"": ""<https://tms.oracle.com>;rel=\""preconnect\"",<https://d.oracleinfinity.io>;rel=\""preconnect\"",<https://dc.oracleinfinity.io>;rel=\""preconnect\"""", ""akamai-grn"": ""0.161d1002.1696026889.11f5ba41"", ""x-frame-options"": ""sameorigin"", ""content-security-policy"": ""frame-ancestors 'self' https://my.oracle.com https://eeho.fa.us2.oraclecloud.com https://blogs.oracle.com"", ""x-content-type-options"": ""nosniff"", ""x-xss-protection"": ""1"", ""origin-cache-control"": ""max-age=1800"", ""origin-edge-control"": ""NO_HEADER_PRESENTED"", ""actual-object-ttl"": ""31536000""}"
9,"GET / HTTP/1.1
Host: www.oracle.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,428,HTTP/1.1,0.321439266204834,0.11145138740539551,0.0520930290222168,200,OK,[''],21,21,13584,"{""content-type"": ""text/html; charset=utf-8"", ""etag"": ""\""a40v7vina180l3\"""", ""x-akamai-transformed"": ""9 - 0 pmb=mTOE,2mRUM,3"", ""content-encoding"": ""gzip"", ""expires"": ""Fri, 29 Sep 2023 22:34:52 GMT"", ""cache-control"": ""max-age=0, no-cache, no-store"", ""pragma"": ""no-cache"", ""date"": ""Fri, 29 Sep 2023 22:34:52 GMT"", ""transfer-encoding"": ""chunked"", ""connection"": ""Transfer-Encoding"", ""vary"": ""Accept-Encoding"", ""server-timing"": ""ak_p; desc=\""1696026891984_34610454_301318657_22_11426_42_221_-\"";dur=1"", ""akamai-grn"": ""0.161d1002.1696026892.11f5c201"", ""set-cookie"": ""bm_mi=6F6C69E3A326640B648715BE2D1B2E2E~YAAQFh0QAu1KcdWKAQAA2JcU4xXxjqf7FX3fS7csO70uWoN3J3SC+UJHhudQ6UltWQ10jue9TTls27KQv6m1B0rVmSMprcaQCCOHS/3K7TfdLAzin6q7QYWw6KevXcMM1K+9GGp+MOGiLNjmBGDecvnKBqYRO+LU2cFzWHE6fvkGRCy3BQrREmWK89svpourRxlRW1mkBXQXLHUlpi7mP9Yvt6a034omSWMD0RVJ2FwKecc/r97JqePvwDXsky/s9xycsnir8YTcdizuTml99WuYwJq6a6hU3T/TXZmG21zpcwtnq9cNNuObPIIC~1; Domain=.oracle.com; Path=/; Expires=Fri, 29 Sep 2023 22:34:52 GMT; Max-Age=0; Secure"", ""x-frame-options"": ""sameorigin"", ""content-security-policy"": ""frame-ancestors 'self' https://my.oracle.com https://eeho.fa.us2.oraclecloud.com https://blogs.oracle.com"", ""x-content-type-options"": ""nosniff"", ""x-xss-protection"": ""1"", ""origin-cache-control"": ""max-age=1800"", ""origin-edge-control"": ""NO_HEADER_PRESENTED"", ""actual-object-ttl"": ""31536000""}"
