number,request,deviation_count,uri,request_length,http_version,Socket_Connect_Time,Socket_Close_Time,Response_Time,status_code,reason_phrase,error_message,response_header_count,response_header_length,response_body_length,response_header_fields
0,"GET / HTTP/1.1
Host: www.lijit.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,427,HTTP/1.1,0.24965143203735352,0.10399627685546875,0.08013367652893066,200,OK,[''],14,14,3229,"{""content-type"": ""text/html"", ""transfer-encoding"": ""chunked"", ""connection"": ""keep-alive"", ""last-modified"": ""Fri, 29 Jul 2022 21:54:21 GMT"", ""server"": ""AmazonS3"", ""content-encoding"": ""gzip"", ""date"": ""Fri, 29 Sep 2023 22:31:30 GMT"", ""etag"": ""W/\""3f739febbdeeaec106c9a1af999c4dba\"""", ""vary"": ""Accept-Encoding"", ""x-cache"": ""Hit from cloudfront"", ""via"": ""1.1 b6e86319773f95421e5e42f048890d7c.cloudfront.net (CloudFront)"", ""x-amz-cf-pop"": ""AMS58-P3"", ""x-amz-cf-id"": ""dSX2ev1I35yOjUtCEe1V6l8JmAfY6Yqjx1fZ2_7RG2nmo3RiQgg2jA=="", ""age"": ""180""}"
1,"GET / HTTP/1.1
Host: www.lijit.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,427,HTTP/1.1,0.1602017879486084,0.13999462127685547,0.035460710525512695,200,OK,[''],14,14,3229,"{""content-type"": ""text/html"", ""transfer-encoding"": ""chunked"", ""connection"": ""keep-alive"", ""last-modified"": ""Fri, 29 Jul 2022 21:54:21 GMT"", ""server"": ""AmazonS3"", ""content-encoding"": ""gzip"", ""date"": ""Fri, 29 Sep 2023 22:31:30 GMT"", ""etag"": ""W/\""3f739febbdeeaec106c9a1af999c4dba\"""", ""vary"": ""Accept-Encoding"", ""x-cache"": ""Hit from cloudfront"", ""via"": ""1.1 2b13b2ad91208ea27acb039cde3e8f42.cloudfront.net (CloudFront)"", ""x-amz-cf-pop"": ""AMS58-P3"", ""x-amz-cf-id"": ""xlOLw9CFryKjaLC3ZqxPuPtUuQHJtMs0Ysyw6YjrZSkA3ShwPqFSCg=="", ""age"": ""182""}"
2,"GET / HTTP/1.1
Host: www.lijit.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,427,HTTP/1.1,0.1596229076385498,0.11964297294616699,0.03211855888366699,200,OK,[''],14,14,3229,"{""content-type"": ""text/html"", ""transfer-encoding"": ""chunked"", ""connection"": ""keep-alive"", ""last-modified"": ""Fri, 29 Jul 2022 21:54:21 GMT"", ""server"": ""AmazonS3"", ""content-encoding"": ""gzip"", ""date"": ""Fri, 29 Sep 2023 22:31:30 GMT"", ""etag"": ""W/\""3f739febbdeeaec106c9a1af999c4dba\"""", ""vary"": ""Accept-Encoding"", ""x-cache"": ""Hit from cloudfront"", ""via"": ""1.1 7d2716fe283418b87c2df69e15b55944.cloudfront.net (CloudFront)"", ""x-amz-cf-pop"": ""AMS58-P3"", ""x-amz-cf-id"": ""P16yGzoKaWdk9nGTtJytyzRxbtEoYSRbD2-fe1BSnse7IT-d4Cn3nQ=="", ""age"": ""185""}"
3,"GET / HTTP/1.1
Host: www.lijit.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,427,HTTP/1.1,0.1886427402496338,0.11234378814697266,0.03380918502807617,200,OK,[''],14,14,3229,"{""content-type"": ""text/html"", ""transfer-encoding"": ""chunked"", ""connection"": ""keep-alive"", ""last-modified"": ""Fri, 29 Jul 2022 21:54:21 GMT"", ""server"": ""AmazonS3"", ""content-encoding"": ""gzip"", ""date"": ""Fri, 29 Sep 2023 22:31:30 GMT"", ""etag"": ""W/\""3f739febbdeeaec106c9a1af999c4dba\"""", ""vary"": ""Accept-Encoding"", ""x-cache"": ""Hit from cloudfront"", ""via"": ""1.1 c3919dfed58c39e6da91faec1344110c.cloudfront.net (CloudFront)"", ""x-amz-cf-pop"": ""AMS58-P3"", ""x-amz-cf-id"": ""v60vlg2kSQZ0X48XT3eQ0qlc058QnVZUUL5zB5NEUfXMPfyM68KOtg=="", ""age"": ""187""}"
4,"GET / HTTP/1.1
Host: www.lijit.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,427,HTTP/1.1,0.33046817779541016,0.20395731925964355,0.049091339111328125,200,OK,[''],14,14,3229,"{""content-type"": ""text/html"", ""transfer-encoding"": ""chunked"", ""connection"": ""keep-alive"", ""last-modified"": ""Fri, 29 Jul 2022 21:54:21 GMT"", ""server"": ""AmazonS3"", ""content-encoding"": ""gzip"", ""date"": ""Fri, 29 Sep 2023 22:31:30 GMT"", ""etag"": ""W/\""3f739febbdeeaec106c9a1af999c4dba\"""", ""vary"": ""Accept-Encoding"", ""x-cache"": ""Hit from cloudfront"", ""via"": ""1.1 a43889f6531338b6dd9d3a4339de949a.cloudfront.net (CloudFront)"", ""x-amz-cf-pop"": ""AMS58-P3"", ""x-amz-cf-id"": ""LIha1Q9gGds8qfKX_D8cISgCELo5diFdf5PXWKY0N1P5-b89A2az6A=="", ""age"": ""190""}"
5,"GET / HTTP/1.1
Host: www.lijit.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,427,HTTP/1.1,0.23221087455749512,0.11248779296875,0.05304265022277832,200,OK,[''],14,14,3229,"{""content-type"": ""text/html"", ""transfer-encoding"": ""chunked"", ""connection"": ""keep-alive"", ""last-modified"": ""Fri, 29 Jul 2022 21:54:21 GMT"", ""server"": ""AmazonS3"", ""content-encoding"": ""gzip"", ""date"": ""Fri, 29 Sep 2023 22:31:30 GMT"", ""etag"": ""W/\""3f739febbdeeaec106c9a1af999c4dba\"""", ""vary"": ""Accept-Encoding"", ""x-cache"": ""Hit from cloudfront"", ""via"": ""1.1 9ac192ffc1203361ea1141b56df84966.cloudfront.net (CloudFront)"", ""x-amz-cf-pop"": ""AMS58-P3"", ""x-amz-cf-id"": ""-cdUacYSX1Bsm4rImBJn5IGX2RmZlWUF0Ow2K1lxss90irmoj8NSMg=="", ""age"": ""192""}"
6,"GET / HTTP/1.1
Host: www.lijit.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,427,HTTP/1.1,0.22155094146728516,0.12469267845153809,0.03647279739379883,200,OK,[''],14,14,3229,"{""content-type"": ""text/html"", ""transfer-encoding"": ""chunked"", ""connection"": ""keep-alive"", ""last-modified"": ""Fri, 29 Jul 2022 21:54:21 GMT"", ""server"": ""AmazonS3"", ""content-encoding"": ""gzip"", ""date"": ""Fri, 29 Sep 2023 22:31:30 GMT"", ""etag"": ""W/\""3f739febbdeeaec106c9a1af999c4dba\"""", ""vary"": ""Accept-Encoding"", ""x-cache"": ""Hit from cloudfront"", ""via"": ""1.1 3ab47e7bb911be04b665845f18319950.cloudfront.net (CloudFront)"", ""x-amz-cf-pop"": ""AMS58-P3"", ""x-amz-cf-id"": ""QcxnRnrVUSgyOGQk1kWukOu-giODj76QZJvngEfSIqj3zfEQeiJA2w=="", ""age"": ""195""}"
7,"GET / HTTP/1.1
Host: www.lijit.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,427,HTTP/1.1,0.1378617286682129,0.14400053024291992,0.05280280113220215,200,OK,[''],14,14,3229,"{""content-type"": ""text/html"", ""transfer-encoding"": ""chunked"", ""connection"": ""keep-alive"", ""last-modified"": ""Fri, 29 Jul 2022 21:54:21 GMT"", ""server"": ""AmazonS3"", ""content-encoding"": ""gzip"", ""date"": ""Fri, 29 Sep 2023 22:31:30 GMT"", ""etag"": ""W/\""3f739febbdeeaec106c9a1af999c4dba\"""", ""vary"": ""Accept-Encoding"", ""x-cache"": ""Hit from cloudfront"", ""via"": ""1.1 b6e86319773f95421e5e42f048890d7c.cloudfront.net (CloudFront)"", ""x-amz-cf-pop"": ""AMS58-P3"", ""x-amz-cf-id"": ""UDd50ZWGMsm6rex3BProrVQhOGkvmTBInp7h2XunkECoWrHmeVfuQg=="", ""age"": ""197""}"
8,"GET / HTTP/1.1
Host: www.lijit.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,427,HTTP/1.1,0.3807556629180908,0.1853654384613037,0.03182721138000488,200,OK,[''],14,14,3229,"{""content-type"": ""text/html"", ""transfer-encoding"": ""chunked"", ""connection"": ""keep-alive"", ""last-modified"": ""Fri, 29 Jul 2022 21:54:21 GMT"", ""server"": ""AmazonS3"", ""content-encoding"": ""gzip"", ""date"": ""Fri, 29 Sep 2023 22:31:30 GMT"", ""etag"": ""W/\""3f739febbdeeaec106c9a1af999c4dba\"""", ""vary"": ""Accept-Encoding"", ""x-cache"": ""Hit from cloudfront"", ""via"": ""1.1 46e82159f07d7f814d9b72723b038152.cloudfront.net (CloudFront)"", ""x-amz-cf-pop"": ""AMS58-P3"", ""x-amz-cf-id"": ""PIXb5WkujO-Of0KKqFyfhUctWQbZ0qSiPzxc-zoCpr_6WT78Wk_GkA=="", ""age"": ""200""}"
9,"GET / HTTP/1.1
Host: www.lijit.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,427,HTTP/1.1,0.20841741561889648,0.11084604263305664,0.07206273078918457,200,OK,[''],14,14,3229,"{""content-type"": ""text/html"", ""transfer-encoding"": ""chunked"", ""connection"": ""keep-alive"", ""last-modified"": ""Fri, 29 Jul 2022 21:54:21 GMT"", ""server"": ""AmazonS3"", ""content-encoding"": ""gzip"", ""date"": ""Fri, 29 Sep 2023 22:31:30 GMT"", ""etag"": ""W/\""3f739febbdeeaec106c9a1af999c4dba\"""", ""vary"": ""Accept-Encoding"", ""x-cache"": ""Hit from cloudfront"", ""via"": ""1.1 e1ffe469ec59bbd0f64b14eb9c83d0d4.cloudfront.net (CloudFront)"", ""x-amz-cf-pop"": ""AMS58-P3"", ""x-amz-cf-id"": ""22nYbNdwhz1A6uvoFwLE-mWur__z-vR_0H4T7sKTijyHvKqfK7IJhA=="", ""age"": ""202""}"
