number,request,deviation_count,uri,request_length,http_version,Socket_Connect_Time,Socket_Close_Time,Response_Time,status_code,reason_phrase,error_message,response_header_count,response_header_length,response_body_length,response_header_fields
0,"GET / HTTP/1.1
Host: www.shopify.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,429,HTTP/1.1,0.2248821258544922,0.1567244529724121,0.8355989456176758,200,OK,[''],16,16,55,"{""date"": ""Fri, 29 Sep 2023 22:34:49 GMT"", ""content-type"": ""text/html; charset=utf-8"", ""transfer-encoding"": ""chunked"", ""connection"": ""keep-alive"", ""cf-ray"": ""80e7b2160a3d06e0-AMS"", ""cf-cache-status"": ""HIT"", ""age"": ""8939"", ""cache-control"": ""max-age=900, stale-while-revalidate=86400"", ""last-modified"": ""Fri, 29 Sep 2023 20:05:49 GMT"", ""set-cookie"": ""__cf_bm=XpCmIuXPEM7p8Uf6.4MmoXqIQWYb10aDyb_TIgzbJlg-1696026889-0-AUi1XZawpyTLh62K0TAm8Rn4KhklBv//LXTbWxnKaoI7ThvhOtU/8QGkNHQlVkbw5QiRHT6NDrGKnBGK6XKJVB8=; path=/; expires=Fri, 29-Sep-23 23:04:49 GMT; domain=.www.shopify.com; HttpOnly; Secure; SameSite=None"", ""strict-transport-security"": ""max-age=15552000; includeSubDomains; preload"", ""x-content-type-options"": ""nosniff"", ""vary"": ""Accept-Encoding"", ""server"": ""cloudflare"", ""content-encoding"": ""br"", ""alt-svc"": ""h3=\"":443\""; ma=86400""}"
1,"GET / HTTP/1.1
Host: www.shopify.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,429,HTTP/1.1,0.27469682693481445,0.11477327346801758,0.8134305477142334,200,OK,[''],16,16,2,"{""date"": ""Fri, 29 Sep 2023 22:34:52 GMT"", ""content-type"": ""text/html; charset=utf-8"", ""transfer-encoding"": ""chunked"", ""connection"": ""keep-alive"", ""cf-ray"": ""80e7b229c9ce0e88-AMS"", ""cf-cache-status"": ""HIT"", ""age"": ""7306"", ""cache-control"": ""max-age=900, stale-while-revalidate=86400"", ""last-modified"": ""Fri, 29 Sep 2023 20:33:06 GMT"", ""set-cookie"": ""__cf_bm=SJlf_.rURCGrep.SQEbKJVsNS7C586AWSITrllMJ8pg-1696026892-0-ATHj+UKE0y91GwK+azRKr2q28BQlcuPmvvK7R/7W6SMn3RbpC6wvN3IzeVYiVFNkdZUFL/8rj3VvixDPijWwxPY=; path=/; expires=Fri, 29-Sep-23 23:04:52 GMT; domain=.www.shopify.com; HttpOnly; Secure; SameSite=None"", ""strict-transport-security"": ""max-age=15552000; includeSubDomains; preload"", ""x-content-type-options"": ""nosniff"", ""vary"": ""Accept-Encoding"", ""server"": ""cloudflare"", ""content-encoding"": ""br"", ""alt-svc"": ""h3=\"":443\""; ma=86400""}"
2,"GET / HTTP/1.1
Host: www.shopify.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,429,HTTP/1.1,0.26137590408325195,0.10100674629211426,0.35619258880615234,200,OK,[''],14,14,0,"{""date"": ""Fri, 29 Sep 2023 22:34:55 GMT"", ""content-type"": ""text/html; charset=utf-8"", ""transfer-encoding"": ""chunked"", ""connection"": ""keep-alive"", ""cf-ray"": ""80e7b23eb92eb909-AMS"", ""cf-cache-status"": ""HIT"", ""age"": ""1374"", ""cache-control"": ""max-age=900, stale-while-revalidate=86400"", ""last-modified"": ""Fri, 29 Sep 2023 22:12:01 GMT"", ""set-cookie"": ""__cf_bm=fsyGEDoZDhd8fn3sj7GeikJxEw1r2zMINgcgjCIB7R0-1696026895-0-AYpTdGelMgGVSWg/O/Y0IDNn7pz+cf+czJz5pIADkHGkYPn/09iONFi3Bb1Vo73zME6alzTnXJpdF+KkgHG1Kdw=; path=/; expires=Fri, 29-Sep-23 23:04:55 GMT; domain=.www.shopify.com; HttpOnly; Secure; SameSite=None"", ""strict-transport-security"": ""max-age=15552000; includeSubDomains; preload"", ""x-content-type-options"": ""nosniff"", ""vary"": ""Accept-Encoding"", ""server"": ""cloudflare""}"
3,"GET / HTTP/1.1
Host: www.shopify.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,429,HTTP/1.1,0.36103200912475586,0.10411715507507324,0.2690613269805908,200,OK,[''],16,16,2,"{""date"": ""Fri, 29 Sep 2023 22:34:58 GMT"", ""content-type"": ""text/html; charset=utf-8"", ""transfer-encoding"": ""chunked"", ""connection"": ""keep-alive"", ""cf-ray"": ""80e7b252e86eb984-AMS"", ""cf-cache-status"": ""HIT"", ""age"": ""1159"", ""cache-control"": ""max-age=900, stale-while-revalidate=86400"", ""last-modified"": ""Fri, 29 Sep 2023 22:15:39 GMT"", ""set-cookie"": ""__cf_bm=qOu96CpeJ44pX08Fvt9qjyOgh6AMhTDpsweJ5kQsWKg-1696026898-0-AS4wVME26xY0dahbM4XHoubzuGed+P+mJQRwTFXid/Rnc2pVgCOGfVDGZ347DplufXTFk9ziW5BZtBbpoCzxz0s=; path=/; expires=Fri, 29-Sep-23 23:04:58 GMT; domain=.www.shopify.com; HttpOnly; Secure; SameSite=None"", ""strict-transport-security"": ""max-age=15552000; includeSubDomains; preload"", ""x-content-type-options"": ""nosniff"", ""vary"": ""Accept-Encoding"", ""server"": ""cloudflare"", ""content-encoding"": ""br"", ""alt-svc"": ""h3=\"":443\""; ma=86400""}"
4,"GET / HTTP/1.1
Host: www.shopify.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,429,HTTP/1.1,0.19287657737731934,0.10867786407470703,0.31258273124694824,200,OK,[''],16,16,2,"{""date"": ""Fri, 29 Sep 2023 22:35:01 GMT"", ""content-type"": ""text/html; charset=utf-8"", ""transfer-encoding"": ""chunked"", ""connection"": ""keep-alive"", ""cf-ray"": ""80e7b2638cc006d2-AMS"", ""cf-cache-status"": ""HIT"", ""age"": ""25734"", ""cache-control"": ""max-age=900, stale-while-revalidate=86400"", ""last-modified"": ""Fri, 29 Sep 2023 15:26:07 GMT"", ""set-cookie"": ""__cf_bm=gm9MqCnDkUUiEVKIIZlkYTxfIbOi8hMVXX9ItQvV1Xc-1696026901-0-ARe/7OcRtEdVx7Mv1pIJWX7JjqBNeZf2AgkGjh3feSb+akUdW4h94mhvEr/+pHReu93vPohKI3AJU7ZZcG7mnrs=; path=/; expires=Fri, 29-Sep-23 23:05:01 GMT; domain=.www.shopify.com; HttpOnly; Secure; SameSite=None"", ""strict-transport-security"": ""max-age=15552000; includeSubDomains; preload"", ""x-content-type-options"": ""nosniff"", ""vary"": ""Accept-Encoding"", ""server"": ""cloudflare"", ""content-encoding"": ""br"", ""alt-svc"": ""h3=\"":443\""; ma=86400""}"
5,"GET / HTTP/1.1
Host: www.shopify.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,429,HTTP/1.1,0.1809232234954834,0.11307311058044434,0.21630048751831055,200,OK,[''],16,16,57,"{""date"": ""Fri, 29 Sep 2023 22:35:04 GMT"", ""content-type"": ""text/html; charset=utf-8"", ""transfer-encoding"": ""chunked"", ""connection"": ""keep-alive"", ""cf-ray"": ""80e7b2758c531cb6-AMS"", ""cf-cache-status"": ""HIT"", ""age"": ""11"", ""cache-control"": ""max-age=900, stale-while-revalidate=86400"", ""last-modified"": ""Fri, 29 Sep 2023 22:34:53 GMT"", ""set-cookie"": ""__cf_bm=UkN7d.A_MKPnzl7IJMXTOWRKPUovpteCvzg8NS7uNzg-1696026904-0-AQQKhyUjQwyNLfKaKPvGUGK1gKGeEd/RyA/u/xJJa9oXJz5SOVS07U0cjRdYVEX3fpIJtX7fAWMIlrOt9CcugaU=; path=/; expires=Fri, 29-Sep-23 23:05:04 GMT; domain=.www.shopify.com; HttpOnly; Secure; SameSite=None"", ""strict-transport-security"": ""max-age=15552000; includeSubDomains; preload"", ""x-content-type-options"": ""nosniff"", ""vary"": ""Accept-Encoding"", ""server"": ""cloudflare"", ""content-encoding"": ""br"", ""alt-svc"": ""h3=\"":443\""; ma=86400""}"
6,"GET / HTTP/1.1
Host: www.shopify.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,429,HTTP/1.1,0.1454012393951416,0.10589194297790527,0.902116060256958,200,OK,[''],16,16,53,"{""date"": ""Fri, 29 Sep 2023 22:35:07 GMT"", ""content-type"": ""text/html; charset=utf-8"", ""transfer-encoding"": ""chunked"", ""connection"": ""keep-alive"", ""cf-ray"": ""80e7b2861d14b7b2-AMS"", ""cf-cache-status"": ""HIT"", ""age"": ""1407"", ""cache-control"": ""max-age=900, stale-while-revalidate=86400"", ""last-modified"": ""Fri, 29 Sep 2023 22:11:39 GMT"", ""set-cookie"": ""__cf_bm=74vNeih3hGMSO_4tI1dJwrUM9rq0TsAOMaFDZoiMsX8-1696026907-0-AUlVA8R84TnwVY5fTvRLYwB7hwMx0NOrDZ1ixPMIV8+h9g4JpMRYyepdQg5v/HJqiFk4yeOJ8wciWGRtR+Etg64=; path=/; expires=Fri, 29-Sep-23 23:05:07 GMT; domain=.www.shopify.com; HttpOnly; Secure; SameSite=None"", ""strict-transport-security"": ""max-age=15552000; includeSubDomains; preload"", ""x-content-type-options"": ""nosniff"", ""vary"": ""Accept-Encoding"", ""server"": ""cloudflare"", ""content-encoding"": ""br"", ""alt-svc"": ""h3=\"":443\""; ma=86400""}"
7,"GET / HTTP/1.1
Host: www.shopify.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,429,HTTP/1.1,0.15157246589660645,0.11133885383605957,0.30825066566467285,200,OK,[''],14,14,0,"{""date"": ""Fri, 29 Sep 2023 22:35:10 GMT"", ""content-type"": ""text/html; charset=utf-8"", ""transfer-encoding"": ""chunked"", ""connection"": ""keep-alive"", ""cf-ray"": ""80e7b29a0814b960-AMS"", ""cf-cache-status"": ""HIT"", ""age"": ""18098"", ""cache-control"": ""max-age=900, stale-while-revalidate=86400"", ""last-modified"": ""Fri, 29 Sep 2023 17:33:31 GMT"", ""set-cookie"": ""__cf_bm=m31crNpHMXMnHHF4EXCx_prIIBNrJqve6BAMarKm.FY-1696026910-0-AWLcWEYnCf0f1r/OvZtjzxrv5OLgg83cbmefD+7LV+3x/+nXjAe1QSX75ibig6kVGvP0DuJqUBlY8gdzj7krVqM=; path=/; expires=Fri, 29-Sep-23 23:05:10 GMT; domain=.www.shopify.com; HttpOnly; Secure; SameSite=None"", ""strict-transport-security"": ""max-age=15552000; includeSubDomains; preload"", ""x-content-type-options"": ""nosniff"", ""vary"": ""Accept-Encoding"", ""server"": ""cloudflare""}"
8,"GET / HTTP/1.1
Host: www.shopify.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,429,HTTP/1.1,0.33301234245300293,0.1172785758972168,0.8691961765289307,200,OK,[''],14,14,0,"{""date"": ""Fri, 29 Sep 2023 22:35:13 GMT"", ""content-type"": ""text/html; charset=utf-8"", ""transfer-encoding"": ""chunked"", ""connection"": ""keep-alive"", ""cf-ray"": ""80e7b2ad788d06d8-AMS"", ""cf-cache-status"": ""HIT"", ""age"": ""1399"", ""cache-control"": ""max-age=900, stale-while-revalidate=86400"", ""last-modified"": ""Fri, 29 Sep 2023 22:11:54 GMT"", ""set-cookie"": ""__cf_bm=KMk_65tiYujX4op_6rwqU5E0d_hoCgN4v0RZYfEJAjI-1696026913-0-AbyTRbRF/rZMhJM1TF13w5nG5d3w/aV0AdUNC1LzajwAjRmQxOoprVmZl/eUhqlx6N8lF3p0f8o+g+Y+S9MQ6LY=; path=/; expires=Fri, 29-Sep-23 23:05:13 GMT; domain=.www.shopify.com; HttpOnly; Secure; SameSite=None"", ""strict-transport-security"": ""max-age=15552000; includeSubDomains; preload"", ""x-content-type-options"": ""nosniff"", ""vary"": ""Accept-Encoding"", ""server"": ""cloudfla""}"
9,"GET / HTTP/1.1
Host: www.shopify.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,429,HTTP/1.1,0.23655414581298828,0.10332036018371582,0.9391593933105469,200,OK,[''],16,16,2,"{""date"": ""Fri, 29 Sep 2023 22:35:16 GMT"", ""content-type"": ""text/html; charset=utf-8"", ""transfer-encoding"": ""chunked"", ""connection"": ""keep-alive"", ""cf-ray"": ""80e7b2c0eaab4184-AMS"", ""cf-cache-status"": ""HIT"", ""age"": ""10847"", ""cache-control"": ""max-age=900, stale-while-revalidate=86400"", ""last-modified"": ""Fri, 29 Sep 2023 19:34:29 GMT"", ""set-cookie"": ""__cf_bm=nUuuaFAXcfn1LcNqMhBpEURLqMXupqemHfqJJuk1euw-1696026916-0-AdqtJmq8K/lxJ8kylkU/ITWLkQ4lKb3A6hixzzbfsJDYRPjPBDBmAxjAdZHCJV19rNNCKQINYtwSwBzzRzWRk5k=; path=/; expires=Fri, 29-Sep-23 23:05:16 GMT; domain=.www.shopify.com; HttpOnly; Secure; SameSite=None"", ""strict-transport-security"": ""max-age=15552000; includeSubDomains; preload"", ""x-content-type-options"": ""nosniff"", ""vary"": ""Accept-Encoding"", ""server"": ""cloudflare"", ""content-encoding"": ""br"", ""alt-svc"": ""h3=\"":443\""; ma=86400""}"
