number,request,deviation_count,uri,request_length,http_version,Socket_Connect_Time,Socket_Close_Time,Response_Time,status_code,reason_phrase,error_message,response_header_count,response_header_length,response_body_length,response_header_fields
0,"GET / HTTP/1.1
Host: www.w3.org
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,424,HTTP/1.1,0.15777206420898438,0.11240220069885254,0.07172036170959473,200,OK,[''],20,20,266,"{""date"": ""Fri, 29 Sep 2023 22:49:14 GMT"", ""content-type"": ""text/html; charset=UTF-8"", ""transfer-encoding"": ""chunked"", ""connection"": ""keep-alive"", ""cache-control"": ""proxy-revalidate, public, s-maxage=600"", ""etag"": ""W/\""263a124d411dc357daa55c22101f1ece\"""", ""x-strata-cache-tags"": ""global,homepage,blogListing,pressReleasesListing,eventsListing,newsListing,ecosystemsLandingPage,blogPosts,newsArticles,pressReleases,members"", ""x-frontend-content"": ""PUBLISHED"", ""vary"": ""Origin, Accept-Encoding"", ""x-backend"": ""sf-frontend"", ""x-request-id"": ""80e7b0794e09f9ce"", ""strict-transport-security"": ""max-age=15552000; includeSubdomains; preload"", ""content-security-policy"": ""frame-ancestors 'self' https://cms.w3.org/; upgrade-insecure-requests"", ""cf-cache-status"": ""HIT"", ""age"": ""464"", ""set-cookie"": ""__cf_bm=qF.l7XJfbEBb798vD6IREDGH.1bRrbSp5lCo5PBErns-1696027754-0-AYmAXoh1PPni68yLvZibkr4VFDoD7nxD4D3mHyFoJoGQvYrHO1No/gQHR6sZFdaLsBAE7Ak9Nh9GHWdYeflRwps=; path=/; expires=Fri, 29-Sep-23 23:19:14 GMT; domain=.w3.org; HttpOnly; Secure; SameSite=None"", ""server"": ""cloudflare"", ""cf-ray"": ""80e7c736bee80bc6-AMS"", ""content-encoding"": ""br"", ""alt-svc"": ""h3=\"":443\""; ma=86400""}"
1,"GET / HTTP/1.1
Host: www.w3.org
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,424,HTTP/1.1,0.20527005195617676,0.11194276809692383,0.04635763168334961,200,OK,[''],20,20,266,"{""date"": ""Fri, 29 Sep 2023 22:49:16 GMT"", ""content-type"": ""text/html; charset=UTF-8"", ""transfer-encoding"": ""chunked"", ""connection"": ""keep-alive"", ""cache-control"": ""proxy-revalidate, public, s-maxage=600"", ""etag"": ""W/\""263a124d411dc357daa55c22101f1ece\"""", ""x-strata-cache-tags"": ""global,homepage,blogListing,pressReleasesListing,eventsListing,newsListing,ecosystemsLandingPage,blogPosts,newsArticles,pressReleases,members"", ""x-frontend-content"": ""PUBLISHED"", ""vary"": ""Origin, Accept-Encoding"", ""x-backend"": ""sf-frontend"", ""x-request-id"": ""80e7b0794e09f9ce"", ""strict-transport-security"": ""max-age=15552000; includeSubdomains; preload"", ""content-security-policy"": ""frame-ancestors 'self' https://cms.w3.org/; upgrade-insecure-requests"", ""cf-cache-status"": ""HIT"", ""age"": ""466"", ""set-cookie"": ""__cf_bm=LEGo1cft67y1_QDTw4WayEDxhaDodJGDdaVkt06q_m4-1696027756-0-AdFs342dZ/x2keADsycfLl0Bfw67jqRg99NZJpzxSZ5/LacYm0ckKz4HPzHbD22Vw8yUMqfnV+3awHyGV+nJp6E=; path=/; expires=Fri, 29-Sep-23 23:19:16 GMT; domain=.w3.org; HttpOnly; Secure; SameSite=None"", ""server"": ""cloudflare"", ""cf-ray"": ""80e7c7463e340c33-AMS"", ""content-encoding"": ""br"", ""alt-svc"": ""h3=\"":443\""; ma=86400""}"
2,"GET / HTTP/1.1
Host: www.w3.org
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,424,HTTP/1.1,0.1739342212677002,0.12165689468383789,0.05134153366088867,200,OK,[''],20,20,266,"{""date"": ""Fri, 29 Sep 2023 22:49:18 GMT"", ""content-type"": ""text/html; charset=UTF-8"", ""transfer-encoding"": ""chunked"", ""connection"": ""keep-alive"", ""cache-control"": ""proxy-revalidate, public, s-maxage=600"", ""etag"": ""W/\""263a124d411dc357daa55c22101f1ece\"""", ""x-strata-cache-tags"": ""global,homepage,blogListing,pressReleasesListing,eventsListing,newsListing,ecosystemsLandingPage,blogPosts,newsArticles,pressReleases,members"", ""x-frontend-content"": ""PUBLISHED"", ""vary"": ""Origin, Accept-Encoding"", ""x-backend"": ""sf-frontend"", ""x-request-id"": ""80e7b0794e09f9ce"", ""strict-transport-security"": ""max-age=15552000; includeSubdomains; preload"", ""content-security-policy"": ""frame-ancestors 'self' https://cms.w3.org/; upgrade-insecure-requests"", ""cf-cache-status"": ""HIT"", ""age"": ""468"", ""set-cookie"": ""__cf_bm=WPGChAq9W6t01hgQoyozDZhpt2vSGJrQWsZ1oqlZHwM-1696027758-0-AV1cg20BcgD3+ll0FIujkTQC2PdUIFMy8F0pKudrkDNUzikPCAioJqkBmUnmUVSk+sLtodONoYNwj60TvMAqBuQ=; path=/; expires=Fri, 29-Sep-23 23:19:18 GMT; domain=.w3.org; HttpOnly; Secure; SameSite=None"", ""server"": ""cloudflare"", ""cf-ray"": ""80e7c7554f670a64-AMS"", ""content-encoding"": ""br"", ""alt-svc"": ""h3=\"":443\""; ma=86400""}"
3,"GET / HTTP/1.1
Host: www.w3.org
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,424,HTTP/1.1,0.10481810569763184,0.12362217903137207,0.04980015754699707,200,OK,[''],20,20,266,"{""date"": ""Fri, 29 Sep 2023 22:49:21 GMT"", ""content-type"": ""text/html; charset=UTF-8"", ""transfer-encoding"": ""chunked"", ""connection"": ""keep-alive"", ""cache-control"": ""proxy-revalidate, public, s-maxage=600"", ""etag"": ""W/\""263a124d411dc357daa55c22101f1ece\"""", ""x-strata-cache-tags"": ""global,homepage,blogListing,pressReleasesListing,eventsListing,newsListing,ecosystemsLandingPage,blogPosts,newsArticles,pressReleases,members"", ""x-frontend-content"": ""PUBLISHED"", ""vary"": ""Origin, Accept-Encoding"", ""x-backend"": ""sf-frontend"", ""x-request-id"": ""80e7b0794e09f9ce"", ""strict-transport-security"": ""max-age=15552000; includeSubdomains; preload"", ""content-security-policy"": ""frame-ancestors 'self' https://cms.w3.org/; upgrade-insecure-requests"", ""cf-cache-status"": ""HIT"", ""age"": ""471"", ""set-cookie"": ""__cf_bm=iPh0Houo6SD0TE_g7gxeGYQqVCaAoGy4iq.uBkwSJCc-1696027761-0-AWlHwYFEs7AOUiILQCmmpcSnNrBU5tj+7/YaqmATNyNKlG7evgp/bgcuucgtmsYC74UEPce6+PJYHbayZcX/iGY=; path=/; expires=Fri, 29-Sep-23 23:19:21 GMT; domain=.w3.org; HttpOnly; Secure; SameSite=None"", ""server"": ""cloudflare"", ""cf-ray"": ""80e7c763387f5c43-AMS"", ""content-encoding"": ""br"", ""alt-svc"": ""h3=\"":443\""; ma=86400""}"
4,"GET / HTTP/1.1
Host: www.w3.org
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,424,HTTP/1.1,0.18167996406555176,0.1109931468963623,0.05124402046203613,200,OK,[''],20,20,265,"{""date"": ""Fri, 29 Sep 2023 22:49:23 GMT"", ""content-type"": ""text/html; charset=UTF-8"", ""transfer-encoding"": ""chunked"", ""connection"": ""keep-alive"", ""cache-control"": ""proxy-revalidate, public, s-maxage=600"", ""etag"": ""W/\""ec9ac7440341609bbb73c7181e2d0efd\"""", ""x-strata-cache-tags"": ""global,homepage,blogListing,pressReleasesListing,eventsListing,newsListing,ecosystemsLandingPage,blogPosts,newsArticles,pressReleases,members"", ""x-frontend-content"": ""PUBLISHED"", ""vary"": ""Origin, Accept-Encoding"", ""x-backend"": ""sf-frontend"", ""x-request-id"": ""80e7bf4b9d3cb380"", ""strict-transport-security"": ""max-age=15552000; includeSubdomains; preload"", ""content-security-policy"": ""frame-ancestors 'self' https://cms.w3.org/; upgrade-insecure-requests"", ""cf-cache-status"": ""HIT"", ""age"": ""251"", ""set-cookie"": ""__cf_bm=1hI9SDi6OontqKd5olc_3zp5SMHlWH5wLdkiCE2BaNI-1696027763-0-Aar48s98npYVLTyYdugQThgM38Ssnx0buirsawV95d37BvMCufZUxgPWWIckHQv/rNMb1gFlXpsYrY3936kY5g4=; path=/; expires=Fri, 29-Sep-23 23:19:23 GMT; domain=.w3.org; HttpOnly; Secure; SameSite=None"", ""server"": ""cloudflare"", ""cf-ray"": ""80e7c7717c60b6f1-AMS"", ""content-encoding"": ""br"", ""alt-svc"": ""h3=\"":443\""; ma=86400""}"
5,"GET / HTTP/1.1
Host: www.w3.org
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,424,HTTP/1.1,0.17426133155822754,0.12012290954589844,0.05238842964172363,200,OK,[''],20,20,266,"{""date"": ""Fri, 29 Sep 2023 22:49:26 GMT"", ""content-type"": ""text/html; charset=UTF-8"", ""transfer-encoding"": ""chunked"", ""connection"": ""keep-alive"", ""cache-control"": ""proxy-revalidate, public, s-maxage=600"", ""etag"": ""W/\""263a124d411dc357daa55c22101f1ece\"""", ""x-strata-cache-tags"": ""global,homepage,blogListing,pressReleasesListing,eventsListing,newsListing,ecosystemsLandingPage,blogPosts,newsArticles,pressReleases,members"", ""x-frontend-content"": ""PUBLISHED"", ""vary"": ""Origin, Accept-Encoding"", ""x-backend"": ""sf-frontend"", ""x-request-id"": ""80e7b0794e09f9ce"", ""strict-transport-security"": ""max-age=15552000; includeSubdomains; preload"", ""content-security-policy"": ""frame-ancestors 'self' https://cms.w3.org/; upgrade-insecure-requests"", ""cf-cache-status"": ""HIT"", ""age"": ""427"", ""set-cookie"": ""__cf_bm=qLd5Ugld6yfqpKtQsXkmCl1U7bRdV86hvEugD45Un_M-1696027766-0-ARd+p8/lOGg5mCHv4oQCr1vk5QSWiZQ67MqANTE421wLn61tSO2ZIKR5Ui/aLSZcrFM5APdA4dF01T+3qC5BsJY=; path=/; expires=Fri, 29-Sep-23 23:19:26 GMT; domain=.w3.org; HttpOnly; Secure; SameSite=None"", ""server"": ""cloudflare"", ""cf-ray"": ""80e7c781ee17b894-AMS"", ""content-encoding"": ""br"", ""alt-svc"": ""h3=\"":443\""; ma=86400""}"
6,"GET / HTTP/1.1
Host: www.w3.org
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,424,HTTP/1.1,0.13008904457092285,0.10758757591247559,0.036959171295166016,200,OK,[''],20,20,266,"{""date"": ""Fri, 29 Sep 2023 22:49:28 GMT"", ""content-type"": ""text/html; charset=UTF-8"", ""transfer-encoding"": ""chunked"", ""connection"": ""keep-alive"", ""cache-control"": ""proxy-revalidate, public, s-maxage=600"", ""etag"": ""W/\""263a124d411dc357daa55c22101f1ece\"""", ""x-strata-cache-tags"": ""global,homepage,blogListing,pressReleasesListing,eventsListing,newsListing,ecosystemsLandingPage,blogPosts,newsArticles,pressReleases,members"", ""x-frontend-content"": ""PUBLISHED"", ""vary"": ""Origin, Accept-Encoding"", ""x-backend"": ""sf-frontend"", ""x-request-id"": ""80e7b0794e09f9ce"", ""strict-transport-security"": ""max-age=15552000; includeSubdomains; preload"", ""content-security-policy"": ""frame-ancestors 'self' https://cms.w3.org/; upgrade-insecure-requests"", ""cf-cache-status"": ""HIT"", ""age"": ""478"", ""set-cookie"": ""__cf_bm=HKsjnOxCFUvqypuI2KSNViGn4H9PnIlDElRSRZ_kwKo-1696027768-0-AXBWpUZ03WJwCjp8l9vPwLkPKoPMChdoqaNw1M6kDyADDGGoNvXMZBM3Hvufleea58ahORNFHGbrNHADOP7cl0Y=; path=/; expires=Fri, 29-Sep-23 23:19:28 GMT; domain=.w3.org; HttpOnly; Secure; SameSite=None"", ""server"": ""cloudflare"", ""cf-ray"": ""80e7c78fdfa30a5c-AMS"", ""content-encoding"": ""br"", ""alt-svc"": ""h3=\"":443\""; ma=86400""}"
7,"GET / HTTP/1.1
Host: www.w3.org
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,424,HTTP/1.1,0.17360830307006836,0.1688070297241211,0.06841611862182617,200,OK,[''],20,20,266,"{""date"": ""Fri, 29 Sep 2023 22:49:30 GMT"", ""content-type"": ""text/html; charset=UTF-8"", ""transfer-encoding"": ""chunked"", ""connection"": ""keep-alive"", ""cache-control"": ""proxy-revalidate, public, s-maxage=600"", ""etag"": ""W/\""ec9ac7440341609bbb73c7181e2d0efd\"""", ""x-strata-cache-tags"": ""global,homepage,blogListing,pressReleasesListing,eventsListing,newsListing,ecosystemsLandingPage,blogPosts,newsArticles,pressReleases,members"", ""x-frontend-content"": ""PUBLISHED"", ""vary"": ""Origin, Accept-Encoding"", ""x-backend"": ""sf-frontend"", ""x-request-id"": ""80e7bf4b9d3cb380"", ""strict-transport-security"": ""max-age=15552000; includeSubdomains; preload"", ""content-security-policy"": ""frame-ancestors 'self' https://cms.w3.org/; upgrade-insecure-requests"", ""cf-cache-status"": ""HIT"", ""age"": ""25"", ""set-cookie"": ""__cf_bm=_vaYSPPH88Ya5PCFB7ij65pYH6KQKZ1bwY_C1A9xKzo-1696027770-0-AVoV6DZ7gtr20mtCSaN0rA5ejbxcOSbgUtwUFNmJ5rayA4bTv7QPsEvYx/VDwXhcxcIGH/UA1h9bKodnKbdjdoY=; path=/; expires=Fri, 29-Sep-23 23:19:30 GMT; domain=.w3.org; HttpOnly; Secure; SameSite=None"", ""server"": ""cloudflare"", ""cf-ray"": ""80e7c79e9a28b951-AMS"", ""content-encoding"": ""br"", ""alt-svc"": ""h3=\"":443\""; ma=86400""}"
8,"GET / HTTP/1.1
Host: www.w3.org
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,424,HTTP/1.1,0.16228699684143066,0.10561442375183105,0.045923709869384766,200,OK,[''],20,20,266,"{""date"": ""Fri, 29 Sep 2023 22:49:33 GMT"", ""content-type"": ""text/html; charset=UTF-8"", ""transfer-encoding"": ""chunked"", ""connection"": ""keep-alive"", ""cache-control"": ""proxy-revalidate, public, s-maxage=600"", ""etag"": ""W/\""263a124d411dc357daa55c22101f1ece\"""", ""x-strata-cache-tags"": ""global,homepage,blogListing,pressReleasesListing,eventsListing,newsListing,ecosystemsLandingPage,blogPosts,newsArticles,pressReleases,members"", ""x-frontend-content"": ""PUBLISHED"", ""vary"": ""Origin, Accept-Encoding"", ""x-backend"": ""sf-frontend"", ""x-request-id"": ""80e7b0794e09f9ce"", ""strict-transport-security"": ""max-age=15552000; includeSubdomains; preload"", ""content-security-policy"": ""frame-ancestors 'self' https://cms.w3.org/; upgrade-insecure-requests"", ""cf-cache-status"": ""HIT"", ""age"": ""483"", ""set-cookie"": ""__cf_bm=zr5aJa9OvfSmHGzkhoCsanTBqGqGzFkTvy.weEG1ZYw-1696027773-0-AXTCyqBYnHL75Wb7wZ3ufX4qLsAKMBsQ8142WJ3CWPgbv0PIJtXfQ6AY0+GWeMWAdNoTOr/lHoeKdksxv9I10YE=; path=/; expires=Fri, 29-Sep-23 23:19:33 GMT; domain=.w3.org; HttpOnly; Secure; SameSite=None"", ""server"": ""cloudflare"", ""cf-ray"": ""80e7c7ad39f90c39-AMS"", ""content-encoding"": ""br"", ""alt-svc"": ""h3=\"":443\""; ma=86400""}"
9,"GET / HTTP/1.1
Host: www.w3.org
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,424,HTTP/1.1,0.1748340129852295,0.12543702125549316,0.04656815528869629,200,OK,[''],20,20,266,"{""date"": ""Fri, 29 Sep 2023 22:49:36 GMT"", ""content-type"": ""text/html; charset=UTF-8"", ""transfer-encoding"": ""chunked"", ""connection"": ""keep-alive"", ""cache-control"": ""proxy-revalidate, public, s-maxage=600"", ""etag"": ""W/\""263a124d411dc357daa55c22101f1ece\"""", ""x-strata-cache-tags"": ""global,homepage,blogListing,pressReleasesListing,eventsListing,newsListing,ecosystemsLandingPage,blogPosts,newsArticles,pressReleases,members"", ""x-frontend-content"": ""PUBLISHED"", ""vary"": ""Origin, Accept-Encoding"", ""x-backend"": ""sf-frontend"", ""x-request-id"": ""80e7b0794e09f9ce"", ""strict-transport-security"": ""max-age=15552000; includeSubdomains; preload"", ""content-security-policy"": ""frame-ancestors 'self' https://cms.w3.org/; upgrade-insecure-requests"", ""cf-cache-status"": ""HIT"", ""age"": ""486"", ""set-cookie"": ""__cf_bm=.xYLInL4vGnc63s9noW0b5dZmAQ6xLNaHJ7YAb0P0LA-1696027776-0-ASLtkdahjIxOTr7dcHkKOvy9F4ptp77atZrnEh4T+aFV4N5YJSewI1y8hhUJyjEWp86P2L7YvExab1/QG0oNzBQ=; path=/; expires=Fri, 29-Sep-23 23:19:36 GMT; domain=.w3.org; HttpOnly; Secure; SameSite=None"", ""server"": ""cloudflare"", ""cf-ray"": ""80e7c7bffd9f0ba4-AMS"", ""content-encoding"": ""br"", ""alt-svc"": ""h3=\"":443\""; ma=86400""}"
