number,request,deviation_count,uri,request_length,http_version,Socket_Connect_Time,Socket_Close_Time,Response_Time,status_code,reason_phrase,error_message,response_header_count,response_header_length,response_body_length,response_header_fields
0,"GET / HTTP/1.1
Host: www.baidu.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,427,HTTP/1.1,0.9801108837127686,0.1713247299194336,0.3170754909515381,200,OK,[''],9,9,0,"{""connection"": ""keep-alive"", ""content-encoding"": ""gzip"", ""content-security-policy"": ""frame-ancestors 'self' https://chat.baidu.com http://mirror-chat.baidu.com https://fj-chat.baidu.com https://hba-chat.baidu.com https://hbe-chat.baidu.com https://njjs-chat.baidu.com https://nj-chat.baidu.com https://hna-chat.baidu.com https://hnb-chat.baidu.com http://debug.baidu-int.com;"", ""content-type"": ""text/html; charset=utf-8"", ""date"": ""Fri, 29 Sep 2023 22:49:38 GMT"", ""p3p"": ""CP=\"" OTI DSP COR IVA OUR IND COM \"""", ""server"": ""BWS/1.1"", ""set-cookie"": ""BAIDUID=A0F562C99F9290740C0DC6B9C959A810:FG=1; max-age=31536000; expires=Sat, 28-Sep-24 22:49:38 GMT; domain=.baidu.com; path=/; version=1; comment=bd"", ""traceid"": ""1696027778085861863418394976300315695651""}"
1,"GET / HTTP/1.1
Host: www.baidu.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,427,HTTP/1.1,0.9404830932617188,0.10696291923522949,0.340259313583374,200,OK,[''],9,9,0,"{""connection"": ""keep-alive"", ""content-encoding"": ""gzip"", ""content-security-policy"": ""frame-ancestors 'self' https://chat.baidu.com http://mirror-chat.baidu.com https://fj-chat.baidu.com https://hba-chat.baidu.com https://hbe-chat.baidu.com https://njjs-chat.baidu.com https://nj-chat.baidu.com https://hna-chat.baidu.com https://hnb-chat.baidu.com http://debug.baidu-int.com;"", ""content-type"": ""text/html; charset=utf-8"", ""date"": ""Fri, 29 Sep 2023 22:49:42 GMT"", ""p3p"": ""CP=\"" OTI DSP COR IVA OUR IND COM \"""", ""server"": ""BWS/1.1"", ""set-cookie"": ""BAIDUID=6AACA3BE0E194A19F42243B971BA45F7:FG=1; max-age=31536000; expires=Sat, 28-Sep-24 22:49:42 GMT; domain=.baidu.com; path=/; version=1; comment=bd"", ""traceid"": ""1696027782059667073010433425952347995926""}"
2,"GET / HTTP/1.1
Host: www.baidu.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,427,HTTP/1.1,0.9670491218566895,0.10759115219116211,0.3162567615509033,200,OK,[''],9,9,0,"{""connection"": ""keep-alive"", ""content-encoding"": ""gzip"", ""content-security-policy"": ""frame-ancestors 'self' https://chat.baidu.com http://mirror-chat.baidu.com https://fj-chat.baidu.com https://hba-chat.baidu.com https://hbe-chat.baidu.com https://njjs-chat.baidu.com https://nj-chat.baidu.com https://hna-chat.baidu.com https://hnb-chat.baidu.com http://debug.baidu-int.com;"", ""content-type"": ""text/html; charset=utf-8"", ""date"": ""Fri, 29 Sep 2023 22:49:47 GMT"", ""p3p"": ""CP=\"" OTI DSP COR IVA OUR IND COM \"""", ""server"": ""BWS/1.1"", ""set-cookie"": ""BAIDUID=467561E0212B5E4C0ACA11CE225E2E53:FG=1; max-age=31536000; expires=Sat, 28-Sep-24 22:49:47 GMT; domain=.baidu.com; path=/; version=1; comment=bd"", ""traceid"": ""1696027787066345191412907347159455953150""}"
3,"GET / HTTP/1.1
Host: www.baidu.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,427,HTTP/1.1,0.9400994777679443,0.1147148609161377,0.33284497261047363,200,OK,[''],9,9,0,"{""connection"": ""keep-alive"", ""content-encoding"": ""gzip"", ""content-security-policy"": ""frame-ancestors 'self' https://chat.baidu.com http://mirror-chat.baidu.com https://fj-chat.baidu.com https://hba-chat.baidu.com https://hbe-chat.baidu.com https://njjs-chat.baidu.com https://nj-chat.baidu.com https://hna-chat.baidu.com https://hnb-chat.baidu.com http://debug.baidu-int.com;"", ""content-type"": ""text/html; charset=utf-8"", ""date"": ""Fri, 29 Sep 2023 22:49:51 GMT"", ""p3p"": ""CP=\"" OTI DSP COR IVA OUR IND COM \"""", ""server"": ""BWS/1.1"", ""set-cookie"": ""BAIDUID=8F51AAC912FB3C716CCE079200345AE4:FG=1; max-age=31536000; expires=Sat, 28-Sep-24 22:49:51 GMT; domain=.baidu.com; path=/; version=1; comment=bd"", ""traceid"": ""1696027791057340596210651436121471498644""}"
4,"GET / HTTP/1.1
Host: www.baidu.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,427,HTTP/1.1,0.9769542217254639,0.11828351020812988,0.2871668338775635,200,OK,[''],9,9,0,"{""connection"": ""keep-alive"", ""content-encoding"": ""gzip"", ""content-security-policy"": ""frame-ancestors 'self' https://chat.baidu.com http://mirror-chat.baidu.com https://fj-chat.baidu.com https://hba-chat.baidu.com https://hbe-chat.baidu.com https://njjs-chat.baidu.com https://nj-chat.baidu.com https://hna-chat.baidu.com https://hnb-chat.baidu.com http://debug.baidu-int.com;"", ""content-type"": ""text/html; charset=utf-8"", ""date"": ""Fri, 29 Sep 2023 22:49:55 GMT"", ""p3p"": ""CP=\"" OTI DSP COR IVA OUR IND COM \"""", ""server"": ""BWS/1.1"", ""set-cookie"": ""BAIDUID=B2362A6C21EEA8FFF32F00C2DAC79B8D:FG=1; max-age=31536000; expires=Sat, 28-Sep-24 22:49:55 GMT; domain=.baidu.com; path=/; version=1; comment=bd"", ""traceid"": ""1696027795076457396210441112711152479398""}"
5,"GET / HTTP/1.1
Host: www.baidu.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,427,HTTP/1.1,0.9354085922241211,0.11262059211730957,0.34418201446533203,200,OK,[''],9,9,0,"{""connection"": ""keep-alive"", ""content-encoding"": ""gzip"", ""content-security-policy"": ""frame-ancestors 'self' https://chat.baidu.com http://mirror-chat.baidu.com https://fj-chat.baidu.com https://hba-chat.baidu.com https://hbe-chat.baidu.com https://njjs-chat.baidu.com https://nj-chat.baidu.com https://hna-chat.baidu.com https://hnb-chat.baidu.com http://debug.baidu-int.com;"", ""content-type"": ""text/html; charset=utf-8"", ""date"": ""Fri, 29 Sep 2023 22:49:59 GMT"", ""p3p"": ""CP=\"" OTI DSP COR IVA OUR IND COM \"""", ""server"": ""BWS/1.1"", ""set-cookie"": ""BAIDUID=61FF76A5E5E1E8D311B50B034760A8F5:FG=1; max-age=31536000; expires=Sat, 28-Sep-24 22:49:59 GMT; domain=.baidu.com; path=/; version=1; comment=bd"", ""traceid"": ""1696027799079150977011605750564419991719""}"
6,"GET / HTTP/1.1
Host: www.baidu.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,427,HTTP/1.1,0.9852261543273926,0.11161160469055176,0.29873037338256836,200,OK,[''],9,9,0,"{""connection"": ""keep-alive"", ""content-encoding"": ""gzip"", ""content-security-policy"": ""frame-ancestors 'self' https://chat.baidu.com http://mirror-chat.baidu.com https://fj-chat.baidu.com https://hba-chat.baidu.com https://hbe-chat.baidu.com https://njjs-chat.baidu.com https://nj-chat.baidu.com https://hna-chat.baidu.com https://hnb-chat.baidu.com http://debug.baidu-int.com;"", ""content-type"": ""text/html; charset=utf-8"", ""date"": ""Fri, 29 Sep 2023 22:50:04 GMT"", ""p3p"": ""CP=\"" OTI DSP COR IVA OUR IND COM \"""", ""server"": ""BWS/1.1"", ""set-cookie"": ""BAIDUID=3D9A7BA9A2971BC9F98B6A0F6550C42B:FG=1; max-age=31536000; expires=Sat, 28-Sep-24 22:50:04 GMT; domain=.baidu.com; path=/; version=1; comment=bd"", ""traceid"": ""1696027804033852493812562848077457837176""}"
7,"GET / HTTP/1.1
Host: www.baidu.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,427,HTTP/1.1,0.9159200191497803,0.1109766960144043,0.35461950302124023,200,OK,[''],9,9,0,"{""connection"": ""keep-alive"", ""content-encoding"": ""gzip"", ""content-security-policy"": ""frame-ancestors 'self' https://chat.baidu.com http://mirror-chat.baidu.com https://fj-chat.baidu.com https://hba-chat.baidu.com https://hbe-chat.baidu.com https://njjs-chat.baidu.com https://nj-chat.baidu.com https://hna-chat.baidu.com https://hnb-chat.baidu.com http://debug.baidu-int.com;"", ""content-type"": ""text/html; charset=utf-8"", ""date"": ""Fri, 29 Sep 2023 22:50:08 GMT"", ""p3p"": ""CP=\"" OTI DSP COR IVA OUR IND COM \"""", ""server"": ""BWS/1.1"", ""set-cookie"": ""BAIDUID=FBF4277DB7BC73156CB250441C55D622:FG=1; max-age=31536000; expires=Sat, 28-Sep-24 22:50:08 GMT; domain=.baidu.com; path=/; version=1; comment=bd"", ""traceid"": ""1696027808046225639417443940467896750256""}"
8,"GET / HTTP/1.1
Host: www.baidu.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,427,HTTP/1.1,1.0287284851074219,0.11148595809936523,0.3316683769226074,200,OK,[''],9,9,0,"{""connection"": ""keep-alive"", ""content-encoding"": ""gzip"", ""content-security-policy"": ""frame-ancestors 'self' https://chat.baidu.com http://mirror-chat.baidu.com https://fj-chat.baidu.com https://hba-chat.baidu.com https://hbe-chat.baidu.com https://njjs-chat.baidu.com https://nj-chat.baidu.com https://hna-chat.baidu.com https://hnb-chat.baidu.com http://debug.baidu-int.com;"", ""content-type"": ""text/html; charset=utf-8"", ""date"": ""Fri, 29 Sep 2023 22:50:13 GMT"", ""p3p"": ""CP=\"" OTI DSP COR IVA OUR IND COM \"""", ""server"": ""BWS/1.1"", ""set-cookie"": ""BAIDUID=2F351C09F5B31D1D4BFCF5D9A8E138A1:FG=1; max-age=31536000; expires=Sat, 28-Sep-24 22:50:13 GMT; domain=.baidu.com; path=/; version=1; comment=bd"", ""traceid"": ""1696027813061364455410189893343795046858""}"
9,"GET / HTTP/1.1
Host: www.baidu.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,427,HTTP/1.1,0.9756824970245361,0.12280130386352539,0.29665207862854004,200,OK,[''],9,9,0,"{""connection"": ""keep-alive"", ""content-encoding"": ""gzip"", ""content-security-policy"": ""frame-ancestors 'self' https://chat.baidu.com http://mirror-chat.baidu.com https://fj-chat.baidu.com https://hba-chat.baidu.com https://hbe-chat.baidu.com https://njjs-chat.baidu.com https://nj-chat.baidu.com https://hna-chat.baidu.com https://hnb-chat.baidu.com http://debug.baidu-int.com;"", ""content-type"": ""text/html; charset=utf-8"", ""date"": ""Fri, 29 Sep 2023 22:50:17 GMT"", ""p3p"": ""CP=\"" OTI DSP COR IVA OUR IND COM \"""", ""server"": ""BWS/1.1"", ""set-cookie"": ""BAIDUID=9FE0D2470CEDA5EDF90A9ED152431517:FG=1; max-age=31536000; expires=Sat, 28-Sep-24 22:50:17 GMT; domain=.baidu.com; path=/; version=1; comment=bd"", ""traceid"": ""1696027817068075341815634216337999131353""}"
