number,request,deviation_count,uri,request_length,http_version,Socket_Connect_Time,Socket_Close_Time,Response_Time,status_code,reason_phrase,error_message,response_header_count,response_header_length,response_body_length,response_header_fields
0,"GET / HTTP/1.1
Host: www.stanford.edu
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,430,HTTP/1.1,0.15400004386901855,0.10668468475341797,0.3479936122894287,200,OK,[''],20,20,0,"{""connection"": ""keep-alive"", ""content-length"": ""28939"", ""cache-control"": ""public, max-age=600"", ""content-encoding"": ""gzip"", ""content-type"": ""text/html; charset=UTF-8"", ""link"": ""<https://www.stanford.edu/>; rel=shortlink"", ""server"": ""nginx"", ""strict-transport-security"": ""max-age=300"", ""x-frame-options"": ""SAMEORIGIN"", ""x-pantheon-styx-hostname"": ""styx-fe1-b-68df99c475-p6zzf"", ""x-styx-req-id"": ""06ad7a90-5f1a-11ee-bace-061869a138af"", ""age"": ""245"", ""accept-ranges"": ""bytes"", ""via"": ""1.1 varnish, 1.1 varnish, 1.1 varnish"", ""date"": ""Fri, 29 Sep 2023 22:50:33 GMT"", ""x-served-by"": ""cache-chi-kigq8000027-CHI, cache-chi-klot8100098-CHI, cache-ams21025-AMS"", ""x-cache"": ""HIT, MISS, MISS"", ""x-cache-hits"": ""199, 0, 0"", ""x-timer"": ""S1696027834.508833,VS0,VE318"", ""vary"": ""Accept-Encoding, Cookie""}"
1,"GET / HTTP/1.1
Host: www.stanford.edu
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,430,HTTP/1.1,0.28626322746276855,0.12849140167236328,0.32120847702026367,200,OK,[''],20,20,0,"{""connection"": ""keep-alive"", ""content-length"": ""28939"", ""cache-control"": ""public, max-age=600"", ""content-encoding"": ""gzip"", ""content-type"": ""text/html; charset=UTF-8"", ""link"": ""<https://www.stanford.edu/>; rel=shortlink"", ""server"": ""nginx"", ""strict-transport-security"": ""max-age=300"", ""x-frame-options"": ""SAMEORIGIN"", ""x-pantheon-styx-hostname"": ""styx-fe1-b-68df99c475-p6zzf"", ""x-styx-req-id"": ""06ad7a90-5f1a-11ee-bace-061869a138af"", ""age"": ""249"", ""accept-ranges"": ""bytes"", ""via"": ""1.1 varnish, 1.1 varnish, 1.1 varnish"", ""date"": ""Fri, 29 Sep 2023 22:50:37 GMT"", ""x-served-by"": ""cache-chi-kigq8000027-CHI, cache-chi-klot8100052-CHI, cache-ams21036-AMS"", ""x-cache"": ""HIT, MISS, MISS"", ""x-cache-hits"": ""204, 0, 0"", ""x-timer"": ""S1696027837.866502,VS0,VE294"", ""vary"": ""Accept-Encoding, Cookie""}"
2,"GET / HTTP/1.1
Host: www.stanford.edu
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,430,HTTP/1.1,0.20061397552490234,0.10680747032165527,0.13996124267578125,200,OK,[''],20,20,0,"{""connection"": ""keep-alive"", ""content-length"": ""28939"", ""cache-control"": ""public, max-age=600"", ""content-encoding"": ""gzip"", ""content-type"": ""text/html; charset=UTF-8"", ""link"": ""<https://www.stanford.edu/>; rel=shortlink"", ""server"": ""nginx"", ""strict-transport-security"": ""max-age=300"", ""x-frame-options"": ""SAMEORIGIN"", ""x-pantheon-styx-hostname"": ""styx-fe1-b-68df99c475-p6zzf"", ""x-styx-req-id"": ""06ad7a90-5f1a-11ee-bace-061869a138af"", ""age"": ""252"", ""accept-ranges"": ""bytes"", ""via"": ""1.1 varnish, 1.1 varnish, 1.1 varnish"", ""date"": ""Fri, 29 Sep 2023 22:50:40 GMT"", ""x-served-by"": ""cache-chi-kigq8000027-CHI, cache-chi-kigq8000149-CHI, cache-ams21038-AMS"", ""x-cache"": ""HIT, MISS, MISS"", ""x-cache-hits"": ""205, 0, 0"", ""x-timer"": ""S1696027840.124013,VS0,VE97"", ""vary"": ""Accept-Encoding, Cookie""}"
3,"GET / HTTP/1.1
Host: www.stanford.edu
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,430,HTTP/1.1,0.19746685028076172,0.11245322227478027,0.1769702434539795,200,OK,[''],20,20,0,"{""connection"": ""keep-alive"", ""content-length"": ""28939"", ""cache-control"": ""public, max-age=600"", ""content-encoding"": ""gzip"", ""content-type"": ""text/html; charset=UTF-8"", ""link"": ""<https://www.stanford.edu/>; rel=shortlink"", ""server"": ""nginx"", ""strict-transport-security"": ""max-age=300"", ""x-frame-options"": ""SAMEORIGIN"", ""x-pantheon-styx-hostname"": ""styx-fe1-b-68df99c475-p6zzf"", ""x-styx-req-id"": ""06ad7a90-5f1a-11ee-bace-061869a138af"", ""age"": ""255"", ""accept-ranges"": ""bytes"", ""via"": ""1.1 varnish, 1.1 varnish, 1.1 varnish"", ""date"": ""Fri, 29 Sep 2023 22:50:43 GMT"", ""x-served-by"": ""cache-chi-kigq8000027-CHI, cache-chi-kigq8000055-CHI, cache-ams21051-AMS"", ""x-cache"": ""HIT, MISS, MISS"", ""x-cache-hits"": ""209, 0, 0"", ""x-timer"": ""S1696027843.272476,VS0,VE143"", ""vary"": ""Accept-Encoding, Cookie""}"
4,"GET / HTTP/1.1
Host: www.stanford.edu
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,430,HTTP/1.1,0.19280385971069336,0.11139035224914551,0.5880370140075684,200,OK,[''],20,20,0,"{""connection"": ""keep-alive"", ""content-length"": ""28939"", ""cache-control"": ""public, max-age=600"", ""content-encoding"": ""gzip"", ""content-type"": ""text/html; charset=UTF-8"", ""link"": ""<https://www.stanford.edu/>; rel=shortlink"", ""server"": ""nginx"", ""strict-transport-security"": ""max-age=300"", ""x-frame-options"": ""SAMEORIGIN"", ""x-pantheon-styx-hostname"": ""styx-fe1-b-68df99c475-p6zzf"", ""x-styx-req-id"": ""06ad7a90-5f1a-11ee-bace-061869a138af"", ""age"": ""259"", ""accept-ranges"": ""bytes"", ""via"": ""1.1 varnish, 1.1 varnish, 1.1 varnish"", ""date"": ""Fri, 29 Sep 2023 22:50:47 GMT"", ""x-served-by"": ""cache-chi-kigq8000027-CHI, cache-chi-klot8100025-CHI, cache-ams21067-AMS"", ""x-cache"": ""HIT, MISS, MISS"", ""x-cache-hits"": ""212, 0, 0"", ""x-timer"": ""S1696027847.760481,VS0,VE452"", ""vary"": ""Accept-Encoding, Cookie""}"
5,"GET / HTTP/1.1
Host: www.stanford.edu
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,430,HTTP/1.1,0.27255940437316895,0.10665082931518555,0.29712605476379395,200,OK,[''],20,20,0,"{""connection"": ""keep-alive"", ""content-length"": ""28939"", ""cache-control"": ""public, max-age=600"", ""content-encoding"": ""gzip"", ""content-type"": ""text/html; charset=UTF-8"", ""link"": ""<https://www.stanford.edu/>; rel=shortlink"", ""server"": ""nginx"", ""strict-transport-security"": ""max-age=300"", ""x-frame-options"": ""SAMEORIGIN"", ""x-pantheon-styx-hostname"": ""styx-fe1-b-68df99c475-p6zzf"", ""x-styx-req-id"": ""06ad7a90-5f1a-11ee-bace-061869a138af"", ""age"": ""263"", ""accept-ranges"": ""bytes"", ""via"": ""1.1 varnish, 1.1 varnish, 1.1 varnish"", ""date"": ""Fri, 29 Sep 2023 22:50:51 GMT"", ""x-served-by"": ""cache-chi-kigq8000027-CHI, cache-chi-klot8100109-CHI, cache-ams21058-AMS"", ""x-cache"": ""HIT, MISS, MISS"", ""x-cache-hits"": ""214, 0, 0"", ""x-timer"": ""S1696027851.247165,VS0,VE116"", ""vary"": ""Accept-Encoding, Cookie""}"
6,"GET / HTTP/1.1
Host: www.stanford.edu
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,430,HTTP/1.1,1.3477938175201416,0.11846661567687988,0.1536409854888916,200,OK,[''],20,20,0,"{""connection"": ""keep-alive"", ""content-length"": ""28939"", ""cache-control"": ""public, max-age=600"", ""content-encoding"": ""gzip"", ""content-type"": ""text/html; charset=UTF-8"", ""link"": ""<https://www.stanford.edu/>; rel=shortlink"", ""server"": ""nginx"", ""strict-transport-security"": ""max-age=300"", ""x-frame-options"": ""SAMEORIGIN"", ""x-pantheon-styx-hostname"": ""styx-fe1-b-68df99c475-p6zzf"", ""x-styx-req-id"": ""06ad7a90-5f1a-11ee-bace-061869a138af"", ""age"": ""268"", ""accept-ranges"": ""bytes"", ""via"": ""1.1 varnish, 1.1 varnish, 1.1 varnish"", ""date"": ""Fri, 29 Sep 2023 22:50:55 GMT"", ""x-served-by"": ""cache-chi-kigq8000027-CHI, cache-chi-kigq8000063-CHI, cache-ams21066-AMS"", ""x-cache"": ""HIT, MISS, MISS"", ""x-cache-hits"": ""215, 0, 0"", ""x-timer"": ""S1696027856.795041,VS0,VE122"", ""vary"": ""Accept-Encoding, Cookie""}"
7,"GET / HTTP/1.1
Host: www.stanford.edu
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,430,HTTP/1.1,0.18458104133605957,0.11142683029174805,0.33817434310913086,200,OK,[''],20,20,0,"{""connection"": ""keep-alive"", ""content-length"": ""28939"", ""cache-control"": ""public, max-age=600"", ""content-encoding"": ""gzip"", ""content-type"": ""text/html; charset=UTF-8"", ""link"": ""<https://www.stanford.edu/>; rel=shortlink"", ""server"": ""nginx"", ""strict-transport-security"": ""max-age=300"", ""x-frame-options"": ""SAMEORIGIN"", ""x-pantheon-styx-hostname"": ""styx-fe1-b-68df99c475-p6zzf"", ""x-styx-req-id"": ""06ad7a90-5f1a-11ee-bace-061869a138af"", ""age"": ""271"", ""accept-ranges"": ""bytes"", ""via"": ""1.1 varnish, 1.1 varnish, 1.1 varnish"", ""date"": ""Fri, 29 Sep 2023 22:50:59 GMT"", ""x-served-by"": ""cache-chi-kigq8000027-CHI, cache-chi-klot8100125-CHI, cache-ams21083-AMS"", ""x-cache"": ""HIT, MISS, MISS"", ""x-cache-hits"": ""222, 0, 0"", ""x-timer"": ""S1696027859.424117,VS0,VE298"", ""vary"": ""Accept-Encoding, Cookie""}"
8,"GET / HTTP/1.1
Host: www.stanford.edu
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,430,HTTP/1.1,0.202012300491333,0.1078639030456543,0.1300220489501953,200,OK,[''],20,20,0,"{""connection"": ""keep-alive"", ""content-length"": ""28939"", ""cache-control"": ""public, max-age=600"", ""content-encoding"": ""gzip"", ""content-type"": ""text/html; charset=UTF-8"", ""link"": ""<https://www.stanford.edu/>; rel=shortlink"", ""server"": ""nginx"", ""strict-transport-security"": ""max-age=300"", ""x-frame-options"": ""SAMEORIGIN"", ""x-pantheon-styx-hostname"": ""styx-fe1-b-68df99c475-p6zzf"", ""x-styx-req-id"": ""06ad7a90-5f1a-11ee-bace-061869a138af"", ""age"": ""275"", ""accept-ranges"": ""bytes"", ""via"": ""1.1 varnish, 1.1 varnish, 1.1 varnish"", ""date"": ""Fri, 29 Sep 2023 22:51:03 GMT"", ""x-served-by"": ""cache-chi-kigq8000027-CHI, cache-chi-klot8100044-CHI, cache-ams21082-AMS"", ""x-cache"": ""HIT, MISS, MISS"", ""x-cache-hits"": ""225, 0, 0"", ""x-timer"": ""S1696027863.214308,VS0,VE100"", ""vary"": ""Accept-Encoding, Cookie""}"
9,"GET / HTTP/1.1
Host: www.stanford.edu
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,430,HTTP/1.1,1.2847959995269775,0.10881376266479492,0.1345665454864502,200,OK,[''],20,20,0,"{""connection"": ""keep-alive"", ""content-length"": ""28939"", ""cache-control"": ""public, max-age=600"", ""content-encoding"": ""gzip"", ""content-type"": ""text/html; charset=UTF-8"", ""link"": ""<https://www.stanford.edu/>; rel=shortlink"", ""server"": ""nginx"", ""strict-transport-security"": ""max-age=300"", ""x-frame-options"": ""SAMEORIGIN"", ""x-pantheon-styx-hostname"": ""styx-fe1-b-68df99c475-p6zzf"", ""x-styx-req-id"": ""06ad7a90-5f1a-11ee-bace-061869a138af"", ""age"": ""279"", ""accept-ranges"": ""bytes"", ""via"": ""1.1 varnish, 1.1 varnish, 1.1 varnish"", ""date"": ""Fri, 29 Sep 2023 22:51:07 GMT"", ""x-served-by"": ""cache-chi-kigq8000027-CHI, cache-chi-kigq8000141-CHI, cache-ams21079-AMS"", ""x-cache"": ""HIT, MISS, MISS"", ""x-cache-hits"": ""230, 0, 0"", ""x-timer"": ""S1696027867.384148,VS0,VE97"", ""vary"": ""Accept-Encoding, Cookie""}"
