number,request,deviation_count,uri,request_length,http_version,Socket_Connect_Time,Socket_Close_Time,Response_Time,status_code,reason_phrase,error_message,response_header_count,response_header_length,response_body_length,response_header_fields
0,"GET / HTTP/1.1
Host: www.addtoany.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,430,HTTP/1.1,0.33188438415527344,0.10915470123291016,0.13893961906433105,200,OK,[''],16,16,794,"{""date"": ""Fri, 29 Sep 2023 22:50:45 GMT"", ""content-type"": ""text/html; charset=utf-8"", ""transfer-encoding"": ""chunked"", ""connection"": ""keep-alive"", ""link"": ""</css/main.17.min.css>; rel=preload; as=style"", ""vary"": ""Accept-Encoding"", ""via"": ""e7s"", ""last-modified"": ""Fri, 29 Sep 2023 17:39:32 GMT"", ""cf-cache-status"": ""HIT"", ""age"": ""11332"", ""strict-transport-security"": ""max-age=31536000; includeSubDomains; preload"", ""x-content-type-options"": ""nosniff"", ""server"": ""cloudflare"", ""cf-ray"": ""80e7c9751cce0ea7-AMS"", ""content-encoding"": ""br"", ""alt-svc"": ""h3=\"":443\""; ma=86400""}"
1,"GET / HTTP/1.1
Host: www.addtoany.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,430,HTTP/1.1,0.1732158660888672,0.11081314086914062,0.048383235931396484,200,OK,[''],16,16,794,"{""date"": ""Fri, 29 Sep 2023 22:50:49 GMT"", ""content-type"": ""text/html; charset=utf-8"", ""transfer-encoding"": ""chunked"", ""connection"": ""keep-alive"", ""link"": ""</css/main.17.min.css>; rel=preload; as=style"", ""vary"": ""Accept-Encoding"", ""via"": ""e7s"", ""last-modified"": ""Fri, 29 Sep 2023 17:39:32 GMT"", ""cf-cache-status"": ""HIT"", ""age"": ""12870"", ""strict-transport-security"": ""max-age=31536000; includeSubDomains; preload"", ""x-content-type-options"": ""nosniff"", ""server"": ""cloudflare"", ""cf-ray"": ""80e7c9891df9b8fa-AMS"", ""content-encoding"": ""br"", ""alt-svc"": ""h3=\"":443\""; ma=86400""}"
2,"GET / HTTP/1.1
Host: www.addtoany.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,430,HTTP/1.1,0.11592388153076172,0.17376422882080078,0.04060077667236328,200,OK,[''],16,16,794,"{""date"": ""Fri, 29 Sep 2023 22:50:52 GMT"", ""content-type"": ""text/html; charset=utf-8"", ""transfer-encoding"": ""chunked"", ""connection"": ""keep-alive"", ""link"": ""</css/main.17.min.css>; rel=preload; as=style"", ""vary"": ""Accept-Encoding"", ""via"": ""e7s"", ""last-modified"": ""Fri, 29 Sep 2023 17:39:32 GMT"", ""cf-cache-status"": ""HIT"", ""age"": ""11339"", ""strict-transport-security"": ""max-age=31536000; includeSubDomains; preload"", ""x-content-type-options"": ""nosniff"", ""server"": ""cloudflare"", ""cf-ray"": ""80e7c99c9ab70e58-AMS"", ""content-encoding"": ""br"", ""alt-svc"": ""h3=\"":443\""; ma=86400""}"
3,"GET / HTTP/1.1
Host: www.addtoany.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,430,HTTP/1.1,0.20238304138183594,0.10922002792358398,0.049086809158325195,200,OK,[''],16,16,794,"{""date"": ""Fri, 29 Sep 2023 22:50:55 GMT"", ""content-type"": ""text/html; charset=utf-8"", ""transfer-encoding"": ""chunked"", ""connection"": ""keep-alive"", ""link"": ""</css/main.17.min.css>; rel=preload; as=style"", ""vary"": ""Accept-Encoding"", ""via"": ""e7s"", ""last-modified"": ""Fri, 29 Sep 2023 17:39:32 GMT"", ""cf-cache-status"": ""HIT"", ""age"": ""12850"", ""strict-transport-security"": ""max-age=31536000; includeSubDomains; preload"", ""x-content-type-options"": ""nosniff"", ""server"": ""cloudflare"", ""cf-ray"": ""80e7c9b11f1db79c-AMS"", ""content-encoding"": ""br"", ""alt-svc"": ""h3=\"":443\""; ma=86400""}"
4,"GET / HTTP/1.1
Host: www.addtoany.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,430,HTTP/1.1,0.25312304496765137,0.13922953605651855,0.0396730899810791,200,OK,[''],16,16,794,"{""date"": ""Fri, 29 Sep 2023 22:50:58 GMT"", ""content-type"": ""text/html; charset=utf-8"", ""transfer-encoding"": ""chunked"", ""connection"": ""keep-alive"", ""link"": ""</css/main.17.min.css>; rel=preload; as=style"", ""vary"": ""Accept-Encoding"", ""via"": ""e7s"", ""last-modified"": ""Fri, 29 Sep 2023 17:39:32 GMT"", ""cf-cache-status"": ""HIT"", ""age"": ""12879"", ""strict-transport-security"": ""max-age=31536000; includeSubDomains; preload"", ""x-content-type-options"": ""nosniff"", ""server"": ""cloudflare"", ""cf-ray"": ""80e7c9c4edd5b963-AMS"", ""content-encoding"": ""br"", ""alt-svc"": ""h3=\"":443\""; ma=86400""}"
5,"GET / HTTP/1.1
Host: www.addtoany.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,430,HTTP/1.1,0.17884325981140137,0.11158609390258789,0.061833858489990234,200,OK,[''],16,16,794,"{""date"": ""Fri, 29 Sep 2023 22:51:01 GMT"", ""content-type"": ""text/html; charset=utf-8"", ""transfer-encoding"": ""chunked"", ""connection"": ""keep-alive"", ""link"": ""</css/main.17.min.css>; rel=preload; as=style"", ""vary"": ""Accept-Encoding"", ""via"": ""e7s"", ""last-modified"": ""Fri, 29 Sep 2023 17:39:32 GMT"", ""cf-cache-status"": ""HIT"", ""age"": ""12856"", ""strict-transport-security"": ""max-age=31536000; includeSubDomains; preload"", ""x-content-type-options"": ""nosniff"", ""server"": ""cloudflare"", ""cf-ray"": ""80e7c9d7dbf0b776-AMS"", ""content-encoding"": ""br"", ""alt-svc"": ""h3=\"":443\""; ma=86400""}"
6,"GET / HTTP/1.1
Host: www.addtoany.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,430,HTTP/1.1,0.1968080997467041,0.12413716316223145,0.047240495681762695,200,OK,[''],16,16,794,"{""date"": ""Fri, 29 Sep 2023 22:51:04 GMT"", ""content-type"": ""text/html; charset=utf-8"", ""transfer-encoding"": ""chunked"", ""connection"": ""keep-alive"", ""link"": ""</css/main.17.min.css>; rel=preload; as=style"", ""vary"": ""Accept-Encoding"", ""via"": ""e7s"", ""last-modified"": ""Fri, 29 Sep 2023 17:39:32 GMT"", ""cf-cache-status"": ""HIT"", ""age"": ""11351"", ""strict-transport-security"": ""max-age=31536000; includeSubDomains; preload"", ""x-content-type-options"": ""nosniff"", ""server"": ""cloudflare"", ""cf-ray"": ""80e7c9eb2b940e6c-AMS"", ""content-encoding"": ""br"", ""alt-svc"": ""h3=\"":443\""; ma=86400""}"
7,"GET / HTTP/1.1
Host: www.addtoany.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,430,HTTP/1.1,0.27794528007507324,0.10692501068115234,0.15347623825073242,200,OK,[''],16,16,794,"{""date"": ""Fri, 29 Sep 2023 22:51:07 GMT"", ""content-type"": ""text/html; charset=utf-8"", ""transfer-encoding"": ""chunked"", ""connection"": ""keep-alive"", ""link"": ""</css/main.17.min.css>; rel=preload; as=style"", ""vary"": ""Accept-Encoding"", ""via"": ""e7s"", ""last-modified"": ""Fri, 29 Sep 2023 17:39:32 GMT"", ""cf-cache-status"": ""HIT"", ""age"": ""12862"", ""strict-transport-security"": ""max-age=31536000; includeSubDomains; preload"", ""x-content-type-options"": ""nosniff"", ""server"": ""cloudflare"", ""cf-ray"": ""80e7c9fecd01b6fb-AMS"", ""content-encoding"": ""br"", ""alt-svc"": ""h3=\"":443\""; ma=86400""}"
8,"GET / HTTP/1.1
Host: www.addtoany.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,430,HTTP/1.1,0.2353661060333252,0.11615872383117676,0.05585122108459473,200,OK,[''],16,16,794,"{""date"": ""Fri, 29 Sep 2023 22:51:11 GMT"", ""content-type"": ""text/html; charset=utf-8"", ""transfer-encoding"": ""chunked"", ""connection"": ""keep-alive"", ""link"": ""</css/main.17.min.css>; rel=preload; as=style"", ""vary"": ""Accept-Encoding"", ""via"": ""e7s"", ""last-modified"": ""Fri, 29 Sep 2023 17:39:32 GMT"", ""cf-cache-status"": ""HIT"", ""age"": ""12866"", ""strict-transport-security"": ""max-age=31536000; includeSubDomains; preload"", ""x-content-type-options"": ""nosniff"", ""server"": ""cloudflare"", ""cf-ray"": ""80e7ca141886b791-AMS"", ""content-encoding"": ""br"", ""alt-svc"": ""h3=\"":443\""; ma=86400""}"
9,"GET / HTTP/1.1
Host: www.addtoany.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,430,HTTP/1.1,0.2770349979400635,0.11159563064575195,0.04260611534118652,200,OK,[''],16,16,794,"{""date"": ""Fri, 29 Sep 2023 22:51:14 GMT"", ""content-type"": ""text/html; charset=utf-8"", ""transfer-encoding"": ""chunked"", ""connection"": ""keep-alive"", ""link"": ""</css/main.17.min.css>; rel=preload; as=style"", ""vary"": ""Accept-Encoding"", ""via"": ""e7s"", ""last-modified"": ""Fri, 29 Sep 2023 17:39:32 GMT"", ""cf-cache-status"": ""HIT"", ""age"": ""11361"", ""strict-transport-security"": ""max-age=31536000; includeSubDomains; preload"", ""x-content-type-options"": ""nosniff"", ""server"": ""cloudflare"", ""cf-ray"": ""80e7ca2808600e2f-AMS"", ""content-encoding"": ""br"", ""alt-svc"": ""h3=\"":443\""; ma=86400""}"
