number,request,deviation_count,uri,request_length,http_version,Socket_Connect_Time,Socket_Close_Time,Response_Time,status_code,reason_phrase,error_message,response_header_count,response_header_length,response_body_length,response_header_fields
0,"GET / HTTP/1.1
Host: www.sharethrough.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,434,HTTP/1.1,0.3372969627380371,0.11070394515991211,0.1105039119720459,200,OK,[''],16,16,15056,"{""date"": ""Fri, 29 Sep 2023 22:50:47 GMT"", ""content-type"": ""text/html"", ""content-length"": ""24121"", ""connection"": ""keep-alive"", ""x-frame-options"": ""SAMEORIGIN"", ""content-security-policy"": ""frame-ancestors 'self'"", ""x-lambda-id"": ""7de83fbc-c262-462c-824d-b15c8c79aa18"", ""content-encoding"": ""gzip"", ""accept-ranges"": ""bytes"", ""age"": ""7723"", ""x-served-by"": ""cache-iad-kcgs7200105-IAD, cache-dub4350-DUB"", ""x-cache"": ""HIT, HIT"", ""x-cache-hits"": ""1, 10"", ""x-timer"": ""S1696027847.273882,VS0,VE0"", ""vary"": ""Accept-Encoding,x-wf-forwarded-proto"", ""x-cluster-name"": ""eu-west-1-prod-hosting-red""}"
1,"GET / HTTP/1.1
Host: www.sharethrough.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,434,HTTP/1.1,0.2613675594329834,0.11579656600952148,0.1598067283630371,200,OK,[''],16,16,15056,"{""date"": ""Fri, 29 Sep 2023 22:50:49 GMT"", ""content-type"": ""text/html"", ""content-length"": ""24121"", ""connection"": ""keep-alive"", ""x-frame-options"": ""SAMEORIGIN"", ""content-security-policy"": ""frame-ancestors 'self'"", ""x-lambda-id"": ""7de83fbc-c262-462c-824d-b15c8c79aa18"", ""content-encoding"": ""gzip"", ""accept-ranges"": ""bytes"", ""age"": ""7726"", ""x-served-by"": ""cache-iad-kcgs7200105-IAD, cache-lhr7321-LHR"", ""x-cache"": ""HIT, HIT"", ""x-cache-hits"": ""14, 3"", ""x-timer"": ""S1696027850.849758,VS0,VE0"", ""vary"": ""Accept-Encoding,x-wf-forwarded-proto"", ""x-cluster-name"": ""eu-west-1-prod-hosting-red""}"
2,"GET / HTTP/1.1
Host: www.sharethrough.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,434,HTTP/1.1,0.2783031463623047,0.13747143745422363,0.14580678939819336,200,OK,[''],16,16,15056,"{""date"": ""Fri, 29 Sep 2023 22:50:52 GMT"", ""content-type"": ""text/html"", ""content-length"": ""24121"", ""connection"": ""keep-alive"", ""x-frame-options"": ""SAMEORIGIN"", ""content-security-policy"": ""frame-ancestors 'self'"", ""x-lambda-id"": ""7de83fbc-c262-462c-824d-b15c8c79aa18"", ""content-encoding"": ""gzip"", ""accept-ranges"": ""bytes"", ""age"": ""7727"", ""x-served-by"": ""cache-iad-kcgs7200105-IAD, cache-dub4332-DUB"", ""x-cache"": ""HIT, HIT"", ""x-cache-hits"": ""1, 11"", ""x-timer"": ""S1696027852.051830,VS0,VE0"", ""vary"": ""Accept-Encoding,x-wf-forwarded-proto"", ""x-cluster-name"": ""eu-west-1-prod-hosting-red""}"
3,"GET / HTTP/1.1
Host: www.sharethrough.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,434,HTTP/1.1,0.2305896282196045,0.10945987701416016,0.3104417324066162,200,OK,[''],16,16,15056,"{""date"": ""Fri, 29 Sep 2023 22:50:55 GMT"", ""content-type"": ""text/html"", ""content-length"": ""24121"", ""connection"": ""keep-alive"", ""x-frame-options"": ""SAMEORIGIN"", ""content-security-policy"": ""frame-ancestors 'self'"", ""x-lambda-id"": ""7de83fbc-c262-462c-824d-b15c8c79aa18"", ""content-encoding"": ""gzip"", ""accept-ranges"": ""bytes"", ""age"": ""7731"", ""x-served-by"": ""cache-iad-kcgs7200105-IAD, cache-lhr7340-LHR"", ""x-cache"": ""HIT, HIT"", ""x-cache-hits"": ""14, 1"", ""x-timer"": ""S1696027855.096588,VS0,VE8"", ""vary"": ""Accept-Encoding,x-wf-forwarded-proto"", ""x-cluster-name"": ""eu-west-1-prod-hosting-red""}"
4,"GET / HTTP/1.1
Host: www.sharethrough.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,434,HTTP/1.1,0.341827392578125,0.11014175415039062,0.08107280731201172,200,OK,[''],16,16,15057,"{""date"": ""Fri, 29 Sep 2023 22:50:57 GMT"", ""content-type"": ""text/html"", ""content-length"": ""24121"", ""connection"": ""keep-alive"", ""x-frame-options"": ""SAMEORIGIN"", ""content-security-policy"": ""frame-ancestors 'self'"", ""x-lambda-id"": ""7de83fbc-c262-462c-824d-b15c8c79aa18"", ""content-encoding"": ""gzip"", ""accept-ranges"": ""bytes"", ""age"": ""7734"", ""x-served-by"": ""cache-iad-kcgs7200105-IAD, cache-dub4343-DUB"", ""x-cache"": ""HIT, HIT"", ""x-cache-hits"": ""1, 7"", ""x-timer"": ""S1696027858.902751,VS0,VE0"", ""vary"": ""Accept-Encoding,x-wf-forwarded-proto"", ""x-cluster-name"": ""eu-west-1-prod-hosting-red""}"
5,"GET / HTTP/1.1
Host: www.sharethrough.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,434,HTTP/1.1,0.3627471923828125,0.11410689353942871,0.2341451644897461,200,OK,[''],16,16,15056,"{""date"": ""Fri, 29 Sep 2023 22:51:00 GMT"", ""content-type"": ""text/html"", ""content-length"": ""24121"", ""connection"": ""keep-alive"", ""x-frame-options"": ""SAMEORIGIN"", ""content-security-policy"": ""frame-ancestors 'self'"", ""x-lambda-id"": ""7de83fbc-c262-462c-824d-b15c8c79aa18"", ""content-encoding"": ""gzip"", ""accept-ranges"": ""bytes"", ""age"": ""7736"", ""x-served-by"": ""cache-iad-kcgs7200105-IAD, cache-lhr7334-LHR"", ""x-cache"": ""HIT, HIT"", ""x-cache-hits"": ""14, 1"", ""x-timer"": ""S1696027860.311236,VS0,VE1"", ""vary"": ""Accept-Encoding,x-wf-forwarded-proto"", ""x-cluster-name"": ""eu-west-1-prod-hosting-red""}"
6,"GET / HTTP/1.1
Host: www.sharethrough.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,434,HTTP/1.1,0.34906911849975586,0.10544681549072266,0.0965731143951416,200,OK,[''],16,16,15056,"{""date"": ""Fri, 29 Sep 2023 22:51:02 GMT"", ""content-type"": ""text/html"", ""content-length"": ""24121"", ""connection"": ""keep-alive"", ""x-frame-options"": ""SAMEORIGIN"", ""content-security-policy"": ""frame-ancestors 'self'"", ""x-lambda-id"": ""7de83fbc-c262-462c-824d-b15c8c79aa18"", ""content-encoding"": ""gzip"", ""accept-ranges"": ""bytes"", ""age"": ""7738"", ""x-served-by"": ""cache-iad-kcgs7200105-IAD, cache-dub4335-DUB"", ""x-cache"": ""HIT, HIT"", ""x-cache-hits"": ""1, 12"", ""x-timer"": ""S1696027863.946676,VS0,VE0"", ""vary"": ""Accept-Encoding,x-wf-forwarded-proto"", ""x-cluster-name"": ""eu-west-1-prod-hosting-red""}"
7,"GET / HTTP/1.1
Host: www.sharethrough.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,434,HTTP/1.1,0.23414278030395508,0.1262531280517578,0.12317371368408203,200,OK,[''],16,16,15057,"{""date"": ""Fri, 29 Sep 2023 22:51:06 GMT"", ""content-type"": ""text/html"", ""content-length"": ""24121"", ""connection"": ""keep-alive"", ""x-frame-options"": ""SAMEORIGIN"", ""content-security-policy"": ""frame-ancestors 'self'"", ""x-lambda-id"": ""7de83fbc-c262-462c-824d-b15c8c79aa18"", ""content-encoding"": ""gzip"", ""accept-ranges"": ""bytes"", ""age"": ""7742"", ""x-served-by"": ""cache-iad-kcgs7200105-IAD, cache-dub4328-DUB"", ""x-cache"": ""HIT, HIT"", ""x-cache-hits"": ""1, 7"", ""x-timer"": ""S1696027866.193450,VS0,VE0"", ""vary"": ""Accept-Encoding,x-wf-forwarded-proto"", ""x-cluster-name"": ""eu-west-1-prod-hosting-red""}"
8,"GET / HTTP/1.1
Host: www.sharethrough.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,434,HTTP/1.1,0.2126622200012207,0.10658502578735352,0.07769131660461426,200,OK,[''],16,16,15056,"{""date"": ""Fri, 29 Sep 2023 22:51:08 GMT"", ""content-type"": ""text/html"", ""content-length"": ""24121"", ""connection"": ""keep-alive"", ""x-frame-options"": ""SAMEORIGIN"", ""content-security-policy"": ""frame-ancestors 'self'"", ""x-lambda-id"": ""7de83fbc-c262-462c-824d-b15c8c79aa18"", ""content-encoding"": ""gzip"", ""accept-ranges"": ""bytes"", ""age"": ""7744"", ""x-served-by"": ""cache-iad-kcgs7200105-IAD, cache-dub4335-DUB"", ""x-cache"": ""HIT, HIT"", ""x-cache-hits"": ""1, 13"", ""x-timer"": ""S1696027869.550649,VS0,VE0"", ""vary"": ""Accept-Encoding,x-wf-forwarded-proto"", ""x-cluster-name"": ""eu-west-1-prod-hosting-red""}"
9,"GET / HTTP/1.1
Host: www.sharethrough.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,434,HTTP/1.1,0.40509915351867676,0.1073312759399414,0.1823878288269043,200,OK,[''],16,16,15056,"{""date"": ""Fri, 29 Sep 2023 22:51:10 GMT"", ""content-type"": ""text/html"", ""content-length"": ""24121"", ""connection"": ""keep-alive"", ""x-frame-options"": ""SAMEORIGIN"", ""content-security-policy"": ""frame-ancestors 'self'"", ""x-lambda-id"": ""7de83fbc-c262-462c-824d-b15c8c79aa18"", ""content-encoding"": ""gzip"", ""accept-ranges"": ""bytes"", ""age"": ""7746"", ""x-served-by"": ""cache-iad-kcgs7200105-IAD, cache-dub4346-DUB"", ""x-cache"": ""HIT, HIT"", ""x-cache-hits"": ""1, 12"", ""x-timer"": ""S1696027871.717205,VS0,VE0"", ""vary"": ""Accept-Encoding,x-wf-forwarded-proto"", ""x-cluster-name"": ""eu-west-1-prod-hosting-red""}"
