number,request,deviation_count,uri,request_length,http_version,Socket_Connect_Time,Socket_Close_Time,Response_Time,status_code,reason_phrase,error_message,response_header_count,response_header_length,response_body_length,response_header_fields
0,"GET / HTTP/1.1
Host: www.speedtest.net
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,431,HTTP/1.1,0.16444849967956543,0.10766172409057617,0.10615301132202148,200,OK,[''],16,16,471,"{""date"": ""Fri, 29 Sep 2023 22:50:52 GMT"", ""content-type"": ""text/html; charset=utf-8"", ""transfer-encoding"": ""chunked"", ""connection"": ""keep-alive"", ""cache-control"": ""private"", ""x-frame-options"": ""DENY"", ""content-security-policy"": ""frame-ancestors 'none'; upgrade-insecure-requests"", ""access-control-allow-credentials"": ""true"", ""set-cookie"": ""__cf_bm=FkTwA6FEsiTSWk5KH6tuL6DaJBExhT4XQAEsMszu3dk-1696027852-0-AdCJXaZf09OIdTols7IoVvjomrUxHlPSwSYBcO//2+f4ZqzoNKpMIEL2b1uUzpNzBd5M3thJ4tAMxcpKWmcI8Yg=; path=/; expires=Fri, 29-Sep-23 23:20:52 GMT; domain=.www.speedtest.net; HttpOnly; Secure; SameSite=None"", ""etag"": ""W/\""1df26-TkkTVf6wdzHLXgV6yn9T1paZ+2I\"""", ""content-encoding"": ""gzip"", ""accept-ranges"": ""bytes"", ""vary"": ""Origin, Accept-Encoding"", ""cf-cache-status"": ""DYNAMIC"", ""server"": ""cloudflare"", ""cf-ray"": ""80e7c99c3fe40e28-AMS""}"
1,"GET / HTTP/1.1
Host: www.speedtest.net
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,431,HTTP/1.1,0.15316367149353027,0.11091995239257812,0.21035218238830566,200,OK,[''],16,16,468,"{""date"": ""Fri, 29 Sep 2023 22:50:55 GMT"", ""content-type"": ""text/html; charset=utf-8"", ""transfer-encoding"": ""chunked"", ""connection"": ""keep-alive"", ""cache-control"": ""private"", ""x-frame-options"": ""DENY"", ""content-security-policy"": ""frame-ancestors 'none'; upgrade-insecure-requests"", ""access-control-allow-credentials"": ""true"", ""set-cookie"": ""__cf_bm=7htqrkn3v1o_aha3Gk0S_GMUhgkGlJDXz3ReNobauKc-1696027855-0-AUHudHBZEXSkqTvwlHRTxnyK6ZGrgDuwY8XOb8YwpNdWQpq8+5NZ7xAMy/mFPH/quDnDB/bN+/1nrH5OjsQJyl0=; path=/; expires=Fri, 29-Sep-23 23:20:55 GMT; domain=.www.speedtest.net; HttpOnly; Secure; SameSite=None"", ""etag"": ""W/\""1dde4-E1Q/Y0d3mwujIshoLHQ24qQIybo\"""", ""content-encoding"": ""gzip"", ""accept-ranges"": ""bytes"", ""vary"": ""Origin, Accept-Encoding"", ""cf-cache-status"": ""DYNAMIC"", ""server"": ""cloudflare"", ""cf-ray"": ""80e7c9acabfdb921-AMS""}"
2,"GET / HTTP/1.1
Host: www.speedtest.net
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,431,HTTP/1.1,0.1951141357421875,0.10680413246154785,0.14896011352539062,200,OK,[''],16,16,471,"{""date"": ""Fri, 29 Sep 2023 22:50:57 GMT"", ""content-type"": ""text/html; charset=utf-8"", ""transfer-encoding"": ""chunked"", ""connection"": ""keep-alive"", ""cache-control"": ""private"", ""x-frame-options"": ""DENY"", ""content-security-policy"": ""frame-ancestors 'none'; upgrade-insecure-requests"", ""access-control-allow-credentials"": ""true"", ""set-cookie"": ""__cf_bm=G7kxsu6bQN50GGOuKTxrUL9pomgGFV3lh7lComQF_EA-1696027857-0-AXZF58vdU/2/NxbzahmHkn9Nu5FpBcZALAof+5f4mpF0KDKW1eCexR6bk5/A5hmw1U+iH5bkpamV0GsRSUwVbqU=; path=/; expires=Fri, 29-Sep-23 23:20:57 GMT; domain=.www.speedtest.net; HttpOnly; Secure; SameSite=None"", ""etag"": ""W/\""1de39-IdJjc7UtGBOANZWBXUOTts5WQjk\"""", ""content-encoding"": ""gzip"", ""accept-ranges"": ""bytes"", ""vary"": ""Origin, Accept-Encoding"", ""cf-cache-status"": ""DYNAMIC"", ""server"": ""cloudflare"", ""cf-ray"": ""80e7c9bc2d060eac-AMS""}"
3,"GET / HTTP/1.1
Host: www.speedtest.net
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,431,HTTP/1.1,0.17258954048156738,0.11110877990722656,0.11973357200622559,200,OK,[''],16,16,472,"{""date"": ""Fri, 29 Sep 2023 22:50:59 GMT"", ""content-type"": ""text/html; charset=utf-8"", ""transfer-encoding"": ""chunked"", ""connection"": ""keep-alive"", ""cache-control"": ""private"", ""x-frame-options"": ""DENY"", ""content-security-policy"": ""frame-ancestors 'none'; upgrade-insecure-requests"", ""access-control-allow-credentials"": ""true"", ""set-cookie"": ""__cf_bm=Sbo4m9VF70PmT9gSYnDpMjryctWkSRMFpBNwBSCV_ZM-1696027859-0-AUVjL6uM5o5Th1/KAAjRjeS8cvdYv6mA+gnJX/3Q69oo6HMFKFtCg1nfcDeSUrlChYDvxjFyGi7eTqkBMfzAv5s=; path=/; expires=Fri, 29-Sep-23 23:20:59 GMT; domain=.www.speedtest.net; HttpOnly; Secure; SameSite=None"", ""etag"": ""W/\""1df43-gd8a2izf+TXEGScgtsYzL/MBb70\"""", ""content-encoding"": ""gzip"", ""accept-ranges"": ""bytes"", ""vary"": ""Origin, Accept-Encoding"", ""cf-cache-status"": ""DYNAMIC"", ""server"": ""cloudflare"", ""cf-ray"": ""80e7c9cb4e7fb79d-AMS""}"
4,"GET / HTTP/1.1
Host: www.speedtest.net
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,431,HTTP/1.1,0.16357898712158203,0.10561227798461914,0.12055826187133789,200,OK,[''],16,16,471,"{""date"": ""Fri, 29 Sep 2023 22:51:01 GMT"", ""content-type"": ""text/html; charset=utf-8"", ""transfer-encoding"": ""chunked"", ""connection"": ""keep-alive"", ""cache-control"": ""private"", ""x-frame-options"": ""DENY"", ""content-security-policy"": ""frame-ancestors 'none'; upgrade-insecure-requests"", ""access-control-allow-credentials"": ""true"", ""set-cookie"": ""__cf_bm=UqKF4xSitXBdG1DcfD.coLr3SPMMJSNqevm7dDx3N.I-1696027861-0-Ab9bVDR+R7WHhmFCpxFgMS+6pwQAyaNKCx0BodUkd1Tb73mRHbn7jKdf2ZA6l9gDMrtHyyB6m79HcUV9nauuNVY=; path=/; expires=Fri, 29-Sep-23 23:21:01 GMT; domain=.www.speedtest.net; HttpOnly; Secure; SameSite=None"", ""etag"": ""W/\""1de81-ECHiB5jgUjxDtviX3pYIf+2hKKo\"""", ""content-encoding"": ""gzip"", ""accept-ranges"": ""bytes"", ""vary"": ""Origin, Accept-Encoding"", ""cf-cache-status"": ""DYNAMIC"", ""server"": ""cloudflare"", ""cf-ray"": ""80e7c9d83c75b7e2-AMS""}"
5,"GET / HTTP/1.1
Host: www.speedtest.net
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,431,HTTP/1.1,0.20029711723327637,0.1043548583984375,0.13057303428649902,200,OK,[''],16,16,471,"{""date"": ""Fri, 29 Sep 2023 22:51:03 GMT"", ""content-type"": ""text/html; charset=utf-8"", ""transfer-encoding"": ""chunked"", ""connection"": ""keep-alive"", ""cache-control"": ""private"", ""x-frame-options"": ""DENY"", ""content-security-policy"": ""frame-ancestors 'none'; upgrade-insecure-requests"", ""access-control-allow-credentials"": ""true"", ""set-cookie"": ""__cf_bm=xFOmAE_FVaL6E_2yzwlZHw8a7aeCqkL26ErpDBTDLdM-1696027863-0-AfvGN46xlg7bETAXOog4yWvvLesb7/9I+hgeSR1foQKtr8UBEsFf62CZyXMjhUfbqKhW7tILkGBeGROagd0An4E=; path=/; expires=Fri, 29-Sep-23 23:21:03 GMT; domain=.www.speedtest.net; HttpOnly; Secure; SameSite=None"", ""etag"": ""W/\""1de81-/ZzwkWPKY4u9spx3RwrRAzoYmuY\"""", ""content-encoding"": ""gzip"", ""accept-ranges"": ""bytes"", ""vary"": ""Origin, Accept-Encoding"", ""cf-cache-status"": ""DYNAMIC"", ""server"": ""cloudflare"", ""cf-ray"": ""80e7c9e52c661b04-AMS""}"
6,"GET / HTTP/1.1
Host: www.speedtest.net
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,431,HTTP/1.1,0.2039194107055664,0.11877727508544922,0.14678692817687988,200,OK,[''],16,16,471,"{""date"": ""Fri, 29 Sep 2023 22:51:06 GMT"", ""content-type"": ""text/html; charset=utf-8"", ""transfer-encoding"": ""chunked"", ""connection"": ""keep-alive"", ""cache-control"": ""private"", ""x-frame-options"": ""DENY"", ""content-security-policy"": ""frame-ancestors 'none'; upgrade-insecure-requests"", ""access-control-allow-credentials"": ""true"", ""set-cookie"": ""__cf_bm=FuoRduhut9DMU_R9IVxU4WMB9eDTTEW9KEk00xqxTKs-1696027866-0-AdWBawxGYj9mTnFa3cTE0ZUHNc2C7DmfILZjoDN16nuCfw3brz4yyD1ZEdtz8orXBq9Br0pduaSgzWtVNU4v9F4=; path=/; expires=Fri, 29-Sep-23 23:21:06 GMT; domain=.www.speedtest.net; HttpOnly; Secure; SameSite=None"", ""etag"": ""W/\""1de87-51EzUZ1DcFzVa11kJXWmXuDdV9o\"""", ""content-encoding"": ""gzip"", ""accept-ranges"": ""bytes"", ""vary"": ""Origin, Accept-Encoding"", ""cf-cache-status"": ""DYNAMIC"", ""server"": ""cloudflare"", ""cf-ray"": ""80e7c9f68c9fb8ca-AMS""}"
7,"GET / HTTP/1.1
Host: www.speedtest.net
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,431,HTTP/1.1,0.13056635856628418,0.11752605438232422,0.12891793251037598,200,OK,[''],16,16,468,"{""date"": ""Fri, 29 Sep 2023 22:51:08 GMT"", ""content-type"": ""text/html; charset=utf-8"", ""transfer-encoding"": ""chunked"", ""connection"": ""keep-alive"", ""cache-control"": ""private"", ""x-frame-options"": ""DENY"", ""content-security-policy"": ""frame-ancestors 'none'; upgrade-insecure-requests"", ""access-control-allow-credentials"": ""true"", ""set-cookie"": ""__cf_bm=PG7FXZUn88TsyPU0v2vkmZYDyWm8psKPTtUjzpGWs8M-1696027868-0-AVWCHknAMpNGaIs5idYrjg+fOPmdEn4ipCzeY6DHkdOj6vsXkERnjlDmYk+uGGBjewqhX+DUoPSaSDyNYIHhv4E=; path=/; expires=Fri, 29-Sep-23 23:21:08 GMT; domain=.www.speedtest.net; HttpOnly; Secure; SameSite=None"", ""etag"": ""W/\""1dde4-NY2PJyVGzrmB3NrAKWcW3WUE5cs\"""", ""content-encoding"": ""gzip"", ""accept-ranges"": ""bytes"", ""vary"": ""Origin, Accept-Encoding"", ""cf-cache-status"": ""DYNAMIC"", ""server"": ""cloudflare"", ""cf-ray"": ""80e7ca03ba150e86-AMS""}"
8,"GET / HTTP/1.1
Host: www.speedtest.net
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,431,HTTP/1.1,0.21596646308898926,0.1013495922088623,0.11796689033508301,200,OK,[''],16,16,471,"{""date"": ""Fri, 29 Sep 2023 22:51:11 GMT"", ""content-type"": ""text/html; charset=utf-8"", ""transfer-encoding"": ""chunked"", ""connection"": ""keep-alive"", ""cache-control"": ""private"", ""x-frame-options"": ""DENY"", ""content-security-policy"": ""frame-ancestors 'none'; upgrade-insecure-requests"", ""access-control-allow-credentials"": ""true"", ""set-cookie"": ""__cf_bm=4i7e3rtvL9_szqiI4wQ1lZBfaIppRD0_wyGRUwkJBhA-1696027871-0-AQkP+O/eLlOx1DxVMHcN1AGoA1/XLx4bItiNZGCQfHBYKp5lJxuaRuDV1zP9kd508iFknua9ofHpgmbZzxvjDOk=; path=/; expires=Fri, 29-Sep-23 23:21:11 GMT; domain=.www.speedtest.net; HttpOnly; Secure; SameSite=None"", ""etag"": ""W/\""1de81-y8+KLocghEjDmnUHrs3RbuLpSfY\"""", ""content-encoding"": ""gzip"", ""accept-ranges"": ""bytes"", ""vary"": ""Origin, Accept-Encoding"", ""cf-cache-status"": ""DYNAMIC"", ""server"": ""cloudflare"", ""cf-ray"": ""80e7ca117cb8b7fb-AMS""}"
9,"GET / HTTP/1.1
Host: www.speedtest.net
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,431,HTTP/1.1,0.21709585189819336,0.10595822334289551,0.13486361503601074,200,OK,[''],16,16,471,"{""date"": ""Fri, 29 Sep 2023 22:51:13 GMT"", ""content-type"": ""text/html; charset=utf-8"", ""transfer-encoding"": ""chunked"", ""connection"": ""keep-alive"", ""cache-control"": ""private"", ""x-frame-options"": ""DENY"", ""content-security-policy"": ""frame-ancestors 'none'; upgrade-insecure-requests"", ""access-control-allow-credentials"": ""true"", ""set-cookie"": ""__cf_bm=0tmG5ndqHiFuejfspIJNOKdDjrscnqdWZg5ep5tE99c-1696027873-0-AQFoZ7DQeDdfOAzO62eNSgpsAJSO78F17IOKxz3vslkeBxQOlFrAtTXd9oLPJrlVHe7rwzQY4FhVnUpZIRb38nA=; path=/; expires=Fri, 29-Sep-23 23:21:13 GMT; domain=.www.speedtest.net; HttpOnly; Secure; SameSite=None"", ""etag"": ""W/\""1de39-HUwat0dKOi6YGUvVfe7ah3ZGwJk\"""", ""content-encoding"": ""gzip"", ""accept-ranges"": ""bytes"", ""vary"": ""Origin, Accept-Encoding"", ""cf-cache-status"": ""DYNAMIC"", ""server"": ""cloudflare"", ""cf-ray"": ""80e7ca203e4d0c5d-AMS""}"
