number,request,deviation_count,uri,request_length,http_version,Socket_Connect_Time,Socket_Close_Time,Response_Time,status_code,reason_phrase,error_message,response_header_count,response_header_length,response_body_length,response_header_fields
0,"GET / HTTP/1.1
Host: www.statista.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,430,HTTP/1.1,0.1376628875732422,0.10919785499572754,0.15766239166259766,200,OK,[''],16,16,7646,"{""date"": ""Fri, 29 Sep 2023 22:50:53 GMT"", ""content-type"": ""text/html; charset=UTF-8"", ""transfer-encoding"": ""chunked"", ""connection"": ""keep-alive"", ""server"": ""nginx"", ""vary"": ""Accept-Encoding"", ""set-cookie"": ""statistaContentView=537435006651754cd7f1310131919852; expires=Sun, 28-Sep-2025 22:50:53 GMT; Max-Age=63072000; path=/; domain=statista.com; secure; httponly"", ""cache-control"": ""max-age=0, must-revalidate, private, s-maxage=300"", ""expires"": ""Fri, 29 Sep 2023 22:50:53 GMT"", ""x-cache-status"": ""BYPASS"", ""x-frame-options"": ""SAMEORIGIN"", ""x-content-type-options"": ""nosniff"", ""x-xss-protection"": ""1; mode=block"", ""strict-transport-security"": ""max-age=16070400; includeSubDomains"", ""content-security-policy"": ""frame-ancestors 'none';"", ""content-encoding"": ""gzip""}"
1,"GET / HTTP/1.1
Host: www.statista.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,430,HTTP/1.1,0.18326187133789062,0.20250630378723145,0.16183781623840332,200,OK,[''],16,16,7633,"{""date"": ""Fri, 29 Sep 2023 22:50:55 GMT"", ""content-type"": ""text/html; charset=UTF-8"", ""transfer-encoding"": ""chunked"", ""connection"": ""keep-alive"", ""server"": ""nginx"", ""vary"": ""Accept-Encoding"", ""set-cookie"": ""statistaContentView=31371126651754cfe10bb8219643927; expires=Sun, 28-Sep-2025 22:50:55 GMT; Max-Age=63072000; path=/; domain=statista.com; secure; httponly"", ""cache-control"": ""max-age=0, must-revalidate, private, s-maxage=300"", ""expires"": ""Fri, 29 Sep 2023 22:50:55 GMT"", ""x-cache-status"": ""BYPASS"", ""x-frame-options"": ""SAMEORIGIN"", ""x-content-type-options"": ""nosniff"", ""x-xss-protection"": ""1; mode=block"", ""strict-transport-security"": ""max-age=16070400; includeSubDomains"", ""content-security-policy"": ""frame-ancestors 'none';"", ""content-encoding"": ""gzip""}"
2,"GET / HTTP/1.1
Host: www.statista.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,430,HTTP/1.1,0.1245419979095459,0.10131978988647461,0.1512002944946289,200,OK,[''],16,16,14713,"{""date"": ""Fri, 29 Sep 2023 22:50:58 GMT"", ""content-type"": ""text/html; charset=UTF-8"", ""transfer-encoding"": ""chunked"", ""connection"": ""keep-alive"", ""server"": ""nginx"", ""vary"": ""Accept-Encoding"", ""set-cookie"": ""statistaContentView=1207624574651754d24cfdc0923750987; expires=Sun, 28-Sep-2025 22:50:58 GMT; Max-Age=63072000; path=/; domain=statista.com; secure; httponly"", ""cache-control"": ""max-age=0, must-revalidate, private, s-maxage=300"", ""expires"": ""Fri, 29 Sep 2023 22:50:58 GMT"", ""x-cache-status"": ""BYPASS"", ""x-frame-options"": ""SAMEORIGIN"", ""x-content-type-options"": ""nosniff"", ""x-xss-protection"": ""1; mode=block"", ""strict-transport-security"": ""max-age=16070400; includeSubDomains"", ""content-security-policy"": ""frame-ancestors 'none';"", ""content-encoding"": ""gzip""}"
3,"GET / HTTP/1.1
Host: www.statista.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,430,HTTP/1.1,0.19721674919128418,0.11549139022827148,0.1440882682800293,200,OK,[''],16,16,7631,"{""date"": ""Fri, 29 Sep 2023 22:51:00 GMT"", ""content-type"": ""text/html; charset=UTF-8"", ""transfer-encoding"": ""chunked"", ""connection"": ""keep-alive"", ""server"": ""nginx"", ""vary"": ""Accept-Encoding"", ""set-cookie"": ""statistaContentView=1409626997651754d49c9f08208818327; expires=Sun, 28-Sep-2025 22:51:00 GMT; Max-Age=63072000; path=/; domain=statista.com; secure; httponly"", ""cache-control"": ""max-age=0, must-revalidate, private, s-maxage=300"", ""expires"": ""Fri, 29 Sep 2023 22:51:00 GMT"", ""x-cache-status"": ""BYPASS"", ""x-frame-options"": ""SAMEORIGIN"", ""x-content-type-options"": ""nosniff"", ""x-xss-protection"": ""1; mode=block"", ""strict-transport-security"": ""max-age=16070400; includeSubDomains"", ""content-security-policy"": ""frame-ancestors 'none';"", ""content-encoding"": ""gzip""}"
4,"GET / HTTP/1.1
Host: www.statista.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,430,HTTP/1.1,0.16544699668884277,0.15194916725158691,0.15116190910339355,200,OK,[''],16,16,7646,"{""date"": ""Fri, 29 Sep 2023 22:51:02 GMT"", ""content-type"": ""text/html; charset=UTF-8"", ""transfer-encoding"": ""chunked"", ""connection"": ""keep-alive"", ""server"": ""nginx"", ""vary"": ""Accept-Encoding"", ""set-cookie"": ""statistaContentView=731656256651754d6a3dde4997810566; expires=Sun, 28-Sep-2025 22:51:02 GMT; Max-Age=63072000; path=/; domain=statista.com; secure; httponly"", ""cache-control"": ""max-age=0, must-revalidate, private, s-maxage=300"", ""expires"": ""Fri, 29 Sep 2023 22:51:02 GMT"", ""x-cache-status"": ""BYPASS"", ""x-frame-options"": ""SAMEORIGIN"", ""x-content-type-options"": ""nosniff"", ""x-xss-protection"": ""1; mode=block"", ""strict-transport-security"": ""max-age=16070400; includeSubDomains"", ""content-security-policy"": ""frame-ancestors 'none';"", ""content-encoding"": ""gzip""}"
5,"GET / HTTP/1.1
Host: www.statista.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,430,HTTP/1.1,0.16503691673278809,0.11455464363098145,0.154371976852417,200,OK,[''],16,16,14714,"{""date"": ""Fri, 29 Sep 2023 22:51:04 GMT"", ""content-type"": ""text/html; charset=UTF-8"", ""transfer-encoding"": ""chunked"", ""connection"": ""keep-alive"", ""server"": ""nginx"", ""vary"": ""Accept-Encoding"", ""set-cookie"": ""statistaContentView=344383874651754d8ceeb48737790139; expires=Sun, 28-Sep-2025 22:51:04 GMT; Max-Age=63072000; path=/; domain=statista.com; secure; httponly"", ""cache-control"": ""max-age=0, must-revalidate, private, s-maxage=300"", ""expires"": ""Fri, 29 Sep 2023 22:51:04 GMT"", ""x-cache-status"": ""BYPASS"", ""x-frame-options"": ""SAMEORIGIN"", ""x-content-type-options"": ""nosniff"", ""x-xss-protection"": ""1; mode=block"", ""strict-transport-security"": ""max-age=16070400; includeSubDomains"", ""content-security-policy"": ""frame-ancestors 'none';"", ""content-encoding"": ""gzip""}"
6,"GET / HTTP/1.1
Host: www.statista.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,430,HTTP/1.1,0.15274596214294434,0.11026763916015625,0.1985609531402588,200,OK,[''],16,16,7645,"{""date"": ""Fri, 29 Sep 2023 22:51:07 GMT"", ""content-type"": ""text/html; charset=UTF-8"", ""transfer-encoding"": ""chunked"", ""connection"": ""keep-alive"", ""server"": ""nginx"", ""vary"": ""Accept-Encoding"", ""set-cookie"": ""statistaContentView=1506527694651754db803296958823096; expires=Sun, 28-Sep-2025 22:51:07 GMT; Max-Age=63072000; path=/; domain=statista.com; secure; httponly"", ""cache-control"": ""max-age=0, must-revalidate, private, s-maxage=300"", ""expires"": ""Fri, 29 Sep 2023 22:51:07 GMT"", ""x-cache-status"": ""BYPASS"", ""x-frame-options"": ""SAMEORIGIN"", ""x-content-type-options"": ""nosniff"", ""x-xss-protection"": ""1; mode=block"", ""strict-transport-security"": ""max-age=16070400; includeSubDomains"", ""content-security-policy"": ""frame-ancestors 'none';"", ""content-encoding"": ""gzip""}"
7,"GET / HTTP/1.1
Host: www.statista.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,430,HTTP/1.1,0.21467828750610352,0.12958526611328125,0.1446094512939453,200,OK,[''],16,16,14713,"{""date"": ""Fri, 29 Sep 2023 22:51:09 GMT"", ""content-type"": ""text/html; charset=UTF-8"", ""transfer-encoding"": ""chunked"", ""connection"": ""keep-alive"", ""server"": ""nginx"", ""vary"": ""Accept-Encoding"", ""set-cookie"": ""statistaContentView=1555021009651754dda2b547080446805; expires=Sun, 28-Sep-2025 22:51:09 GMT; Max-Age=63072000; path=/; domain=statista.com; secure; httponly"", ""cache-control"": ""max-age=0, must-revalidate, private, s-maxage=300"", ""expires"": ""Fri, 29 Sep 2023 22:51:09 GMT"", ""x-cache-status"": ""BYPASS"", ""x-frame-options"": ""SAMEORIGIN"", ""x-content-type-options"": ""nosniff"", ""x-xss-protection"": ""1; mode=block"", ""strict-transport-security"": ""max-age=16070400; includeSubDomains"", ""content-security-policy"": ""frame-ancestors 'none';"", ""content-encoding"": ""gzip""}"
8,"GET / HTTP/1.1
Host: www.statista.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,430,HTTP/1.1,0.13554763793945312,0.10980653762817383,0.23223090171813965,200,OK,[''],16,16,7645,"{""date"": ""Fri, 29 Sep 2023 22:51:11 GMT"", ""content-type"": ""text/html; charset=UTF-8"", ""transfer-encoding"": ""chunked"", ""connection"": ""keep-alive"", ""server"": ""nginx"", ""vary"": ""Accept-Encoding"", ""set-cookie"": ""statistaContentView=1965805087651754dfddcc97375579412; expires=Sun, 28-Sep-2025 22:51:11 GMT; Max-Age=63072000; path=/; domain=statista.com; secure; httponly"", ""cache-control"": ""max-age=0, must-revalidate, private, s-maxage=300"", ""expires"": ""Fri, 29 Sep 2023 22:51:11 GMT"", ""x-cache-status"": ""BYPASS"", ""x-frame-options"": ""SAMEORIGIN"", ""x-content-type-options"": ""nosniff"", ""x-xss-protection"": ""1; mode=block"", ""strict-transport-security"": ""max-age=16070400; includeSubDomains"", ""content-security-policy"": ""frame-ancestors 'none';"", ""content-encoding"": ""gzip""}"
9,"GET / HTTP/1.1
Host: www.statista.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,430,HTTP/1.1,0.16143584251403809,0.10122084617614746,0.16946840286254883,200,OK,[''],16,16,7632,"{""date"": ""Fri, 29 Sep 2023 22:51:14 GMT"", ""content-type"": ""text/html; charset=UTF-8"", ""transfer-encoding"": ""chunked"", ""connection"": ""keep-alive"", ""server"": ""nginx"", ""vary"": ""Accept-Encoding"", ""set-cookie"": ""statistaContentView=610273871651754e2211409158299531; expires=Sun, 28-Sep-2025 22:51:14 GMT; Max-Age=63072000; path=/; domain=statista.com; secure; httponly"", ""cache-control"": ""max-age=0, must-revalidate, private, s-maxage=300"", ""expires"": ""Fri, 29 Sep 2023 22:51:14 GMT"", ""x-cache-status"": ""BYPASS"", ""x-frame-options"": ""SAMEORIGIN"", ""x-content-type-options"": ""nosniff"", ""x-xss-protection"": ""1; mode=block"", ""strict-transport-security"": ""max-age=16070400; includeSubDomains"", ""content-security-policy"": ""frame-ancestors 'none';"", ""content-encoding"": ""gzip""}"
