number,request,deviation_count,uri,request_length,http_version,Socket_Connect_Time,Socket_Close_Time,Response_Time,status_code,reason_phrase,error_message,response_header_count,response_header_length,response_body_length,response_header_fields
0,"GET / HTTP/1.1
Host: www.webmd.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,427,HTTP/1.1,0.16632652282714844,0.10728859901428223,0.2711005210876465,200,OK,[''],12,12,0,"{""date"": ""Fri, 29 Sep 2023 22:50:54 GMT"", ""content-type"": ""text/html"", ""transfer-encoding"": ""chunked"", ""connection"": ""keep-alive"", ""cf-cache-status"": ""HIT"", ""access-control-allow-origin"": ""*"", ""age"": ""null"", ""cache-control"": ""no-cache, no-store, must-revalidate"", ""set-cookie"": ""ab=default; domain=.webmd.com; path=/; expires=Thu, 01 Jan 1970 0"", ""cf-edge-cache-control"": ""s-maxage=119, maxage=10, proxy-revalidate, stale-while-revalidate=30"", ""cf-wrk"": ""lrt1_cached_k8_worker_1_40S_21S_2023-09-21_17:29:51_gdbp_false_gtedgefrom_CLOUDFLARE_E_true_UC_false_UD_false_mp_false_active_true_from_MA1_ovr__config_envName_.k8s.lb._envNameFound_true_actv_true_blk_N/A_1696027854107_SKIP_CMT_NON_US-CA"", ""content-security-policy"": ""upgrade-insecure-requests""}"
1,"GET / HTTP/1.1
Host: www.webmd.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,427,HTTP/1.1,0.20054340362548828,0.11323952674865723,0.19565749168395996,200,OK,[''],12,12,0,"{""date"": ""Fri, 29 Sep 2023 22:50:56 GMT"", ""content-type"": ""text/html"", ""transfer-encoding"": ""chunked"", ""connection"": ""keep-alive"", ""cf-cache-status"": ""HIT"", ""access-control-allow-origin"": ""*"", ""age"": ""null"", ""cache-control"": ""no-cache, no-store, must-revalidate"", ""set-cookie"": ""ab=default; domain=.webmd.com; path=/; expires=Thu, 01 Jan 1970 0"", ""cf-edge-cache-control"": ""s-maxage=119, maxage=10, proxy-revalidate, stale-while-revalidate=30"", ""cf-wrk"": ""lrt1_cached_k8_worker_1_40S_21S_2023-09-21_17:29:51_gdbp_false_gtedgefrom_CLOUDFLARE_E_true_UC_false_UD_false_mp_false_active_true_from_MA1_ovr__config_envName_.k8s.lb._envNameFound_true_actv_true_blk_N/A_1696027856543_SKIP_CMT_NON_US-CA"", ""content-security-policy"": ""upgrade-insecure-requests""}"
2,"GET / HTTP/1.1
Host: www.webmd.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,427,HTTP/1.1,0.24073076248168945,0.13487577438354492,0.07327103614807129,200,OK,[''],12,12,0,"{""date"": ""Fri, 29 Sep 2023 22:50:58 GMT"", ""content-type"": ""text/html"", ""transfer-encoding"": ""chunked"", ""connection"": ""keep-alive"", ""cf-cache-status"": ""HIT"", ""access-control-allow-origin"": ""*"", ""age"": ""50"", ""cache-control"": ""no-cache, no-store, must-revalidate"", ""set-cookie"": ""ab=default; domain=.webmd.com; path=/; expires=Thu, 01 Jan 1970 00:"", ""cf-edge-cache-control"": ""s-maxage=119, maxage=10, proxy-revalidate, stale-while-revalidate=30"", ""cf-wrk"": ""lrt1_cached_k8_worker_1_40S_21S_2023-09-21_17:29:51_gdbp_false_gtedgefrom_CLOUDFLARE_E_true_UC_false_UD_false_mp_false_active_true_from_MA1_ovr__config_envName_.k8s.lb._envNameFound_true_actv_true_blk_N/A_1696027858794_SKIP_CMT_NON_US-CA"", ""content-security-policy"": ""upgrade-insecure-requests""}"
3,"GET / HTTP/1.1
Host: www.webmd.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,427,HTTP/1.1,0.1819908618927002,0.12488746643066406,0.08028626441955566,200,OK,[''],12,12,0,"{""date"": ""Fri, 29 Sep 2023 22:51:01 GMT"", ""content-type"": ""text/html"", ""transfer-encoding"": ""chunked"", ""connection"": ""keep-alive"", ""cf-cache-status"": ""HIT"", ""access-control-allow-origin"": ""*"", ""age"": ""53"", ""cache-control"": ""no-cache, no-store, must-revalidate"", ""set-cookie"": ""ab=default; domain=.webmd.com; path=/; expires=Thu, 01 Jan 1970 00:"", ""cf-edge-cache-control"": ""s-maxage=119, maxage=10, proxy-revalidate, stale-while-revalidate=30"", ""cf-wrk"": ""lrt1_cached_k8_worker_1_40S_21S_2023-09-21_17:29:51_gdbp_false_gtedgefrom_CLOUDFLARE_E_true_UC_false_UD_false_mp_false_active_true_from_MA1_ovr__config_envName_.k8s.lb._envNameFound_true_actv_true_blk_N/A_1696027861093_SKIP_CMT_NON_US-CA"", ""content-security-policy"": ""upgrade-insecure-requests""}"
4,"GET / HTTP/1.1
Host: www.webmd.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,427,HTTP/1.1,0.12160515785217285,0.10418033599853516,0.0874030590057373,200,OK,[''],12,12,0,"{""date"": ""Fri, 29 Sep 2023 22:51:03 GMT"", ""content-type"": ""text/html"", ""transfer-encoding"": ""chunked"", ""connection"": ""keep-alive"", ""cf-cache-status"": ""HIT"", ""access-control-allow-origin"": ""*"", ""age"": ""55"", ""cache-control"": ""no-cache, no-store, must-revalidate"", ""set-cookie"": ""ab=default; domain=.webmd.com; path=/; expires=Thu, 01 Jan 1970 00:"", ""cf-edge-cache-control"": ""s-maxage=119, maxage=10, proxy-revalidate, stale-while-revalidate=30"", ""cf-wrk"": ""lrt1_cached_k8_worker_1_40S_21S_2023-09-21_17:29:51_gdbp_false_gtedgefrom_CLOUDFLARE_E_true_UC_false_UD_false_mp_false_active_true_from_MA1_ovr__config_envName_.k8s.lb._envNameFound_true_actv_true_blk_N/A_1696027863071_SKIP_CMT_NON_US-CA"", ""content-security-policy"": ""upgrade-insecure-requests""}"
5,"GET / HTTP/1.1
Host: www.webmd.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,427,HTTP/1.1,0.16444849967956543,0.12662839889526367,0.07911539077758789,200,OK,[''],12,12,0,"{""date"": ""Fri, 29 Sep 2023 22:51:05 GMT"", ""content-type"": ""text/html"", ""transfer-encoding"": ""chunked"", ""connection"": ""keep-alive"", ""cf-cache-status"": ""HIT"", ""access-control-allow-origin"": ""*"", ""age"": ""48"", ""cache-control"": ""no-cache, no-store, must-revalidate"", ""set-cookie"": ""ab=default; domain=.webmd.com; path=/; expires=Thu, 01 Jan 1970 00:"", ""cf-edge-cache-control"": ""s-maxage=119, maxage=10, proxy-revalidate, stale-while-revalidate=30"", ""cf-wrk"": ""lrt1_cached_k8_worker_1_40S_21S_2023-09-21_17:29:51_gdbp_false_gtedgefrom_CLOUDFLARE_E_true_UC_false_UD_false_mp_false_active_true_from_MA1_ovr__config_envName_.k8s.lb._envNameFound_true_actv_true_blk_N/A_1696027865265_SKIP_CMT_NON_US-CA"", ""content-security-policy"": ""upgrade-insecure-requests""}"
6,"GET / HTTP/1.1
Host: www.webmd.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,427,HTTP/1.1,0.25510191917419434,0.10476207733154297,0.0671224594116211,200,OK,[''],12,12,0,"{""date"": ""Fri, 29 Sep 2023 22:51:08 GMT"", ""content-type"": ""text/html"", ""transfer-encoding"": ""chunked"", ""connection"": ""keep-alive"", ""cf-cache-status"": ""HIT"", ""access-control-allow-origin"": ""*"", ""age"": ""51"", ""cache-control"": ""no-cache, no-store, must-revalidate"", ""set-cookie"": ""ab=default; domain=.webmd.com; path=/; expires=Thu, 01 Jan 1970 00:"", ""cf-edge-cache-control"": ""s-maxage=119, maxage=10, proxy-revalidate, stale-while-revalidate=30"", ""cf-wrk"": ""lrt1_cached_k8_worker_1_40S_21S_2023-09-21_17:29:51_gdbp_false_gtedgefrom_CLOUDFLARE_E_true_UC_false_UD_false_mp_false_active_true_from_MA1_ovr__config_envName_.k8s.lb._envNameFound_true_actv_true_blk_N/A_1696027868087_SKIP_CMT_NON_US-CA"", ""content-security-policy"": ""upgrade-insecure-requests""}"
7,"GET / HTTP/1.1
Host: www.webmd.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,427,HTTP/1.1,0.19871735572814941,0.10599923133850098,0.0870215892791748,200,OK,[''],12,12,0,"{""date"": ""Fri, 29 Sep 2023 22:51:10 GMT"", ""content-type"": ""text/html"", ""transfer-encoding"": ""chunked"", ""connection"": ""keep-alive"", ""cf-cache-status"": ""HIT"", ""access-control-allow-origin"": ""*"", ""age"": ""62"", ""cache-control"": ""no-cache, no-store, must-revalidate"", ""set-cookie"": ""ab=default; domain=.webmd.com; path=/; expires=Thu, 01 Jan 1970 00:"", ""cf-edge-cache-control"": ""s-maxage=119, maxage=10, proxy-revalidate, stale-while-revalidate=30"", ""cf-wrk"": ""lrt1_cached_k8_worker_1_40S_21S_2023-09-21_17:29:51_gdbp_false_gtedgefrom_CLOUDFLARE_E_true_UC_false_UD_false_mp_false_active_true_from_MA1_ovr__config_envName_.k8s.lb._envNameFound_true_actv_true_blk_N/A_1696027870096_SKIP_CMT_NON_US-CA"", ""content-security-policy"": ""upgrade-insecure-requests""}"
8,"GET / HTTP/1.1
Host: www.webmd.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,427,HTTP/1.1,0.32008862495422363,0.10429668426513672,0.08819198608398438,200,OK,[''],12,12,0,"{""date"": ""Fri, 29 Sep 2023 22:51:12 GMT"", ""content-type"": ""text/html"", ""transfer-encoding"": ""chunked"", ""connection"": ""keep-alive"", ""cf-cache-status"": ""HIT"", ""access-control-allow-origin"": ""*"", ""age"": ""16"", ""cache-control"": ""no-cache, no-store, must-revalidate"", ""set-cookie"": ""ab=default; domain=.webmd.com; path=/; expires=Thu, 01 Jan 1970 00:"", ""cf-edge-cache-control"": ""s-maxage=119, maxage=10, proxy-revalidate, stale-while-revalidate=30"", ""cf-wrk"": ""lrt1_cached_k8_worker_1_40S_21S_2023-09-21_17:29:51_gdbp_false_gtedgefrom_CLOUDFLARE_E_true_UC_false_UD_false_mp_false_active_true_from_MA1_ovr__config_envName_.k8s.lb._envNameFound_true_actv_true_blk_N/A_1696027872557_SKIP_CMT_NON_US-CA"", ""content-security-policy"": ""upgrade-insecure-requests""}"
9,"GET / HTTP/1.1
Host: www.webmd.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,427,HTTP/1.1,0.22852325439453125,0.1082301139831543,0.07225251197814941,200,OK,[''],12,12,0,"{""date"": ""Fri, 29 Sep 2023 22:51:14 GMT"", ""content-type"": ""text/html"", ""transfer-encoding"": ""chunked"", ""connection"": ""keep-alive"", ""cf-cache-status"": ""HIT"", ""access-control-allow-origin"": ""*"", ""age"": ""74"", ""cache-control"": ""no-cache, no-store, must-revalidate"", ""set-cookie"": ""ab=default; domain=.webmd.com; path=/; expires=Thu, 01 Jan 1970 00:"", ""cf-edge-cache-control"": ""s-maxage=119, maxage=10, proxy-revalidate, stale-while-revalidate=30"", ""cf-wrk"": ""lrt1_cached_k8_worker_1_40S_21S_2023-09-21_17:29:51_gdbp_false_gtedgefrom_CLOUDFLARE_E_true_UC_false_UD_false_mp_false_active_true_from_MA1_ovr__config_envName_.k8s.lb._envNameFound_true_actv_true_blk_N/A_1696027874596_SKIP_CMT_NON_US-CA"", ""content-security-policy"": ""upgrade-insecure-requests""}"
