number,request,deviation_count,uri,request_length,http_version,Socket_Connect_Time,Socket_Close_Time,Response_Time,status_code,reason_phrase,error_message,response_header_count,response_header_length,response_body_length,response_header_fields
0,"GET / HTTP/1.1
Host: www.wikipedia.org
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,431,HTTP/1.1,0.13505768775939941,0.11075973510742188,0.045007944107055664,200,OK,[''],19,19,13020,"{""date"": ""Fri, 29 Sep 2023 21:02:52 GMT"", ""server"": ""mw1384.eqiad.wmnet"", ""last-modified"": ""Mon, 18 Sep 2023 15:35:20 GMT"", ""cache-control"": ""s-maxage=86400, must-revalidate, max-age=3600"", ""content-type"": ""text/html"", ""etag"": ""W/\""1514f-605a3e3d54982\"""", ""content-encoding"": ""gzip"", ""vary"": ""Accept-Encoding"", ""age"": ""7063"", ""x-cache"": ""cp3066 hit, cp3066 hit/83822"", ""x-cache-status"": ""hit-front"", ""server-timing"": ""cache;desc=\""hit-front\"", host;desc=\""cp3066\"""", ""strict-transport-security"": ""max-age=106384710; includeSubDomains; preload"", ""report-to"": ""{ \""group\"": \""wm_nel\"", \""max_age\"": 604800, \""endpoints\"": [{ \""url\"": \""https://intake-logging.wikimedia.org/v1/events?stream=w3c.reportingapi.network_error&schema_uri=/w3c/reportingapi/network_error/1.0.0\"" }] }"", ""nel"": ""{ \""report_to\"": \""wm_nel\"", \""max_age\"": 604800, \""failure_fraction\"": 0.05, \""success_fraction\"": 0.0}"", ""set-cookie"": ""NetworkProbeLimit=0.001;Path=/;Secure;Max-Age=3600"", ""x-client-ip"": ""89.56.127.202"", ""accept-ranges"": ""bytes"", ""content-length"": ""20367""}"
1,"GET / HTTP/1.1
Host: www.wikipedia.org
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,431,HTTP/1.1,0.20963287353515625,0.10727643966674805,0.17275285720825195,200,OK,[''],19,19,13020,"{""date"": ""Fri, 29 Sep 2023 21:02:52 GMT"", ""server"": ""mw1384.eqiad.wmnet"", ""last-modified"": ""Mon, 18 Sep 2023 15:35:20 GMT"", ""cache-control"": ""s-maxage=86400, must-revalidate, max-age=3600"", ""content-type"": ""text/html"", ""etag"": ""W/\""1514f-605a3e3d54982\"""", ""content-encoding"": ""gzip"", ""vary"": ""Accept-Encoding"", ""age"": ""7065"", ""x-cache"": ""cp3066 hit, cp3066 hit/83844"", ""x-cache-status"": ""hit-front"", ""server-timing"": ""cache;desc=\""hit-front\"", host;desc=\""cp3066\"""", ""strict-transport-security"": ""max-age=106384710; includeSubDomains; preload"", ""report-to"": ""{ \""group\"": \""wm_nel\"", \""max_age\"": 604800, \""endpoints\"": [{ \""url\"": \""https://intake-logging.wikimedia.org/v1/events?stream=w3c.reportingapi.network_error&schema_uri=/w3c/reportingapi/network_error/1.0.0\"" }] }"", ""nel"": ""{ \""report_to\"": \""wm_nel\"", \""max_age\"": 604800, \""failure_fraction\"": 0.05, \""success_fraction\"": 0.0}"", ""set-cookie"": ""NetworkProbeLimit=0.001;Path=/;Secure;Max-Age=3600"", ""x-client-ip"": ""89.56.127.202"", ""accept-ranges"": ""bytes"", ""content-length"": ""20367""}"
2,"GET / HTTP/1.1
Host: www.wikipedia.org
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,431,HTTP/1.1,0.24984192848205566,0.10753536224365234,0.0416259765625,200,OK,[''],19,19,13020,"{""date"": ""Fri, 29 Sep 2023 21:02:52 GMT"", ""server"": ""mw1384.eqiad.wmnet"", ""last-modified"": ""Mon, 18 Sep 2023 15:35:20 GMT"", ""cache-control"": ""s-maxage=86400, must-revalidate, max-age=3600"", ""content-type"": ""text/html"", ""etag"": ""W/\""1514f-605a3e3d54982\"""", ""content-encoding"": ""gzip"", ""vary"": ""Accept-Encoding"", ""age"": ""7067"", ""x-cache"": ""cp3066 hit, cp3066 hit/83868"", ""x-cache-status"": ""hit-front"", ""server-timing"": ""cache;desc=\""hit-front\"", host;desc=\""cp3066\"""", ""strict-transport-security"": ""max-age=106384710; includeSubDomains; preload"", ""report-to"": ""{ \""group\"": \""wm_nel\"", \""max_age\"": 604800, \""endpoints\"": [{ \""url\"": \""https://intake-logging.wikimedia.org/v1/events?stream=w3c.reportingapi.network_error&schema_uri=/w3c/reportingapi/network_error/1.0.0\"" }] }"", ""nel"": ""{ \""report_to\"": \""wm_nel\"", \""max_age\"": 604800, \""failure_fraction\"": 0.05, \""success_fraction\"": 0.0}"", ""set-cookie"": ""NetworkProbeLimit=0.001;Path=/;Secure;Max-Age=3600"", ""x-client-ip"": ""89.56.127.202"", ""accept-ranges"": ""bytes"", ""content-length"": ""20367""}"
3,"GET / HTTP/1.1
Host: www.wikipedia.org
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,431,HTTP/1.1,0.14255046844482422,0.14154386520385742,0.034949541091918945,200,OK,[''],19,19,13020,"{""date"": ""Fri, 29 Sep 2023 21:02:52 GMT"", ""server"": ""mw1384.eqiad.wmnet"", ""last-modified"": ""Mon, 18 Sep 2023 15:35:20 GMT"", ""cache-control"": ""s-maxage=86400, must-revalidate, max-age=3600"", ""content-type"": ""text/html"", ""etag"": ""W/\""1514f-605a3e3d54982\"""", ""content-encoding"": ""gzip"", ""vary"": ""Accept-Encoding"", ""age"": ""7069"", ""x-cache"": ""cp3066 hit, cp3066 hit/83888"", ""x-cache-status"": ""hit-front"", ""server-timing"": ""cache;desc=\""hit-front\"", host;desc=\""cp3066\"""", ""strict-transport-security"": ""max-age=106384710; includeSubDomains; preload"", ""report-to"": ""{ \""group\"": \""wm_nel\"", \""max_age\"": 604800, \""endpoints\"": [{ \""url\"": \""https://intake-logging.wikimedia.org/v1/events?stream=w3c.reportingapi.network_error&schema_uri=/w3c/reportingapi/network_error/1.0.0\"" }] }"", ""nel"": ""{ \""report_to\"": \""wm_nel\"", \""max_age\"": 604800, \""failure_fraction\"": 0.05, \""success_fraction\"": 0.0}"", ""set-cookie"": ""NetworkProbeLimit=0.001;Path=/;Secure;Max-Age=3600"", ""x-client-ip"": ""89.56.127.202"", ""accept-ranges"": ""bytes"", ""content-length"": ""20367""}"
4,"GET / HTTP/1.1
Host: www.wikipedia.org
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,431,HTTP/1.1,0.228776216506958,0.10609245300292969,0.05430960655212402,200,OK,[''],19,19,13020,"{""date"": ""Fri, 29 Sep 2023 21:02:52 GMT"", ""server"": ""mw1384.eqiad.wmnet"", ""last-modified"": ""Mon, 18 Sep 2023 15:35:20 GMT"", ""cache-control"": ""s-maxage=86400, must-revalidate, max-age=3600"", ""content-type"": ""text/html"", ""etag"": ""W/\""1514f-605a3e3d54982\"""", ""content-encoding"": ""gzip"", ""vary"": ""Accept-Encoding"", ""age"": ""7071"", ""x-cache"": ""cp3066 hit, cp3066 hit/83925"", ""x-cache-status"": ""hit-front"", ""server-timing"": ""cache;desc=\""hit-front\"", host;desc=\""cp3066\"""", ""strict-transport-security"": ""max-age=106384710; includeSubDomains; preload"", ""report-to"": ""{ \""group\"": \""wm_nel\"", \""max_age\"": 604800, \""endpoints\"": [{ \""url\"": \""https://intake-logging.wikimedia.org/v1/events?stream=w3c.reportingapi.network_error&schema_uri=/w3c/reportingapi/network_error/1.0.0\"" }] }"", ""nel"": ""{ \""report_to\"": \""wm_nel\"", \""max_age\"": 604800, \""failure_fraction\"": 0.05, \""success_fraction\"": 0.0}"", ""set-cookie"": ""NetworkProbeLimit=0.001;Path=/;Secure;Max-Age=3600"", ""x-client-ip"": ""89.56.127.202"", ""accept-ranges"": ""bytes"", ""content-length"": ""20367""}"
5,"GET / HTTP/1.1
Host: www.wikipedia.org
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,431,HTTP/1.1,0.28859853744506836,0.12134289741516113,0.24087142944335938,200,OK,[''],19,19,13020,"{""date"": ""Fri, 29 Sep 2023 21:02:52 GMT"", ""server"": ""mw1384.eqiad.wmnet"", ""last-modified"": ""Mon, 18 Sep 2023 15:35:20 GMT"", ""cache-control"": ""s-maxage=86400, must-revalidate, max-age=3600"", ""content-type"": ""text/html"", ""etag"": ""W/\""1514f-605a3e3d54982\"""", ""content-encoding"": ""gzip"", ""vary"": ""Accept-Encoding"", ""age"": ""7074"", ""x-cache"": ""cp3066 hit, cp3066 hit/83951"", ""x-cache-status"": ""hit-front"", ""server-timing"": ""cache;desc=\""hit-front\"", host;desc=\""cp3066\"""", ""strict-transport-security"": ""max-age=106384710; includeSubDomains; preload"", ""report-to"": ""{ \""group\"": \""wm_nel\"", \""max_age\"": 604800, \""endpoints\"": [{ \""url\"": \""https://intake-logging.wikimedia.org/v1/events?stream=w3c.reportingapi.network_error&schema_uri=/w3c/reportingapi/network_error/1.0.0\"" }] }"", ""nel"": ""{ \""report_to\"": \""wm_nel\"", \""max_age\"": 604800, \""failure_fraction\"": 0.05, \""success_fraction\"": 0.0}"", ""set-cookie"": ""NetworkProbeLimit=0.001;Path=/;Secure;Max-Age=3600"", ""x-client-ip"": ""89.56.127.202"", ""accept-ranges"": ""bytes"", ""content-length"": ""20367""}"
6,"GET / HTTP/1.1
Host: www.wikipedia.org
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,431,HTTP/1.1,0.25232458114624023,0.13579607009887695,0.14433050155639648,200,OK,[''],19,19,13020,"{""date"": ""Fri, 29 Sep 2023 21:02:52 GMT"", ""server"": ""mw1384.eqiad.wmnet"", ""last-modified"": ""Mon, 18 Sep 2023 15:35:20 GMT"", ""cache-control"": ""s-maxage=86400, must-revalidate, max-age=3600"", ""content-type"": ""text/html"", ""etag"": ""W/\""1514f-605a3e3d54982\"""", ""content-encoding"": ""gzip"", ""vary"": ""Accept-Encoding"", ""age"": ""7076"", ""x-cache"": ""cp3066 hit, cp3066 hit/83977"", ""x-cache-status"": ""hit-front"", ""server-timing"": ""cache;desc=\""hit-front\"", host;desc=\""cp3066\"""", ""strict-transport-security"": ""max-age=106384710; includeSubDomains; preload"", ""report-to"": ""{ \""group\"": \""wm_nel\"", \""max_age\"": 604800, \""endpoints\"": [{ \""url\"": \""https://intake-logging.wikimedia.org/v1/events?stream=w3c.reportingapi.network_error&schema_uri=/w3c/reportingapi/network_error/1.0.0\"" }] }"", ""nel"": ""{ \""report_to\"": \""wm_nel\"", \""max_age\"": 604800, \""failure_fraction\"": 0.05, \""success_fraction\"": 0.0}"", ""set-cookie"": ""NetworkProbeLimit=0.001;Path=/;Secure;Max-Age=3600"", ""x-client-ip"": ""89.56.127.202"", ""accept-ranges"": ""bytes"", ""content-length"": ""20367""}"
7,"GET / HTTP/1.1
Host: www.wikipedia.org
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,431,HTTP/1.1,0.2502877712249756,0.11649823188781738,0.06854438781738281,200,OK,[''],19,19,13020,"{""date"": ""Fri, 29 Sep 2023 21:02:52 GMT"", ""server"": ""mw1384.eqiad.wmnet"", ""last-modified"": ""Mon, 18 Sep 2023 15:35:20 GMT"", ""cache-control"": ""s-maxage=86400, must-revalidate, max-age=3600"", ""content-type"": ""text/html"", ""etag"": ""W/\""1514f-605a3e3d54982\"""", ""content-encoding"": ""gzip"", ""vary"": ""Accept-Encoding"", ""age"": ""7079"", ""x-cache"": ""cp3066 hit, cp3066 hit/84009"", ""x-cache-status"": ""hit-front"", ""server-timing"": ""cache;desc=\""hit-front\"", host;desc=\""cp3066\"""", ""strict-transport-security"": ""max-age=106384710; includeSubDomains; preload"", ""report-to"": ""{ \""group\"": \""wm_nel\"", \""max_age\"": 604800, \""endpoints\"": [{ \""url\"": \""https://intake-logging.wikimedia.org/v1/events?stream=w3c.reportingapi.network_error&schema_uri=/w3c/reportingapi/network_error/1.0.0\"" }] }"", ""nel"": ""{ \""report_to\"": \""wm_nel\"", \""max_age\"": 604800, \""failure_fraction\"": 0.05, \""success_fraction\"": 0.0}"", ""set-cookie"": ""NetworkProbeLimit=0.001;Path=/;Secure;Max-Age=3600"", ""x-client-ip"": ""89.56.127.202"", ""accept-ranges"": ""bytes"", ""content-length"": ""20367""}"
8,"GET / HTTP/1.1
Host: www.wikipedia.org
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,431,HTTP/1.1,0.13974785804748535,0.11741828918457031,0.12015223503112793,200,OK,[''],19,19,13020,"{""date"": ""Fri, 29 Sep 2023 21:02:52 GMT"", ""server"": ""mw1384.eqiad.wmnet"", ""last-modified"": ""Mon, 18 Sep 2023 15:35:20 GMT"", ""cache-control"": ""s-maxage=86400, must-revalidate, max-age=3600"", ""content-type"": ""text/html"", ""etag"": ""W/\""1514f-605a3e3d54982\"""", ""content-encoding"": ""gzip"", ""vary"": ""Accept-Encoding"", ""age"": ""7080"", ""x-cache"": ""cp3066 hit, cp3066 hit/84033"", ""x-cache-status"": ""hit-front"", ""server-timing"": ""cache;desc=\""hit-front\"", host;desc=\""cp3066\"""", ""strict-transport-security"": ""max-age=106384710; includeSubDomains; preload"", ""report-to"": ""{ \""group\"": \""wm_nel\"", \""max_age\"": 604800, \""endpoints\"": [{ \""url\"": \""https://intake-logging.wikimedia.org/v1/events?stream=w3c.reportingapi.network_error&schema_uri=/w3c/reportingapi/network_error/1.0.0\"" }] }"", ""nel"": ""{ \""report_to\"": \""wm_nel\"", \""max_age\"": 604800, \""failure_fraction\"": 0.05, \""success_fraction\"": 0.0}"", ""set-cookie"": ""NetworkProbeLimit=0.001;Path=/;Secure;Max-Age=3600"", ""x-client-ip"": ""89.56.127.202"", ""accept-ranges"": ""bytes"", ""content-length"": ""20367""}"
9,"GET / HTTP/1.1
Host: www.wikipedia.org
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,431,HTTP/1.1,0.21568059921264648,0.11179471015930176,0.18602776527404785,200,OK,[''],19,19,13020,"{""date"": ""Fri, 29 Sep 2023 21:02:52 GMT"", ""server"": ""mw1384.eqiad.wmnet"", ""last-modified"": ""Mon, 18 Sep 2023 15:35:20 GMT"", ""cache-control"": ""s-maxage=86400, must-revalidate, max-age=3600"", ""content-type"": ""text/html"", ""etag"": ""W/\""1514f-605a3e3d54982\"""", ""content-encoding"": ""gzip"", ""vary"": ""Accept-Encoding"", ""age"": ""7083"", ""x-cache"": ""cp3066 hit, cp3066 hit/84060"", ""x-cache-status"": ""hit-front"", ""server-timing"": ""cache;desc=\""hit-front\"", host;desc=\""cp3066\"""", ""strict-transport-security"": ""max-age=106384710; includeSubDomains; preload"", ""report-to"": ""{ \""group\"": \""wm_nel\"", \""max_age\"": 604800, \""endpoints\"": [{ \""url\"": \""https://intake-logging.wikimedia.org/v1/events?stream=w3c.reportingapi.network_error&schema_uri=/w3c/reportingapi/network_error/1.0.0\"" }] }"", ""nel"": ""{ \""report_to\"": \""wm_nel\"", \""max_age\"": 604800, \""failure_fraction\"": 0.05, \""success_fraction\"": 0.0}"", ""set-cookie"": ""NetworkProbeLimit=0.001;Path=/;Secure;Max-Age=3600"", ""x-client-ip"": ""89.56.127.202"", ""accept-ranges"": ""bytes"", ""content-length"": ""20367""}"
