number,request,deviation_count,uri,request_length,http_version,Socket_Connect_Time,Socket_Close_Time,Response_Time,status_code,reason_phrase,error_message,response_header_count,response_header_length,response_body_length,response_header_fields
0,"GET / HTTP/1.1
Host: www.digicert.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,430,HTTP/1.1,0.13587474822998047,0.15549969673156738,0.59629225730896,200,OK,[''],17,17,318,"{""server"": ""nginx"", ""date"": ""Fri, 29 Sep 2023 23:00:34 GMT"", ""content-type"": ""text/html;charset=utf-8"", ""transfer-encoding"": ""chunked"", ""connection"": ""keep-alive"", ""x-content-type-options"": ""nosniff"", ""age"": ""29873"", ""last-modified"": ""Fri, 29 Sep 2023 14:42:41 GMT"", ""etag"": ""W/\""1ef4b-606806fcf69df\"""", ""x-xss-protection"": ""1; mode=block"", ""x-frame-options"": ""SAMEORIGIN"", ""content-encoding"": ""gzip"", ""set-cookie"": ""incap_ses_770_1323850=mDxkdszfbWv1eZYt55evChJXF2UAAAAAQot52BNJtMvd6fNMSO5dsw==; path=/; Domain=.digicert.com; Secure; SameSite=None"", ""x-incap-sess-cookie-hdr"": ""54hbAREseCZbdXct55evChJXF2UAAAAAXotPRpnkH8RAZJxu/DIT+g=="", ""strict-transport-security"": ""max-age=31536000"", ""x-cdn"": ""Imperva"", ""x-iinfo"": ""0-13646521-13646523 NNNN CT(133 283 0) RT(1696028433950 46) q(0 1 5 -1) r(6 6) U12""}"
1,"GET / HTTP/1.1
Host: www.digicert.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,430,HTTP/1.1,0.2696866989135742,0.11988663673400879,0.20816493034362793,200,OK,[''],17,17,327,"{""server"": ""nginx"", ""date"": ""Fri, 29 Sep 2023 23:00:37 GMT"", ""content-type"": ""text/html;charset=utf-8"", ""transfer-encoding"": ""chunked"", ""connection"": ""keep-alive"", ""x-content-type-options"": ""nosniff"", ""age"": ""29876"", ""last-modified"": ""Fri, 29 Sep 2023 14:42:41 GMT"", ""etag"": ""W/\""1ef4b-606806fcf69df\"""", ""x-xss-protection"": ""1; mode=block"", ""x-frame-options"": ""SAMEORIGIN"", ""content-encoding"": ""gzip"", ""set-cookie"": ""incap_ses_770_1323850=gI53c977RXLif5Yt55evChRXF2UAAAAApZJIiwad+Yke3AgWy91XHA==; path=/; Domain=.digicert.com; Secure; SameSite=None"", ""x-incap-sess-cookie-hdr"": ""pzExG67qvVRbdXct55evChRXF2UAAAAA4PMjHzoxYPesdAjevVE5Kg=="", ""strict-transport-security"": ""max-age=31536000"", ""x-cdn"": ""Imperva"", ""x-iinfo"": ""14-244149079-244139495 PNNN RT(1696028436585 155) q(0 0 0 -1) r(2 2) U12""}"
2,"GET / HTTP/1.1
Host: www.digicert.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,430,HTTP/1.1,0.24761271476745605,0.11081242561340332,0.5938866138458252,200,OK,[''],17,17,314,"{""server"": ""nginx"", ""date"": ""Fri, 29 Sep 2023 23:00:40 GMT"", ""content-type"": ""text/html;charset=utf-8"", ""transfer-encoding"": ""chunked"", ""connection"": ""keep-alive"", ""x-content-type-options"": ""nosniff"", ""age"": ""29876"", ""last-modified"": ""Fri, 29 Sep 2023 14:42:44 GMT"", ""etag"": ""W/\""1ef4b-606806fff4f6c\"""", ""x-xss-protection"": ""1; mode=block"", ""x-frame-options"": ""SAMEORIGIN"", ""content-encoding"": ""gzip"", ""set-cookie"": ""incap_ses_770_1323850=DvcGHSf2ajbMh5Yt55evChdXF2UAAAAAD/5iZY5x5cGi0o4Wli6fEg==; path=/; Domain=.digicert.com; Secure; SameSite=None"", ""x-incap-sess-cookie-hdr"": ""4rteETGuZHJbdXct55evChdXF2UAAAAA0qfvgyGncDpPgV1oEkuYgg=="", ""strict-transport-security"": ""max-age=31536000"", ""x-cdn"": ""Imperva"", ""x-iinfo"": ""10-139340837-139340848 NNNN CT(133 271 0) RT(1696028439158 123) q(0 1 4 -1) r(6 6) U12""}"
3,"GET / HTTP/1.1
Host: www.digicert.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,430,HTTP/1.1,0.1631016731262207,0.11024212837219238,0.6498708724975586,200,OK,[''],17,17,318,"{""server"": ""nginx"", ""date"": ""Fri, 29 Sep 2023 23:00:43 GMT"", ""content-type"": ""text/html;charset=utf-8"", ""transfer-encoding"": ""chunked"", ""connection"": ""keep-alive"", ""x-content-type-options"": ""nosniff"", ""age"": ""29879"", ""last-modified"": ""Fri, 29 Sep 2023 14:42:44 GMT"", ""etag"": ""W/\""1ef4b-606806fff4f6c\"""", ""x-xss-protection"": ""1; mode=block"", ""x-frame-options"": ""SAMEORIGIN"", ""content-encoding"": ""gzip"", ""set-cookie"": ""incap_ses_770_1323850=1pssFsdXCG8ekZYt55evChtXF2UAAAAAaTns18/njawCkfPS9p01jw==; path=/; Domain=.digicert.com; Secure; SameSite=None"", ""x-incap-sess-cookie-hdr"": ""wlsLeQkk7VlbdXct55evChtXF2UAAAAAhV4dx+9Re0TdHUrOdXhEJg=="", ""strict-transport-security"": ""max-age=31536000"", ""x-cdn"": ""Imperva"", ""x-iinfo"": ""6-74925861-74925871 NNNN CT(150 151 0) RT(1696028442482 94) q(0 0 3 -1) r(5 6) U12""}"
4,"GET / HTTP/1.1
Host: www.digicert.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,430,HTTP/1.1,0.18081402778625488,0.11124181747436523,0.7207174301147461,200,OK,[''],17,17,315,"{""server"": ""nginx"", ""date"": ""Fri, 29 Sep 2023 23:00:46 GMT"", ""content-type"": ""text/html;charset=utf-8"", ""transfer-encoding"": ""chunked"", ""connection"": ""keep-alive"", ""x-content-type-options"": ""nosniff"", ""age"": ""29885"", ""last-modified"": ""Fri, 29 Sep 2023 14:42:41 GMT"", ""etag"": ""W/\""1ef4b-606806fcf69df\"""", ""x-xss-protection"": ""1; mode=block"", ""x-frame-options"": ""SAMEORIGIN"", ""content-encoding"": ""gzip"", ""set-cookie"": ""incap_ses_770_1323850=pi7jQ2OosEixmpYt55evCh5XF2UAAAAA9pTh4FqP2qYEcefbiAYUZw==; path=/; Domain=.digicert.com; Secure; SameSite=None"", ""x-incap-sess-cookie-hdr"": ""rbNMOK2FbUlbdXct55evCh5XF2UAAAAAcyMA5gaRm1C3xvDcYkAMjg=="", ""strict-transport-security"": ""max-age=31536000"", ""x-cdn"": ""Imperva"", ""x-iinfo"": ""12-194069360-194069390 NNNN CT(147 148 0) RT(1696028445877 98) q(0 0 3 -1) r(5 7) U12""}"
5,"GET / HTTP/1.1
Host: www.digicert.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,430,HTTP/1.1,0.24857115745544434,0.12595295906066895,0.21164417266845703,200,OK,[''],17,17,327,"{""server"": ""nginx"", ""date"": ""Fri, 29 Sep 2023 23:00:49 GMT"", ""content-type"": ""text/html;charset=utf-8"", ""transfer-encoding"": ""chunked"", ""connection"": ""keep-alive"", ""x-content-type-options"": ""nosniff"", ""age"": ""29888"", ""last-modified"": ""Fri, 29 Sep 2023 14:42:41 GMT"", ""etag"": ""W/\""1ef4b-606806fcf69df\"""", ""x-xss-protection"": ""1; mode=block"", ""x-frame-options"": ""SAMEORIGIN"", ""content-encoding"": ""gzip"", ""set-cookie"": ""incap_ses_770_1323850=yfSmCaOiHRFpoZYt55evCiFXF2UAAAAAmAZQvmk2KVx5SQj9fsfSnQ==; path=/; Domain=.digicert.com; Secure; SameSite=None"", ""x-incap-sess-cookie-hdr"": ""hT3sAxtTl1tbdXct55evCiFXF2UAAAAAz57V9Qv2UA6TySuLcnencw=="", ""strict-transport-security"": ""max-age=31536000"", ""x-cdn"": ""Imperva"", ""x-iinfo"": ""12-194070286-194069390 PNNN RT(1696028448899 150) q(0 0 0 -1) r(2 2) U12""}"
6,"GET / HTTP/1.1
Host: www.digicert.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,430,HTTP/1.1,0.13633465766906738,0.1200871467590332,0.5773530006408691,200,OK,[''],17,17,316,"{""server"": ""nginx"", ""date"": ""Fri, 29 Sep 2023 23:00:52 GMT"", ""content-type"": ""text/html;charset=utf-8"", ""transfer-encoding"": ""chunked"", ""connection"": ""keep-alive"", ""x-content-type-options"": ""nosniff"", ""age"": ""29888"", ""last-modified"": ""Fri, 29 Sep 2023 14:42:44 GMT"", ""etag"": ""W/\""1ef4b-606806fff4f6c\"""", ""x-xss-protection"": ""1; mode=block"", ""x-frame-options"": ""SAMEORIGIN"", ""content-encoding"": ""gzip"", ""set-cookie"": ""incap_ses_770_1323850=McffUPHA4knPqpYt55evCiRXF2UAAAAA48FrwPShylrGRIChXOmnxQ==; path=/; Domain=.digicert.com; Secure; SameSite=None"", ""x-incap-sess-cookie-hdr"": ""x7+LGlxN0GVbdXct55evCiRXF2UAAAAAY2SlaZHA0kYEVKzYAPjGdA=="", ""strict-transport-security"": ""max-age=31536000"", ""x-cdn"": ""Imperva"", ""x-iinfo"": ""9-116528646-116528661 NNNN CT(132 269 0) RT(1696028451573 91) q(0 0 4 -1) r(6 6) U12""}"
7,"GET / HTTP/1.1
Host: www.digicert.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,430,HTTP/1.1,0.2646346092224121,0.11469221115112305,0.19150137901306152,200,OK,[''],17,17,328,"{""server"": ""nginx"", ""date"": ""Fri, 29 Sep 2023 23:00:55 GMT"", ""content-type"": ""text/html;charset=utf-8"", ""transfer-encoding"": ""chunked"", ""connection"": ""keep-alive"", ""x-content-type-options"": ""nosniff"", ""age"": ""29891"", ""last-modified"": ""Fri, 29 Sep 2023 14:42:44 GMT"", ""etag"": ""W/\""1ef4b-606806fff4f6c\"""", ""x-xss-protection"": ""1; mode=block"", ""x-frame-options"": ""SAMEORIGIN"", ""content-encoding"": ""gzip"", ""set-cookie"": ""incap_ses_770_1323850=aMo9cvAFcE4UspYt55evCiZXF2UAAAAAyxZcxep9eT1K4CwQu5gS8A==; path=/; Domain=.digicert.com; Secure; SameSite=None"", ""x-incap-sess-cookie-hdr"": ""5jG7LqWVTQ1bdXct55evCiZXF2UAAAAAaPWepH/cv79H6GZzRL4dCw=="", ""strict-transport-security"": ""max-age=31536000"", ""x-cdn"": ""Imperva"", ""x-iinfo"": ""9-116529131-116528661 PNNN RT(1696028454481 148) q(0 0 0 -1) r(1 1) U12""}"
8,"GET / HTTP/1.1
Host: www.digicert.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,430,HTTP/1.1,0.3414616584777832,0.1063849925994873,0.6505959033966064,200,OK,[''],17,17,314,"{""server"": ""nginx"", ""date"": ""Fri, 29 Sep 2023 23:00:57 GMT"", ""content-type"": ""text/html;charset=utf-8"", ""transfer-encoding"": ""chunked"", ""connection"": ""keep-alive"", ""x-content-type-options"": ""nosniff"", ""age"": ""29896"", ""last-modified"": ""Fri, 29 Sep 2023 14:42:41 GMT"", ""etag"": ""W/\""1ef4b-606806fcf69df\"""", ""x-xss-protection"": ""1; mode=block"", ""x-frame-options"": ""SAMEORIGIN"", ""content-encoding"": ""gzip"", ""set-cookie"": ""incap_ses_770_1323850=PaXZVmDcv1zmuZYt55evCilXF2UAAAAAe0YlyBuxnshG5rdlm2B9Ng==; path=/; Domain=.digicert.com; Secure; SameSite=None"", ""x-incap-sess-cookie-hdr"": ""LRQkBaEExwNbdXct55evCilXF2UAAAAAJhndToWGV4WjasByU7pTfQ=="", ""strict-transport-security"": ""max-age=31536000"", ""x-cdn"": ""Imperva"", ""x-iinfo"": ""13-216189590-216189659 NNNN CT(150 305 0) RT(1696028456857 226) q(0 1 5 -1) r(7 7) U12""}"
9,"GET / HTTP/1.1
Host: www.digicert.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,430,HTTP/1.1,0.2141735553741455,0.11127829551696777,0.20392823219299316,200,OK,[''],17,17,327,"{""server"": ""nginx"", ""date"": ""Fri, 29 Sep 2023 23:01:00 GMT"", ""content-type"": ""text/html;charset=utf-8"", ""transfer-encoding"": ""chunked"", ""connection"": ""keep-alive"", ""x-content-type-options"": ""nosniff"", ""age"": ""29899"", ""last-modified"": ""Fri, 29 Sep 2023 14:42:41 GMT"", ""etag"": ""W/\""1ef4b-606806fcf69df\"""", ""x-xss-protection"": ""1; mode=block"", ""x-frame-options"": ""SAMEORIGIN"", ""content-encoding"": ""gzip"", ""set-cookie"": ""incap_ses_770_1323850=AQrtdIx07nkowJYt55evCixXF2UAAAAAG3ux0BhO5oWyPXVAL8tneA==; path=/; Domain=.digicert.com; Secure; SameSite=None"", ""x-incap-sess-cookie-hdr"": ""qISuH+spVyVbdXct55evCixXF2UAAAAAeKSfmS9yKVlyZwlpTQFd0A=="", ""strict-transport-security"": ""max-age=31536000"", ""x-cdn"": ""Imperva"", ""x-iinfo"": ""13-216190226-216189659 PNNN RT(1696028459729 138) q(0 0 0 -1) r(2 2) U12""}"
