number,request,deviation_count,uri,request_length,http_version,Socket_Connect_Time,Socket_Close_Time,Response_Time,status_code,reason_phrase,error_message,response_header_count,response_header_length,response_body_length,response_header_fields
0,"GET / HTTP/1.1
Host: www.applovin.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,430,HTTP/1.1,0.17696595191955566,0.13188910484313965,0.2208421230316162,200,OK,[''],18,18,504,"{""date"": ""Fri, 29 Sep 2023 23:01:03 GMT"", ""content-type"": ""text/html; charset=UTF-8"", ""transfer-encoding"": ""chunked"", ""connection"": ""keep-alive"", ""vary"": ""Accept-Encoding,Cookie"", ""x-powered-by"": ""WP Engine"", ""link"": ""<https://www.applovin.com/go/lo7o>; rel=shortlink"", ""x-cacheable"": ""SHORT"", ""cache-control"": ""max-age=600, must-revalidate"", ""x-cache"": ""HIT: 2657"", ""x-cache-group"": ""normal"", ""content-security-policy"": ""frame-ancestors 'self' https://*.al-array.com/"", ""x-frame-options"": ""SAMEORIGIN"", ""cf-cache-status"": ""DYNAMIC"", ""server"": ""cloudflare"", ""cf-ray"": ""80e7d885cbf60e84-AMS"", ""content-encoding"": ""br"", ""alt-svc"": ""h3=\"":443\""; ma=86400""}"
1,"GET / HTTP/1.1
Host: www.applovin.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,430,HTTP/1.1,0.13669562339782715,0.13472914695739746,0.2576110363006592,200,OK,[''],18,18,509,"{""date"": ""Fri, 29 Sep 2023 23:01:05 GMT"", ""content-type"": ""text/html; charset=UTF-8"", ""transfer-encoding"": ""chunked"", ""connection"": ""keep-alive"", ""vary"": ""Accept-Encoding,Cookie"", ""x-powered-by"": ""WP Engine"", ""link"": ""<https://www.applovin.com/go/lo7o>; rel=shortlink"", ""x-cacheable"": ""SHORT"", ""cache-control"": ""max-age=600, must-revalidate"", ""x-cache"": ""HIT: 2678"", ""x-cache-group"": ""normal"", ""content-security-policy"": ""frame-ancestors 'self' https://*.al-array.com/"", ""x-frame-options"": ""SAMEORIGIN"", ""cf-cache-status"": ""DYNAMIC"", ""server"": ""cloudflare"", ""cf-ray"": ""80e7d8943ce10b44-AMS"", ""content-encoding"": ""br"", ""alt-svc"": ""h3=\"":443\""; ma=86400""}"
2,"GET / HTTP/1.1
Host: www.applovin.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,430,HTTP/1.1,0.14970064163208008,0.11331605911254883,0.23585152626037598,200,OK,[''],18,18,509,"{""date"": ""Fri, 29 Sep 2023 23:01:07 GMT"", ""content-type"": ""text/html; charset=UTF-8"", ""transfer-encoding"": ""chunked"", ""connection"": ""keep-alive"", ""vary"": ""Accept-Encoding,Cookie"", ""x-powered-by"": ""WP Engine"", ""link"": ""<https://www.applovin.com/go/lo7o>; rel=shortlink"", ""x-cacheable"": ""SHORT"", ""cache-control"": ""max-age=600, must-revalidate"", ""x-cache"": ""HIT: 2691"", ""x-cache-group"": ""normal"", ""content-security-policy"": ""frame-ancestors 'self' https://*.al-array.com/"", ""x-frame-options"": ""SAMEORIGIN"", ""cf-cache-status"": ""DYNAMIC"", ""server"": ""cloudflare"", ""cf-ray"": ""80e7d8a22968b766-AMS"", ""content-encoding"": ""br"", ""alt-svc"": ""h3=\"":443\""; ma=86400""}"
3,"GET / HTTP/1.1
Host: www.applovin.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,430,HTTP/1.1,0.2070300579071045,0.10815620422363281,0.218031644821167,200,OK,[''],18,18,509,"{""date"": ""Fri, 29 Sep 2023 23:01:10 GMT"", ""content-type"": ""text/html; charset=UTF-8"", ""transfer-encoding"": ""chunked"", ""connection"": ""keep-alive"", ""vary"": ""Accept-Encoding,Cookie"", ""x-powered-by"": ""WP Engine"", ""link"": ""<https://www.applovin.com/go/lo7o>; rel=shortlink"", ""x-cacheable"": ""SHORT"", ""cache-control"": ""max-age=600, must-revalidate"", ""x-cache"": ""HIT: 2709"", ""x-cache-group"": ""normal"", ""content-security-policy"": ""frame-ancestors 'self' https://*.al-array.com/"", ""x-frame-options"": ""SAMEORIGIN"", ""cf-cache-status"": ""DYNAMIC"", ""server"": ""cloudflare"", ""cf-ray"": ""80e7d8b24b0bb746-AMS"", ""content-encoding"": ""br"", ""alt-svc"": ""h3=\"":443\""; ma=86400""}"
4,"GET / HTTP/1.1
Host: www.applovin.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,430,HTTP/1.1,0.15657663345336914,0.10169172286987305,0.20648741722106934,200,OK,[''],18,18,501,"{""date"": ""Fri, 29 Sep 2023 23:01:12 GMT"", ""content-type"": ""text/html; charset=UTF-8"", ""transfer-encoding"": ""chunked"", ""connection"": ""keep-alive"", ""vary"": ""Accept-Encoding,Cookie"", ""x-powered-by"": ""WP Engine"", ""link"": ""<https://www.applovin.com/go/lo7o>; rel=shortlink"", ""x-cacheable"": ""SHORT"", ""cache-control"": ""max-age=600, must-revalidate"", ""x-cache"": ""HIT: 2723"", ""x-cache-group"": ""normal"", ""content-security-policy"": ""frame-ancestors 'self' https://*.al-array.com/"", ""x-frame-options"": ""SAMEORIGIN"", ""cf-cache-status"": ""DYNAMIC"", ""server"": ""cloudflare"", ""cf-ray"": ""80e7d8c0ba540e7e-AMS"", ""content-encoding"": ""br"", ""alt-svc"": ""h3=\"":443\""; ma=86400""}"
5,"GET / HTTP/1.1
Host: www.applovin.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,430,HTTP/1.1,0.24035143852233887,0.10139846801757812,0.22116684913635254,200,OK,[''],18,18,498,"{""date"": ""Fri, 29 Sep 2023 23:01:14 GMT"", ""content-type"": ""text/html; charset=UTF-8"", ""transfer-encoding"": ""chunked"", ""connection"": ""keep-alive"", ""vary"": ""Accept-Encoding,Cookie"", ""x-powered-by"": ""WP Engine"", ""link"": ""<https://www.applovin.com/go/lo7o>; rel=shortlink"", ""x-cacheable"": ""SHORT"", ""cache-control"": ""max-age=600, must-revalidate"", ""x-cache"": ""HIT: 2745"", ""x-cache-group"": ""normal"", ""content-security-policy"": ""frame-ancestors 'self' https://*.al-array.com/"", ""x-frame-options"": ""SAMEORIGIN"", ""cf-cache-status"": ""DYNAMIC"", ""server"": ""cloudflare"", ""cf-ray"": ""80e7d8ceade10b8e-AMS"", ""content-encoding"": ""br"", ""alt-svc"": ""h3=\"":443\""; ma=86400""}"
6,"GET / HTTP/1.1
Host: www.applovin.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,430,HTTP/1.1,0.3532702922821045,0.10737085342407227,0.20558786392211914,200,OK,[''],18,18,511,"{""date"": ""Fri, 29 Sep 2023 23:01:17 GMT"", ""content-type"": ""text/html; charset=UTF-8"", ""transfer-encoding"": ""chunked"", ""connection"": ""keep-alive"", ""vary"": ""Accept-Encoding,Cookie"", ""x-powered-by"": ""WP Engine"", ""link"": ""<https://www.applovin.com/go/lo7o>; rel=shortlink"", ""x-cacheable"": ""SHORT"", ""cache-control"": ""max-age=600, must-revalidate"", ""x-cache"": ""HIT: 2757"", ""x-cache-group"": ""normal"", ""content-security-policy"": ""frame-ancestors 'self' https://*.al-array.com/"", ""x-frame-options"": ""SAMEORIGIN"", ""cf-cache-status"": ""DYNAMIC"", ""server"": ""cloudflare"", ""cf-ray"": ""80e7d8de9c3ab95c-AMS"", ""content-encoding"": ""br"", ""alt-svc"": ""h3=\"":443\""; ma=86400""}"
7,"GET / HTTP/1.1
Host: www.applovin.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,430,HTTP/1.1,0.2005770206451416,0.10341095924377441,0.632910966873169,200,OK,[''],18,18,509,"{""date"": ""Fri, 29 Sep 2023 23:01:19 GMT"", ""content-type"": ""text/html; charset=UTF-8"", ""transfer-encoding"": ""chunked"", ""connection"": ""keep-alive"", ""vary"": ""Accept-Encoding,Cookie"", ""x-powered-by"": ""WP Engine"", ""link"": ""<https://www.applovin.com/go/lo7o>; rel=shortlink"", ""x-cacheable"": ""SHORT"", ""cache-control"": ""max-age=600, must-revalidate"", ""x-cache"": ""HIT: 2770"", ""x-cache-group"": ""normal"", ""content-security-policy"": ""frame-ancestors 'self' https://*.al-array.com/"", ""x-frame-options"": ""SAMEORIGIN"", ""cf-cache-status"": ""DYNAMIC"", ""server"": ""cloudflare"", ""cf-ray"": ""80e7d8eb78da1cd2-AMS"", ""content-encoding"": ""br"", ""alt-svc"": ""h3=\"":443\""; ma=86400""}"
8,"GET / HTTP/1.1
Host: www.applovin.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,430,HTTP/1.1,0.17650985717773438,0.11634683609008789,0.6411933898925781,200,OK,[''],18,18,509,"{""date"": ""Fri, 29 Sep 2023 23:01:22 GMT"", ""content-type"": ""text/html; charset=UTF-8"", ""transfer-encoding"": ""chunked"", ""connection"": ""keep-alive"", ""vary"": ""Accept-Encoding,Cookie"", ""x-powered-by"": ""WP Engine"", ""link"": ""<https://www.applovin.com/go/lo7o>; rel=shortlink"", ""x-cacheable"": ""SHORT"", ""cache-control"": ""max-age=600, must-revalidate"", ""x-cache"": ""HIT: 2783"", ""x-cache-group"": ""normal"", ""content-security-policy"": ""frame-ancestors 'self' https://*.al-array.com/"", ""x-frame-options"": ""SAMEORIGIN"", ""cf-cache-status"": ""DYNAMIC"", ""server"": ""cloudflare"", ""cf-ray"": ""80e7d8fcae59b8a9-AMS"", ""content-encoding"": ""br"", ""alt-svc"": ""h3=\"":443\""; ma=86400""}"
9,"GET / HTTP/1.1
Host: www.applovin.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,430,HTTP/1.1,0.16228485107421875,0.11620450019836426,0.2103719711303711,200,OK,[''],18,18,511,"{""date"": ""Fri, 29 Sep 2023 23:01:24 GMT"", ""content-type"": ""text/html; charset=UTF-8"", ""transfer-encoding"": ""chunked"", ""connection"": ""keep-alive"", ""vary"": ""Accept-Encoding,Cookie"", ""x-powered-by"": ""WP Engine"", ""link"": ""<https://www.applovin.com/go/lo7o>; rel=shortlink"", ""x-cacheable"": ""SHORT"", ""cache-control"": ""max-age=600, must-revalidate"", ""x-cache"": ""HIT: 2795"", ""x-cache-group"": ""normal"", ""content-security-policy"": ""frame-ancestors 'self' https://*.al-array.com/"", ""x-frame-options"": ""SAMEORIGIN"", ""cf-cache-status"": ""DYNAMIC"", ""server"": ""cloudflare"", ""cf-ray"": ""80e7d90cfa281c7a-AMS"", ""content-encoding"": ""br"", ""alt-svc"": ""h3=\"":443\""; ma=86400""}"
