number,request,deviation_count,uri,request_length,http_version,Socket_Connect_Time,Socket_Close_Time,Response_Time,status_code,reason_phrase,error_message,response_header_count,response_header_length,response_body_length,response_header_fields
0,"GET / HTTP/1.1
Host: www.android.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,429,HTTP/1.1,0.180985689163208,0.1312122344970703,0.03472137451171875,200,OK,[''],16,16,555,"{""accept-ranges"": ""bytes"", ""vary"": ""Accept-Encoding"", ""content-encoding"": ""br"", ""content-type"": ""text/html"", ""content-security-policy-report-only"": ""require-trusted-types-for 'script'; report-uri https://csp.withgoogle.com/csp/uxe-owners-acl/android"", ""cross-origin-opener-policy-report-only"": ""same-origin; report-to=\""uxe-owners-acl/android\"""", ""report-to"": ""{\""group\"":\""uxe-owners-acl/android\"",\""max_age\"":2592000,\""endpoints\"":[{\""url\"":\""https://csp.withgoogle.com/csp/report-to/uxe-owners-acl/android\""}]}"", ""content-length"": ""29929"", ""date"": ""Fri, 29 Sep 2023 23:01:28 GMT"", ""expires"": ""Fri, 29 Sep 2023 23:01:28 GMT"", ""cache-control"": ""private, max-age=3000"", ""last-modified"": ""Wed, 27 Sep 2023 08:18:00 GMT"", ""x-content-type-options"": ""nosniff"", ""server"": ""sffe"", ""x-xss-protection"": ""0"", ""alt-svc"": ""h3=\"":443\""; ma=2592000,h3-29=\"":443\""; ma=2592000""}"
1,"GET / HTTP/1.1
Host: www.android.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,429,HTTP/1.1,0.20916748046875,0.10108470916748047,0.03639554977416992,200,OK,[''],16,16,555,"{""accept-ranges"": ""bytes"", ""vary"": ""Accept-Encoding"", ""content-encoding"": ""br"", ""content-type"": ""text/html"", ""content-security-policy-report-only"": ""require-trusted-types-for 'script'; report-uri https://csp.withgoogle.com/csp/uxe-owners-acl/android"", ""cross-origin-opener-policy-report-only"": ""same-origin; report-to=\""uxe-owners-acl/android\"""", ""report-to"": ""{\""group\"":\""uxe-owners-acl/android\"",\""max_age\"":2592000,\""endpoints\"":[{\""url\"":\""https://csp.withgoogle.com/csp/report-to/uxe-owners-acl/android\""}]}"", ""content-length"": ""29929"", ""date"": ""Fri, 29 Sep 2023 23:01:31 GMT"", ""expires"": ""Fri, 29 Sep 2023 23:01:31 GMT"", ""cache-control"": ""private, max-age=3000"", ""last-modified"": ""Wed, 27 Sep 2023 08:18:00 GMT"", ""x-content-type-options"": ""nosniff"", ""server"": ""sffe"", ""x-xss-protection"": ""0"", ""alt-svc"": ""h3=\"":443\""; ma=2592000,h3-29=\"":443\""; ma=2592000""}"
2,"GET / HTTP/1.1
Host: www.android.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,429,HTTP/1.1,0.12878704071044922,0.12206792831420898,0.050826072692871094,200,OK,[''],16,16,555,"{""accept-ranges"": ""bytes"", ""vary"": ""Accept-Encoding"", ""content-encoding"": ""br"", ""content-type"": ""text/html"", ""content-security-policy-report-only"": ""require-trusted-types-for 'script'; report-uri https://csp.withgoogle.com/csp/uxe-owners-acl/android"", ""cross-origin-opener-policy-report-only"": ""same-origin; report-to=\""uxe-owners-acl/android\"""", ""report-to"": ""{\""group\"":\""uxe-owners-acl/android\"",\""max_age\"":2592000,\""endpoints\"":[{\""url\"":\""https://csp.withgoogle.com/csp/report-to/uxe-owners-acl/android\""}]}"", ""content-length"": ""29929"", ""date"": ""Fri, 29 Sep 2023 23:01:33 GMT"", ""expires"": ""Fri, 29 Sep 2023 23:01:33 GMT"", ""cache-control"": ""private, max-age=3000"", ""last-modified"": ""Wed, 27 Sep 2023 08:18:00 GMT"", ""x-content-type-options"": ""nosniff"", ""server"": ""sffe"", ""x-xss-protection"": ""0"", ""alt-svc"": ""h3=\"":443\""; ma=2592000,h3-29=\"":443\""; ma=2592000""}"
3,"GET / HTTP/1.1
Host: www.android.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,429,HTTP/1.1,0.19057965278625488,0.11083626747131348,0.04236435890197754,200,OK,[''],16,16,555,"{""accept-ranges"": ""bytes"", ""vary"": ""Accept-Encoding"", ""content-encoding"": ""br"", ""content-type"": ""text/html"", ""content-security-policy-report-only"": ""require-trusted-types-for 'script'; report-uri https://csp.withgoogle.com/csp/uxe-owners-acl/android"", ""cross-origin-opener-policy-report-only"": ""same-origin; report-to=\""uxe-owners-acl/android\"""", ""report-to"": ""{\""group\"":\""uxe-owners-acl/android\"",\""max_age\"":2592000,\""endpoints\"":[{\""url\"":\""https://csp.withgoogle.com/csp/report-to/uxe-owners-acl/android\""}]}"", ""content-length"": ""29929"", ""date"": ""Fri, 29 Sep 2023 23:01:35 GMT"", ""expires"": ""Fri, 29 Sep 2023 23:01:35 GMT"", ""cache-control"": ""private, max-age=3000"", ""last-modified"": ""Wed, 27 Sep 2023 08:18:00 GMT"", ""x-content-type-options"": ""nosniff"", ""server"": ""sffe"", ""x-xss-protection"": ""0"", ""alt-svc"": ""h3=\"":443\""; ma=2592000,h3-29=\"":443\""; ma=2592000""}"
4,"GET / HTTP/1.1
Host: www.android.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,429,HTTP/1.1,0.23246002197265625,0.11139082908630371,0.04503822326660156,200,OK,[''],16,16,555,"{""accept-ranges"": ""bytes"", ""vary"": ""Accept-Encoding"", ""content-encoding"": ""br"", ""content-type"": ""text/html"", ""content-security-policy-report-only"": ""require-trusted-types-for 'script'; report-uri https://csp.withgoogle.com/csp/uxe-owners-acl/android"", ""cross-origin-opener-policy-report-only"": ""same-origin; report-to=\""uxe-owners-acl/android\"""", ""report-to"": ""{\""group\"":\""uxe-owners-acl/android\"",\""max_age\"":2592000,\""endpoints\"":[{\""url\"":\""https://csp.withgoogle.com/csp/report-to/uxe-owners-acl/android\""}]}"", ""content-length"": ""29929"", ""date"": ""Fri, 29 Sep 2023 23:01:38 GMT"", ""expires"": ""Fri, 29 Sep 2023 23:01:38 GMT"", ""cache-control"": ""private, max-age=3000"", ""last-modified"": ""Wed, 27 Sep 2023 08:18:00 GMT"", ""x-content-type-options"": ""nosniff"", ""server"": ""sffe"", ""x-xss-protection"": ""0"", ""alt-svc"": ""h3=\"":443\""; ma=2592000,h3-29=\"":443\""; ma=2592000""}"
5,"GET / HTTP/1.1
Host: www.android.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,429,HTTP/1.1,0.14578843116760254,0.1319293975830078,0.03659868240356445,200,OK,[''],16,16,555,"{""accept-ranges"": ""bytes"", ""vary"": ""Accept-Encoding"", ""content-encoding"": ""br"", ""content-type"": ""text/html"", ""content-security-policy-report-only"": ""require-trusted-types-for 'script'; report-uri https://csp.withgoogle.com/csp/uxe-owners-acl/android"", ""cross-origin-opener-policy-report-only"": ""same-origin; report-to=\""uxe-owners-acl/android\"""", ""report-to"": ""{\""group\"":\""uxe-owners-acl/android\"",\""max_age\"":2592000,\""endpoints\"":[{\""url\"":\""https://csp.withgoogle.com/csp/report-to/uxe-owners-acl/android\""}]}"", ""content-length"": ""29929"", ""date"": ""Fri, 29 Sep 2023 23:01:40 GMT"", ""expires"": ""Fri, 29 Sep 2023 23:01:40 GMT"", ""cache-control"": ""private, max-age=3000"", ""last-modified"": ""Wed, 27 Sep 2023 08:18:00 GMT"", ""x-content-type-options"": ""nosniff"", ""server"": ""sffe"", ""x-xss-protection"": ""0"", ""alt-svc"": ""h3=\"":443\""; ma=2592000,h3-29=\"":443\""; ma=2592000""}"
6,"GET / HTTP/1.1
Host: www.android.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,429,HTTP/1.1,0.21698379516601562,0.11888790130615234,0.04310798645019531,200,OK,[''],16,16,555,"{""accept-ranges"": ""bytes"", ""vary"": ""Accept-Encoding"", ""content-encoding"": ""br"", ""content-type"": ""text/html"", ""content-security-policy-report-only"": ""require-trusted-types-for 'script'; report-uri https://csp.withgoogle.com/csp/uxe-owners-acl/android"", ""cross-origin-opener-policy-report-only"": ""same-origin; report-to=\""uxe-owners-acl/android\"""", ""report-to"": ""{\""group\"":\""uxe-owners-acl/android\"",\""max_age\"":2592000,\""endpoints\"":[{\""url\"":\""https://csp.withgoogle.com/csp/report-to/uxe-owners-acl/android\""}]}"", ""content-length"": ""29929"", ""date"": ""Fri, 29 Sep 2023 23:01:43 GMT"", ""expires"": ""Fri, 29 Sep 2023 23:01:43 GMT"", ""cache-control"": ""private, max-age=3000"", ""last-modified"": ""Wed, 27 Sep 2023 08:18:00 GMT"", ""x-content-type-options"": ""nosniff"", ""server"": ""sffe"", ""x-xss-protection"": ""0"", ""alt-svc"": ""h3=\"":443\""; ma=2592000,h3-29=\"":443\""; ma=2592000""}"
7,"GET / HTTP/1.1
Host: www.android.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,429,HTTP/1.1,0.18145990371704102,0.11763620376586914,0.05427742004394531,200,OK,[''],16,16,555,"{""accept-ranges"": ""bytes"", ""vary"": ""Accept-Encoding"", ""content-encoding"": ""br"", ""content-type"": ""text/html"", ""content-security-policy-report-only"": ""require-trusted-types-for 'script'; report-uri https://csp.withgoogle.com/csp/uxe-owners-acl/android"", ""cross-origin-opener-policy-report-only"": ""same-origin; report-to=\""uxe-owners-acl/android\"""", ""report-to"": ""{\""group\"":\""uxe-owners-acl/android\"",\""max_age\"":2592000,\""endpoints\"":[{\""url\"":\""https://csp.withgoogle.com/csp/report-to/uxe-owners-acl/android\""}]}"", ""content-length"": ""29929"", ""date"": ""Fri, 29 Sep 2023 23:01:45 GMT"", ""expires"": ""Fri, 29 Sep 2023 23:01:45 GMT"", ""cache-control"": ""private, max-age=3000"", ""last-modified"": ""Wed, 27 Sep 2023 08:18:00 GMT"", ""x-content-type-options"": ""nosniff"", ""server"": ""sffe"", ""x-xss-protection"": ""0"", ""alt-svc"": ""h3=\"":443\""; ma=2592000,h3-29=\"":443\""; ma=2592000""}"
8,"GET / HTTP/1.1
Host: www.android.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,429,HTTP/1.1,0.12402081489562988,0.11385941505432129,0.04578876495361328,200,OK,[''],16,16,555,"{""accept-ranges"": ""bytes"", ""vary"": ""Accept-Encoding"", ""content-encoding"": ""br"", ""content-type"": ""text/html"", ""content-security-policy-report-only"": ""require-trusted-types-for 'script'; report-uri https://csp.withgoogle.com/csp/uxe-owners-acl/android"", ""cross-origin-opener-policy-report-only"": ""same-origin; report-to=\""uxe-owners-acl/android\"""", ""report-to"": ""{\""group\"":\""uxe-owners-acl/android\"",\""max_age\"":2592000,\""endpoints\"":[{\""url\"":\""https://csp.withgoogle.com/csp/report-to/uxe-owners-acl/android\""}]}"", ""content-length"": ""29929"", ""date"": ""Fri, 29 Sep 2023 23:01:48 GMT"", ""expires"": ""Fri, 29 Sep 2023 23:01:48 GMT"", ""cache-control"": ""private, max-age=3000"", ""last-modified"": ""Wed, 27 Sep 2023 08:18:00 GMT"", ""x-content-type-options"": ""nosniff"", ""server"": ""sffe"", ""x-xss-protection"": ""0"", ""alt-svc"": ""h3=\"":443\""; ma=2592000,h3-29=\"":443\""; ma=2592000""}"
9,"GET / HTTP/1.1
Host: www.android.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,429,HTTP/1.1,0.2545769214630127,0.11648845672607422,0.16324782371520996,200,OK,[''],16,16,555,"{""accept-ranges"": ""bytes"", ""vary"": ""Accept-Encoding"", ""content-encoding"": ""br"", ""content-type"": ""text/html"", ""content-security-policy-report-only"": ""require-trusted-types-for 'script'; report-uri https://csp.withgoogle.com/csp/uxe-owners-acl/android"", ""cross-origin-opener-policy-report-only"": ""same-origin; report-to=\""uxe-owners-acl/android\"""", ""report-to"": ""{\""group\"":\""uxe-owners-acl/android\"",\""max_age\"":2592000,\""endpoints\"":[{\""url\"":\""https://csp.withgoogle.com/csp/report-to/uxe-owners-acl/android\""}]}"", ""content-length"": ""29929"", ""date"": ""Fri, 29 Sep 2023 23:01:51 GMT"", ""expires"": ""Fri, 29 Sep 2023 23:01:51 GMT"", ""cache-control"": ""private, max-age=3000"", ""last-modified"": ""Wed, 27 Sep 2023 08:18:00 GMT"", ""x-content-type-options"": ""nosniff"", ""server"": ""sffe"", ""x-xss-protection"": ""0"", ""alt-svc"": ""h3=\"":443\""; ma=2592000,h3-29=\"":443\""; ma=2592000""}"
