number,request,deviation_count,uri,request_length,http_version,Socket_Connect_Time,Socket_Close_Time,Response_Time,status_code,reason_phrase,error_message,response_header_count,response_header_length,response_body_length,response_header_fields
0,"GET / HTTP/1.1
Host: web.archive.org
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,429,HTTP/1.1,0.4772803783416748,0.1099233627319336,0.3260493278503418,200,OK,[''],16,16,15154,"{""server"": ""nginx/1.25.1"", ""date"": ""Fri, 29 Sep 2023 23:01:30 GMT"", ""content-type"": ""text/html; charset=utf-8"", ""transfer-encoding"": ""chunked"", ""connection"": ""keep-alive"", ""x-app-server"": ""wwwb-app214"", ""x-ts"": ""200"", ""x-tr"": ""4"", ""x-location"": ""Slash"", ""x-rl"": ""0"", ""x-na"": ""0"", ""x-page-cache"": ""HIT"", ""x-nid"": ""-"", ""referrer-policy"": ""no-referrer-when-downgrade"", ""permissions-policy"": ""interest-cohort=()"", ""content-encoding"": ""gzip""}"
1,"GET / HTTP/1.1
Host: web.archive.org
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,429,HTTP/1.1,0.4605240821838379,0.1185462474822998,0.3388547897338867,200,OK,[''],16,16,15154,"{""server"": ""nginx/1.25.1"", ""date"": ""Fri, 29 Sep 2023 23:01:34 GMT"", ""content-type"": ""text/html; charset=utf-8"", ""transfer-encoding"": ""chunked"", ""connection"": ""keep-alive"", ""x-app-server"": ""wwwb-app214"", ""x-ts"": ""200"", ""x-tr"": ""4"", ""x-location"": ""Slash"", ""x-rl"": ""0"", ""x-na"": ""0"", ""x-page-cache"": ""HIT"", ""x-nid"": ""-"", ""referrer-policy"": ""no-referrer-when-downgrade"", ""permissions-policy"": ""interest-cohort=()"", ""content-encoding"": ""gzip""}"
2,"GET / HTTP/1.1
Host: web.archive.org
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,429,HTTP/1.1,0.42325663566589355,0.12986254692077637,0.35072898864746094,200,OK,[''],16,16,15154,"{""server"": ""nginx/1.25.1"", ""date"": ""Fri, 29 Sep 2023 23:01:39 GMT"", ""content-type"": ""text/html; charset=utf-8"", ""transfer-encoding"": ""chunked"", ""connection"": ""keep-alive"", ""x-app-server"": ""wwwb-app214"", ""x-ts"": ""200"", ""x-tr"": ""4"", ""x-location"": ""Slash"", ""x-rl"": ""0"", ""x-na"": ""0"", ""x-page-cache"": ""HIT"", ""x-nid"": ""-"", ""referrer-policy"": ""no-referrer-when-downgrade"", ""permissions-policy"": ""interest-cohort=()"", ""content-encoding"": ""gzip""}"
3,"GET / HTTP/1.1
Host: web.archive.org
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,429,HTTP/1.1,0.4674396514892578,0.10745120048522949,0.3695812225341797,200,OK,[''],16,16,15154,"{""server"": ""nginx/1.25.1"", ""date"": ""Fri, 29 Sep 2023 23:01:43 GMT"", ""content-type"": ""text/html; charset=utf-8"", ""transfer-encoding"": ""chunked"", ""connection"": ""keep-alive"", ""x-app-server"": ""wwwb-app214"", ""x-ts"": ""200"", ""x-tr"": ""4"", ""x-location"": ""Slash"", ""x-rl"": ""0"", ""x-na"": ""0"", ""x-page-cache"": ""HIT"", ""x-nid"": ""-"", ""referrer-policy"": ""no-referrer-when-downgrade"", ""permissions-policy"": ""interest-cohort=()"", ""content-encoding"": ""gzip""}"
4,"GET / HTTP/1.1
Host: web.archive.org
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,429,HTTP/1.1,0.3843064308166504,0.12193655967712402,0.4153258800506592,200,OK,[''],16,16,15154,"{""server"": ""nginx/1.25.1"", ""date"": ""Fri, 29 Sep 2023 23:01:47 GMT"", ""content-type"": ""text/html; charset=utf-8"", ""transfer-encoding"": ""chunked"", ""connection"": ""keep-alive"", ""x-app-server"": ""wwwb-app214"", ""x-ts"": ""200"", ""x-tr"": ""4"", ""x-location"": ""Slash"", ""x-rl"": ""0"", ""x-na"": ""0"", ""x-page-cache"": ""HIT"", ""x-nid"": ""-"", ""referrer-policy"": ""no-referrer-when-downgrade"", ""permissions-policy"": ""interest-cohort=()"", ""content-encoding"": ""gzip""}"
5,"GET / HTTP/1.1
Host: web.archive.org
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,429,HTTP/1.1,0.4896576404571533,0.20279288291931152,0.32237887382507324,200,OK,[''],16,16,15154,"{""server"": ""nginx/1.25.1"", ""date"": ""Fri, 29 Sep 2023 23:01:52 GMT"", ""content-type"": ""text/html; charset=utf-8"", ""transfer-encoding"": ""chunked"", ""connection"": ""keep-alive"", ""x-app-server"": ""wwwb-app214"", ""x-ts"": ""200"", ""x-tr"": ""4"", ""x-location"": ""Slash"", ""x-rl"": ""0"", ""x-na"": ""0"", ""x-page-cache"": ""HIT"", ""x-nid"": ""-"", ""referrer-policy"": ""no-referrer-when-downgrade"", ""permissions-policy"": ""interest-cohort=()"", ""content-encoding"": ""gzip""}"
6,"GET / HTTP/1.1
Host: web.archive.org
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,429,HTTP/1.1,0.421295166015625,0.11135721206665039,0.36681365966796875,200,OK,[''],16,16,15154,"{""server"": ""nginx/1.25.1"", ""date"": ""Fri, 29 Sep 2023 23:01:57 GMT"", ""content-type"": ""text/html; charset=utf-8"", ""transfer-encoding"": ""chunked"", ""connection"": ""keep-alive"", ""x-app-server"": ""wwwb-app214"", ""x-ts"": ""200"", ""x-tr"": ""4"", ""x-location"": ""Slash"", ""x-rl"": ""0"", ""x-na"": ""0"", ""x-page-cache"": ""HIT"", ""x-nid"": ""-"", ""referrer-policy"": ""no-referrer-when-downgrade"", ""permissions-policy"": ""interest-cohort=()"", ""content-encoding"": ""gzip""}"
7,"GET / HTTP/1.1
Host: web.archive.org
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,429,HTTP/1.1,0.4690589904785156,0.11395931243896484,0.5337605476379395,200,OK,[''],16,16,15154,"{""server"": ""nginx/1.25.1"", ""date"": ""Fri, 29 Sep 2023 23:02:01 GMT"", ""content-type"": ""text/html; charset=utf-8"", ""transfer-encoding"": ""chunked"", ""connection"": ""keep-alive"", ""x-app-server"": ""wwwb-app214"", ""x-ts"": ""200"", ""x-tr"": ""4"", ""x-location"": ""Slash"", ""x-rl"": ""0"", ""x-na"": ""0"", ""x-page-cache"": ""HIT"", ""x-nid"": ""-"", ""referrer-policy"": ""no-referrer-when-downgrade"", ""permissions-policy"": ""interest-cohort=()"", ""content-encoding"": ""gzip""}"
8,"GET / HTTP/1.1
Host: web.archive.org
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,429,HTTP/1.1,0.48513054847717285,0.14567303657531738,0.31672000885009766,200,OK,[''],16,16,15154,"{""server"": ""nginx/1.25.1"", ""date"": ""Fri, 29 Sep 2023 23:02:06 GMT"", ""content-type"": ""text/html; charset=utf-8"", ""transfer-encoding"": ""chunked"", ""connection"": ""keep-alive"", ""x-app-server"": ""wwwb-app214"", ""x-ts"": ""200"", ""x-tr"": ""4"", ""x-location"": ""Slash"", ""x-rl"": ""0"", ""x-na"": ""0"", ""x-page-cache"": ""HIT"", ""x-nid"": ""-"", ""referrer-policy"": ""no-referrer-when-downgrade"", ""permissions-policy"": ""interest-cohort=()"", ""content-encoding"": ""gzip""}"
9,"GET / HTTP/1.1
Host: web.archive.org
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,429,HTTP/1.1,0.5016524791717529,0.11081385612487793,0.3273746967315674,200,OK,[''],16,16,15154,"{""server"": ""nginx/1.25.1"", ""date"": ""Fri, 29 Sep 2023 23:02:10 GMT"", ""content-type"": ""text/html; charset=utf-8"", ""transfer-encoding"": ""chunked"", ""connection"": ""keep-alive"", ""x-app-server"": ""wwwb-app214"", ""x-ts"": ""200"", ""x-tr"": ""4"", ""x-location"": ""Slash"", ""x-rl"": ""0"", ""x-na"": ""0"", ""x-page-cache"": ""HIT"", ""x-nid"": ""-"", ""referrer-policy"": ""no-referrer-when-downgrade"", ""permissions-policy"": ""interest-cohort=()"", ""content-encoding"": ""gzip""}"
