number,request,deviation_count,uri,request_length,http_version,Socket_Connect_Time,Socket_Close_Time,Response_Time,status_code,reason_phrase,error_message,response_header_count,response_header_length,response_body_length,response_header_fields
0,"GET / HTTP/1.1
Host: www.id5-sync.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,430,HTTP/1.1,0.14809107780456543,0.11338448524475098,0.03354597091674805,200,,[''],6,6,27,"{""vary"": ""origin,access-control-request-method,access-control-request-headers,accept-encoding"", ""content-encoding"": ""gzip"", ""content-type"": ""text/html;charset=utf-8"", ""transfer-encoding"": ""chunked"", ""date"": ""Fri, 29 Sep 2023 23:01:57 GMT"", ""strict-transport-security"": ""max-age=63072000; includeSubDomains; preload""}"
1,"GET / HTTP/1.1
Host: www.id5-sync.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,430,HTTP/1.1,0.21198487281799316,0.11027169227600098,0.03690910339355469,200,,[''],6,6,27,"{""vary"": ""origin,access-control-request-method,access-control-request-headers,accept-encoding"", ""content-encoding"": ""gzip"", ""content-type"": ""text/html;charset=utf-8"", ""transfer-encoding"": ""chunked"", ""date"": ""Fri, 29 Sep 2023 23:01:59 GMT"", ""strict-transport-security"": ""max-age=63072000; includeSubDomains; preload""}"
2,"GET / HTTP/1.1
Host: www.id5-sync.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,430,HTTP/1.1,0.1974503993988037,0.1093301773071289,0.03348898887634277,200,,[''],6,6,27,"{""vary"": ""origin,access-control-request-method,access-control-request-headers,accept-encoding"", ""content-encoding"": ""gzip"", ""content-type"": ""text/html;charset=utf-8"", ""transfer-encoding"": ""chunked"", ""date"": ""Fri, 29 Sep 2023 23:02:01 GMT"", ""strict-transport-security"": ""max-age=63072000; includeSubDomains; preload""}"
3,"GET / HTTP/1.1
Host: www.id5-sync.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,430,HTTP/1.1,0.1909012794494629,0.11242151260375977,0.028501510620117188,200,,[''],6,6,12,"{""vary"": ""origin,access-control-request-method,access-control-request-headers,accept-encoding"", ""content-encoding"": ""gzip"", ""content-type"": ""text/html;charset=utf-8"", ""transfer-encoding"": ""chunked"", ""date"": ""Fri, 29 Sep 2023 23:02:03 GMT"", ""strict-transport-security"": ""max-age=63072000; includeSubDomains; preload""}"
4,"GET / HTTP/1.1
Host: www.id5-sync.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,430,HTTP/1.1,0.19295859336853027,0.17324471473693848,0.03922557830810547,200,,[''],6,6,27,"{""vary"": ""origin,access-control-request-method,access-control-request-headers,accept-encoding"", ""content-encoding"": ""gzip"", ""content-type"": ""text/html;charset=utf-8"", ""transfer-encoding"": ""chunked"", ""date"": ""Fri, 29 Sep 2023 23:02:05 GMT"", ""strict-transport-security"": ""max-age=63072000; includeSubDomains; preload""}"
5,"GET / HTTP/1.1
Host: www.id5-sync.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,430,HTTP/1.1,0.18897485733032227,0.12689542770385742,0.09122490882873535,200,,[''],6,6,27,"{""vary"": ""origin,access-control-request-method,access-control-request-headers,accept-encoding"", ""content-encoding"": ""gzip"", ""content-type"": ""text/html;charset=utf-8"", ""transfer-encoding"": ""chunked"", ""date"": ""Fri, 29 Sep 2023 23:02:07 GMT"", ""strict-transport-security"": ""max-age=63072000; includeSubDomains; preload""}"
6,"GET / HTTP/1.1
Host: www.id5-sync.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,430,HTTP/1.1,0.20473361015319824,0.1108708381652832,0.0314943790435791,200,,[''],6,6,27,"{""vary"": ""origin,access-control-request-method,access-control-request-headers,accept-encoding"", ""content-encoding"": ""gzip"", ""content-type"": ""text/html;charset=utf-8"", ""transfer-encoding"": ""chunked"", ""date"": ""Fri, 29 Sep 2023 23:02:10 GMT"", ""strict-transport-security"": ""max-age=63072000; includeSubDomains; preload""}"
7,"GET / HTTP/1.1
Host: www.id5-sync.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,430,HTTP/1.1,0.18440771102905273,0.1123049259185791,0.039597511291503906,200,,[''],6,6,27,"{""vary"": ""origin,access-control-request-method,access-control-request-headers,accept-encoding"", ""content-encoding"": ""gzip"", ""content-type"": ""text/html;charset=utf-8"", ""transfer-encoding"": ""chunked"", ""date"": ""Fri, 29 Sep 2023 23:02:12 GMT"", ""strict-transport-security"": ""max-age=63072000; includeSubDomains; preload""}"
8,"GET / HTTP/1.1
Host: www.id5-sync.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,430,HTTP/1.1,0.18812346458435059,0.10522127151489258,0.031212329864501953,200,,[''],6,6,27,"{""vary"": ""origin,access-control-request-method,access-control-request-headers,accept-encoding"", ""content-encoding"": ""gzip"", ""content-type"": ""text/html;charset=utf-8"", ""transfer-encoding"": ""chunked"", ""date"": ""Fri, 29 Sep 2023 23:02:14 GMT"", ""strict-transport-security"": ""max-age=63072000; includeSubDomains; preload""}"
9,"GET / HTTP/1.1
Host: www.id5-sync.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,430,HTTP/1.1,0.3285503387451172,0.11262679100036621,0.02523183822631836,200,,[''],6,6,27,"{""vary"": ""origin,access-control-request-method,access-control-request-headers,accept-encoding"", ""content-encoding"": ""gzip"", ""content-type"": ""text/html;charset=utf-8"", ""transfer-encoding"": ""chunked"", ""date"": ""Fri, 29 Sep 2023 23:02:17 GMT"", ""strict-transport-security"": ""max-age=63072000; includeSubDomains; preload""}"
