number,request,deviation_count,uri,request_length,http_version,Socket_Connect_Time,Socket_Close_Time,Response_Time,status_code,reason_phrase,error_message,response_header_count,response_header_length,response_body_length,response_header_fields
0,"GET / HTTP/1.1
Host: www.zemanta.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,429,HTTP/1.1,0.1745610237121582,0.12671375274658203,0.0559697151184082,200,OK,[''],14,14,15134,"{""content-type"": ""text/html; charset=UTF-8"", ""content-encoding"": ""gzip"", ""link"": ""<https://www.zemanta.com/>; rel=shortlink"", ""referrer-policy"": ""no-referrer"", ""server"": ""nginx"", ""x-cache-group"": ""bot"", ""x-cacheable"": ""bot"", ""x-frame-options"": ""SAMEORIGIN"", ""x-powered-by"": ""WP Engine"", ""content-length"": ""52316"", ""cache-control"": ""must-revalidate, max-age=3360"", ""date"": ""Fri, 29 Sep 2023 23:02:17 GMT"", ""connection"": ""keep-alive"", ""vary"": ""Accept-Encoding""}"
1,"GET / HTTP/1.1
Host: www.zemanta.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,429,HTTP/1.1,0.19337201118469238,0.11438107490539551,0.052215576171875,200,OK,[''],14,14,15134,"{""content-type"": ""text/html; charset=UTF-8"", ""content-encoding"": ""gzip"", ""link"": ""<https://www.zemanta.com/>; rel=shortlink"", ""referrer-policy"": ""no-referrer"", ""server"": ""nginx"", ""x-cache-group"": ""bot"", ""x-cacheable"": ""bot"", ""x-frame-options"": ""SAMEORIGIN"", ""x-powered-by"": ""WP Engine"", ""content-length"": ""52316"", ""cache-control"": ""must-revalidate, max-age=3355"", ""date"": ""Fri, 29 Sep 2023 23:02:22 GMT"", ""connection"": ""keep-alive"", ""vary"": ""Accept-Encoding""}"
2,"GET / HTTP/1.1
Host: www.zemanta.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,429,HTTP/1.1,0.1393568515777588,0.10306382179260254,0.1559922695159912,200,OK,[''],14,14,15134,"{""content-type"": ""text/html; charset=UTF-8"", ""content-encoding"": ""gzip"", ""link"": ""<https://www.zemanta.com/>; rel=shortlink"", ""referrer-policy"": ""no-referrer"", ""server"": ""nginx"", ""x-cache-group"": ""bot"", ""x-cacheable"": ""bot"", ""x-frame-options"": ""SAMEORIGIN"", ""x-powered-by"": ""WP Engine"", ""content-length"": ""52316"", ""cache-control"": ""must-revalidate, max-age=3352"", ""date"": ""Fri, 29 Sep 2023 23:02:25 GMT"", ""connection"": ""keep-alive"", ""vary"": ""Accept-Encoding""}"
3,"GET / HTTP/1.1
Host: www.zemanta.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,429,HTTP/1.1,0.1790177822113037,0.12241196632385254,0.15096092224121094,200,OK,[''],14,14,15134,"{""content-type"": ""text/html; charset=UTF-8"", ""content-encoding"": ""gzip"", ""link"": ""<https://www.zemanta.com/>; rel=shortlink"", ""referrer-policy"": ""no-referrer"", ""server"": ""nginx"", ""x-cache-group"": ""bot"", ""x-cacheable"": ""bot"", ""x-frame-options"": ""SAMEORIGIN"", ""x-powered-by"": ""WP Engine"", ""content-length"": ""52316"", ""cache-control"": ""must-revalidate, max-age=3347"", ""date"": ""Fri, 29 Sep 2023 23:02:30 GMT"", ""connection"": ""keep-alive"", ""vary"": ""Accept-Encoding""}"
4,"GET / HTTP/1.1
Host: www.zemanta.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,429,HTTP/1.1,0.22972559928894043,0.11069345474243164,0.16155433654785156,200,OK,[''],14,14,15134,"{""content-type"": ""text/html; charset=UTF-8"", ""content-encoding"": ""gzip"", ""link"": ""<https://www.zemanta.com/>; rel=shortlink"", ""referrer-policy"": ""no-referrer"", ""server"": ""nginx"", ""x-cache-group"": ""bot"", ""x-cacheable"": ""bot"", ""x-frame-options"": ""SAMEORIGIN"", ""x-powered-by"": ""WP Engine"", ""content-length"": ""52316"", ""cache-control"": ""must-revalidate, max-age=3342"", ""date"": ""Fri, 29 Sep 2023 23:02:35 GMT"", ""connection"": ""keep-alive"", ""vary"": ""Accept-Encoding""}"
5,"GET / HTTP/1.1
Host: www.zemanta.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,429,HTTP/1.1,0.1466994285583496,0.12463998794555664,0.0964810848236084,200,OK,[''],14,14,15134,"{""content-type"": ""text/html; charset=UTF-8"", ""content-encoding"": ""gzip"", ""link"": ""<https://www.zemanta.com/>; rel=shortlink"", ""referrer-policy"": ""no-referrer"", ""server"": ""nginx"", ""x-cache-group"": ""bot"", ""x-cacheable"": ""bot"", ""x-frame-options"": ""SAMEORIGIN"", ""x-powered-by"": ""WP Engine"", ""content-length"": ""52316"", ""cache-control"": ""must-revalidate, max-age=3337"", ""date"": ""Fri, 29 Sep 2023 23:02:40 GMT"", ""connection"": ""keep-alive"", ""vary"": ""Accept-Encoding""}"
6,"GET / HTTP/1.1
Host: www.zemanta.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,429,HTTP/1.1,0.15303492546081543,0.11359095573425293,0.07138681411743164,200,OK,[''],14,14,15134,"{""content-type"": ""text/html; charset=UTF-8"", ""content-encoding"": ""gzip"", ""link"": ""<https://www.zemanta.com/>; rel=shortlink"", ""referrer-policy"": ""no-referrer"", ""server"": ""nginx"", ""x-cache-group"": ""bot"", ""x-cacheable"": ""bot"", ""x-frame-options"": ""SAMEORIGIN"", ""x-powered-by"": ""WP Engine"", ""content-length"": ""52316"", ""cache-control"": ""must-revalidate, max-age=3333"", ""date"": ""Fri, 29 Sep 2023 23:02:44 GMT"", ""connection"": ""keep-alive"", ""vary"": ""Accept-Encoding""}"
7,"GET / HTTP/1.1
Host: www.zemanta.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,429,HTTP/1.1,0.20777106285095215,0.10982012748718262,0.15798735618591309,200,OK,[''],14,14,15134,"{""content-type"": ""text/html; charset=UTF-8"", ""content-encoding"": ""gzip"", ""link"": ""<https://www.zemanta.com/>; rel=shortlink"", ""referrer-policy"": ""no-referrer"", ""server"": ""nginx"", ""x-cache-group"": ""bot"", ""x-cacheable"": ""bot"", ""x-frame-options"": ""SAMEORIGIN"", ""x-powered-by"": ""WP Engine"", ""content-length"": ""52316"", ""cache-control"": ""must-revalidate, max-age=3329"", ""date"": ""Fri, 29 Sep 2023 23:02:48 GMT"", ""connection"": ""keep-alive"", ""vary"": ""Accept-Encoding""}"
8,"GET / HTTP/1.1
Host: www.zemanta.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,429,HTTP/1.1,0.19772076606750488,0.11132478713989258,0.03851675987243652,200,OK,[''],14,14,15134,"{""content-type"": ""text/html; charset=UTF-8"", ""content-encoding"": ""gzip"", ""link"": ""<https://www.zemanta.com/>; rel=shortlink"", ""referrer-policy"": ""no-referrer"", ""server"": ""nginx"", ""x-cache-group"": ""bot"", ""x-cacheable"": ""bot"", ""x-frame-options"": ""SAMEORIGIN"", ""x-powered-by"": ""WP Engine"", ""content-length"": ""52316"", ""cache-control"": ""must-revalidate, max-age=3324"", ""date"": ""Fri, 29 Sep 2023 23:02:53 GMT"", ""connection"": ""keep-alive"", ""vary"": ""Accept-Encoding""}"
9,"GET / HTTP/1.1
Host: www.zemanta.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,429,HTTP/1.1,0.28078293800354004,0.11791729927062988,0.09355473518371582,200,OK,[''],14,14,15134,"{""content-type"": ""text/html; charset=UTF-8"", ""content-encoding"": ""gzip"", ""link"": ""<https://www.zemanta.com/>; rel=shortlink"", ""referrer-policy"": ""no-referrer"", ""server"": ""nginx"", ""x-cache-group"": ""bot"", ""x-cacheable"": ""bot"", ""x-frame-options"": ""SAMEORIGIN"", ""x-powered-by"": ""WP Engine"", ""content-length"": ""52316"", ""cache-control"": ""must-revalidate, max-age=3320"", ""date"": ""Fri, 29 Sep 2023 23:02:57 GMT"", ""connection"": ""keep-alive"", ""vary"": ""Accept-Encoding""}"
