number,request,deviation_count,uri,request_length,http_version,Socket_Connect_Time,Socket_Close_Time,Response_Time,status_code,reason_phrase,error_message,response_header_count,response_header_length,response_body_length,response_header_fields
0,"GET / HTTP/1.1
Host: www.canva.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,427,HTTP/1.1,0.17556309700012207,0.11125016212463379,0.05043816566467285,403,Forbidden,[''],17,17,0,"{""date"": ""Fri, 29 Sep 2023 23:02:16 GMT"", ""content-type"": ""text/html; charset=UTF-8"", ""transfer-encoding"": ""chunked"", ""connection"": ""close"", ""cross-origin-embedder-policy"": ""require-corp"", ""cross-origin-opener-policy"": ""same-origin"", ""cross-origin-resource-policy"": ""same-origin"", ""origin-agent-cluster"": ""?1"", ""permissions-policy"": ""accelerometer=(),autoplay=(),browsing-topics=(),camera=(),clipboard-read=(),clipboard-write=(),geolocation=(),gyroscope=(),hid=(),interest-cohort=(),magnetometer=(),microphone=(),payment=(),publickey-credentials-get=(),screen-wake-lock=(),serial=(),sync-xhr=(),usb=()"", ""referrer-policy"": ""same-origin"", ""x-frame-options"": ""SAMEORIGIN"", ""cf-mitigated"": ""challenge"", ""cache-control"": ""private, max-age=0, no-store, no-cache, must-revalidate, post-check=0, pre-check=0"", ""expires"": ""Thu, 01 Jan 1970 00:00:01 GMT"", ""set-cookie"": ""__cf_bm=SvT6G471i8enT6ZvJLOUDxz7.exwMg3a4UOQITR1nUg-1696028536-0-ARH04/Ls8aFAaAUbQ7/c1ni/oXZtVKjhbLxHJ3iJMkHBaS9OE4akMLuAKK+oIC48ZXBqF+vOAdNJLq1zgn8Z0w4=; path=/; expires=Fri, 29-Sep-23 23:32:16 GMT; domain=.canva.com; HttpOnly; Secure; SameSite=None"", ""report-to"": ""{\""endpoints\"":[{\""url\"":\""https:\\/\\/a.nel.cloudflare.com\\/report\\/v3?s=tlQ23yqoRv4Xtk99g9MtXR7lFtsrA6xv%2FnN357VSJWpTDaW50%2Bo7y%2FSZ8jRpNVKNtCactnoT7NkVMB0t11Khwq5im9896yzMzhZvqUm7yeWPjLJfxUyHDluewb3iljY%3D\""}],\""group\"":\""cf-nel\"",\""max_age\"":604800}"", ""nel"": ""{\""success_fraction\"":0.01,\""report""}"
1,"GET / HTTP/1.1
Host: www.canva.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,427,HTTP/1.1,0.16510748863220215,0.12060737609863281,0.17216873168945312,200,OK,[''],20,20,0,"{""date"": ""Fri, 29 Sep 2023 23:02:19 GMT"", ""content-type"": ""text/html;charset=utf-8"", ""transfer-encoding"": ""chunked"", ""connection"": ""keep-alive"", ""cf-ray"": ""80e7da633c99b748-AMS"", ""cf-cache-status"": ""DYNAMIC"", ""cache-control"": ""no-cache, no-store"", ""expires"": ""Thu, 01 Jan 1970 00:00:00 GMT"", ""set-cookie"": ""CDI=6e055861-2ce9-4036-8f86-0df58034b87e; Path=/; Expires=Sat, 28-Sep-2024 23:02:19 GMT; Max-Age=31536000; Secure; HttpOnly; SameSite=None"", ""strict-transport-security"": ""max-age=31536000; includeSubDomains; preload"", ""vary"": ""Accept-Encoding"", ""accept-ch"": ""Sec-CH-UA-Platform-Version"", ""content-security-policy"": ""base-uri 'self'; object-src 'none'; script-src 'report-sample' 'strict-dynamic' 'unsafe-eval' 'nonce-SEgMNQaKZe4LnkTxM4as3g'; report-uri https://csp.canva.com/_cspreport?requestId=80e7da633c99b748&app=anon_home&policyHash=e6c75939"", ""pragma"": ""No-cache"", ""referrer-policy"": ""strict-origin-when-cross-origin"", ""x-content-type-options"": ""nosniff"", ""x-frame-options"": ""deny"", ""x-request-id"": ""80e7da633c99b748"", ""x-xss-protection"": ""1; mode=block"", ""report-to"": ""{\""endpoints\"":[{\""url\"":\""https:\\/\\/a.nel.cloudflare.com\\/report\\/v3?s=RU%2B8GVdoTQbpG7evFLrUa2MbEhaA%2BG%2FtreIvaAgxKBOi9X2Jqjul7fsRqsi5DJn4kbgr%2BCzU19CUX82z1kYyiTgUqY%2F0FnsMV6pInwkl3LpQ1L89cHuamOMJHj4JxPk%3D\""}],\""group\"":\""cf-nel\"",\""max_age\"":604800}""}"
2,"GET / HTTP/1.1
Host: www.canva.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,427,HTTP/1.1,0.23288297653198242,0.1023404598236084,0.03345203399658203,403,Forbidden,[''],17,17,0,"{""date"": ""Fri, 29 Sep 2023 23:02:23 GMT"", ""content-type"": ""text/html; charset=UTF-8"", ""transfer-encoding"": ""chunked"", ""connection"": ""close"", ""cross-origin-embedder-policy"": ""require-corp"", ""cross-origin-opener-policy"": ""same-origin"", ""cross-origin-resource-policy"": ""same-origin"", ""origin-agent-cluster"": ""?1"", ""permissions-policy"": ""accelerometer=(),autoplay=(),browsing-topics=(),camera=(),clipboard-read=(),clipboard-write=(),geolocation=(),gyroscope=(),hid=(),interest-cohort=(),magnetometer=(),microphone=(),payment=(),publickey-credentials-get=(),screen-wake-lock=(),serial=(),sync-xhr=(),usb=()"", ""referrer-policy"": ""same-origin"", ""x-frame-options"": ""SAMEORIGIN"", ""cf-mitigated"": ""challenge"", ""cache-control"": ""private, max-age=0, no-store, no-cache, must-revalidate, post-check=0, pre-check=0"", ""expires"": ""Thu, 01 Jan 1970 00:00:01 GMT"", ""set-cookie"": ""__cf_bm=6Uk3TyD2h9GCrO.i2lZ8_drKCigqtc71BjTKq3v.Cx0-1696028543-0-AegwTlsiUvd/QSycuxOsnJ4ObYUqv+UX4J8Ii0+2tREuYdbSMCKKjnaReBDQAWNYOg9aBMFbSHoo0ROaDfYP7BM=; path=/; expires=Fri, 29-Sep-23 23:32:23 GMT; domain=.canva.com; HttpOnly; Secure; SameSite=None"", ""report-to"": ""{\""endpoints\"":[{\""url\"":\""https:\\/\\/a.nel.cloudflare.com\\/report\\/v3?s=qJaWXZQLjqlW%2FL996ppm8eI71CRel0oEgRoIp5AzQT%2FYgUnGgCUcDuNwH5J%2BRwle6LQlhgJpdsgKbacS37pBNyHC%2FHU2wTAyrJyzYF%2ByqlTQlJK04amgbM2PiEwOfjE%3D\""}],\""group\"":\""cf-nel\"",\""max_age\"":604800}"", ""nel"": ""{\""success_fraction\"":0.01,\""re""}"
3,"GET / HTTP/1.1
Host: www.canva.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,427,HTTP/1.1,0.23260259628295898,0.10426807403564453,0.18046021461486816,200,OK,[''],21,21,0,"{""date"": ""Fri, 29 Sep 2023 23:02:26 GMT"", ""content-type"": ""text/html;charset=utf-8"", ""transfer-encoding"": ""chunked"", ""connection"": ""keep-alive"", ""cf-ray"": ""80e7da90092a0b8c-AMS"", ""cf-cache-status"": ""DYNAMIC"", ""cache-control"": ""no-cache, no-store"", ""expires"": ""Thu, 01 Jan 1970 00:00:00 GMT"", ""set-cookie"": ""CDI=fff6a841-2d15-4cec-b9b9-46305aaff4fa; Path=/; Expires=Sat, 28-Sep-2024 23:02:26 GMT; Max-Age=31536000; Secure; HttpOnly; SameSite=None"", ""strict-transport-security"": ""max-age=31536000; includeSubDomains; preload"", ""vary"": ""Accept-Encoding"", ""accept-ch"": ""Sec-CH-UA-Platform-Version"", ""content-security-policy"": ""base-uri 'self'; object-src 'none'; script-src 'report-sample' 'strict-dynamic' 'unsafe-eval' 'nonce-ZUr3uAHLOeweRMQ4Rrb0lQ'; report-uri https://csp.canva.com/_cspreport?requestId=80e7da90092a0b8c&app=anon_home&policyHash=060f152b"", ""pragma"": ""No-cache"", ""referrer-policy"": ""strict-origin-when-cross-origin"", ""x-content-type-options"": ""nosniff"", ""x-frame-options"": ""deny"", ""x-request-id"": ""80e7da90092a0b8c"", ""x-xss-protection"": ""1; mode=block"", ""report-to"": ""{\""endpoints\"":[{\""url\"":\""https:\\/\\/a.nel.cloudflare.com\\/report\\/v3?s=8rq4AjHI0JP6MK%2BC99rzCLtsSSvgJ2vPJbrzoGMf73FLwYJQhRErHkxm3LzKP8NDY%2FdFUOWi%2F79C5emfSmFUg8eUFtjyQcj3ACQIcdQSu6TO7R565MhBu6enEJS4J0g%3D\""}],\""group\"":\""cf-nel\"",\""max_age\"":604800}"", ""nel"": ""{\""""}"
4,"GET / HTTP/1.1
Host: www.canva.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,427,HTTP/1.1,0.13813424110412598,0.1128687858581543,0.2377452850341797,200,OK,[''],20,20,0,"{""date"": ""Fri, 29 Sep 2023 23:02:29 GMT"", ""content-type"": ""text/html;charset=utf-8"", ""transfer-encoding"": ""chunked"", ""connection"": ""keep-alive"", ""cf-ray"": ""80e7daa29d5eb7bb-AMS"", ""cf-cache-status"": ""DYNAMIC"", ""cache-control"": ""no-cache, no-store"", ""expires"": ""Thu, 01 Jan 1970 00:00:00 GMT"", ""set-cookie"": ""CDI=3dcc0343-cc4b-42ac-b684-c7df394e5930; Path=/; Expires=Sat, 28-Sep-2024 23:02:29 GMT; Max-Age=31536000; Secure; HttpOnly; SameSite=None"", ""strict-transport-security"": ""max-age=31536000; includeSubDomains; preload"", ""vary"": ""Accept-Encoding"", ""accept-ch"": ""Sec-CH-UA-Platform-Version"", ""content-security-policy"": ""base-uri 'self'; object-src 'none'; script-src 'report-sample' 'strict-dynamic' 'unsafe-eval' 'nonce-6xymoKc/8cEaqZjDzb+IuA'; report-uri https://csp.canva.com/_cspreport?requestId=80e7daa29d5eb7bb&app=anon_home&policyHash=4962de2a"", ""pragma"": ""No-cache"", ""referrer-policy"": ""strict-origin-when-cross-origin"", ""x-content-type-options"": ""nosniff"", ""x-frame-options"": ""deny"", ""x-request-id"": ""80e7daa29d5eb7bb"", ""x-xss-protection"": ""1; mode=block"", ""report-to"": ""{\""endpoints\"":[{\""url\"":\""https:\\/\\/a.nel.cloudflare.com\\/report\\/v3?s=PzHeaxCEhB7%2B8UJoCr7CE7IdhpjG0G7J6mEpWXlKqgCGoPR%2FAjzgC%2BJ1rblxqwhEn%2BNG%2Fe80qzrFV80UcZE2PJEbDHAFhgqC1JhT89LhoIb3yE18ePr0CfpmhtP4DB8%3D\""}],\""group\"":\""cf-nel\"",\""max_age\"":604800}""}"
5,"GET / HTTP/1.1
Host: www.canva.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,427,HTTP/1.1,0.3265671730041504,0.1062467098236084,0.19702696800231934,200,OK,[''],20,20,0,"{""date"": ""Fri, 29 Sep 2023 23:02:32 GMT"", ""content-type"": ""text/html;charset=utf-8"", ""transfer-encoding"": ""chunked"", ""connection"": ""keep-alive"", ""cf-ray"": ""80e7dab69fb81cb1-AMS"", ""cf-cache-status"": ""DYNAMIC"", ""cache-control"": ""no-cache, no-store"", ""expires"": ""Thu, 01 Jan 1970 00:00:00 GMT"", ""set-cookie"": ""CDI=3e976244-2322-452f-a943-eec8bb4a529c; Path=/; Expires=Sat, 28-Sep-2024 23:02:32 GMT; Max-Age=31536000; Secure; HttpOnly; SameSite=None"", ""strict-transport-security"": ""max-age=31536000; includeSubDomains; preload"", ""vary"": ""Accept-Encoding"", ""accept-ch"": ""Sec-CH-UA-Platform-Version"", ""content-security-policy"": ""base-uri 'self'; object-src 'none'; script-src 'report-sample' 'strict-dynamic' 'unsafe-eval' 'nonce-+TFtE7wudNRc6/bgPSCYAQ'; report-uri https://csp.canva.com/_cspreport?requestId=80e7dab69fb81cb1&app=anon_home&policyHash=2ab25d97"", ""pragma"": ""No-cache"", ""referrer-policy"": ""strict-origin-when-cross-origin"", ""x-content-type-options"": ""nosniff"", ""x-frame-options"": ""deny"", ""x-request-id"": ""80e7dab69fb81cb1"", ""x-xss-protection"": ""1; mode=block"", ""report-to"": ""{\""endpoints\"":[{\""url\"":\""https:\\/\\/a.nel.cloudflare.com\\/report\\/v3?s=qKH8mOPgd70iwM5VkAREiO%2B%2BRgKyeLKCOUfTxuTT%2Bb7Cvtj2KD7LrRfks%2FIwoKSUD%2Fc1i13SKQX4fwqtevTUPa0kuYbZDQq5yWQEuaB%2Fidrf1%2FQZr0eH5Djopa%2B3EME%3D\""}],\""group\"":\""cf-nel\"",\""max_age\"":604800""}"
6,"GET / HTTP/1.1
Host: www.canva.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,427,HTTP/1.1,0.11820793151855469,0.1053164005279541,0.22118330001831055,200,OK,[''],20,20,0,"{""date"": ""Fri, 29 Sep 2023 23:02:35 GMT"", ""content-type"": ""text/html;charset=utf-8"", ""transfer-encoding"": ""chunked"", ""connection"": ""keep-alive"", ""cf-ray"": ""80e7dac88b3c0e78-AMS"", ""cf-cache-status"": ""DYNAMIC"", ""cache-control"": ""no-cache, no-store"", ""expires"": ""Thu, 01 Jan 1970 00:00:00 GMT"", ""set-cookie"": ""CDI=56761040-af52-48f3-9d57-381bcd6d7660; Path=/; Expires=Sat, 28-Sep-2024 23:02:35 GMT; Max-Age=31536000; Secure; HttpOnly; SameSite=None"", ""strict-transport-security"": ""max-age=31536000; includeSubDomains; preload"", ""vary"": ""Accept-Encoding"", ""accept-ch"": ""Sec-CH-UA-Platform-Version"", ""content-security-policy"": ""base-uri 'self'; object-src 'none'; script-src 'report-sample' 'strict-dynamic' 'unsafe-eval' 'nonce-sl6lxWHuT70ygYJQpwVSIQ'; report-uri https://csp.canva.com/_cspreport?requestId=80e7dac88b3c0e78&app=anon_home&policyHash=c1be6046"", ""pragma"": ""No-cache"", ""referrer-policy"": ""strict-origin-when-cross-origin"", ""x-content-type-options"": ""nosniff"", ""x-frame-options"": ""deny"", ""x-request-id"": ""80e7dac88b3c0e78"", ""x-xss-protection"": ""1; mode=block"", ""report-to"": ""{\""endpoints\"":[{\""url\"":\""https:\\/\\/a.nel.cloudflare.com\\/report\\/v3?s=6AaIU6JvTx6EhDWL666Ix618%2B%2BENNgUwjxBCkR1TWs2ElEyzM71ebKL6mWAO%2F0u0b8lRqL5R9eKwzwQbXNk8YlB5KAv%2BVTg5D%2FTGh9X75H%2BD2gM4p7XRqzDk0qyZ2IQ%3D\""}],\""group\"":\""cf-nel\"",\""max_age\"":604800}""}"
7,"GET / HTTP/1.1
Host: www.canva.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,427,HTTP/1.1,0.13198184967041016,0.12252926826477051,0.17310309410095215,200,OK,[''],20,20,0,"{""date"": ""Fri, 29 Sep 2023 23:02:39 GMT"", ""content-type"": ""text/html;charset=utf-8"", ""transfer-encoding"": ""chunked"", ""connection"": ""keep-alive"", ""cf-ray"": ""80e7dadceea2b7e4-AMS"", ""cf-cache-status"": ""DYNAMIC"", ""cache-control"": ""no-cache, no-store"", ""expires"": ""Thu, 01 Jan 1970 00:00:00 GMT"", ""set-cookie"": ""CDI=f21819d4-65fe-4fc5-97ca-d029e8f37bd7; Path=/; Expires=Sat, 28-Sep-2024 23:02:38 GMT; Max-Age=31536000; Secure; HttpOnly; SameSite=None"", ""strict-transport-security"": ""max-age=31536000; includeSubDomains; preload"", ""vary"": ""Accept-Encoding"", ""accept-ch"": ""Sec-CH-UA-Platform-Version"", ""content-security-policy"": ""base-uri 'self'; object-src 'none'; script-src 'report-sample' 'strict-dynamic' 'unsafe-eval' 'nonce-yld6P3Y89awKecjlpKiAoA'; report-uri https://csp.canva.com/_cspreport?requestId=80e7dadceea2b7e4&app=anon_home&policyHash=a0936cb1"", ""pragma"": ""No-cache"", ""referrer-policy"": ""strict-origin-when-cross-origin"", ""x-content-type-options"": ""nosniff"", ""x-frame-options"": ""deny"", ""x-request-id"": ""80e7dadceea2b7e4"", ""x-xss-protection"": ""1; mode=block"", ""report-to"": ""{\""endpoints\"":[{\""url\"":\""https:\\/\\/a.nel.cloudflare.com\\/report\\/v3?s=hsvM6KLAysSOiZ1FGgxXPCapzoIeUv5%2FXUVqbAj9JwjoAiECGQxN7P4KFWjorKI%2FviPRttu%2BbbsNTyv6uPThRkMQmPNNEPMEfp437abixm9Dw%2FDV32pg2pU%2F%2BixIWfI%3D\""}],\""group\"":\""cf-nel\"",\""max_age\"":604800}""}"
8,"GET / HTTP/1.1
Host: www.canva.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,427,HTTP/1.1,0.3033468723297119,0.10920977592468262,0.035736799240112305,403,Forbidden,[''],17,17,0,"{""date"": ""Fri, 29 Sep 2023 23:02:41 GMT"", ""content-type"": ""text/html; charset=UTF-8"", ""transfer-encoding"": ""chunked"", ""connection"": ""close"", ""cross-origin-embedder-policy"": ""require-corp"", ""cross-origin-opener-policy"": ""same-origin"", ""cross-origin-resource-policy"": ""same-origin"", ""origin-agent-cluster"": ""?1"", ""permissions-policy"": ""accelerometer=(),autoplay=(),browsing-topics=(),camera=(),clipboard-read=(),clipboard-write=(),geolocation=(),gyroscope=(),hid=(),interest-cohort=(),magnetometer=(),microphone=(),payment=(),publickey-credentials-get=(),screen-wake-lock=(),serial=(),sync-xhr=(),usb=()"", ""referrer-policy"": ""same-origin"", ""x-frame-options"": ""SAMEORIGIN"", ""cf-mitigated"": ""challenge"", ""cache-control"": ""private, max-age=0, no-store, no-cache, must-revalidate, post-check=0, pre-check=0"", ""expires"": ""Thu, 01 Jan 1970 00:00:01 GMT"", ""set-cookie"": ""__cf_bm=nk4_BKWXXQvwQ0QdEn7Ppvecwsz8T774Iai5sroPUoU-1696028561-0-Af53qfutDN4bAYBoSG2Uqw4FX6h+NxUio/39EluDpuLzBsGNE1TmhTM7dPa5UvoeTiMS9qS08fxiPpZ3tS6v8K0=; path=/; expires=Fri, 29-Sep-23 23:32:41 GMT; domain=.canva.com; HttpOnly; Secure; SameSite=None"", ""report-to"": ""{\""endpoints\"":[{\""url\"":\""https:\\/\\/a.nel.cloudflare.com\\/report\\/v3?s=dld%2BU%2FSWZlKpBphn8eTkqiqAC8skbk02HhHCTrE%2Fpi1oPQMvnsh8QJWihEhDrxqgi%2FWx%2FqK8ptG0qWbDidOVVqq%2FI8TT6NWZUiYmFc8doxc5yDEeFVFMtFLB%2BH%2FNa2I%3D\""}],\""group\"":\""cf-nel\"",\""max_age\"":604800}"", ""nel"": ""{\""success_fraction\"":0.""}"
9,"GET / HTTP/1.1
Host: www.canva.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,427,HTTP/1.1,0.16338706016540527,0.11192536354064941,0.21917414665222168,200,OK,[''],21,21,0,"{""date"": ""Fri, 29 Sep 2023 23:02:45 GMT"", ""content-type"": ""text/html;charset=utf-8"", ""transfer-encoding"": ""chunked"", ""connection"": ""keep-alive"", ""cf-ray"": ""80e7db029ac4b772-AMS"", ""cf-cache-status"": ""DYNAMIC"", ""cache-control"": ""no-cache, no-store"", ""expires"": ""Thu, 01 Jan 1970 00:00:00 GMT"", ""set-cookie"": ""CDI=88b6f7a2-09db-4c13-9b8a-ac3968316f35; Path=/; Expires=Sat, 28-Sep-2024 23:02:44 GMT; Max-Age=31536000; Secure; HttpOnly; SameSite=None"", ""strict-transport-security"": ""max-age=31536000; includeSubDomains; preload"", ""vary"": ""Accept-Encoding"", ""accept-ch"": ""Sec-CH-UA-Platform-Version"", ""content-security-policy"": ""base-uri 'self'; object-src 'none'; script-src 'report-sample' 'strict-dynamic' 'unsafe-eval' 'nonce-pR3csbECdkEzJOosMYe5ag'; report-uri https://csp.canva.com/_cspreport?requestId=80e7db029ac4b772&app=anon_home&policyHash=d4b417d9"", ""pragma"": ""No-cache"", ""referrer-policy"": ""strict-origin-when-cross-origin"", ""x-content-type-options"": ""nosniff"", ""x-frame-options"": ""deny"", ""x-request-id"": ""80e7db029ac4b772"", ""x-xss-protection"": ""1; mode=block"", ""report-to"": ""{\""endpoints\"":[{\""url\"":\""https:\\/\\/a.nel.cloudflare.com\\/report\\/v3?s=iaPlIIWZVaHaBAKYqZZ9dNzg25ZgrvqmOhRIgJ7RU4Dlx0avgpYAV0WXWxhIOhFOzrwo%2BeJNNi6m0K1NRTF55kdkef2PzuYl4FaPUvhqR6MyMaIb%2FMvYi0AiwoacSB0%3D\""}],\""group\"":\""cf-nel\"",\""max_age\"":604800}"", ""nel"": ""{\""su""}"
