number,request,deviation_count,uri,request_length,http_version,Socket_Connect_Time,Socket_Close_Time,Response_Time,status_code,reason_phrase,error_message,response_header_count,response_header_length,response_body_length,response_header_fields
0,"GET / HTTP/1.1
Host: www.wix.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,425,HTTP/1.1,0.1358785629272461,0.11162543296813965,0.029314517974853516,200,OK,[''],22,22,0,"{""connection"": ""keep-alive"", ""content-length"": ""182882"", ""content-type"": ""text/html; charset=UTF-8"", ""link"": ""<https://static.parastorage.com/>; rel=preconnect; crossorigin;,<https://static.parastorage.com/>; rel=preconnect;,<https://static.wixstatic.com/>; rel=preconnect; crossorigin;,<https://static.wixstatic.com/>; rel=preconnect;,<https://siteassets.parastorage.com>; rel=preconnect; crossorigin;,"", ""etag"": ""W/\""5ac3bc9dcd1d6050aec83d7962688df3\"""", ""content-language"": ""en-US"", ""referrer-policy"": ""no-referrer-when-downgrade"", ""x-wix-request-id"": ""1695904944.15375184916246949"", ""cache-control"": ""public,max-age=0,must-revalidate"", ""strict-transport-security"": ""max-age=31536000"", ""x-content-type-options"": ""nosniff"", ""content-encoding"": ""br"", ""server"": ""Pepyaka/1.19.10"", ""accept-ranges"": ""bytes"", ""date"": ""Fri, 29 Sep 2023 23:02:32 GMT"", ""age"": ""123610"", ""x-served-by"": ""cache-ams21039-AMS"", ""x-cache"": ""HIT"", ""vary"": ""Accept-Encoding"", ""server-timing"": ""cache;desc=hit, varnish;desc=hit_hit, dc;desc=fastly"", ""set-cookie"": ""_wixUIDX=null-user-id; Max-Age=7776000; Expires=Thu, 28 Dec 2023 23:02:32 GMT; Path=/; Domain=.wix.com; Secure; SameSite=None"", ""x-seen-by"": ""roqoaVaG/Y0K4FDXPQbYVA==""}"
1,"GET / HTTP/1.1
Host: www.wix.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,425,HTTP/1.1,0.20095610618591309,0.13637447357177734,0.03429007530212402,200,OK,[''],22,22,0,"{""connection"": ""keep-alive"", ""content-length"": ""182882"", ""content-type"": ""text/html; charset=UTF-8"", ""link"": ""<https://static.parastorage.com/>; rel=preconnect; crossorigin;,<https://static.parastorage.com/>; rel=preconnect;,<https://static.wixstatic.com/>; rel=preconnect; crossorigin;,<https://static.wixstatic.com/>; rel=preconnect;,<https://siteassets.parastorage.com>; rel=preconnect; crossorigin;,"", ""etag"": ""W/\""5ac3bc9dcd1d6050aec83d7962688df3\"""", ""content-language"": ""en-US"", ""referrer-policy"": ""no-referrer-when-downgrade"", ""x-wix-request-id"": ""1695904944.15375184916246949"", ""cache-control"": ""public,max-age=0,must-revalidate"", ""strict-transport-security"": ""max-age=31536000"", ""x-content-type-options"": ""nosniff"", ""content-encoding"": ""br"", ""server"": ""Pepyaka/1.19.10"", ""accept-ranges"": ""bytes"", ""date"": ""Fri, 29 Sep 2023 23:02:34 GMT"", ""age"": ""123613"", ""x-served-by"": ""cache-ams21037-AMS"", ""x-cache"": ""HIT"", ""vary"": ""Accept-Encoding"", ""server-timing"": ""cache;desc=hit, varnish;desc=hit_hit, dc;desc=fastly"", ""set-cookie"": ""_wixUIDX=null-user-id; Max-Age=7776000; Expires=Thu, 28 Dec 2023 23:02:34 GMT; Path=/; Domain=.wix.com; Secure; SameSite=None"", ""x-seen-by"": ""roqoaVaG/Y0K4FDXPQbYVA==""}"
2,"GET / HTTP/1.1
Host: www.wix.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,425,HTTP/1.1,0.18415474891662598,0.11254239082336426,0.05275082588195801,200,OK,[''],22,22,0,"{""connection"": ""keep-alive"", ""content-length"": ""182882"", ""content-type"": ""text/html; charset=UTF-8"", ""link"": ""<https://static.parastorage.com/>; rel=preconnect; crossorigin;,<https://static.parastorage.com/>; rel=preconnect;,<https://static.wixstatic.com/>; rel=preconnect; crossorigin;,<https://static.wixstatic.com/>; rel=preconnect;,<https://siteassets.parastorage.com>; rel=preconnect; crossorigin;,"", ""etag"": ""W/\""5ac3bc9dcd1d6050aec83d7962688df3\"""", ""content-language"": ""en-US"", ""referrer-policy"": ""no-referrer-when-downgrade"", ""x-wix-request-id"": ""1695904944.15375184916246949"", ""cache-control"": ""public,max-age=0,must-revalidate"", ""strict-transport-security"": ""max-age=31536000"", ""x-content-type-options"": ""nosniff"", ""content-encoding"": ""br"", ""server"": ""Pepyaka/1.19.10"", ""accept-ranges"": ""bytes"", ""date"": ""Fri, 29 Sep 2023 23:02:37 GMT"", ""age"": ""123616"", ""x-served-by"": ""cache-ams21049-AMS"", ""x-cache"": ""HIT"", ""vary"": ""Accept-Encoding"", ""server-timing"": ""cache;desc=hit, varnish;desc=hit_hit, dc;desc=fastly"", ""set-cookie"": ""_wixUIDX=null-user-id; Max-Age=7776000; Expires=Thu, 28 Dec 2023 23:02:37 GMT; Path=/; Domain=.wix.com; Secure; SameSite=None"", ""x-seen-by"": ""roqoaVaG/Y0K4FDXPQbYVA==""}"
3,"GET / HTTP/1.1
Host: www.wix.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,425,HTTP/1.1,0.1395425796508789,0.10629773139953613,0.029881954193115234,200,OK,[''],22,22,0,"{""connection"": ""keep-alive"", ""content-length"": ""182882"", ""content-type"": ""text/html; charset=UTF-8"", ""link"": ""<https://static.parastorage.com/>; rel=preconnect; crossorigin;,<https://static.parastorage.com/>; rel=preconnect;,<https://static.wixstatic.com/>; rel=preconnect; crossorigin;,<https://static.wixstatic.com/>; rel=preconnect;,<https://siteassets.parastorage.com>; rel=preconnect; crossorigin;,"", ""etag"": ""W/\""5ac3bc9dcd1d6050aec83d7962688df3\"""", ""content-language"": ""en-US"", ""referrer-policy"": ""no-referrer-when-downgrade"", ""x-wix-request-id"": ""1695904944.15375184916246949"", ""cache-control"": ""public,max-age=0,must-revalidate"", ""strict-transport-security"": ""max-age=31536000"", ""x-content-type-options"": ""nosniff"", ""content-encoding"": ""br"", ""server"": ""Pepyaka/1.19.10"", ""accept-ranges"": ""bytes"", ""date"": ""Fri, 29 Sep 2023 23:02:40 GMT"", ""age"": ""123618"", ""x-served-by"": ""cache-ams21076-AMS"", ""x-cache"": ""HIT"", ""vary"": ""Accept-Encoding"", ""server-timing"": ""cache;desc=hit, varnish;desc=hit_hit, dc;desc=fastly"", ""set-cookie"": ""_wixUIDX=null-user-id; Max-Age=7776000; Expires=Thu, 28 Dec 2023 23:02:40 GMT; Path=/; Domain=.wix.com; Secure; SameSite=None"", ""x-seen-by"": ""roqoaVaG/Y0K4FDXPQbYVA==""}"
4,"GET / HTTP/1.1
Host: www.wix.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,425,HTTP/1.1,0.32078075408935547,0.11022520065307617,0.11458444595336914,200,OK,[''],22,22,0,"{""connection"": ""keep-alive"", ""content-length"": ""182882"", ""content-type"": ""text/html; charset=UTF-8"", ""link"": ""<https://static.parastorage.com/>; rel=preconnect; crossorigin;,<https://static.parastorage.com/>; rel=preconnect;,<https://static.wixstatic.com/>; rel=preconnect; crossorigin;,<https://static.wixstatic.com/>; rel=preconnect;,<https://siteassets.parastorage.com>; rel=preconnect; crossorigin;,"", ""etag"": ""W/\""5ac3bc9dcd1d6050aec83d7962688df3\"""", ""content-language"": ""en-US"", ""referrer-policy"": ""no-referrer-when-downgrade"", ""x-wix-request-id"": ""1695904944.15375184916246949"", ""cache-control"": ""public,max-age=0,must-revalidate"", ""strict-transport-security"": ""max-age=31536000"", ""x-content-type-options"": ""nosniff"", ""content-encoding"": ""br"", ""server"": ""Pepyaka/1.19.10"", ""accept-ranges"": ""bytes"", ""date"": ""Fri, 29 Sep 2023 23:02:43 GMT"", ""age"": ""123621"", ""x-served-by"": ""cache-ams21077-AMS"", ""x-cache"": ""HIT"", ""vary"": ""Accept-Encoding"", ""server-timing"": ""cache;desc=hit, varnish;desc=hit_hit, dc;desc=fastly"", ""set-cookie"": ""_wixUIDX=null-user-id; Max-Age=7776000; Expires=Thu, 28 Dec 2023 23:02:43 GMT; Path=/; Domain=.wix.com; Secure; SameSite=None"", ""x-seen-by"": ""roqoaVaG/Y0K4FDXPQbYVA==""}"
5,"GET / HTTP/1.1
Host: www.wix.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,425,HTTP/1.1,0.16949725151062012,0.15671086311340332,0.035009145736694336,200,OK,[''],22,22,0,"{""connection"": ""keep-alive"", ""content-length"": ""182882"", ""content-type"": ""text/html; charset=UTF-8"", ""link"": ""<https://static.parastorage.com/>; rel=preconnect; crossorigin;,<https://static.parastorage.com/>; rel=preconnect;,<https://static.wixstatic.com/>; rel=preconnect; crossorigin;,<https://static.wixstatic.com/>; rel=preconnect;,<https://siteassets.parastorage.com>; rel=preconnect; crossorigin;,"", ""etag"": ""W/\""5ac3bc9dcd1d6050aec83d7962688df3\"""", ""content-language"": ""en-US"", ""referrer-policy"": ""no-referrer-when-downgrade"", ""x-wix-request-id"": ""1695904944.15375184916246949"", ""cache-control"": ""public,max-age=0,must-revalidate"", ""strict-transport-security"": ""max-age=31536000"", ""x-content-type-options"": ""nosniff"", ""content-encoding"": ""br"", ""server"": ""Pepyaka/1.19.10"", ""accept-ranges"": ""bytes"", ""date"": ""Fri, 29 Sep 2023 23:02:45 GMT"", ""age"": ""123624"", ""x-served-by"": ""cache-ams21038-AMS"", ""x-cache"": ""HIT"", ""vary"": ""Accept-Encoding"", ""server-timing"": ""cache;desc=hit, varnish;desc=hit_hit, dc;desc=fastly"", ""set-cookie"": ""_wixUIDX=null-user-id; Max-Age=7776000; Expires=Thu, 28 Dec 2023 23:02:45 GMT; Path=/; Domain=.wix.com; Secure; SameSite=None"", ""x-seen-by"": ""roqoaVaG/Y0K4FDXPQbYVA==""}"
6,"GET / HTTP/1.1
Host: www.wix.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,425,HTTP/1.1,0.21297836303710938,0.10764360427856445,0.03192543983459473,200,OK,[''],22,22,0,"{""connection"": ""keep-alive"", ""content-length"": ""182882"", ""content-type"": ""text/html; charset=UTF-8"", ""link"": ""<https://static.parastorage.com/>; rel=preconnect; crossorigin;,<https://static.parastorage.com/>; rel=preconnect;,<https://static.wixstatic.com/>; rel=preconnect; crossorigin;,<https://static.wixstatic.com/>; rel=preconnect;,<https://siteassets.parastorage.com>; rel=preconnect; crossorigin;,"", ""etag"": ""W/\""5ac3bc9dcd1d6050aec83d7962688df3\"""", ""content-language"": ""en-US"", ""referrer-policy"": ""no-referrer-when-downgrade"", ""x-wix-request-id"": ""1695904944.15375184916246949"", ""cache-control"": ""public,max-age=0,must-revalidate"", ""strict-transport-security"": ""max-age=31536000"", ""x-content-type-options"": ""nosniff"", ""content-encoding"": ""br"", ""server"": ""Pepyaka/1.19.10"", ""accept-ranges"": ""bytes"", ""date"": ""Fri, 29 Sep 2023 23:02:48 GMT"", ""age"": ""123627"", ""x-served-by"": ""cache-ams21032-AMS"", ""x-cache"": ""HIT"", ""vary"": ""Accept-Encoding"", ""server-timing"": ""cache;desc=hit, varnish;desc=hit_hit, dc;desc=fastly"", ""set-cookie"": ""_wixUIDX=null-user-id; Max-Age=7776000; Expires=Thu, 28 Dec 2023 23:02:48 GMT; Path=/; Domain=.wix.com; Secure; SameSite=None"", ""x-seen-by"": ""roqoaVaG/Y0K4FDXPQbYVA==""}"
7,"GET / HTTP/1.1
Host: www.wix.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,425,HTTP/1.1,0.23298001289367676,0.11264443397521973,0.0346674919128418,200,OK,[''],22,22,0,"{""connection"": ""keep-alive"", ""content-length"": ""182882"", ""content-type"": ""text/html; charset=UTF-8"", ""link"": ""<https://static.parastorage.com/>; rel=preconnect; crossorigin;,<https://static.parastorage.com/>; rel=preconnect;,<https://static.wixstatic.com/>; rel=preconnect; crossorigin;,<https://static.wixstatic.com/>; rel=preconnect;,<https://siteassets.parastorage.com>; rel=preconnect; crossorigin;,"", ""etag"": ""W/\""5ac3bc9dcd1d6050aec83d7962688df3\"""", ""content-language"": ""en-US"", ""referrer-policy"": ""no-referrer-when-downgrade"", ""x-wix-request-id"": ""1695904944.15375184916246949"", ""cache-control"": ""public,max-age=0,must-revalidate"", ""strict-transport-security"": ""max-age=31536000"", ""x-content-type-options"": ""nosniff"", ""content-encoding"": ""br"", ""server"": ""Pepyaka/1.19.10"", ""accept-ranges"": ""bytes"", ""date"": ""Fri, 29 Sep 2023 23:02:51 GMT"", ""age"": ""123629"", ""x-served-by"": ""cache-ams21020-AMS"", ""x-cache"": ""HIT"", ""vary"": ""Accept-Encoding"", ""server-timing"": ""cache;desc=hit, varnish;desc=hit_hit, dc;desc=fastly"", ""set-cookie"": ""_wixUIDX=null-user-id; Max-Age=7776000; Expires=Thu, 28 Dec 2023 23:02:51 GMT; Path=/; Domain=.wix.com; Secure; SameSite=None"", ""x-seen-by"": ""roqoaVaG/Y0K4FDXPQbYVA==""}"
8,"GET / HTTP/1.1
Host: www.wix.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,425,HTTP/1.1,0.23804450035095215,0.1111607551574707,0.04364347457885742,200,OK,[''],22,22,0,"{""connection"": ""keep-alive"", ""content-length"": ""182882"", ""content-type"": ""text/html; charset=UTF-8"", ""link"": ""<https://static.parastorage.com/>; rel=preconnect; crossorigin;,<https://static.parastorage.com/>; rel=preconnect;,<https://static.wixstatic.com/>; rel=preconnect; crossorigin;,<https://static.wixstatic.com/>; rel=preconnect;,<https://siteassets.parastorage.com>; rel=preconnect; crossorigin;,"", ""etag"": ""W/\""5ac3bc9dcd1d6050aec83d7962688df3\"""", ""content-language"": ""en-US"", ""referrer-policy"": ""no-referrer-when-downgrade"", ""x-wix-request-id"": ""1695904944.15375184916246949"", ""cache-control"": ""public,max-age=0,must-revalidate"", ""strict-transport-security"": ""max-age=31536000"", ""x-content-type-options"": ""nosniff"", ""content-encoding"": ""br"", ""server"": ""Pepyaka/1.19.10"", ""accept-ranges"": ""bytes"", ""date"": ""Fri, 29 Sep 2023 23:02:54 GMT"", ""age"": ""123632"", ""x-served-by"": ""cache-ams21023-AMS"", ""x-cache"": ""HIT"", ""vary"": ""Accept-Encoding"", ""server-timing"": ""cache;desc=hit, varnish;desc=hit_hit, dc;desc=fastly"", ""set-cookie"": ""_wixUIDX=null-user-id; Max-Age=7776000; Expires=Thu, 28 Dec 2023 23:02:54 GMT; Path=/; Domain=.wix.com; Secure; SameSite=None"", ""x-seen-by"": ""roqoaVaG/Y0K4FDXPQbYVA==""}"
9,"GET / HTTP/1.1
Host: www.wix.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,425,HTTP/1.1,0.22016167640686035,0.11272978782653809,0.03760170936584473,200,OK,[''],22,22,0,"{""connection"": ""keep-alive"", ""content-length"": ""182882"", ""content-type"": ""text/html; charset=UTF-8"", ""link"": ""<https://static.parastorage.com/>; rel=preconnect; crossorigin;,<https://static.parastorage.com/>; rel=preconnect;,<https://static.wixstatic.com/>; rel=preconnect; crossorigin;,<https://static.wixstatic.com/>; rel=preconnect;,<https://siteassets.parastorage.com>; rel=preconnect; crossorigin;,"", ""etag"": ""W/\""5ac3bc9dcd1d6050aec83d7962688df3\"""", ""content-language"": ""en-US"", ""referrer-policy"": ""no-referrer-when-downgrade"", ""x-wix-request-id"": ""1695904944.15375184916246949"", ""cache-control"": ""public,max-age=0,must-revalidate"", ""strict-transport-security"": ""max-age=31536000"", ""x-content-type-options"": ""nosniff"", ""content-encoding"": ""br"", ""server"": ""Pepyaka/1.19.10"", ""accept-ranges"": ""bytes"", ""date"": ""Fri, 29 Sep 2023 23:02:57 GMT"", ""age"": ""123635"", ""x-served-by"": ""cache-ams21080-AMS"", ""x-cache"": ""HIT"", ""vary"": ""Accept-Encoding"", ""server-timing"": ""cache;desc=hit, varnish;desc=hit_hit, dc;desc=fastly"", ""set-cookie"": ""_wixUIDX=null-user-id; Max-Age=7776000; Expires=Thu, 28 Dec 2023 23:02:57 GMT; Path=/; Domain=.wix.com; Secure; SameSite=None"", ""x-seen-by"": ""roqoaVaG/Y0K4FDXPQbYVA==""}"
