experiment_no,comment,verbose,timestamp,covertchannel_request_number,covertchannel_connection_number,covertchannel_timing_number,fuzz_value,num_attempts,max_targets,max_workers,wait_between_request,base_line_check_frequency,check_basic_request,target_list,target_subset_size,target_add_www,target_port,conn_timeout,nw_interface,use_ipv4,use_TLS,use_HTTP2,HTTP_version,method,url,path,standard_subdomain,relative_uri,include_subdomain,include_port,include_subdomain_host_header,headers,standard_headers,content
1,Test of function CC1(Basic) Relative URI,False,20230929_232007,1,1,1,0.7,10,100,32,0,0,1,target_list_subdomain_10000.csv,5,True,443,5,enp0s3,True,True,False,HTTP/1.1,GET,,/,www,True,True,False,True,,firefox_HTTP/1.1_TLS,random
2,ttest,False,20230930_000945,1,1,1,0.7,10,100,32,0,0,1,target_list_subdomain_10000.csv,5,True,443,5,enp0s3,True,True,False,HTTP/1.1,GET,,/,www,True,True,False,True,,firefox_HTTP/1.1_TLS,random
3,Advanced Logging,False,20230930_003239,1,1,1,0.7,10,100,32,0,0,1,target_list_subdomain_10000.csv,5,True,443,5,enp0s3,True,True,False,HTTP/1.1,GET,,/,www,True,True,False,True,,firefox_HTTP/1.1_TLS,random
4,Test,False,20230930_004808,1,1,1,0.7,10,100,32,0,0,1,target_list_subdomain_10000.csv,5,True,443,5,enp0s3,True,True,False,HTTP/1.1,GET,,/,www,True,True,False,True,,firefox_HTTP/1.1_TLS,random
5,test,False,20231001_193224,4,1,1,0.7,100,100,32,0,0,2,target_list_subdomain_10000.csv,5,True,443,5,enp0s3,True,True,False,HTTP/1.1,GET,,/,www,True,True,False,True,,firefox_HTTP/1.1_TLS,random
6,tets,False,20231001_202203,4,1,1,0.7,10,100,32,0,0,2,target_list_subdomain_10000.csv,5,True,443,5,enp0s3,True,True,False,HTTP/1.1,GET,,/,www,True,True,False,True,,firefox_HTTP/1.1_TLS,random
7,test,False,20231001_213419,4,1,1,0.7,10,100,32,0,0,2,target_list_subdomain_10000.csv,5,True,443,5,enp0s3,True,True,False,HTTP/1.1,GET,,/,www,True,True,False,True,,firefox_HTTP/1.1_TLS,random
8,tst,False,20231001_213706,4,1,1,0.7,10,100,32,0,0,2,target_list_subdomain_10000.csv,5,True,443,5,enp0s3,True,True,False,HTTP/1.1,GET,,/,www,True,True,False,True,,firefox_HTTP/1.1_TLS,random
9,Test 5,False,20231002_142235,5,1,1,0.7,10,100,32,0,0,2,target_list_subdomain_10000.csv,5,True,443,5,enp0s3,True,True,False,HTTP/1.1,GET,,/,www,True,True,False,True,,firefox_HTTP/1.1_TLS,random
10,CC5 Test,False,20231002_143550,5,1,1,0.7,10,100,32,0,0,2,target_list_subdomain_10000.csv,5,True,443,5,enp0s3,True,True,False,HTTP/1.1,GET,,/,www,True,True,False,True,,firefox_HTTP/1.1_TLS,random
11,Test 5,False,20231002_143904,5,1,1,0.7,10,100,32,0,0,2,target_list_subdomain_10000.csv,5,True,443,5,enp0s3,True,True,False,HTTP/1.1,GET,,/,www,True,True,False,True,,firefox_HTTP/1.1_TLS,random
12,5,False,20231002_144024,5,1,1,0.7,10,100,32,0,0,2,target_list_subdomain_10000.csv,5,True,443,5,enp0s3,True,True,False,HTTP/1.1,GET,,/,www,True,True,False,True,,firefox_HTTP/1.1_TLS,random
