Status Code,Leading_Digit,"HTTP (TCP, Port 80) leads to 3xx redirect","HTTP (TCP, Port 80, www) leads to 3xx redirect","HTTPS absolute URI, no or given subdomain, Statuscode","HTTPS absolute URI, www or given subdomain, Statuscode","HTTPS absolute URI, www or given subdomain, host incl subdomain","HTTPS relative URI, no or standard subdomain, host excl subdomain, statuscode","HTTPS relative URI, www or standard subdomain, host incl subdomain, statuscode"
200,2,456.0,382.0,1828.0,3003.0,3794.0,2342.0,3940.0
204,2,17.0,11.0,15.0,17.0,18.0,18.0,18.0
206,2,,,,,,,1.0
301,3,5751.0,6151.0,3771.0,2176.0,2042.0,2916.0,2094.0
302,3,877.0,872.0,680.0,737.0,824.0,693.0,843.0
303,3,4.0,3.0,4.0,4.0,5.0,3.0,6.0
307,3,45.0,46.0,51.0,48.0,53.0,48.0,53.0
308,3,80.0,80.0,40.0,21.0,27.0,30.0,25.0
400,4,147.0,134.0,215.0,687.0,113.0,300.0,83.0
401,4,9.0,7.0,8.0,17.0,17.0,19.0,17.0
402,4,,,,1.0,,,
403,4,326.0,209.0,647.0,654.0,508.0,326.0,364.0
404,4,597.0,480.0,665.0,618.0,622.0,578.0,578.0
405,4,7.0,7.0,2.0,6.0,6.0,6.0,6.0
407,4,,,,2.0,2.0,,
409,4,4.0,2.0,1.0,1.0,,1.0,
410,4,7.0,1.0,9.0,1.0,1.0,2.0,1.0
412,4,,,,1.0,,,1.0
418,4,4.0,3.0,1.0,1.0,,,
421,4,,,22.0,,,,
422,4,,,1.0,,,,
429,4,,2.0,,1.0,2.0,,1.0
442,4,,,3.0,,,,
451,4,,,1.0,,,1.0,
500,5,34.0,17.0,50.0,15.0,15.0,29.0,17.0
501,5,,,2.0,,,,
502,5,16.0,3.0,13.0,7.0,5.0,7.0,4.0
503,5,26.0,15.0,13.0,24.0,22.0,27.0,22.0
504,5,4.0,,,,,,
520,5,,,,3.0,,1.0,
521,5,1.0,4.0,1.0,3.0,3.0,2.0,3.0
522,5,1.0,1.0,,1.0,2.0,,3.0
523,5,,,,2.0,,2.0,
525,5,,,,1.0,,1.0,
526,5,,,,2.0,3.0,1.0,3.0
530,5,21.0,1.0,6.0,36.0,2.0,63.0,2.0
999,9,681.0,684.0,1066.0,1025.0,1029.0,1699.0,1030.0
