Rank,Domain,Socket Info 443,"HTTPS absolute URI, no or given subdomain","HTTPS absolute URI, www or given subdomain"
1,google.com,"[[2, 1, 6, """", [""142.250.181.206"", 443]]]","[301, ""https://www.google.com/""]","[200, null]"
2,facebook.com,"[[2, 1, 6, """", [""157.240.210.35"", 443]]]","[301, ""https://www.facebook.com/?absolute_url_processed=1""]","[200, null]"
3,microsoft.com,"[[2, 1, 6, """", [""20.236.44.162"", 443]], [2, 1, 6, """", [""20.231.239.246"", 443]], [2, 1, 6, """", [""20.112.250.133"", 443]], [2, 1, 6, """", [""20.70.246.20"", 443]], [2, 1, 6, """", [""20.76.201.171"", 443]]]","[301, ""https://www.microsoft.com/""]","[400, null]"
4,googleapis.com,"[[2, 1, 6, """", [""142.250.181.196"", 443]]]","[404, null]","[404, null]"
5,youtube.com,"[[2, 1, 6, """", [""142.251.209.142"", 443]]]","[301, ""https://www.youtube.com/""]","[200, null]"
6,apple.com,"[[2, 1, 6, """", [""17.253.144.10"", 443]]]","[301, ""https://www.apple.com/""]","[404, null]"
7,www.google.com,"[[2, 1, 6, """", [""142.251.209.132"", 443]]]","[301, ""https://www.google.com/""]","[200, null]"
8,twitter.com,"[[2, 1, 6, """", [""104.244.42.1"", 443]]]","[302, ""/""]","[301, ""https://twitter.com/""]"
9,instagram.com,"[[2, 1, 6, """", [""157.240.210.174"", 443]]]","[301, ""https://www.instagram.com/?absolute_url_processed=1""]","[200, null]"
10,data.microsoft.com,"""[Errno -5] No address associated with hostname""","[999, """"]","[999, """"]"
