Status Code,Leading_Digit,"HTTP (TCP, Port 80) leads to 3xx redirect","HTTP (TCP, Port 80, www) leads to 3xx redirect","HTTPS absolute URI, no or given subdomain","HTTPS absolute URI, www or given subdomain","HTTPS absolute URI, www or given subdomain, host incl subdomain","HTTPS relative URI, no or standard subdomain, host excl subdomain","HTTPS relative URI, www or standard subdomain, host incl subdomain"
200,2,463.0,385.0,1833.0,3002.0,3788.0,2338.0,3947.0
202,2,,,1.0,,1.0,,1.0
204,2,17.0,11.0,14.0,16.0,18.0,18.0,18.0
301,3,5735.0,6127.0,3678.0,2173.0,2024.0,2905.0,2090.0
302,3,877.0,871.0,677.0,733.0,830.0,694.0,846.0
303,3,4.0,3.0,4.0,4.0,5.0,3.0,6.0
307,3,42.0,45.0,50.0,50.0,55.0,49.0,55.0
308,3,83.0,78.0,36.0,23.0,29.0,34.0,27.0
400,4,151.0,135.0,206.0,689.0,112.0,299.0,84.0
401,4,9.0,7.0,8.0,19.0,19.0,19.0,19.0
402,4,,,,1.0,,,
403,4,327.0,206.0,643.0,660.0,524.0,325.0,369.0
404,4,601.0,481.0,632.0,619.0,625.0,577.0,585.0
405,4,7.0,7.0,2.0,6.0,6.0,6.0,6.0
407,4,,,,2.0,2.0,,
409,4,4.0,2.0,,1.0,,,
410,4,6.0,1.0,7.0,1.0,1.0,2.0,1.0
412,4,,,,1.0,1.0,,1.0
418,4,4.0,3.0,1.0,1.0,,,
421,4,,,23.0,,,,
422,4,,,1.0,,,,
429,4,,,1.0,1.0,3.0,1.0,3.0
442,4,,,3.0,,,,
444,4,,,,1.0,,1.0,
451,4,,,1.0,,,1.0,
500,5,33.0,15.0,48.0,13.0,16.0,30.0,13.0
501,5,,,1.0,,,,
502,5,15.0,4.0,13.0,9.0,6.0,9.0,6.0
503,5,25.0,16.0,15.0,23.0,20.0,27.0,20.0
504,5,4.0,,,,1.0,,
511,5,2.0,2.0,2.0,2.0,2.0,2.0,2.0
520,5,,,,3.0,,1.0,
521,5,1.0,3.0,1.0,3.0,3.0,2.0,3.0
522,5,1.0,1.0,,1.0,2.0,,3.0
523,5,,,,2.0,1.0,2.0,1.0
525,5,,,,1.0,,1.0,
526,5,,,1.0,2.0,3.0,1.0,3.0
530,5,21.0,1.0,6.0,34.0,1.0,58.0,1.0
999,9,1568.0,1596.0,2092.0,1904.0,1902.0,2595.0,1890.0
